Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	84 , 	47 , 	37 , 	168 , 	62 , 	50 , 	25 , 	58 , 	21 , 	65 , 	91 , 	17 , 	12 , 	18 , 	8 , 	8 , 	13 , 	9 , 	3 , 	9 , 	4 , 	4 , 	8 , 	17 , 	34 , 	50 , 	146 , 	72 , 	68 , 	81 , 	12 , 	21 , 	12 , 	12 , 	2 , 	13 , 	1 , 	21 ," 	1,392 ",,,Eastbay," 	29,235 ",,SF CBD," 	51,113 ",55.6%,,
EN, 	81 , 	7 , 	38 , 	53 , 	281 , 	84 , 	74 , 	44 , 	104 , 	43 , 	57 , 	144 , 	24 , 	22 , 	21 , 	12 , 	13 , 	34 , 	17 , 	7 , 	7 , 	6 , 	5 , 	13 , 	11 , 	69 , 	99 , 	345 , 	113 , 	40 , 	62 , 	23 , 	30 , 	25 , 	32 , 	3 , 	8 , 	2 , 	18 ," 	2,067 ",,,Westbay," 	25,047 ",,non-CBD," 	40,776 ",44.4%,,
EP, 	38 , 	22 , 	4 , 	17 , 	195 , 	38 , 	19 , 	21 , 	43 , 	29 , 	20 , 	103 , 	6 , 	6 , 	7 , 	5 , 	8 , 	15 , 	7 , 	4 , 	7 , 	4 , 	3 , 	9 , 	4 , 	42 , 	62 , 	127 , 	69 , 	20 , 	24 , 	8 , 	7 , 	7 , 	8 , 	2 , 	5 , 	2 , 	4 ," 	1,016 ",,,Transbay," 	37,607 ",,,,,,
NB, 	35 , 	49 , 	21 , 	6 , 	60 , 	29 , 	32 , 	23 , 	61 , 	31 , 	31 , 	87 , 	7 , 	8 , 	11 , 	4 , 	6 , 	21 , 	9 , 	6 , 	7 , 	2 , 	1 , 	7 , 	4 , 	74 , 	91 , 	189 , 	123 , 	36 , 	40 , 	8 , 	8 , 	14 , 	11 , 	3 , 	2 , 	2 , 	7 ," 	1,162 ",,,,,,,,,,
BK, 	168 , 	247 , 	173 , 	62 , 	14 , 	171 , 	118 , 	119 , 	197 , 	69 , 	122 , 	194 , 	37 , 	44 , 	31 , 	16 , 	36 , 	116 , 	26 , 	26 , 	30 , 	17 , 	11 , 	21 , 	25 , 	193 , 	164 , 	584 , 	252 , 	85 , 	64 , 	27 , 	19 , 	39 , 	47 , 	16 , 	29 , 	6 , 	15 ," 	3,627 ",,,Extensions," 	11,236 ",,,,,,
AS, 	66 , 	72 , 	40 , 	29 , 	144 , 	6 , 	49 , 	53 , 	73 , 	44 , 	68 , 	112 , 	15 , 	18 , 	13 , 	6 , 	10 , 	18 , 	7 , 	5 , 	8 , 	4 , 	5 , 	12 , 	21 , 	63 , 	75 , 	200 , 	120 , 	56 , 	44 , 	10 , 	7 , 	10 , 	15 , 	3 , 	11 , 	1 , 	4 ," 	1,512 ",,,,,,,,,,
MA, 	54 , 	61 , 	22 , 	23 , 	114 , 	48 , 	6 , 	29 , 	52 , 	30 , 	65 , 	166 , 	20 , 	34 , 	21 , 	8 , 	16 , 	26 , 	21 , 	15 , 	17 , 	11 , 	9 , 	20 , 	29 , 	92 , 	113 , 	320 , 	190 , 	72 , 	62 , 	20 , 	17 , 	17 , 	16 , 	4 , 	11 , 	4 , 	29 ," 	1,881 ",,,,,,,,,,
19, 	27 , 	32 , 	17 , 	30 , 	107 , 	56 , 	27 , 	4 , 	28 , 	16 , 	41 , 	80 , 	20 , 	34 , 	18 , 	6 , 	11 , 	10 , 	18 , 	9 , 	15 , 	8 , 	4 , 	33 , 	8 , 	59 , 	67 , 	192 , 	123 , 	50 , 	41 , 	10 , 	13 , 	9 , 	13 , 	1 , 	6 , 	4 , 	12 ," 	1,259 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	54 , 	88 , 	42 , 	50 , 	171 , 	55 , 	50 , 	22 , 	11 , 	40 , 	97 , 	171 , 	60 , 	70 , 	47 , 	24 , 	38 , 	57 , 	46 , 	26 , 	39 , 	18 , 	12 , 	39 , 	29 , 	156 , 	170 , 	501 , 	196 , 	63 , 	65 , 	25 , 	50 , 	35 , 	48 , 	5 , 	12 , 	8 , 	30 ," 	2,714 ",,,Dtwn SF," 	1,136 "," 	3,489 "," 	9,777 "," 	3,611 "," 	3,173 "," 	4,753 "," 	25,939 "
LM, 	16 , 	46 , 	32 , 	32 , 	77 , 	42 , 	43 , 	11 , 	42 , 	4 , 	75 , 	125 , 	82 , 	77 , 	28 , 	17 , 	31 , 	69 , 	17 , 	24 , 	39 , 	21 , 	41 , 	14 , 	20 , 	101 , 	89 , 	242 , 	135 , 	42 , 	47 , 	20 , 	24 , 	67 , 	32 , 	49 , 	162 , 	5 , 	18 ," 	2,057 ",,,OAK," 	3,318 ", 	570 , 	969 ," 	1,380 ", 	654 ," 	2,067 "," 	8,957 "
