Fast Pass Adjusted OD,,,1-Feb,,,,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,72,58,183,186,624,"1,146",875,"1,263","4,408"
MT,56,81,100,155,871,"1,556","1,205","2,099","6,122"
PL,228,138,89,119,874,"1,182",704,"1,835","5,169"
CC,145,168,133,77,502,833,568,"1,394","3,820"
16,546,751,996,480,47,252,217,576,"3,865"
24,902,"1,243","1,307",739,262,58,172,581,"5,264"
GP,829,"1,006",924,489,214,176,28,142,"3,809"
BP,"1,076","1,525","2,544","1,203",534,637,156,40,"7,715"
Entries,"3,853","4,969","6,277","3,448","3,928","5,840","3,926","7,932","40,172"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,12,56,39,186,243,107,194,854
MT,7,28,37,31,274,372,263,713,"1,726"
PL,55,34,78,60,689,891,473,989,"3,267"
CC,27,34,69,51,330,458,190,445,"1,604"
16,145,225,731,309,39,193,134,276,"2,051"
24,202,309,974,443,194,65,103,286,"2,575"
GP,107,184,622,177,98,92,23,49,"1,351"
BP,165,353,"1,531",386,251,285,44,33,"3,049"
Entries,725,"1,177","4,099","1,496","2,062","2,598","1,337","2,984","16,478"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,3,27,22,120,142,64,102,504
MT,5,22,16,19,148,205,161,440,"1,016"
PL,30,20,73,41,507,697,334,735,"2,436"
CC,19,18,46,66,278,361,139,319,"1,245"
16,114,130,537,256,46,130,75,151,"1,439"
24,142,176,723,322,131,58,80,183,"1,815"
GP,71,86,488,115,67,61,16,30,933
BP,133,196,"1,217",284,148,172,26,30,"2,206"
Entries,538,651,"3,126","1,123","1,445","1,825",895,"1,990","11,594"
