Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	7 , 	159 , 	109 , 	91 , 	480 , 	113 , 	164 , 	187 , 	261 , 	54 , 	126 , 	109 , 	46 , 	31 , 	49 , 	27 , 	18 , 	42 , 	36 , 	21 , 	37 , 	14 , 	11 , 	20 , 	37 , 	279 , 	337 , 	389 , 	268 , 	138 , 	169 , 	31 , 	59 , 	47 , 	30 , 	7 , 	31 , 	7 , 	33 ," 	4,074 ",,,Eastbay," 	79,315 ",,SF CBD," 	223,054 ",66.6%,,,
EN, 	176 , 	15 , 	84 , 	100 ," 	1,092 ", 	158 , 	241 , 	487 , 	691 , 	107 , 	136 , 	162 , 	72 , 	41 , 	71 , 	25 , 	36 , 	92 , 	55 , 	30 , 	44 , 	14 , 	15 , 	30 , 	38 ," 	1,176 "," 	1,354 ", 	884 , 	731 , 	143 , 	187 , 	71 , 	101 , 	157 , 	74 , 	5 , 	48 , 	9 , 	27 ," 	8,980 ",,,Westbay," 	88,797 ",,non-CBD," 	111,831 ",33.4%,,,
EP, 	93 , 	54 , 	6 , 	44 , 	690 , 	71 , 	76 , 	204 , 	301 , 	78 , 	43 , 	49 , 	18 , 	13 , 	25 , 	11 , 	13 , 	41 , 	25 , 	13 , 	22 , 	8 , 	8 , 	19 , 	8 , 	549 , 	634 , 	391 , 	302 , 	58 , 	42 , 	28 , 	35 , 	71 , 	20 , 	3 , 	20 , 	3 , 	9 ," 	4,097 ",,,Transbay," 	166,773 ",,,,,,,
NB, 	98 , 	99 , 	38 , 	7 , 	205 , 	57 , 	76 , 	180 , 	240 , 	74 , 	63 , 	67 , 	22 , 	13 , 	28 , 	8 , 	16 , 	38 , 	15 , 	17 , 	20 , 	7 , 	9 , 	18 , 	15 , 	635 , 	720 , 	404 , 	372 , 	93 , 	71 , 	28 , 	36 , 	69 , 	20 , 	5 , 	17 , 	5 , 	8 ," 	3,914 ",,,,,,,,,,,
BK, 	457 ," 	1,095 ", 	685 , 	201 , 	18 , 	464 , 	393 , 	517 , 	655 , 	288 , 	358 , 	253 , 	147 , 	144 , 	168 , 	112 , 	151 , 	277 , 	125 , 	167 , 	118 , 	58 , 	54 , 	41 , 	73 , 	748 , 	810 , 	839 , 	701 , 	231 , 	218 , 	123 , 	103 , 	186 , 	103 , 	46 , 	124 , 	45 , 	80 ," 	11,374 ",,,Extensions," 	43,517 ",,,,,,,
AS, 	105 , 	142 , 	65 , 	47 , 	399 , 	8 , 	81 , 	186 , 	247 , 	97 , 	108 , 	103 , 	49 , 	39 , 	42 , 	17 , 	25 , 	47 , 	31 , 	23 , 	26 , 	7 , 	12 , 	16 , 	38 , 	561 , 	654 , 	422 , 	390 , 	116 , 	84 , 	30 , 	43 , 	71 , 	25 , 	7 , 	30 , 	4 , 	23 ," 	4,419 ",,,,,,,,,,,
MA, 	153 , 	232 , 	70 , 	74 , 	380 , 	82 , 	10 , 	145 , 	220 , 	90 , 	168 , 	188 , 	88 , 	91 , 	101 , 	44 , 	61 , 	117 , 	107 , 	90 , 	104 , 	27 , 	36 , 	59 , 	59 , 	799 , 	947 , 	698 , 	612 , 	179 , 	133 , 	69 , 	73 , 	112 , 	56 , 	17 , 	62 , 	34 , 	109 ," 	6,695 ",,,,,,,,,,,
19, 	183 , 	515 , 	212 , 	195 , 	444 , 	194 , 	131 , 	8 , 	96 , 	51 , 	155 , 	182 , 	194 , 	174 , 	183 , 	137 , 	160 , 	288 , 	228 , 	321 , 	200 , 	98 , 	78 , 	92 , 	48 , 	760 , 	815 , 	558 , 	536 , 	148 , 	156 , 	117 , 	103 , 	171 , 	163 , 	46 , 	149 , 	114 , 	237 ," 	8,640 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	261 , 	694 , 	292 , 	240 , 	572 , 	248 , 	211 , 	90 , 	23 , 	81 , 	284 , 	415 , 	335 , 	346 , 	334 , 	219 , 	226 , 	321 , 	312 , 	383 , 	278 , 	152 , 	130 , 	172 , 	84 ," 	1,021 "," 	1,134 "," 	1,031 ", 	845 , 	206 , 	212 , 	158 , 	182 , 	221 , 	216 , 	84 , 	258 , 	130 , 	284 ," 	12,686 ",,,Dtwn SF," 	5,081 "," 	15,271 "," 	37,785 "," 	14,405 "," 	20,543 "," 	21,393 "," 	114,479 ",
LM, 	45 , 	102 , 	77 , 	78 , 	262 , 	98 , 	79 , 	50 , 	71 , 	7 , 	175 , 	203 , 	212 , 	192 , 	131 , 	88 , 	110 , 	134 , 	27 , 	27 , 	23 , 	10 , 	9 , 	36 , 	35 , 	527 , 	599 , 	466 , 	363 , 	83 , 	91 , 	38 , 	57 , 	108 , 	22 , 	51 , 	131 , 	6 , 	29 ," 	4,850 ",,,OAK," 	15,451 "," 	1,797 "," 	3,418 "," 	5,935 "," 	4,038 "," 	7,298 "," 	37,937 ",
FV, 	118 , 	135 , 	48 , 	62 , 	368 , 	106 , 	161 , 	159 , 	290 , 	160 , 	21 , 	299 , 	297 , 	254 , 	303 , 	141 , 	137 , 	174 , 	56 , 	31 , 	50 , 	24 , 	37 , 	76 , 	124 , 	742 , 	890 , 	812 , 	601 , 	206 , 	208 , 	67 , 	78 , 	141 , 	49 , 	58 , 	176 , 	12 , 	42 ," 	7,716 ",,,CM line," 	36,493 "," 	3,325 "," 	9,437 "," 	2,767 "," 	2,179 "," 	2,885 "," 	57,087 ",
CL, 	205 , 	171 , 	144 , 	63 , 	273 , 	98 , 	213 , 	185 , 	427 , 	153 , 	315 , 	22 , 	150 , 	184 , 	210 , 	97 , 	91 , 	155 , 	66 , 	53 , 	52 , 	18 , 	16 , 	65 , 	87 , 	532 , 	564 , 	480 , 	376 , 	96 , 	102 , 	50 , 	54 , 	77 , 	35 , 	40 , 	170 , 	14 , 	59 ," 	6,160 ",,,RM line," 	14,549 "," 	6,095 "," 	3,111 "," 	7,733 "," 	1,436 "," 	3,933 "," 	36,858 ",
SL, 	47 , 	72 , 	20 , 	23 , 	145 , 	56 , 	105 , 	209 , 	350 , 	213 , 	311 , 	148 , 	9 , 	101 , 	193 , 	90 , 	92 , 	150 , 	39 , 	22 , 	33 , 	6 , 	8 , 	19 , 	35 , 	648 , 	694 , 	414 , 	338 , 	61 , 	65 , 	37 , 	53 , 	89 , 	27 , 	39 , 	102 , 	7 , 	25 ," 	5,096 ",,,WP line," 	21,316 "," 	3,964 "," 	2,311 "," 	1,606 "," 	6,545 "," 	1,607 "," 	37,350 ",
BF, 	29 , 	40 , 	13 , 	15 , 	144 , 	37 , 	89 , 	189 , 	352 , 	187 , 	268 , 	180 , 	94 , 	11 , 	165 , 	121 , 	164 , 	292 , 	25 , 	16 , 	18 , 	6 , 	4 , 	13 , 	40 , 	642 , 	703 , 	398 , 	301 , 	64 , 	68 , 	31 , 	29 , 	70 , 	22 , 	45 , 	244 , 	5 , 	15 ," 	5,150 ",,,FT/ED line," 	20,766 "," 	7,253 "," 	3,082 "," 	4,328 "," 	1,571 "," 	14,175 "," 	51,174 ",
HY, 	123 , 	98 , 	31 , 	28 , 	161 , 	49 , 	111 , 	195 , 	263 , 	119 , 	338 , 	251 , 	222 , 	184 , 	12 , 	159 , 	282 , 	475 , 	38 , 	26 , 	17 , 	7 , 	7 , 	17 , 	39 , 	493 , 	459 , 	313 , 	256 , 	50 , 	44 , 	32 , 	33 , 	38 , 	21 , 	23 , 	106 , 	7 , 	29 ," 	5,156 ",,,Entries," 	113,656 "," 	37,705 "," 	59,145 "," 	36,775 "," 	36,312 "," 	51,291 "," 	334,885 ",
SH, 	24 , 	23 , 	11 , 	9 , 	107 , 	21 , 	48 , 	140 , 	211 , 	87 , 	121 , 	107 , 	83 , 	113 , 	139 , 	7 , 	105 , 	231 , 	10 , 	15 , 	15 , 	3 , 	3 , 	6 , 	19 , 	367 , 	384 , 	246 , 	200 , 	40 , 	38 , 	17 , 	19 , 	33 , 	11 , 	19 , 	62 , 	3 , 	18 ," 	3,112 ",,,,,,,,,,,
UC, 	22 , 	41 , 	13 , 	19 , 	155 , 	29 , 	62 , 	160 , 	233 , 	112 , 	160 , 	114 , 	107 , 	168 , 	308 , 	124 , 	10 , 	283 , 	22 , 	21 , 	21 , 	8 , 	7 , 	13 , 	25 , 	565 , 	546 , 	298 , 	216 , 	44 , 	39 , 	23 , 	20 , 	50 , 	15 , 	16 , 	65 , 	5 , 	24 ," 	4,162 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	43 , 	96 , 	44 , 	41 , 	298 , 	50 , 	120 , 	277 , 	314 , 	134 , 	186 , 	176 , 	164 , 	307 , 	473 , 	237 , 	275 , 	26 , 	31 , 	30 , 	29 , 	8 , 	15 , 	29 , 	25 , 	777 , 	862 , 	473 , 	320 , 	58 , 	45 , 	30 , 	31 , 	69 , 	19 , 	34 , 	102 , 	8 , 	46 ," 	6,302 ",,,Dtwn SF," 	5,081 ",,,,,,,
CN, 	58 , 	41 , 	35 , 	14 , 	133 , 	26 , 	137 , 	198 , 	320 , 	22 , 	61 , 	66 , 	46 , 	21 , 	44 , 	11 , 	29 , 	26 , 	52 , 	285 , 	433 , 	142 , 	56 , 	118 , 	11 ," 	1,036 ", 	886 , 	545 , 	379 , 	95 , 	73 , 	57 , 	38 , 	97 , 	54 , 	10 , 	18 , 	60 , 	383 ," 	6,117 ",,,OAK," 	30,721 "," 	1,797 ",,,,,,
PH, 	20 , 	34 , 	16 , 	21 , 	165 , 	24 , 	97 , 	297 , 	375 , 	23 , 	30 , 	58 , 	22 , 	15 , 	23 , 	16 , 	19 , 	30 , 	199 , 	11 , 	170 , 	61 , 	45 , 	118 , 	15 ," 	1,672 "," 	1,650 ", 	580 , 	503 , 	62 , 	65 , 	50 , 	37 , 	112 , 	56 , 	3 , 	7 , 	43 , 	179 ," 	6,923 ",,,CM line," 	74,279 "," 	6,743 "," 	9,437 ",,,,,
