Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Mar 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	8 , 	114 , 	71 , 	60 , 	290 , 	95 , 	86 , 	52 , 	95 , 	24 , 	102 , 	77 , 	20 , 	21 , 	24 , 	11 , 	10 , 	21 , 	21 , 	8 , 	15 , 	3 , 	5 , 	12 , 	22 , 	84 , 	85 , 	256 , 	109 , 	102 , 	151 , 	21 , 	39 , 	29 , 	19 , 	2 , 	15 , 	5 , 	21 ," 	2,204 ",,,Eastbay," 	37,032 ",,SF CBD," 	91,690 ",62.4%,,
EN, 	124 , 	15 , 	55 , 	72 , 	522 , 	136 , 	119 , 	101 , 	198 , 	46 , 	94 , 	104 , 	40 , 	32 , 	31 , 	17 , 	26 , 	54 , 	32 , 	16 , 	23 , 	8 , 	8 , 	19 , 	29 , 	265 , 	265 , 	645 , 	213 , 	92 , 	131 , 	33 , 	64 , 	59 , 	31 , 	6 , 	18 , 	6 , 	23 ," 	3,773 ",,,Westbay," 	41,822 ",,non-CBD," 	55,295 ",37.6%,,
EP, 	72 , 	30 , 	10 , 	19 , 	343 , 	50 , 	37 , 	35 , 	84 , 	26 , 	28 , 	33 , 	14 , 	10 , 	8 , 	4 , 	12 , 	23 , 	11 , 	9 , 	9 , 	6 , 	4 , 	13 , 	4 , 	151 , 	132 , 	331 , 	116 , 	34 , 	29 , 	16 , 	18 , 	19 , 	8 , 	4 , 	9 , 	5 , 	5 ," 	1,768 ",,,Transbay," 	68,130 ",,,,,,
NB, 	69 , 	66 , 	25 , 	5 , 	142 , 	48 , 	43 , 	50 , 	93 , 	31 , 	52 , 	35 , 	13 , 	16 , 	15 , 	6 , 	13 , 	26 , 	13 , 	9 , 	12 , 	6 , 	5 , 	10 , 	10 , 	169 , 	195 , 	405 , 	219 , 	68 , 	59 , 	22 , 	15 , 	23 , 	11 , 	4 , 	12 , 	3 , 	10 ," 	2,026 ",,,,,,,,,,
BK, 	290 , 	491 , 	360 , 	133 , 	13 , 	325 , 	214 , 	217 , 	350 , 	124 , 	225 , 	234 , 	100 , 	105 , 	99 , 	52 , 	69 , 	165 , 	41 , 	52 , 	59 , 	37 , 	29 , 	36 , 	38 , 	362 , 	372 ," 	1,030 ", 	525 , 	152 , 	135 , 	62 , 	39 , 	91 , 	44 , 	24 , 	60 , 	10 , 	30 ," 	6,796 ",,,Extensions," 	16,108 ",,,,,,
AS, 	100 , 	117 , 	52 , 	48 , 	261 , 	7 , 	80 , 	94 , 	124 , 	61 , 	103 , 	79 , 	28 , 	38 , 	23 , 	7 , 	13 , 	26 , 	15 , 	8 , 	9 , 	4 , 	4 , 	14 , 	38 , 	149 , 	163 , 	340 , 	197 , 	91 , 	66 , 	18 , 	19 , 	20 , 	11 , 	5 , 	14 , 	2 , 	13 ," 	2,460 ",,,,,,,,,,
MA, 	83 , 	116 , 	39 , 	84 , 	201 , 	85 , 	10 , 	50 , 	83 , 	41 , 	108 , 	101 , 	42 , 	52 , 	39 , 	13 , 	18 , 	72 , 	49 , 	22 , 	30 , 	11 , 	17 , 	31 , 	52 , 	239 , 	237 , 	599 , 	304 , 	116 , 	97 , 	24 , 	37 , 	25 , 	20 , 	4 , 	19 , 	6 , 	44 ," 	3,221 ",,,,,,,,,,
19, 	59 , 	102 , 	43 , 	51 , 	190 , 	95 , 	48 , 	6 , 	33 , 	21 , 	68 , 	78 , 	52 , 	52 , 	40 , 	17 , 	39 , 	44 , 	31 , 	23 , 	37 , 	18 , 	12 , 	38 , 	29 , 	136 , 	149 , 	329 , 	178 , 	74 , 	65 , 	22 , 	23 , 	36 , 	20 , 	9 , 	20 , 	5 , 	36 ," 	2,328 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	88 , 	188 , 	87 , 	80 , 	311 , 	115 , 	88 , 	33 , 	13 , 	30 , 	124 , 	170 , 	107 , 	131 , 	91 , 	37 , 	64 , 	97 , 	63 , 	49 , 	52 , 	28 , 	30 , 	64 , 	57 , 	254 , 	281 , 	756 , 	311 , 	97 , 	96 , 	45 , 	71 , 	79 , 	48 , 	12 , 	24 , 	15 , 	59 ," 	4,346 ",,,Dtwn SF," 	2,565 "," 	6,428 "," 	17,170 "," 	7,008 "," 	6,234 "," 	8,778 "," 	48,183 "
LM, 	23 , 	44 , 	30 , 	34 , 	106 , 	62 , 	40 , 	18 , 	28 , 	6 , 	102 , 	92 , 	99 , 	108 , 	43 , 	25 , 	43 , 	55 , 	8 , 	7 , 	11 , 	4 , 	4 , 	14 , 	20 , 	144 , 	167 , 	451 , 	170 , 	67 , 	61 , 	17 , 	34 , 	21 , 	9 , 	35 , 	46 , 	2 , 	9 ," 	2,261 ",,,OAK," 	6,027 ", 	838 ," 	1,401 "," 	2,460 ", 	873 ," 	2,664 "," 	14,263 "
FV, 	88 , 	100 , 	39 , 	46 , 	215 , 	110 , 	107 , 	74 , 	142 , 	97 , 	13 , 	196 , 	161 , 	221 , 	187 , 	62 , 	79 , 	90 , 	43 , 	17 , 	28 , 	16 , 	23 , 	34 , 	90 , 	245 , 	259 , 	692 , 	272 , 	142 , 	199 , 	33 , 	51 , 	49 , 	25 , 	36 , 	102 , 	4 , 	28 ," 	4,415 ",,,CM line," 	16,194 "," 	1,454 "," 	5,892 "," 	1,758 "," 	1,176 "," 	1,815 "," 	28,289 "
CL, 	159 , 	77 , 	23 , 	24 , 	272 , 	58 , 	80 , 	68 , 	177 , 	58 , 	292 , 	75 , 	75 , 	144 , 	95 , 	47 , 	42 , 	92 , 	23 , 	24 , 	21 , 	11 , 	7 , 	15 , 	53 , 	288 , 	183 , 	313 , 	155 , 	59 , 	72 , 	26 , 	25 , 	42 , 	16 , 	21 , 	95 , 	9 , 	47 ," 	3,360 ",,,RM line," 	6,776 "," 	2,526 "," 	1,843 "," 	4,635 ", 	718 ," 	2,531 "," 	19,028 "
