Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	9 , 	120 , 	65 , 	55 , 	309 , 	92 , 	94 , 	52 , 	99 , 	28 , 	100 , 	103 , 	24 , 	29 , 	24 , 	15 , 	10 , 	25 , 	21 , 	9 , 	13 , 	6 , 	6 , 	13 , 	22 , 	80 , 	98 , 	245 , 	111 , 	92 , 	158 , 	18 , 	36 , 	28 , 	26 , 	3 , 	14 , 	5 , 	25 ," 	2,285 ",,,Eastbay," 	38,128 ",,SF CBD," 	88,088 ",61.2%,,
EN, 	110 , 	17 , 	53 , 	73 , 	548 , 	121 , 	113 , 	94 , 	192 , 	43 , 	93 , 	147 , 	45 , 	29 , 	36 , 	17 , 	16 , 	57 , 	27 , 	17 , 	22 , 	7 , 	9 , 	14 , 	26 , 	257 , 	229 , 	612 , 	211 , 	83 , 	144 , 	34 , 	51 , 	42 , 	46 , 	6 , 	12 , 	7 , 	22 ," 	3,682 ",,,Westbay," 	41,029 ",,non-CBD," 	55,866 ",38.8%,,
EP, 	68 , 	28 , 	8 , 	20 , 	351 , 	35 , 	35 , 	24 , 	73 , 	20 , 	30 , 	48 , 	10 , 	9 , 	9 , 	4 , 	12 , 	23 , 	4 , 	7 , 	12 , 	6 , 	3 , 	13 , 	5 , 	139 , 	103 , 	284 , 	88 , 	36 , 	26 , 	14 , 	7 , 	11 , 	13 , 	8 , 	5 , 	7 , 	7 ," 	1,603 ",,,Transbay," 	64,797 ",,,,,,
NB, 	75 , 	69 , 	35 , 	6 , 	151 , 	46 , 	39 , 	45 , 	94 , 	33 , 	48 , 	73 , 	10 , 	13 , 	12 , 	4 , 	8 , 	20 , 	11 , 	9 , 	13 , 	4 , 	9 , 	10 , 	12 , 	188 , 	154 , 	359 , 	185 , 	82 , 	61 , 	19 , 	10 , 	12 , 	15 , 	3 , 	8 , 	1 , 	9 ," 	1,955 ",,,,,,,,,,
BK, 	241 , 	444 , 	344 , 	144 , 	15 , 	254 , 	186 , 	179 , 	269 , 	108 , 	653 , 	165 , 	80 , 	96 , 	71 , 	32 , 	66 , 	175 , 	33 , 	55 , 	55 , 	25 , 	21 , 	29 , 	34 , 	759 , 	329 , 	870 , 	343 , 	107 , 	98 , 	56 , 	48 , 	82 , 	43 , 	19 , 	65 , 	12 , 	31 ," 	6,641 ",,,Extensions," 	16,819 ",,,,,,
AS, 	80 , 	124 , 	57 , 	41 , 	230 , 	5 , 	75 , 	80 , 	120 , 	61 , 	95 , 	91 , 	23 , 	30 , 	19 , 	8 , 	14 , 	22 , 	8 , 	9 , 	14 , 	4 , 	6 , 	14 , 	30 , 	149 , 	135 , 	305 , 	178 , 	91 , 	70 , 	15 , 	17 , 	13 , 	15 , 	3 , 	9 , 	2 , 	11 ," 	2,273 ",,,,,,,,,,
MA, 	73 , 	111 , 	31 , 	37 , 	210 , 	70 , 	8 , 	45 , 	85 , 	29 , 	86 , 	135 , 	38 , 	57 , 	39 , 	13 , 	15 , 	35 , 	44 , 	17 , 	31 , 	13 , 	10 , 	31 , 	41 , 	223 , 	228 , 	529 , 	256 , 	109 , 	89 , 	28 , 	21 , 	26 , 	22 , 	6 , 	13 , 	8 , 	41 ," 	2,903 ",,,,,,,,,,
19, 	56 , 	80 , 	28 , 	41 , 	201 , 	76 , 	41 , 	5 , 	30 , 	19 , 	60 , 	78 , 	34 , 	52 , 	29 , 	22 , 	35 , 	40 , 	28 , 	23 , 	29 , 	12 , 	5 , 	36 , 	23 , 	117 , 	128 , 	310 , 	167 , 	56 , 	60 , 	19 , 	17 , 	23 , 	18 , 	5 , 	16 , 	4 , 	24 ," 	2,047 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	98 , 	168 , 	89 , 	76 , 	303 , 	122 , 	88 , 	31 , 	18 , 	27 , 	136 , 	163 , 	117 , 	110 , 	87 , 	28 , 	55 , 	117 , 	78 , 	59 , 	59 , 	28 , 	31 , 	73 , 	53 , 	252 , 	299 , 	723 , 	281 , 	89 , 	94 , 	49 , 	70 , 	70 , 	74 , 	14 , 	37 , 	23 , 	66 ," 	4,356 ",,,Dtwn SF," 	2,701 "," 	6,116 "," 	16,712 "," 	6,502 "," 	5,878 "," 	8,310 "," 	46,219 "
LM, 	27 , 	37 , 	28 , 	35 , 	114 , 	54 , 	35 , 	12 , 	22 , 	8 , 	102 , 	124 , 	92 , 	113 , 	45 , 	21 , 	53 , 	57 , 	9 , 	4 , 	11 , 	4 , 	4 , 	10 , 	36 , 	134 , 	167 , 	451 , 	151 , 	65 , 	64 , 	18 , 	23 , 	24 , 	19 , 	32 , 	53 , 	1 , 	6 ," 	2,263 ",,,OAK," 	5,656 ", 	773 ," 	1,319 "," 	2,319 ", 	867 ," 	2,623 "," 	13,556 "
