Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	10 , 	165 , 	105 , 	106 , 	477 , 	122 , 	166 , 	177 , 	262 , 	55 , 	140 , 	125 , 	43 , 	30 , 	45 , 	28 , 	20 , 	42 , 	31 , 	21 , 	35 , 	15 , 	15 , 	17 , 	36 , 	310 , 	371 , 	383 , 	277 , 	155 , 	185 , 	36 , 	52 , 	47 , 	32 , 	9 , 	32 , 	7 , 	30 ," 	4,214 ",,,Eastbay," 	77,651 ",,SF CBD," 	224,564 ",67.3%,,,
EN, 	179 , 	13 , 	85 , 	98 ," 	1,035 ", 	163 , 	235 , 	471 , 	698 , 	97 , 	138 , 	184 , 	71 , 	43 , 	70 , 	26 , 	36 , 	88 , 	55 , 	30 , 	46 , 	14 , 	14 , 	32 , 	44 ," 	1,173 "," 	1,335 ", 	887 , 	722 , 	156 , 	192 , 	74 , 	92 , 	126 , 	68 , 	6 , 	49 , 	7 , 	25 ," 	8,875 ",,,Westbay," 	90,305 ",,non-CBD," 	109,230 ",32.7%,,,
EP, 	91 , 	35 , 	11 , 	31 , 	625 , 	56 , 	104 , 	142 , 	303 , 	52 , 	48 , 	52 , 	25 , 	10 , 	26 , 	9 , 	19 , 	31 , 	16 , 	18 , 	20 , 	9 , 	7 , 	18 , 	6 , 	672 , 	481 , 	426 , 	228 , 	56 , 	34 , 	29 , 	26 , 	50 , 	17 , 	8 , 	20 , 	5 , 	12 ," 	3,832 ",,,Transbay," 	165,838 ",,,,,,,
NB, 	111 , 	86 , 	38 , 	5 , 	195 , 	54 , 	73 , 	159 , 	240 , 	68 , 	55 , 	82 , 	19 , 	13 , 	25 , 	8 , 	13 , 	38 , 	15 , 	17 , 	21 , 	7 , 	9 , 	18 , 	13 , 	618 , 	664 , 	377 , 	359 , 	90 , 	64 , 	27 , 	28 , 	52 , 	21 , 	3 , 	18 , 	5 , 	8 ," 	3,714 ",,,,,,,,,,,
BK, 	359 , 	871 , 	582 , 	175 , 	14 , 	388 , 	285 , 	418 , 	552 , 	211 , 	650 , 	274 , 	130 , 	133 , 	148 , 	88 , 	127 , 	213 , 	89 , 	128 , 	91 , 	47 , 	44 , 	30 , 	52 ," 	1,308 ", 	770 , 	718 , 	633 , 	192 , 	194 , 	107 , 	87 , 	139 , 	95 , 	32 , 	102 , 	35 , 	67 ," 	10,575 ",,,Extensions," 	44,024 ",,,,,,,
AS, 	109 , 	147 , 	71 , 	51 , 	352 , 	6 , 	75 , 	179 , 	233 , 	77 , 	115 , 	125 , 	47 , 	39 , 	38 , 	20 , 	26 , 	47 , 	30 , 	24 , 	25 , 	8 , 	12 , 	14 , 	37 , 	575 , 	621 , 	391 , 	372 , 	109 , 	86 , 	26 , 	33 , 	59 , 	26 , 	6 , 	30 , 	4 , 	20 ," 	4,268 ",,,,,,,,,,,
MA, 	154 , 	223 , 	70 , 	65 , 	344 , 	80 , 	10 , 	138 , 	216 , 	73 , 	155 , 	202 , 	91 , 	85 , 	84 , 	35 , 	57 , 	109 , 	101 , 	85 , 	95 , 	29 , 	31 , 	50 , 	54 , 	819 , 	905 , 	633 , 	575 , 	167 , 	137 , 	65 , 	64 , 	89 , 	54 , 	17 , 	52 , 	34 , 	107 ," 	6,351 ",,,,,,,,,,,
19, 	177 , 	477 , 	192 , 	171 , 	432 , 	190 , 	122 , 	9 , 	88 , 	44 , 	139 , 	184 , 	175 , 	171 , 	169 , 	140 , 	155 , 	270 , 	215 , 	302 , 	204 , 	105 , 	79 , 	97 , 	41 , 	749 , 	773 , 	528 , 	556 , 	152 , 	161 , 	111 , 	97 , 	157 , 	153 , 	47 , 	156 , 	114 , 	227 ," 	8,330 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	260 , 	697 , 	314 , 	252 , 	583 , 	230 , 	209 , 	88 , 	22 , 	67 , 	288 , 	405 , 	335 , 	336 , 	319 , 	218 , 	240 , 	314 , 	314 , 	396 , 	285 , 	161 , 	136 , 	167 , 	89 , 	978 ," 	1,065 ", 	981 , 	817 , 	209 , 	216 , 	158 , 	161 , 	208 , 	216 , 	82 , 	227 , 	124 , 	284 ," 	12,450 ",,,Dtwn SF," 	6,976 "," 	15,424 "," 	38,270 "," 	13,646 "," 	20,383 "," 	21,787 "," 	116,486 ",
LM, 	42 , 	94 , 	69 , 	75 , 	209 , 	79 , 	63 , 	44 , 	57 , 	7 , 	150 , 	198 , 	190 , 	176 , 	127 , 	89 , 	106 , 	146 , 	28 , 	23 , 	21 , 	9 , 	9 , 	27 , 	27 , 	521 , 	599 , 	467 , 	367 , 	86 , 	83 , 	31 , 	49 , 	90 , 	20 , 	50 , 	147 , 	11 , 	29 ," 	4,614 ",,,OAK," 	15,053 "," 	1,658 "," 	3,258 "," 	5,701 "," 	3,999 "," 	7,061 "," 	36,729 ",
