Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	10 , 	122 , 	73 , 	65 , 	305 , 	117 , 	89 , 	58 , 	86 , 	30 , 	98 , 	106 , 	24 , 	26 , 	19 , 	14 , 	9 , 	23 , 	21 , 	11 , 	16 , 	3 , 	6 , 	16 , 	26 , 	90 , 	88 , 	247 , 	119 , 	120 , 	151 , 	21 , 	37 , 	28 , 	28 , 	5 , 	11 , 	5 , 	22 ," 	2,344 ",,,Eastbay," 	39,416 ",,SF CBD," 	90,118 ",60.9%,,
EN, 	142 , 	12 , 	62 , 	78 , 	445 , 	132 , 	118 , 	86 , 	187 , 	38 , 	98 , 	194 , 	35 , 	32 , 	32 , 	16 , 	24 , 	40 , 	26 , 	13 , 	16 , 	5 , 	8 , 	20 , 	31 , 	280 , 	223 , 	661 , 	222 , 	83 , 	129 , 	36 , 	64 , 	57 , 	37 , 	9 , 	16 , 	4 , 	24 ," 	3,735 ",,,Westbay," 	41,667 ",,non-CBD," 	57,779 ",39.1%,,
EP, 	75 , 	41 , 	10 , 	22 , 	283 , 	52 , 	42 , 	25 , 	72 , 	20 , 	56 , 	55 , 	13 , 	8 , 	9 , 	4 , 	12 , 	15 , 	7 , 	12 , 	11 , 	7 , 	5 , 	11 , 	5 , 	134 , 	122 , 	292 , 	113 , 	39 , 	21 , 	14 , 	10 , 	16 , 	13 , 	5 , 	15 , 	5 , 	9 ," 	1,679 ",,,Transbay," 	66,815 ",,,,,,
NB, 	77 , 	68 , 	27 , 	6 , 	107 , 	50 , 	48 , 	45 , 	68 , 	26 , 	50 , 	93 , 	12 , 	11 , 	13 , 	4 , 	7 , 	24 , 	8 , 	9 , 	12 , 	5 , 	5 , 	9 , 	12 , 	188 , 	163 , 	340 , 	214 , 	77 , 	58 , 	14 , 	12 , 	10 , 	13 , 	4 , 	10 , 	2 , 	7 ," 	1,907 ",,,,,,,,,,
BK, 	248 , 	457 , 	328 , 	108 , 	15 , 	300 , 	155 , 	186 , 	264 , 	104 , 	168 , 	146 , 	54 , 	56 , 	53 , 	21 , 	50 , 	98 , 	28 , 	36 , 	48 , 	22 , 	23 , 	26 , 	37 , 	333 , 	312 , 	816 , 	374 , 	125 , 	99 , 	44 , 	46 , 	43 , 	40 , 	12 , 	47 , 	7 , 	21 ," 	5,349 ",,,Extensions," 	18,567 ",,,,,,
AS, 	106 , 	121 , 	52 , 	47 , 	223 , 	4 , 	79 , 	82 , 	112 , 	52 , 	90 , 	119 , 	25 , 	38 , 	23 , 	10 , 	11 , 	27 , 	13 , 	9 , 	15 , 	6 , 	7 , 	9 , 	27 , 	154 , 	134 , 	312 , 	201 , 	96 , 	67 , 	18 , 	17 , 	15 , 	14 , 	7 , 	13 , 	2 , 	13 ," 	2,369 ",,,,,,,,,,
MA, 	84 , 	107 , 	40 , 	46 , 	177 , 	81 , 	10 , 	42 , 	83 , 	29 , 	82 , 	152 , 	39 , 	48 , 	39 , 	13 , 	15 , 	40 , 	49 , 	21 , 	37 , 	11 , 	12 , 	32 , 	37 , 	249 , 	237 , 	574 , 	321 , 	152 , 	87 , 	28 , 	32 , 	22 , 	23 , 	8 , 	21 , 	6 , 	42 ," 	3,128 ",,,,,,,,,,
19, 	55 , 	78 , 	30 , 	47 , 	174 , 	81 , 	44 , 	7 , 	32 , 	14 , 	57 , 	75 , 	37 , 	39 , 	32 , 	18 , 	28 , 	45 , 	32 , 	29 , 	38 , 	23 , 	20 , 	36 , 	21 , 	132 , 	125 , 	282 , 	191 , 	62 , 	60 , 	22 , 	20 , 	27 , 	19 , 	7 , 	18 , 	8 , 	39 ," 	2,103 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	85 , 	159 , 	82 , 	72 , 	269 , 	109 , 	84 , 	30 , 	11 , 	25 , 	148 , 	176 , 	103 , 	108 , 	77 , 	39 , 	56 , 	101 , 	66 , 	49 , 	54 , 	27 , 	23 , 	54 , 	58 , 	244 , 	261 , 	676 , 	278 , 	84 , 	80 , 	39 , 	58 , 	52 , 	61 , 	32 , 	27 , 	12 , 	58 ," 	4,027 ",,,Dtwn SF," 	2,239 "," 	6,343 "," 	17,511 "," 	6,271 "," 	6,101 "," 	8,665 "," 	47,130 "
LM, 	26 , 	31 , 	23 , 	25 , 	83 , 	45 , 	32 , 	14 , 	22 , 	5 , 	92 , 	131 , 	95 , 	102 , 	45 , 	30 , 	45 , 	60 , 	8 , 	4 , 	9 , 	6 , 	6 , 	11 , 	20 , 	160 , 	163 , 	447 , 	173 , 	67 , 	70 , 	18 , 	27 , 	18 , 	11 , 	30 , 	48 , 	1 , 	6 ," 	2,208 ",,,OAK," 	5,835 ", 	742 ," 	1,350 "," 	2,152 ", 	867 ," 	2,610 "," 	13,555 "
FV, 	101 , 	119 , 	41 , 	47 , 	184 , 	91 , 	91 , 	71 , 	146 , 	82 , 	15 , 	278 , 	159 , 	234 , 	196 , 	73 , 	75 , 	111 , 	37 , 	17 , 	35 , 	19 , 	25 , 	27 , 	90 , 	252 , 	248 , 	677 , 	289 , 	150 , 	187 , 	42 , 	48 , 	47 , 	30 , 	41 , 	107 , 	6 , 	29 ," 	4,515 ",,,CM line," 	16,071 "," 	1,483 "," 	5,846 "," 	1,732 "," 	1,252 "," 	1,965 "," 	28,349 "
CL, 	428 , 	138 , 	76 , 	61 , 	223 , 	79 , 	123 , 	61 , 	192 , 	82 , 	607 , 	8 , 	154 , 	176 , 	154 , 	86 , 	164 , 	235 , 	65 , 	88 , 	67 , 	50 , 	58 , 	55 , 	41 , 	618 , 	105 , 	333 , 	155 , 	69 , 	81 , 	39 , 	29 , 	65 , 	26 , 	95 , 	381 , 	23 , 	78 ," 	5,567 ",,,RM line," 	6,132 "," 	2,210 "," 	1,710 "," 	4,390 ", 	621 ," 	2,321 "," 	17,383 "
SL, 	20 , 	42 , 	14 , 	13 , 	72 , 	29 , 	36 , 	44 , 	122 , 	112 , 	169 , 	196 , 	7 , 	110 , 	97 , 	36 , 	34 , 	71 , 	12 , 	9 , 	10 , 	3 , 	2 , 	9 , 	20 , 	158 , 	114 , 	345 , 	132 , 	45 , 	46 , 	16 , 	23 , 	23 , 	20 , 	24 , 	59 , 	2 , 	15 ," 	2,311 ",,,WP line," 	6,237 ", 	918 ," 	1,225 ", 	742 ," 	3,413 "," 	1,317 "," 	13,852 "
BF, 	27 , 	39 , 	11 , 	11 , 	56 , 	33 , 	53 , 	52 , 	115 , 	90 , 	258 , 	286 , 	116 , 	8 , 	133 , 	79 , 	95 , 	116 , 	16 , 	6 , 	7 , 	6 , 	2 , 	8 , 	31 , 	161 , 	120 , 	293 , 	110 , 	23 , 	42 , 	12 , 	20 , 	23 , 	14 , 	39 , 	126 , 	2 , 	12 ," 	2,653 ",,,FT/ED line," 	8,714 "," 	2,647 "," 	1,801 "," 	2,790 "," 	1,124 "," 	10,552 "," 	27,629 "
HY, 	26 , 	34 , 	8 , 	14 , 	67 , 	27 , 	50 , 	42 , 	87 , 	41 , 	194 , 	205 , 	119 , 	151 , 	10 , 	117 , 	117 , 	169 , 	17 , 	10 , 	11 , 	1 , 	5 , 	6 , 	25 , 	106 , 	74 , 	179 , 	77 , 	21 , 	36 , 	11 , 	15 , 	16 , 	17 , 	21 , 	70 , 	2 , 	21 ," 	2,221 ",,,Entries," 	45,227 "," 	14,342 "," 	29,443 "," 	18,076 "," 	13,379 "," 	27,430 "," 	147,897 "
