Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	8 , 	106 , 	49 , 	47 , 	200 , 	95 , 	74 , 	37 , 	76 , 	28 , 	79 , 	113 , 	17 , 	19 , 	22 , 	12 , 	9 , 	22 , 	23 , 	5 , 	12 , 	6 , 	3 , 	10 , 	28 , 	76 , 	71 , 	193 , 	129 , 	91 , 	99 , 	18 , 	31 , 	20 , 	24 , 	2 , 	6 , 	2 , 	18 ," 	1,877 ",,,Eastbay," 	29,786 ",,SF CBD," 	75,444 ",63.7%,,
EN, 	96 , 	14 , 	34 , 	45 , 	274 , 	103 , 	77 , 	42 , 	108 , 	35 , 	61 , 	204 , 	17 , 	21 , 	19 , 	8 , 	12 , 	34 , 	12 , 	7 , 	8 , 	6 , 	4 , 	10 , 	16 , 	182 , 	128 , 	411 , 	283 , 	47 , 	75 , 	30 , 	32 , 	29 , 	28 , 	4 , 	9 , 	2 , 	13 ," 	2,535 ",,,Westbay," 	34,631 ",,non-CBD," 	43,053 ",36.3%,,
EP, 	49 , 	17 , 	8 , 	18 , 	203 , 	34 , 	35 , 	16 , 	41 , 	12 , 	45 , 	101 , 	11 , 	8 , 	7 , 	4 , 	15 , 	18 , 	6 , 	6 , 	10 , 	5 , 	3 , 	11 , 	2 , 	107 , 	74 , 	221 , 	157 , 	27 , 	15 , 	10 , 	6 , 	10 , 	14 , 	8 , 	8 , 	3 , 	5 ," 	1,348 ",,,Transbay," 	54,079 ",,,,,,
NB, 	48 , 	47 , 	20 , 	7 , 	67 , 	45 , 	29 , 	24 , 	49 , 	18 , 	26 , 	126 , 	10 , 	8 , 	9 , 	4 , 	6 , 	21 , 	16 , 	7 , 	12 , 	6 , 	4 , 	7 , 	6 , 	143 , 	109 , 	281 , 	285 , 	53 , 	43 , 	11 , 	7 , 	12 , 	16 , 	1 , 	7 , 	2 , 	6 ," 	1,593 ",,,,,,,,,,
BK, 	161 , 	260 , 	191 , 	65 , 	8 , 	186 , 	81 , 	108 , 	155 , 	60 , 	96 , 	190 , 	31 , 	25 , 	34 , 	14 , 	37 , 	90 , 	17 , 	16 , 	27 , 	13 , 	13 , 	13 , 	30 , 	205 , 	221 , 	585 , 	396 , 	78 , 	63 , 	25 , 	19 , 	31 , 	47 , 	13 , 	28 , 	2 , 	12 ," 	3,644 ",,,Extensions," 	14,812 ",,,,,,
AS, 	79 , 	84 , 	46 , 	44 , 	150 , 	7 , 	71 , 	58 , 	82 , 	37 , 	89 , 	121 , 	23 , 	25 , 	15 , 	9 , 	10 , 	26 , 	12 , 	6 , 	7 , 	3 , 	5 , 	11 , 	27 , 	109 , 	105 , 	253 , 	264 , 	64 , 	56 , 	14 , 	12 , 	14 , 	12 , 	5 , 	14 , 	2 , 	13 ," 	1,978 ",,,,,,,,,,
MA, 	62 , 	69 , 	28 , 	27 , 	124 , 	68 , 	8 , 	26 , 	55 , 	14 , 	67 , 	171 , 	22 , 	37 , 	29 , 	11 , 	10 , 	29 , 	23 , 	11 , 	15 , 	10 , 	9 , 	22 , 	24 , 	187 , 	142 , 	401 , 	458 , 	91 , 	70 , 	17 , 	17 , 	18 , 	27 , 	4 , 	13 , 	5 , 	33 ," 	2,452 ",,,,,,,,,,
19, 	32 , 	31 , 	20 , 	27 , 	106 , 	47 , 	26 , 	6 , 	20 , 	13 , 	33 , 	79 , 	18 , 	19 , 	17 , 	6 , 	12 , 	24 , 	19 , 	9 , 	17 , 	14 , 	7 , 	25 , 	12 , 	90 , 	82 , 	213 , 	234 , 	59 , 	46 , 	17 , 	12 , 	12 , 	14 , 	3 , 	8 , 	4 , 	20 ," 	1,447 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	66 , 	80 , 	43 , 	50 , 	151 , 	69 , 	46 , 	20 , 	12 , 	23 , 	108 , 	153 , 	66 , 	76 , 	51 , 	20 , 	56 , 	66 , 	41 , 	28 , 	37 , 	21 , 	11 , 	37 , 	36 , 	190 , 	201 , 	564 , 	290 , 	58 , 	62 , 	24 , 	41 , 	36 , 	53 , 	4 , 	11 , 	12 , 	36 ," 	2,949 ",,,Dtwn SF," 	2,071 "," 	5,279 "," 	14,704 "," 	5,096 "," 	5,005 "," 	7,317 "," 	39,471 "
LM, 	19 , 	28 , 	19 , 	20 , 	59 , 	40 , 	18 , 	10 , 	23 , 	5 , 	76 , 	123 , 	69 , 	69 , 	27 , 	17 , 	32 , 	45 , 	8 , 	4 , 	5 , 	2 , 	2 , 	8 , 	20 , 	112 , 	132 , 	357 , 	241 , 	59 , 	45 , 	19 , 	20 , 	13 , 	12 , 	19 , 	35 , 	1 , 	3 ," 	1,807 ",,,OAK," 	4,853 ", 	498 , 	972 ," 	1,381 ", 	524 ," 	1,919 "," 	10,147 "
