Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	19 , 	131 , 	78 , 	79 , 	338 , 	127 , 	99 , 	57 , 	116 , 	29 , 	109 , 	125 , 	24 , 	31 , 	31 , 	16 , 	9 , 	28 , 	37 , 	14 , 	14 , 	7 , 	6 , 	18 , 	27 , 	109 , 	102 , 	298 , 	118 , 	106 , 	172 , 	24 , 	47 , 	30 , 	19 , 	4 , 	17 , 	6 , 	23 ," 	2,642 ",,,Eastbay," 	44,834 ",,SF CBD," 	85,702 ",58.1%,,
EN, 	114 , 	24 , 	59 , 	74 , 	490 , 	128 , 	118 , 	88 , 	203 , 	53 , 	100 , 	284 , 	34 , 	30 , 	34 , 	16 , 	25 , 	45 , 	26 , 	16 , 	23 , 	5 , 	8 , 	20 , 	30 , 	237 , 	249 , 	668 , 	206 , 	87 , 	132 , 	35 , 	58 , 	51 , 	42 , 	2 , 	17 , 	6 , 	21 ," 	3,852 ",,,Westbay," 	38,364 ",,non-CBD," 	61,725 ",41.9%,,
EP, 	75 , 	45 , 	11 , 	27 , 	319 , 	58 , 	38 , 	36 , 	110 , 	27 , 	29 , 	138 , 	13 , 	11 , 	8 , 	6 , 	9 , 	27 , 	11 , 	6 , 	10 , 	4 , 	5 , 	14 , 	7 , 	133 , 	120 , 	299 , 	87 , 	34 , 	26 , 	10 , 	12 , 	14 , 	15 , 	2 , 	9 , 	1 , 	7 ," 	1,809 ",,,Transbay," 	64,230 ",,,,,,
NB, 	70 , 	65 , 	25 , 	12 , 	110 , 	55 , 	39 , 	40 , 	84 , 	28 , 	35 , 	135 , 	12 , 	16 , 	13 , 	6 , 	3 , 	17 , 	11 , 	9 , 	17 , 	5 , 	4 , 	7 , 	10 , 	164 , 	173 , 	345 , 	144 , 	56 , 	40 , 	17 , 	10 , 	11 , 	11 , 	3 , 	8 , 	2 , 	11 ," 	1,822 ",,,,,,,,,,
BK, 	288 , 	462 , 	340 , 	122 , 	36 , 	315 , 	194 , 	202 , 	343 , 	102 , 	189 , 	250 , 	69 , 	54 , 	58 , 	23 , 	50 , 	162 , 	60 , 	52 , 	51 , 	27 , 	31 , 	29 , 	34 , 	440 , 	369 ," 	1,101 ", 	443 , 	125 , 	107 , 	45 , 	31 , 	63 , 	56 , 	19 , 	48 , 	13 , 	25 ," 	6,424 ",,,Extensions," 	17,356 ",,,,,,
AS, 	95 , 	127 , 	55 , 	43 , 	232 , 	10 , 	84 , 	78 , 	135 , 	57 , 	89 , 	148 , 	29 , 	32 , 	26 , 	12 , 	16 , 	27 , 	16 , 	11 , 	15 , 	6 , 	5 , 	10 , 	29 , 	138 , 	135 , 	337 , 	161 , 	75 , 	63 , 	18 , 	14 , 	18 , 	13 , 	8 , 	15 , 	2 , 	13 ," 	2,396 ",,,,,,,,,,
MA, 	88 , 	113 , 	37 , 	38 , 	171 , 	69 , 	15 , 	43 , 	92 , 	33 , 	86 , 	210 , 	32 , 	44 , 	36 , 	14 , 	14 , 	31 , 	54 , 	31 , 	32 , 	10 , 	9 , 	21 , 	41 , 	223 , 	244 , 	557 , 	247 , 	100 , 	83 , 	22 , 	30 , 	22 , 	21 , 	5 , 	16 , 	7 , 	45 ," 	2,982 ",,,,,,,,,,
19, 	53 , 	82 , 	36 , 	42 , 	165 , 	81 , 	39 , 	12 , 	36 , 	17 , 	68 , 	94 , 	37 , 	38 , 	33 , 	16 , 	29 , 	40 , 	22 , 	21 , 	36 , 	15 , 	12 , 	31 , 	26 , 	108 , 	116 , 	286 , 	164 , 	55 , 	57 , 	15 , 	14 , 	17 , 	22 , 	7 , 	17 , 	4 , 	31 ," 	1,993 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	95 , 	183 , 	121 , 	95 , 	274 , 	120 , 	92 , 	32 , 	15 , 	31 , 	167 , 	220 , 	112 , 	144 , 	87 , 	48 , 	87 , 	152 , 	82 , 	52 , 	63 , 	33 , 	36 , 	71 , 	49 , 	253 , 	265 , 	696 , 	250 , 	68 , 	83 , 	36 , 	57 , 	54 , 	57 , 	12 , 	38 , 	10 , 	59 ," 	4,399 ",,,Dtwn SF," 	2,594 "," 	5,851 "," 	15,704 "," 	6,699 "," 	5,615 "," 	8,223 "," 	44,687 "
LM, 	29 , 	48 , 	18 , 	25 , 	109 , 	51 , 	32 , 	15 , 	36 , 	19 , 	104 , 	184 , 	110 , 	118 , 	48 , 	29 , 	68 , 	79 , 	13 , 	6 , 	10 , 	3 , 	7 , 	8 , 	26 , 	171 , 	159 , 	434 , 	156 , 	50 , 	58 , 	17 , 	27 , 	19 , 	13 , 	34 , 	58 , 	1 , 	10 ," 	2,396 ",,,OAK," 	5,541 ", 	875 ," 	1,185 "," 	2,342 ", 	923 ," 	3,138 "," 	14,003 "
