Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	83 , 	52 , 	41 , 	218 , 	84 , 	71 , 	33 , 	73 , 	29 , 	76 , 	111 , 	16 , 	24 , 	26 , 	14 , 	11 , 	17 , 	23 , 	3 , 	12 , 	3 , 	2 , 	13 , 	19 , 	83 , 	64 , 	200 , 	95 , 	95 , 	120 , 	18 , 	32 , 	14 , 	29 , 	4 , 	9 , 	2 , 	19 ," 	1,844 ",,,Eastbay," 	29,842 ",,SF CBD," 	65,134 ",60.1%,,
EN, 	91 , 	13 , 	40 , 	50 , 	323 , 	91 , 	77 , 	39 , 	119 , 	32 , 	63 , 	221 , 	23 , 	22 , 	19 , 	9 , 	15 , 	41 , 	14 , 	8 , 	14 , 	4 , 	5 , 	12 , 	13 , 	201 , 	138 , 	384 , 	148 , 	44 , 	73 , 	22 , 	39 , 	33 , 	37 , 	4 , 	6 , 	2 , 	14 ," 	2,498 ",,,Westbay," 	28,415 ",,non-CBD," 	43,297 ",39.9%,,
EP, 	48 , 	32 , 	4 , 	14 , 	212 , 	50 , 	22 , 	20 , 	51 , 	13 , 	22 , 	121 , 	11 , 	8 , 	9 , 	3 , 	9 , 	20 , 	12 , 	4 , 	10 , 	3 , 	4 , 	11 , 	3 , 	122 , 	87 , 	196 , 	76 , 	18 , 	19 , 	10 , 	7 , 	8 , 	17 , 	2 , 	5 , 	1 , 	7 ," 	1,287 ",,,Transbay," 	50,174 ",,,,,,
NB, 	40 , 	40 , 	15 , 	6 , 	83 , 	34 , 	26 , 	29 , 	65 , 	20 , 	30 , 	121 , 	7 , 	8 , 	11 , 	2 , 	6 , 	20 , 	11 , 	7 , 	9 , 	4 , 	3 , 	6 , 	8 , 	131 , 	113 , 	233 , 	116 , 	40 , 	43 , 	12 , 	6 , 	7 , 	19 , 	2 , 	7 , 	1 , 	4 ," 	1,341 ",,,,,,,,,,
BK, 	191 , 	300 , 	228 , 	76 , 	16 , 	192 , 	131 , 	127 , 	242 , 	60 , 	124 , 	234 , 	46 , 	37 , 	32 , 	17 , 	45 , 	167 , 	39 , 	28 , 	31 , 	22 , 	21 , 	18 , 	24 , 	297 , 	266 , 	781 , 	304 , 	101 , 	84 , 	39 , 	31 , 	45 , 	57 , 	13 , 	32 , 	8 , 	16 ," 	4,517 ",,,Extensions," 	13,631 ",,,,,,
AS, 	79 , 	95 , 	47 , 	28 , 	161 , 	5 , 	65 , 	46 , 	94 , 	42 , 	75 , 	117 , 	22 , 	23 , 	18 , 	7 , 	11 , 	29 , 	9 , 	5 , 	9 , 	5 , 	5 , 	10 , 	23 , 	123 , 	99 , 	250 , 	135 , 	68 , 	59 , 	15 , 	12 , 	11 , 	12 , 	3 , 	11 , 	2 , 	10 ," 	1,836 ",,,,,,,,,,
MA, 	57 , 	71 , 	22 , 	24 , 	122 , 	67 , 	7 , 	26 , 	58 , 	20 , 	71 , 	148 , 	27 , 	25 , 	23 , 	8 , 	10 , 	29 , 	36 , 	14 , 	22 , 	7 , 	6 , 	22 , 	30 , 	166 , 	147 , 	362 , 	201 , 	91 , 	60 , 	21 , 	23 , 	16 , 	26 , 	4 , 	12 , 	5 , 	38 ," 	2,122 ",,,,,,,,,,
19, 	30 , 	39 , 	18 , 	32 , 	106 , 	40 , 	27 , 	5 , 	24 , 	8 , 	42 , 	79 , 	24 , 	28 , 	14 , 	8 , 	14 , 	24 , 	20 , 	10 , 	22 , 	10 , 	7 , 	16 , 	13 , 	94 , 	77 , 	193 , 	132 , 	44 , 	41 , 	11 , 	10 , 	9 , 	18 , 	3 , 	4 , 	4 , 	14 ," 	1,310 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	58 , 	101 , 	60 , 	61 , 	199 , 	67 , 	52 , 	21 , 	10 , 	21 , 	106 , 	162 , 	73 , 	93 , 	51 , 	29 , 	57 , 	92 , 	48 , 	36 , 	41 , 	20 , 	22 , 	40 , 	37 , 	200 , 	235 , 	588 , 	228 , 	70 , 	74 , 	32 , 	52 , 	51 , 	55 , 	7 , 	16 , 	12 , 	39 ," 	3,219 ",,,Dtwn SF," 	2,112 "," 	4,540 "," 	11,316 "," 	4,814 "," 	4,555 "," 	6,807 "," 	34,144 "
LM, 	23 , 	28 , 	16 , 	19 , 	58 , 	35 , 	17 , 	7 , 	29 , 	8 , 	84 , 	129 , 	72 , 	70 , 	28 , 	16 , 	40 , 	57 , 	4 , 	5 , 	5 , 	3 , 	1 , 	8 , 	19 , 	118 , 	117 , 	302 , 	118 , 	46 , 	48 , 	20 , 	21 , 	24 , 	12 , 	21 , 	30 , 	2 , 	5 ," 	1,662 ",,,OAK," 	4,120 ", 	543 ," 	1,034 "," 	1,440 ", 	567 ," 	2,007 "," 	9,710 "
FV, 	81 , 	61 , 	22 , 	27 , 	146 , 	69 , 	68 , 	51 , 	108 , 	73 , 	11 , 	283 , 	115 , 	196 , 	120 , 	35 , 	43 , 	72 , 	31 , 	12 , 	17 , 	6 , 	18 , 	21 , 	66 , 	207 , 	148 , 	469 , 	184 , 	116 , 	125 , 	26 , 	40 , 	37 , 	25 , 	30 , 	71 , 	5 , 	26 ," 	3,262 ",,,CM line," 	11,064 "," 	1,043 "," 	3,923 "," 	1,164 ", 	942 ," 	1,591 "," 	19,727 "
