Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Nov 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	187 , 	144 , 	112 , 	556 , 	133 , 	189 , 	191 , 	289 , 	66 , 	143 , 	123 , 	54 , 	41 , 	53 , 	32 , 	18 , 	40 , 	40 , 	27 , 	26 , 	15 , 	13 , 	27 , 	35 , 	267 , 	333 , 	400 , 	282 , 	138 , 	204 , 	38 , 	62 , 	69 , 	34 , 	8 , 	28 , 	10 , 	35 ," 	4,471 ",,,Eastbay," 	79,548 ",,SF CBD," 	204,058 ",64.2%,,,
EN, 	183 , 	37 , 	101 , 	131 ," 	1,074 ", 	178 , 	238 , 	477 , 	681 , 	128 , 	133 , 	145 , 	62 , 	40 , 	66 , 	24 , 	40 , 	79 , 	61 , 	32 , 	38 , 	12 , 	16 , 	24 , 	39 , 	818 , 	947 , 	722 , 	615 , 	124 , 	169 , 	63 , 	83 , 	138 , 	62 , 	6 , 	35 , 	6 , 	25 ," 	7,852 ",,,Westbay," 	86,845 ",,non-CBD," 	113,767 ",35.8%,,,
EP, 	165 , 	38 , 	20 , 	21 , 	721 , 	46 , 	142 , 	129 , 	323 , 	46 , 	63 , 	42 , 	29 , 	7 , 	31 , 	6 , 	28 , 	25 , 	18 , 	27 , 	12 , 	14 , 	6 , 	26 , 	6 , 	601 , 	348 , 	437 , 	190 , 	67 , 	27 , 	34 , 	23 , 	61 , 	10 , 	28 , 	23 , 	7 , 	9 ," 	3,854 ",,,Transbay," 	151,432 ",,,,,,,
NB, 	99 , 	89 , 	42 , 	6 , 	211 , 	53 , 	83 , 	178 , 	238 , 	76 , 	68 , 	81 , 	23 , 	13 , 	28 , 	9 , 	18 , 	35 , 	19 , 	16 , 	24 , 	8 , 	14 , 	14 , 	18 , 	538 , 	606 , 	364 , 	375 , 	90 , 	67 , 	28 , 	37 , 	68 , 	18 , 	6 , 	15 , 	4 , 	8 ," 	3,686 ",,,,,,,,,,,
BK, 	470 ," 	1,063 ", 	695 , 	211 , 	18 , 	444 , 	379 , 	504 , 	661 , 	280 , 	340 , 	301 , 	156 , 	144 , 	175 , 	105 , 	157 , 	283 , 	118 , 	170 , 	141 , 	65 , 	60 , 	37 , 	82 , 	655 , 	706 , 	741 , 	749 , 	210 , 	242 , 	126 , 	115 , 	199 , 	117 , 	47 , 	134 , 	45 , 	76 ," 	11,221 ",,,Extensions," 	41,192 ",,,,,,,
AS, 	113 , 	138 , 	65 , 	46 , 	379 , 	5 , 	77 , 	177 , 	230 , 	86 , 	104 , 	121 , 	44 , 	40 , 	50 , 	18 , 	28 , 	48 , 	27 , 	22 , 	22 , 	7 , 	10 , 	17 , 	38 , 	458 , 	531 , 	352 , 	369 , 	108 , 	89 , 	33 , 	38 , 	73 , 	25 , 	9 , 	26 , 	5 , 	22 ," 	4,052 ",,,,,,,,,,,
MA, 	155 , 	208 , 	77 , 	73 , 	376 , 	76 , 	9 , 	129 , 	201 , 	74 , 	153 , 	178 , 	97 , 	86 , 	80 , 	42 , 	56 , 	98 , 	103 , 	79 , 	93 , 	28 , 	34 , 	59 , 	67 , 	650 , 	764 , 	613 , 	583 , 	176 , 	141 , 	61 , 	77 , 	95 , 	44 , 	19 , 	54 , 	26 , 	113 ," 	6,046 ",,,,,,,,,,,
19, 	172 , 	488 , 	195 , 	183 , 	434 , 	184 , 	119 , 	9 , 	82 , 	49 , 	133 , 	171 , 	178 , 	178 , 	179 , 	147 , 	163 , 	267 , 	213 , 	322 , 	203 , 	109 , 	88 , 	101 , 	44 , 	673 , 	703 , 	535 , 	558 , 	140 , 	163 , 	116 , 	107 , 	150 , 	154 , 	49 , 	156 , 	115 , 	203 ," 	8,233 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	282 , 	726 , 	414 , 	292 , 	577 , 	239 , 	198 , 	79 , 	36 , 	75 , 	360 , 	398 , 	350 , 	348 , 	320 , 	208 , 	243 , 	361 , 	363 , 	409 , 	287 , 	170 , 	149 , 	173 , 	86 , 	825 , 	881 , 	863 , 	733 , 	169 , 	206 , 	145 , 	147 , 	198 , 	204 , 	74 , 	221 , 	105 , 	232 ," 	12,145 ",,,Dtwn SF," 	6,742 "," 	13,801 "," 	35,154 "," 	12,555 "," 	18,231 "," 	19,787 "," 	106,270 ",
LM, 	50 , 	116 , 	76 , 	80 , 	254 , 	89 , 	72 , 	48 , 	71 , 	29 , 	166 , 	213 , 	222 , 	179 , 	140 , 	94 , 	112 , 	160 , 	33 , 	31 , 	25 , 	8 , 	11 , 	33 , 	33 , 	467 , 	518 , 	456 , 	374 , 	87 , 	97 , 	34 , 	65 , 	105 , 	20 , 	64 , 	157 , 	7 , 	21 ," 	4,817 ",,,OAK," 	13,597 "," 	1,725 "," 	3,257 "," 	6,059 "," 	4,049 "," 	7,304 "," 	35,991 ",
