Fast Pass Adjusted OD,,,,,,Feb 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,53,34,117,127,453,876,733,"1,111","3,504"
MT,48,49,87,140,845,"1,459","1,193","2,407","6,229"
PL,220,130,88,127,839,"1,179",724,"2,018","5,326"
CC,141,141,132,69,481,806,559,"1,476","3,805"
16,431,635,835,484,29,214,180,569,"3,377"
24,814,"1,097","1,251",755,215,43,175,598,"4,948"
GP,731,909,883,463,192,167,25,120,"3,491"
BP,"1,055","1,389","2,601","1,310",559,647,133,39,"7,733"
Entries,"3,494","4,383","5,995","3,475","3,614","5,392","3,721","8,339","38,412"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,9,43,28,160,188,102,182,730
MT,8,26,37,40,319,377,306,926,"2,039"
PL,52,34,85,67,641,904,521,"1,140","3,444"
CC,33,34,65,45,306,437,196,515,"1,630"
16,142,205,641,292,34,162,107,266,"1,850"
24,179,252,887,418,132,46,104,277,"2,294"
GP,101,169,646,174,100,83,17,56,"1,346"
BP,173,343,"1,662",437,252,282,53,38,"3,240"
Entries,708,"1,072","4,067","1,500","1,945","2,477","1,405","3,399","16,573"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,5,14,9,109,104,50,105,415
MT,3,21,17,16,177,219,217,670,"1,339"
PL,20,11,75,44,469,633,352,766,"2,370"
CC,18,11,44,43,251,348,136,341,"1,192"
16,100,110,453,247,41,114,67,156,"1,288"
24,111,140,614,325,87,45,58,179,"1,558"
GP,61,81,465,122,60,54,18,29,889
BP,123,180,"1,278",288,163,189,27,33,"2,279"
Entries,454,559,"2,960","1,091","1,357","1,705",923,"2,277","11,328"
