Fast Pass Adjusted OD,,,,,,Mar 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,64,42,135,136,527,974,796,"1,182","3,855"
MT,44,53,85,135,841,"1,450","1,195","2,272","6,074"
PL,212,129,95,125,814,"1,189",736,"1,898","5,200"
CC,121,129,122,57,450,743,512,"1,258","3,393"
16,438,632,844,493,33,204,187,550,"3,380"
24,827,"1,091","1,271",781,207,53,176,533,"4,939"
GP,726,910,899,494,196,167,31,111,"3,533"
BP,"1,023","1,367","2,558","1,261",528,573,116,44,"7,472"
Entries,"3,456","4,353","6,009","3,482","3,595","5,353","3,750","7,848","37,846"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,8,37,26,181,239,110,193,814
MT,6,21,27,35,325,408,324,969,"2,116"
PL,42,27,81,53,602,900,488,"1,136","3,329"
CC,28,25,53,42,301,421,172,467,"1,509"
16,144,201,624,317,31,156,116,277,"1,867"
24,178,238,917,419,146,40,106,262,"2,305"
GP,98,140,634,161,93,85,19,51,"1,280"
BP,164,277,"1,731",439,275,293,47,35,"3,261"
Entries,679,937,"4,104","1,492","1,953","2,542","1,383","3,390","16,481"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,23,16,110,136,60,113,479
MT,5,16,18,28,170,219,184,575,"1,215"
PL,29,9,79,50,407,570,285,680,"2,108"
CC,20,11,47,50,233,317,117,307,"1,103"
16,95,119,438,254,32,106,58,146,"1,248"
24,114,151,575,329,80,48,69,165,"1,530"
GP,57,73,411,120,64,57,17,26,825
BP,116,162,"1,203",285,159,169,28,26,"2,148"
Entries,454,545,"2,795","1,132","1,255","1,620",817,"2,038","10,655"
