Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Mar 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	174 , 	128 , 	124 , 	486 , 	132 , 	182 , 	178 , 	271 , 	57 , 	131 , 	109 , 	47 , 	37 , 	45 , 	23 , 	15 , 	36 , 	40 , 	28 , 	28 , 	13 , 	10 , 	20 , 	34 , 	240 , 	274 , 	364 , 	265 , 	130 , 	191 , 	30 , 	59 , 	57 , 	35 , 	7 , 	28 , 	8 , 	26 ," 	4,071 ",,,Eastbay," 	76,274 ",,SF CBD," 	198,929 ",65.1%,,,
EN, 	168 , 	16 , 	101 , 	98 , 	929 , 	165 , 	222 , 	425 , 	648 , 	109 , 	116 , 	127 , 	61 , 	40 , 	68 , 	24 , 	46 , 	71 , 	52 , 	28 , 	38 , 	12 , 	13 , 	26 , 	37 , 	807 , 	915 , 	735 , 	631 , 	118 , 	170 , 	60 , 	80 , 	113 , 	57 , 	5 , 	39 , 	8 , 	25 ," 	7,405 ",,,Westbay," 	81,169 ",,non-CBD," 	106,608 ",34.9%,,,
EP, 	118 , 	82 , 	6 , 	34 , 	641 , 	76 , 	85 , 	188 , 	322 , 	64 , 	46 , 	50 , 	24 , 	12 , 	24 , 	9 , 	17 , 	41 , 	29 , 	20 , 	27 , 	6 , 	11 , 	23 , 	8 , 	433 , 	473 , 	319 , 	268 , 	47 , 	38 , 	26 , 	30 , 	54 , 	15 , 	5 , 	21 , 	2 , 	6 ," 	3,702 ",,,Transbay," 	148,094 ",,,,,,,
NB, 	110 , 	94 , 	38 , 	6 , 	210 , 	47 , 	74 , 	165 , 	242 , 	63 , 	64 , 	62 , 	23 , 	15 , 	27 , 	10 , 	11 , 	33 , 	17 , 	18 , 	22 , 	6 , 	14 , 	16 , 	14 , 	514 , 	546 , 	349 , 	351 , 	82 , 	61 , 	26 , 	30 , 	52 , 	15 , 	3 , 	16 , 	2 , 	6 ," 	3,454 ",,,,,,,,,,,
BK, 	432 ," 	1,007 ", 	635 , 	211 , 	17 , 	437 , 	375 , 	496 , 	644 , 	233 , 	314 , 	270 , 	153 , 	127 , 	156 , 	94 , 	143 , 	273 , 	113 , 	150 , 	122 , 	66 , 	50 , 	43 , 	90 , 	662 , 	685 , 	783 , 	714 , 	215 , 	245 , 	111 , 	105 , 	170 , 	105 , 	40 , 	121 , 	41 , 	86 ," 	10,734 ",,,Extensions," 	40,250 ",,,,,,,
AS, 	113 , 	154 , 	65 , 	46 , 	372 , 	6 , 	75 , 	174 , 	242 , 	90 , 	98 , 	107 , 	46 , 	36 , 	53 , 	20 , 	24 , 	48 , 	34 , 	28 , 	24 , 	9 , 	11 , 	15 , 	38 , 	446 , 	505 , 	348 , 	360 , 	94 , 	87 , 	31 , 	35 , 	59 , 	24 , 	10 , 	28 , 	6 , 	18 ," 	3,974 ",,,,,,,,,,,
MA, 	163 , 	216 , 	75 , 	68 , 	357 , 	84 , 	8 , 	140 , 	224 , 	74 , 	134 , 	150 , 	100 , 	84 , 	77 , 	47 , 	49 , 	88 , 	101 , 	80 , 	87 , 	31 , 	34 , 	51 , 	66 , 	632 , 	723 , 	586 , 	563 , 	167 , 	138 , 	57 , 	60 , 	73 , 	39 , 	13 , 	48 , 	30 , 	108 ," 	5,825 ",,,,,,,,,,,
19, 	163 , 	471 , 	193 , 	172 , 	442 , 	172 , 	133 , 	11 , 	75 , 	39 , 	132 , 	161 , 	179 , 	173 , 	174 , 	155 , 	172 , 	280 , 	213 , 	312 , 	213 , 	121 , 	84 , 	109 , 	44 , 	676 , 	677 , 	553 , 	551 , 	143 , 	155 , 	110 , 	109 , 	150 , 	157 , 	47 , 	159 , 	120 , 	211 ," 	8,209 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	245 , 	698 , 	305 , 	245 , 	565 , 	234 , 	203 , 	80 , 	22 , 	73 , 	255 , 	357 , 	358 , 	344 , 	315 , 	213 , 	226 , 	357 , 	314 , 	411 , 	286 , 	179 , 	142 , 	188 , 	86 , 	901 , 	940 , 	960 , 	805 , 	205 , 	242 , 	163 , 	163 , 	224 , 	231 , 	87 , 	279 , 	117 , 	273 ," 	12,292 ",,,Dtwn SF," 	4,549 "," 	13,767 "," 	34,745 "," 	12,643 "," 	18,231 "," 	19,550 "," 	103,485 ",
LM, 	43 , 	103 , 	67 , 	65 , 	206 , 	89 , 	65 , 	39 , 	68 , 	8 , 	166 , 	173 , 	219 , 	177 , 	141 , 	98 , 	120 , 	150 , 	26 , 	22 , 	19 , 	9 , 	12 , 	34 , 	29 , 	466 , 	495 , 	455 , 	349 , 	86 , 	82 , 	36 , 	58 , 	94 , 	20 , 	61 , 	166 , 	7 , 	27 ," 	4,551 ",,,OAK," 	13,639 "," 	1,692 "," 	3,262 "," 	5,696 "," 	4,056 "," 	7,079 "," 	35,423 ",
FV, 	136 , 	132 , 	54 , 	82 , 	313 , 	106 , 	149 , 	132 , 	285 , 	162 , 	20 , 	254 , 	266 , 	250 , 	284 , 	127 , 	113 , 	147 , 	58 , 	33 , 	46 , 	27 , 	39 , 	61 , 	108 , 	649 , 	745 , 	762 , 	578 , 	172 , 	182 , 	58 , 	78 , 	110 , 	37 , 	49 , 	168 , 	10 , 	37 ," 	7,016 ",,,CM line," 	33,232 "," 	3,235 "," 	8,643 "," 	2,648 "," 	2,076 "," 	2,823 "," 	52,657 ",
CL," 	1,644 ", 	57 , 	23 , 	25 , 	139 , 	47 , 	69 , 	75 , 	854 , 	68 , 	798 , 	3 , 	47 , 	68 , 	88 , 	39 , 	39 , 	63 , 	24 , 	24 , 	18 , 	11 , 	7 , 	31 , 	42 , 	766 , 	195 , 	206 , 	171 , 	51 , 	59 , 	29 , 	27 , 	43 , 	19 , 	14 , 	72 , 	6 , 	26 ," 	5,986 ",,,RM line," 	11,987 "," 	5,843 "," 	2,859 "," 	7,486 "," 	1,418 "," 	3,747 "," 	33,340 ",
SL, 	62 , 	74 , 	27 , 	25 , 	151 , 	49 , 	103 , 	193 , 	350 , 	214 , 	264 , 	114 , 	8 , 	111 , 	191 , 	90 , 	93 , 	131 , 	39 , 	24 , 	24 , 	6 , 	9 , 	20 , 	29 , 	546 , 	608 , 	420 , 	333 , 	55 , 	63 , 	38 , 	46 , 	72 , 	27 , 	39 , 	88 , 	7 , 	21 ," 	4,766 ",,,WP line," 	18,543 "," 	4,143 "," 	2,136 "," 	1,516 "," 	5,966 "," 	1,458 "," 	33,761 ",
BF, 	35 , 	36 , 	13 , 	15 , 	129 , 	36 , 	83 , 	185 , 	352 , 	180 , 	229 , 	160 , 	99 , 	7 , 	142 , 	124 , 	135 , 	251 , 	29 , 	17 , 	21 , 	6 , 	3 , 	12 , 	39 , 	518 , 	576 , 	373 , 	269 , 	61 , 	65 , 	26 , 	27 , 	53 , 	21 , 	45 , 	230 , 	6 , 	14 ," 	4,623 ",,,FT/ED line," 	18,044 "," 	7,222 "," 	2,652 "," 	5,236 "," 	1,279 "," 	12,437 "," 	46,871 ",
