Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	106 , 	76 , 	55 , 	238 , 	104 , 	67 , 	43 , 	90 , 	22 , 	89 , 	72 , 	22 , 	25 , 	28 , 	13 , 	13 , 	20 , 	20 , 	10 , 	17 , 	6 , 	6 , 	18 , 	26 , 	59 , 	76 , 	215 , 	93 , 	85 , 	153 , 	18 , 	31 , 	35 , 	30 , 	4 , 	6 , 	5 , 	22 ," 	2,026 ",,,Eastbay," 	37,022 ",,SF CBD," 	88,552 ",61.8%,,
EN, 	107 , 	15 , 	69 , 	56 , 	432 , 	129 , 	102 , 	84 , 	176 , 	40 , 	102 , 	154 , 	32 , 	30 , 	22 , 	23 , 	25 , 	49 , 	31 , 	12 , 	15 , 	4 , 	6 , 	15 , 	30 , 	279 , 	194 , 	537 , 	169 , 	78 , 	123 , 	28 , 	55 , 	46 , 	41 , 	4 , 	18 , 	6 , 	31 ," 	3,367 ",,,Westbay," 	39,817 ",,non-CBD," 	54,716 ",38.2%,,
EP, 	80 , 	60 , 	4 , 	29 , 	360 , 	55 , 	45 , 	29 , 	87 , 	25 , 	35 , 	68 , 	16 , 	13 , 	14 , 	3 , 	11 , 	19 , 	8 , 	6 , 	13 , 	5 , 	6 , 	15 , 	9 , 	149 , 	129 , 	262 , 	103 , 	31 , 	33 , 	12 , 	10 , 	16 , 	10 , 	5 , 	8 , 	2 , 	4 ," 	1,785 ",,,Transbay," 	66,429 ",,,,,,
NB, 	63 , 	60 , 	28 , 	6 , 	118 , 	31 , 	37 , 	42 , 	93 , 	33 , 	48 , 	85 , 	14 , 	14 , 	12 , 	5 , 	7 , 	19 , 	8 , 	10 , 	15 , 	7 , 	5 , 	11 , 	13 , 	187 , 	168 , 	306 , 	159 , 	63 , 	50 , 	14 , 	10 , 	15 , 	12 , 	2 , 	8 , 	2 , 	6 ," 	1,782 ",,,,,,,,,,
BK, 	248 , 	422 , 	368 , 	127 , 	12 , 	253 , 	166 , 	208 , 	307 , 	119 , 	158 , 	159 , 	81 , 	59 , 	62 , 	24 , 	63 , 	152 , 	43 , 	46 , 	60 , 	37 , 	36 , 	29 , 	39 , 	353 , 	302 , 	887 , 	421 , 	121 , 	114 , 	56 , 	44 , 	74 , 	47 , 	20 , 	63 , 	13 , 	37 ," 	5,830 ",,,Extensions," 	18,407 ",,,,,,
AS, 	89 , 	115 , 	51 , 	33 , 	209 , 	5 , 	66 , 	67 , 	122 , 	55 , 	76 , 	82 , 	34 , 	29 , 	22 , 	11 , 	15 , 	20 , 	19 , 	8 , 	14 , 	5 , 	3 , 	9 , 	34 , 	154 , 	133 , 	290 , 	172 , 	81 , 	69 , 	15 , 	17 , 	16 , 	15 , 	6 , 	11 , 	2 , 	12 ," 	2,183 ",,,,,,,,,,
MA, 	70 , 	108 , 	46 , 	34 , 	163 , 	69 , 	9 , 	40 , 	91 , 	28 , 	78 , 	126 , 	35 , 	50 , 	35 , 	17 , 	18 , 	32 , 	49 , 	25 , 	34 , 	12 , 	13 , 	19 , 	48 , 	252 , 	244 , 	471 , 	250 , 	91 , 	92 , 	21 , 	27 , 	22 , 	19 , 	4 , 	13 , 	4 , 	47 ," 	2,800 ",,,,,,,,,,
19, 	46 , 	81 , 	29 , 	41 , 	185 , 	71 , 	43 , 	5 , 	26 , 	15 , 	68 , 	80 , 	42 , 	40 , 	40 , 	16 , 	30 , 	43 , 	32 , 	16 , 	32 , 	16 , 	12 , 	28 , 	26 , 	128 , 	141 , 	299 , 	187 , 	70 , 	52 , 	20 , 	25 , 	25 , 	19 , 	6 , 	17 , 	3 , 	32 ," 	2,085 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	80 , 	170 , 	84 , 	88 , 	287 , 	119 , 	92 , 	23 , 	12 , 	24 , 	125 , 	151 , 	115 , 	104 , 	94 , 	33 , 	66 , 	104 , 	57 , 	55 , 	60 , 	34 , 	28 , 	70 , 	51 , 	258 , 	282 , 	677 , 	257 , 	87 , 	92 , 	32 , 	68 , 	64 , 	53 , 	10 , 	28 , 	12 , 	68 ," 	4,114 ",,,Dtwn SF," 	1,712 "," 	6,178 "," 	17,021 "," 	6,330 "," 	6,949 "," 	8,901 "," 	47,091 "
LM, 	24 , 	39 , 	21 , 	33 , 	95 , 	47 , 	27 , 	13 , 	33 , 	7 , 	99 , 	125 , 	98 , 	101 , 	39 , 	32 , 	48 , 	59 , 	10 , 	6 , 	14 , 	4 , 	7 , 	15 , 	20 , 	167 , 	171 , 	397 , 	172 , 	67 , 	74 , 	26 , 	30 , 	21 , 	10 , 	27 , 	56 , 	2 , 	6 ," 	2,241 ",,,OAK," 	5,635 ", 	770 ," 	1,350 "," 	2,193 ", 	890 ," 	2,596 "," 	13,434 "
