Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	98 , 	67 , 	48 , 	213 , 	78 , 	75 , 	44 , 	69 , 	17 , 	78 , 	74 , 	17 , 	27 , 	22 , 	16 , 	12 , 	20 , 	23 , 	8 , 	16 , 	3 , 	8 , 	16 , 	19 , 	60 , 	62 , 	196 , 	85 , 	74 , 	115 , 	19 , 	35 , 	26 , 	28 , 	3 , 	12 , 	2 , 	26 ," 	1,810 ",,,Eastbay," 	34,126 ",,SF CBD," 	81,402 ",62.0%,,
EN, 	102 , 	7 , 	67 , 	52 , 	374 , 	114 , 	91 , 	76 , 	148 , 	31 , 	87 , 	138 , 	36 , 	29 , 	27 , 	15 , 	21 , 	37 , 	22 , 	9 , 	15 , 	4 , 	7 , 	16 , 	17 , 	219 , 	187 , 	479 , 	192 , 	63 , 	107 , 	33 , 	46 , 	49 , 	39 , 	5 , 	22 , 	3 , 	17 ," 	3,005 ",,,Westbay," 	35,666 ",,non-CBD," 	49,955 ",38.0%,,
EP, 	83 , 	57 , 	5 , 	27 , 	277 , 	47 , 	44 , 	35 , 	80 , 	25 , 	34 , 	72 , 	13 , 	12 , 	12 , 	5 , 	8 , 	25 , 	10 , 	7 , 	14 , 	7 , 	6 , 	18 , 	7 , 	116 , 	119 , 	260 , 	106 , 	28 , 	32 , 	8 , 	9 , 	17 , 	11 , 	1 , 	12 , 	2 , 	3 ," 	1,646 ",,,Transbay," 	61,565 ",,,,,,
NB, 	54 , 	56 , 	29 , 	5 , 	108 , 	38 , 	28 , 	34 , 	69 , 	22 , 	39 , 	73 , 	11 , 	14 , 	13 , 	4 , 	7 , 	20 , 	6 , 	9 , 	13 , 	5 , 	6 , 	11 , 	10 , 	172 , 	130 , 	290 , 	163 , 	60 , 	52 , 	12 , 	10 , 	12 , 	10 , 	3 , 	11 , 	1 , 	4 ," 	1,607 ",,,,,,,,,,
BK, 	227 , 	384 , 	285 , 	114 , 	17 , 	247 , 	156 , 	200 , 	303 , 	84 , 	157 , 	141 , 	67 , 	65 , 	51 , 	23 , 	48 , 	118 , 	41 , 	40 , 	53 , 	26 , 	27 , 	24 , 	38 , 	468 , 	301 , 	904 , 	411 , 	130 , 	143 , 	48 , 	30 , 	57 , 	51 , 	17 , 	65 , 	9 , 	26 ," 	5,592 ",,,Extensions," 	17,988 ",,,,,,
AS, 	90 , 	108 , 	51 , 	43 , 	186 , 	6 , 	56 , 	66 , 	113 , 	45 , 	73 , 	95 , 	28 , 	26 , 	28 , 	11 , 	13 , 	26 , 	14 , 	11 , 	14 , 	4 , 	5 , 	10 , 	34 , 	131 , 	112 , 	274 , 	153 , 	69 , 	59 , 	15 , 	16 , 	19 , 	16 , 	7 , 	10 , 	2 , 	6 ," 	2,038 ",,,,,,,,,,
MA, 	73 , 	96 , 	43 , 	36 , 	155 , 	61 , 	5 , 	33 , 	75 , 	19 , 	67 , 	116 , 	31 , 	42 , 	36 , 	13 , 	17 , 	28 , 	44 , 	24 , 	30 , 	8 , 	10 , 	24 , 	44 , 	207 , 	195 , 	453 , 	238 , 	100 , 	79 , 	20 , 	22 , 	24 , 	21 , 	3 , 	13 , 	6 , 	51 ," 	2,555 ",,,,,,,,,,
19, 	50 , 	74 , 	36 , 	33 , 	179 , 	60 , 	36 , 	3 , 	26 , 	11 , 	49 , 	63 , 	30 , 	35 , 	33 , 	19 , 	24 , 	39 , 	26 , 	19 , 	23 , 	12 , 	13 , 	28 , 	19 , 	121 , 	118 , 	295 , 	173 , 	55 , 	55 , 	20 , 	23 , 	20 , 	24 , 	7 , 	14 , 	8 , 	23 ," 	1,896 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	65 , 	157 , 	88 , 	60 , 	251 , 	113 , 	72 , 	20 , 	11 , 	23 , 	88 , 	136 , 	95 , 	90 , 	86 , 	33 , 	56 , 	97 , 	64 , 	41 , 	64 , 	31 , 	28 , 	51 , 	46 , 	231 , 	269 , 	695 , 	247 , 	88 , 	82 , 	37 , 	59 , 	55 , 	51 , 	11 , 	33 , 	9 , 	57 ," 	3,790 ",,,Dtwn SF," 	1,708 "," 	5,411 "," 	14,919 "," 	6,051 "," 	5,925 "," 	8,590 "," 	42,604 "
LM, 	18 , 	34 , 	25 , 	23 , 	86 , 	33 , 	22 , 	8 , 	23 , 	3 , 	93 , 	104 , 	98 , 	89 , 	38 , 	22 , 	54 , 	57 , 	6 , 	6 , 	5 , 	5 , 	4 , 	11 , 	21 , 	127 , 	157 , 	408 , 	135 , 	74 , 	54 , 	17 , 	24 , 	18 , 	9 , 	28 , 	49 , 	3 , 	6 ," 	1,993 ",,,OAK," 	5,147 ", 	638 ," 	1,209 "," 	1,969 ", 	780 ," 	2,238 "," 	11,981 "
FV, 	101 , 	81 , 	44 , 	44 , 	144 , 	87 , 	71 , 	64 , 	116 , 	88 , 	15 , 	167 , 	140 , 	195 , 	154 , 	55 , 	66 , 	81 , 	32 , 	14 , 	23 , 	12 , 	25 , 	30 , 	71 , 	184 , 	186 , 	503 , 	197 , 	90 , 	156 , 	33 , 	39 , 	43 , 	24 , 	32 , 	82 , 	4 , 	28 ," 	3,519 ",,,CM line," 	14,153 "," 	1,207 "," 	4,886 "," 	1,520 "," 	1,056 "," 	1,646 "," 	24,469 "
CL, 	80 , 	137 , 	67 , 	59 , 	123 , 	90 , 	114 , 	76 , 	181 , 	82 , 	162 , 	12 , 	163 , 	187 , 	142 , 	90 , 	111 , 	254 , 	61 , 	92 , 	65 , 	49 , 	32 , 	54 , 	59 , 	214 , 	146 , 	446 , 	207 , 	84 , 	94 , 	49 , 	39 , 	56 , 	41 , 	93 , 	396 , 	26 , 	79 ," 	4,509 ",,,RM line," 	5,586 "," 	2,032 "," 	1,548 "," 	3,763 ", 	623 ," 	2,147 "," 	15,699 "
SL, 	30 , 	46 , 	10 , 	9 , 	55 , 	31 , 	40 , 	38 , 	93 , 	97 , 	115 , 	155 , 	6 , 	99 , 	83 , 	50 , 	31 , 	71 , 	8 , 	5 , 	10 , 	8 , 	4 , 	9 , 	11 , 	136 , 	112 , 	324 , 	109 , 	28 , 	53 , 	15 , 	20 , 	20 , 	13 , 	26 , 	51 , 	1 , 	13 ," 	2,031 ",,,WP line," 	5,828 ", 	807 ," 	1,077 ", 	714 ," 	2,816 "," 	1,071 "," 	12,314 "
BF, 	27 , 	35 , 	11 , 	9 , 	63 , 	30 , 	44 , 	41 , 	104 , 	78 , 	199 , 	207 , 	101 , 	11 , 	111 , 	83 , 	82 , 	145 , 	14 , 	7 , 	11 , 	2 , 	2 , 	9 , 	29 , 	127 , 	97 , 	263 , 	103 , 	28 , 	47 , 	13 , 	21 , 	27 , 	17 , 	39 , 	119 , 	2 , 	11 ," 	2,365 ",,,FT/ED line," 	8,085 "," 	2,412 "," 	1,680 "," 	2,220 "," 	1,046 "," 	8,849 "," 	24,292 "
HY, 	25 , 	27 , 	9 , 	13 , 	52 , 	23 , 	34 , 	42 , 	80 , 	38 , 	141 , 	162 , 	96 , 	111 , 	8 , 	90 , 	83 , 	184 , 	14 , 	5 , 	9 , 	4 , 	2 , 	10 , 	17 , 	84 , 	69 , 	158 , 	53 , 	22 , 	31 , 	9 , 	9 , 	17 , 	12 , 	17 , 	48 , 	1 , 	14 ," 	1,822 ",,,Entries," 	40,506 "," 	12,508 "," 	25,319 "," 	16,237 "," 	12,247 "," 	24,541 "," 	131,358 "
SH, 	20 , 	15 , 	3 , 	2 , 	30 , 	18 , 	10 , 	14 , 	35 , 	21 , 	80 , 	119 , 	38 , 	51 , 	99 , 	24 , 	39 , 	75 , 	8 , 	3 , 	5 , 	3 , 	1 , 	4 , 	6 , 	110 , 	51 , 	81 , 	26 , 	14 , 	27 , 	6 , 	11 , 	16 , 	7 , 	7 , 	16 , 	1 , 	7 ," 	1,097 ",,,,,,,,,,
UC, 	16 , 	19 , 	10 , 	8 , 	54 , 	14 , 	21 , 	18 , 	67 , 	47 , 	74 , 	114 , 	36 , 	92 , 	102 , 	64 , 	13 , 	129 , 	10 , 	3 , 	7 , 	4 , 	2 , 	7 , 	8 , 	132 , 	95 , 	247 , 	70 , 	11 , 	23 , 	9 , 	17 , 	19 , 	8 , 	9 , 	22 , 	3 , 	13 ," 	1,611 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
