Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	9 , 	65 , 	53 , 	38 , 	154 , 	71 , 	53 , 	23 , 	52 , 	18 , 	65 , 	68 , 	10 , 	18 , 	15 , 	12 , 	10 , 	21 , 	19 , 	4 , 	10 , 	2 , 	3 , 	8 , 	15 , 	48 , 	45 , 	125 , 	67 , 	46 , 	72 , 	10 , 	23 , 	22 , 	22 , 	1 , 	6 , 	1 , 	14 ," 	1,314 ",,,Eastbay," 	26,786 ",,SF CBD," 	58,060 ",59.8%,,
EN, 	60 , 	6 , 	43 , 	31 , 	239 , 	67 , 	56 , 	34 , 	84 , 	21 , 	54 , 	142 , 	11 , 	13 , 	16 , 	10 , 	20 , 	26 , 	14 , 	9 , 	11 , 	2 , 	5 , 	10 , 	11 , 	146 , 	91 , 	287 , 	114 , 	38 , 	55 , 	19 , 	28 , 	31 , 	26 , 	2 , 	9 , 	3 , 	13 ," 	1,860 ",,,Westbay," 	24,942 ",,non-CBD," 	38,963 ",40.2%,,
EP, 	61 , 	45 , 	6 , 	21 , 	184 , 	38 , 	28 , 	23 , 	46 , 	11 , 	33 , 	108 , 	7 , 	8 , 	6 , 	5 , 	9 , 	19 , 	4 , 	5 , 	13 , 	3 , 	3 , 	11 , 	4 , 	93 , 	57 , 	159 , 	80 , 	20 , 	17 , 	11 , 	5 , 	13 , 	15 , 	4 , 	9 , 	1 , 	6 ," 	1,184 ",,,Transbay," 	45,295 ",,,,,,
NB, 	37 , 	36 , 	19 , 	5 , 	67 , 	31 , 	27 , 	27 , 	45 , 	20 , 	30 , 	92 , 	7 , 	5 , 	10 , 	2 , 	5 , 	17 , 	5 , 	7 , 	8 , 	5 , 	4 , 	7 , 	6 , 	106 , 	82 , 	184 , 	116 , 	40 , 	35 , 	13 , 	6 , 	9 , 	11 , 	2 , 	6 , 	1 , 	4 ," 	1,132 ",,,,,,,,,,
BK, 	174 , 	248 , 	174 , 	60 , 	11 , 	158 , 	97 , 	128 , 	198 , 	64 , 	108 , 	244 , 	52 , 	37 , 	48 , 	20 , 	47 , 	150 , 	27 , 	26 , 	35 , 	15 , 	14 , 	20 , 	25 , 	307 , 	222 , 	650 , 	318 , 	113 , 	83 , 	43 , 	28 , 	50 , 	55 , 	15 , 	37 , 	3 , 	18 ," 	4,118 ",,,Extensions," 	13,685 ",,,,,,
AS, 	69 , 	74 , 	44 , 	39 , 	123 , 	6 , 	56 , 	48 , 	80 , 	31 , 	71 , 	98 , 	20 , 	19 , 	18 , 	7 , 	14 , 	22 , 	6 , 	6 , 	11 , 	6 , 	3 , 	8 , 	26 , 	102 , 	71 , 	187 , 	123 , 	63 , 	49 , 	15 , 	11 , 	11 , 	20 , 	5 , 	7 , 	1 , 	12 ," 	1,575 ",,,,,,,,,,
MA, 	48 , 	59 , 	30 , 	23 , 	92 , 	55 , 	7 , 	24 , 	57 , 	14 , 	52 , 	125 , 	24 , 	21 , 	24 , 	6 , 	12 , 	25 , 	30 , 	11 , 	20 , 	8 , 	9 , 	15 , 	31 , 	163 , 	116 , 	294 , 	185 , 	74 , 	53 , 	17 , 	17 , 	19 , 	25 , 	3 , 	16 , 	4 , 	37 ," 	1,837 ",,,,,,,,,,
19, 	22 , 	40 , 	25 , 	26 , 	108 , 	49 , 	20 , 	4 , 	11 , 	6 , 	41 , 	63 , 	13 , 	21 , 	28 , 	10 , 	13 , 	22 , 	21 , 	9 , 	18 , 	14 , 	4 , 	23 , 	10 , 	88 , 	78 , 	189 , 	132 , 	47 , 	36 , 	13 , 	12 , 	7 , 	17 , 	3 , 	5 , 	3 , 	14 ," 	1,266 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	53 , 	76 , 	35 , 	40 , 	169 , 	78 , 	44 , 	20 , 	11 , 	15 , 	70 , 	128 , 	65 , 	61 , 	50 , 	19 , 	36 , 	66 , 	35 , 	24 , 	41 , 	16 , 	15 , 	33 , 	24 , 	181 , 	177 , 	474 , 	185 , 	60 , 	53 , 	24 , 	47 , 	43 , 	48 , 	7 , 	14 , 	8 , 	38 ," 	2,584 ",,,Dtwn SF," 	1,165 "," 	3,995 "," 	10,239 "," 	4,238 "," 	4,326 "," 	6,538 "," 	30,501 "
LM, 	19 , 	22 , 	14 , 	21 , 	65 , 	31 , 	17 , 	6 , 	19 , 	4 , 	73 , 	122 , 	71 , 	58 , 	24 , 	18 , 	33 , 	42 , 	7 , 	10 , 	6 , 	2 , 	3 , 	11 , 	23 , 	116 , 	108 , 	275 , 	110 , 	47 , 	44 , 	13 , 	19 , 	16 , 	7 , 	24 , 	37 , 	2 , 	5 ," 	1,537 ",,,OAK," 	3,623 ", 	454 , 	887 ," 	1,286 ", 	524 ," 	1,693 "," 	8,467 "
FV, 	61 , 	56 , 	29 , 	25 , 	119 , 	65 , 	57 , 	36 , 	77 , 	61 , 	12 , 	165 , 	92 , 	147 , 	104 , 	40 , 	38 , 	60 , 	26 , 	9 , 	17 , 	10 , 	10 , 	17 , 	49 , 	166 , 	117 , 	343 , 	151 , 	82 , 	117 , 	22 , 	35 , 	31 , 	18 , 	25 , 	63 , 	3 , 	22 ," 	2,572 ",,,CM line," 	10,008 ", 	891 ," 	3,530 "," 	1,077 ", 	881 ," 	1,450 "," 	17,836 "
CL, 	87 , 	143 , 	95 , 	77 , 	176 , 	85 , 	132 , 	63 , 	149 , 	109 , 	175 , 	11 , 	206 , 	210 , 	142 , 	89 , 	148 , 	289 , 	90 , 	99 , 	71 , 	53 , 	41 , 	48 , 	48 , 	280 , 	149 , 	528 , 	226 , 	86 , 	101 , 	62 , 	35 , 	89 , 	37 , 	119 , 	516 , 	37 , 	105 ," 	5,206 ",,,RM line," 	3,776 "," 	1,355 "," 	1,123 "," 	2,562 ", 	419 ," 	1,947 "," 	11,182 "
SL, 	22 , 	24 , 	5 , 	10 , 	46 , 	20 , 	28 , 	21 , 	57 , 	69 , 	90 , 	183 , 	7 , 	69 , 	68 , 	26 , 	24 , 	48 , 	11 , 	4 , 	9 , 	4 , 	3 , 	6 , 	10 , 	106 , 	69 , 	214 , 	91 , 	23 , 	29 , 	21 , 	10 , 	14 , 	14 , 	19 , 	40 , 	1 , 	13 ," 	1,522 ",,,WP line," 	4,126 ", 	556 , 	902 , 	452 ," 	2,036 "," 	1,063 "," 	9,135 "
