Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Aug 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	161 , 	117 , 	95 , 	448 , 	124 , 	163 , 	164 , 	242 , 	48 , 	130 , 	116 , 	53 , 	41 , 	46 , 	26 , 	20 , 	35 , 	35 , 	24 , 	32 , 	10 , 	12 , 	22 , 	31 , 	243 , 	252 , 	348 , 	238 , 	121 , 	177 , 	30 , 	46 , 	42 , 	32 , 	6 , 	27 , 	9 , 	30 ," 	3,804 ",,,Eastbay," 	74,069 ",,SF CBD," 	193,804 ",65.4%,,,
EN, 	159 , 	11 , 	89 , 	83 , 	893 , 	139 , 	186 , 	391 , 	606 , 	86 , 	123 , 	149 , 	53 , 	41 , 	61 , 	26 , 	39 , 	68 , 	48 , 	31 , 	33 , 	12 , 	11 , 	24 , 	37 , 	809 , 	858 , 	750 , 	585 , 	111 , 	163 , 	60 , 	74 , 	84 , 	69 , 	7 , 	33 , 	8 , 	22 ," 	7,029 ",,,Westbay," 	76,994 ",,non-CBD," 	102,669 ",34.6%,,,
EP, 	117 , 	84 , 	5 , 	38 , 	658 , 	77 , 	86 , 	182 , 	278 , 	58 , 	51 , 	82 , 	21 , 	14 , 	26 , 	9 , 	16 , 	44 , 	27 , 	19 , 	29 , 	8 , 	7 , 	21 , 	10 , 	440 , 	476 , 	359 , 	250 , 	42 , 	42 , 	31 , 	24 , 	38 , 	16 , 	4 , 	16 , 	2 , 	8 ," 	3,716 ",,,Transbay," 	145,409 ",,,,,,,
NB, 	89 , 	81 , 	39 , 	6 , 	204 , 	39 , 	66 , 	150 , 	237 , 	48 , 	61 , 	85 , 	16 , 	14 , 	27 , 	7 , 	16 , 	31 , 	18 , 	19 , 	21 , 	7 , 	9 , 	14 , 	11 , 	498 , 	519 , 	371 , 	308 , 	80 , 	65 , 	28 , 	22 , 	31 , 	18 , 	5 , 	15 , 	2 , 	9 ," 	3,287 ",,,,,,,,,,,
BK, 	423 , 	975 , 	660 , 	209 , 	18 , 	395 , 	347 , 	459 , 	626 , 	221 , 	288 , 	272 , 	161 , 	125 , 	136 , 	84 , 	153 , 	311 , 	113 , 	162 , 	137 , 	77 , 	55 , 	40 , 	53 , 	710 , 	685 , 	959 , 	686 , 	203 , 	230 , 	121 , 	89 , 	153 , 	110 , 	46 , 	128 , 	35 , 	84 ," 	10,741 ",,,Extensions," 	40,812 ",,,,,,,
AS, 	113 , 	143 , 	68 , 	40 , 	343 , 	5 , 	72 , 	164 , 	222 , 	68 , 	95 , 	132 , 	44 , 	36 , 	47 , 	17 , 	28 , 	51 , 	25 , 	24 , 	23 , 	6 , 	9 , 	13 , 	32 , 	434 , 	457 , 	357 , 	306 , 	94 , 	89 , 	35 , 	31 , 	37 , 	25 , 	7 , 	31 , 	4 , 	20 ," 	3,746 ",,,,,,,,,,,
MA, 	149 , 	193 , 	78 , 	64 , 	335 , 	69 , 	6 , 	118 , 	217 , 	53 , 	128 , 	173 , 	81 , 	76 , 	83 , 	42 , 	55 , 	82 , 	98 , 	86 , 	86 , 	33 , 	34 , 	42 , 	54 , 	633 , 	682 , 	600 , 	516 , 	147 , 	121 , 	50 , 	55 , 	57 , 	44 , 	13 , 	48 , 	21 , 	99 ," 	5,521 ",,,,,,,,,,,
19, 	165 , 	424 , 	173 , 	160 , 	402 , 	160 , 	119 , 	10 , 	73 , 	36 , 	124 , 	168 , 	167 , 	159 , 	162 , 	139 , 	165 , 	272 , 	218 , 	278 , 	210 , 	109 , 	73 , 	100 , 	37 , 	621 , 	616 , 	496 , 	488 , 	123 , 	150 , 	100 , 	98 , 	134 , 	140 , 	38 , 	145 , 	98 , 	179 ," 	7,529 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	223 , 	631 , 	252 , 	229 , 	540 , 	214 , 	202 , 	74 , 	23 , 	60 , 	242 , 	363 , 	333 , 	304 , 	309 , 	188 , 	234 , 	359 , 	284 , 	376 , 	280 , 	178 , 	131 , 	169 , 	71 , 	875 , 	911 , 	997 , 	762 , 	190 , 	221 , 	152 , 	147 , 	195 , 	234 , 	87 , 	248 , 	101 , 	246 ," 	11,633 ",,,Dtwn SF," 	4,140 "," 	13,366 "," 	33,081 "," 	12,566 "," 	17,990 "," 	19,802 "," 	100,944 ",
LM, 	34 , 	84 , 	55 , 	52 , 	201 , 	65 , 	47 , 	32 , 	64 , 	10 , 	131 , 	200 , 	198 , 	164 , 	118 , 	81 , 	107 , 	121 , 	26 , 	21 , 	20 , 	7 , 	12 , 	29 , 	22 , 	466 , 	472 , 	484 , 	313 , 	84 , 	74 , 	40 , 	58 , 	58 , 	17 , 	58 , 	144 , 	6 , 	24 ," 	4,200 ",,,OAK," 	13,039 "," 	1,503 "," 	2,963 "," 	5,126 "," 	3,757 "," 	6,664 "," 	33,052 ",
