Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Sep 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	7 , 	168 , 	130 , 	100 , 	471 , 	121 , 	161 , 	158 , 	238 , 	56 , 	117 , 	104 , 	55 , 	43 , 	48 , 	24 , 	19 , 	32 , 	33 , 	24 , 	30 , 	10 , 	11 , 	25 , 	30 , 	218 , 	240 , 	318 , 	225 , 	124 , 	161 , 	28 , 	51 , 	71 , 	28 , 	8 , 	26 , 	9 , 	29 ," 	3,752 ",,,Eastbay," 	79,096 ",,SF CBD," 	197,182 ",63.7%,,,
EN, 	178 , 	12 , 	101 , 	92 , 	982 , 	142 , 	199 , 	388 , 	602 , 	108 , 	130 , 	183 , 	52 , 	43 , 	60 , 	27 , 	42 , 	72 , 	50 , 	32 , 	34 , 	14 , 	12 , 	26 , 	36 , 	790 , 	841 , 	682 , 	612 , 	118 , 	160 , 	62 , 	80 , 	179 , 	60 , 	6 , 	32 , 	8 , 	24 ," 	7,268 ",,,Westbay," 	80,035 ",,non-CBD," 	112,458 ",36.3%,,,
EP, 	144 , 	69 , 	11 , 	34 , 	743 , 	58 , 	111 , 	145 , 	299 , 	74 , 	67 , 	90 , 	22 , 	11 , 	22 , 	7 , 	19 , 	37 , 	25 , 	24 , 	25 , 	8 , 	7 , 	22 , 	8 , 	469 , 	393 , 	328 , 	235 , 	48 , 	34 , 	33 , 	27 , 	75 , 	13 , 	15 , 	18 , 	5 , 	13 ," 	3,789 ",,,Transbay," 	150,509 ",,,,,,,
NB, 	96 , 	94 , 	44 , 	6 , 	230 , 	45 , 	74 , 	154 , 	247 , 	75 , 	63 , 	113 , 	16 , 	13 , 	24 , 	8 , 	17 , 	33 , 	18 , 	18 , 	20 , 	9 , 	13 , 	16 , 	16 , 	496 , 	538 , 	325 , 	361 , 	80 , 	65 , 	27 , 	37 , 	76 , 	15 , 	4 , 	13 , 	2 , 	8 ," 	3,508 ",,,,,,,,,,,
BK, 	443 ," 	1,108 ", 	749 , 	247 , 	17 , 	432 , 	375 , 	500 , 	689 , 	320 , 	313 , 	365 , 	173 , 	155 , 	150 , 	108 , 	167 , 	319 , 	129 , 	185 , 	137 , 	78 , 	64 , 	44 , 	69 , 	665 , 	671 , 	775 , 	751 , 	237 , 	275 , 	144 , 	125 , 	234 , 	107 , 	49 , 	131 , 	42 , 	93 ," 	11,634 ",,,Extensions," 	41,342 ",,,,,,,
AS, 	115 , 	140 , 	63 , 	45 , 	383 , 	7 , 	65 , 	160 , 	228 , 	104 , 	108 , 	152 , 	45 , 	39 , 	44 , 	18 , 	26 , 	54 , 	27 , 	18 , 	21 , 	6 , 	10 , 	13 , 	35 , 	438 , 	464 , 	322 , 	336 , 	95 , 	94 , 	31 , 	40 , 	77 , 	19 , 	9 , 	29 , 	3 , 	20 ," 	3,904 ",,,,,,,,,,,
MA, 	84 , 	114 , 	43 , 	39 , 	187 , 	35 , 	3 , 	59 , 	106 , 	50 , 	191 , 	244 , 	97 , 	146 , 	308 , 	109 , 	52 , 	138 , 	54 , 	44 , 	47 , 	17 , 	19 , 	28 , 	31 , 	814 , 	823 , 	612 , 	601 , 	181 , 	152 , 	62 , 	73 , 	135 , 	22 , 	6 , 	24 , 	12 , 	54 ," 	5,816 ",,,,,,,,,,,
19, 	155 , 	432 , 	170 , 	169 , 	423 , 	158 , 	115 , 	15 , 	75 , 	49 , 	118 , 	187 , 	167 , 	164 , 	170 , 	143 , 	174 , 	285 , 	216 , 	295 , 	212 , 	119 , 	83 , 	98 , 	36 , 	607 , 	617 , 	462 , 	511 , 	131 , 	155 , 	100 , 	113 , 	160 , 	142 , 	43 , 	152 , 	102 , 	190 ," 	7,711 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	214 , 	589 , 	240 , 	231 , 	602 , 	207 , 	207 , 	80 , 	24 , 	69 , 	259 , 	412 , 	331 , 	287 , 	277 , 	190 , 	231 , 	366 , 	279 , 	335 , 	257 , 	146 , 	112 , 	185 , 	75 , 	876 , 	928 ," 	1,016 ", 	826 , 	186 , 	208 , 	150 , 	148 , 	246 , 	219 , 	76 , 	217 , 	85 , 	220 ," 	11,604 ",,,Dtwn SF," 	4,015 "," 	13,440 "," 	33,880 "," 	11,969 "," 	17,963 "," 	21,437 "," 	102,705 ",
LM, 	48 , 	121 , 	88 , 	84 , 	280 , 	109 , 	87 , 	44 , 	74 , 	8 , 	184 , 	281 , 	234 , 	187 , 	140 , 	90 , 	127 , 	145 , 	27 , 	22 , 	25 , 	10 , 	15 , 	39 , 	31 , 	474 , 	496 , 	434 , 	355 , 	90 , 	82 , 	43 , 	72 , 	125 , 	25 , 	79 , 	199 , 	7 , 	26 ," 	5,007 ",,,OAK," 	13,639 "," 	1,427 "," 	3,363 "," 	5,015 "," 	3,466 "," 	7,622 "," 	34,533 ",
FV, 	116 , 	138 , 	57 , 	70 , 	299 , 	105 , 	150 , 	128 , 	265 , 	183 , 	13 , 	327 , 	257 , 	234 , 	268 , 	122 , 	104 , 	148 , 	56 , 	31 , 	39 , 	22 , 	38 , 	60 , 	97 , 	565 , 	650 , 	640 , 	544 , 	164 , 	200 , 	51 , 	91 , 	148 , 	37 , 	55 , 	160 , 	8 , 	40 ," 	6,679 ",,,CM line," 	32,777 "," 	3,408 "," 	9,362 "," 	2,964 "," 	2,336 "," 	3,156 "," 	54,004 ",
CL, 	101 , 	206 , 	106 , 	113 , 	398 , 	164 , 	240 , 	238 , 	444 , 	261 , 	352 , 	10 , 	213 , 	250 , 	290 , 	147 , 	195 , 	223 , 	98 , 	109 , 	106 , 	73 , 	68 , 	109 , 	106 , 	627 , 	563 , 	603 , 	491 , 	130 , 	135 , 	84 , 	74 , 	127 , 	57 , 	123 , 	267 , 	33 , 	93 ," 	8,028 ",,,RM line," 	11,493 "," 	5,723 "," 	3,131 "," 	7,826 "," 	1,491 "," 	4,188 "," 	33,854 ",
SL, 	149 , 	122 , 	22 , 	18 , 	171 , 	48 , 	105 , 	169 , 	259 , 	176 , 	254 , 	224 , 	7 , 	112 , 	194 , 	95 , 	82 , 	119 , 	39 , 	21 , 	22 , 	6 , 	7 , 	16 , 	25 , 	556 , 	597 , 	396 , 	347 , 	53 , 	71 , 	34 , 	58 , 	65 , 	27 , 	36 , 	99 , 	8 , 	32 ," 	4,839 ",,,WP line," 	18,095 "," 	4,054 "," 	2,411 "," 	1,542 "," 	6,768 "," 	1,809 "," 	34,679 ",
BF, 	38 , 	44 , 	17 , 	11 , 	153 , 	36 , 	86 , 	176 , 	324 , 	195 , 	225 , 	240 , 	113 , 	8 , 	151 , 	126 , 	133 , 	235 , 	31 , 	17 , 	18 , 	4 , 	5 , 	14 , 	33 , 	504 , 	523 , 	356 , 	272 , 	54 , 	63 , 	24 , 	33 , 	80 , 	24 , 	43 , 	240 , 	4 , 	15 ," 	4,668 ",,,FT/ED line," 	18,472 "," 	7,303 "," 	3,231 "," 	4,801 "," 	1,829 "," 	14,230 "," 	49,866 ",
HY, 	109 , 	83 , 	22 , 	26 , 	146 , 	47 , 	89 , 	185 , 	245 , 	116 , 	295 , 	302 , 	216 , 	158 , 	9 , 	160 , 	239 , 	381 , 	30 , 	21 , 	15 , 	5 , 	6 , 	14 , 	29 , 	383 , 	319 , 	260 , 	224 , 	46 , 	58 , 	25 , 	31 , 	42 , 	21 , 	22 , 	102 , 	6 , 	23 ," 	4,513 ",,,Entries," 	98,492 "," 	35,356 "," 	55,379 "," 	34,117 "," 	33,853 "," 	52,443 "," 	309,640 ",
SH, 	65 , 	102 , 	9 , 	9 , 	134 , 	94 , 	35 , 	94 , 	228 , 	102 , 	208 , 	208 , 	81 , 	96 , 	198 , 	51 , 	94 , 	168 , 	14 , 	15 , 	20 , 	2 , 	4 , 	11 , 	26 , 	174 , 	171 , 	151 , 	124 , 	28 , 	32 , 	8 , 	15 , 	40 , 	10 , 	16 , 	45 , 	3 , 	14 ," 	2,899 ",,,,,,,,,,,
UC, 	18 , 	45 , 	15 , 	17 , 	172 , 	30 , 	61 , 	173 , 	245 , 	131 , 	119 , 	196 , 	89 , 	148 , 	254 , 	116 , 	11 , 	205 , 	23 , 	28 , 	16 , 	5 , 	7 , 	11 , 	19 , 	540 , 	457 , 	296 , 	243 , 	31 , 	37 , 	16 , 	30 , 	59 , 	13 , 	17 , 	56 , 	6 , 	23 ," 	3,981 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	33 , 	86 , 	45 , 	35 , 	358 , 	56 , 	96 , 	291 , 	380 , 	151 , 	162 , 	225 , 	123 , 	258 , 	393 , 	204 , 	212 , 	26 , 	27 , 	29 , 	25 , 	7 , 	13 , 	26 , 	17 , 	780 , 	738 , 	443 , 	303 , 	41 , 	46 , 	25 , 	29 , 	82 , 	23 , 	28 , 	89 , 	5 , 	38 ," 	5,947 ",,,Dtwn SF," 	4,015 ",,,,,,,
CN, 	39 , 	52 , 	29 , 	19 , 	128 , 	28 , 	102 , 	218 , 	308 , 	27 , 	59 , 	101 , 	39 , 	34 , 	28 , 	20 , 	22 , 	26 , 	168 , 	164 , 	515 , 	124 , 	68 , 	111 , 	16 , 	714 , 	717 , 	393 , 	367 , 	61 , 	90 , 	44 , 	44 , 	105 , 	65 , 	4 , 	13 , 	82 , 	511 ," 	5,655 ",,,OAK," 	27,079 "," 	1,427 ",,,,,,
PH, 	22 , 	33 , 	23 , 	26 , 	175 , 	21 , 	89 , 	277 , 	397 , 	22 , 	32 , 	98 , 	22 , 	18 , 	19 , 	14 , 	27 , 	32 , 	188 , 	11 , 	145 , 	66 , 	42 , 	128 , 	9 ," 	1,407 "," 	1,327 ", 	476 , 	449 , 	51 , 	61 , 	59 , 	49 , 	131 , 	79 , 	4 , 	5 , 	37 , 	175 ," 	6,249 ",,,CM line," 	66,658 "," 	6,771 "," 	9,362 ",,,,,
WC, 	32 , 	34 , 	29 , 	23 , 	139 , 	22 , 	93 , 	209 , 	314 , 	23 , 	32 , 	112 , 	27 , 	21 , 	15 , 	19 , 	15 , 	25 , 	608 , 	145 , 	10 , 	75 , 	48 , 	152 , 	17 ," 	1,078 "," 	1,026 ", 	426 , 	353 , 	42 , 	61 , 	48 , 	36 , 	100 , 	53 , 	4 , 	8 , 	80 , 	222 ," 	5,778 ",,,RM line," 	23,462 "," 	10,738 "," 	6,095 "," 	7,826 ",,,,
LF, 	9 , 	13 , 	6 , 	9 , 	78 , 	6 , 	30 , 	117 , 	184 , 	8 , 	22 , 	70 , 	6 , 	2 , 	6 , 	2 , 	6 , 	6 , 	145 , 	79 , 	93 , 	6 , 	18 , 	78 , 	4 , 	805 , 	682 , 	232 , 	201 , 	17 , 	29 , 	19 , 	6 , 	38 , 	16 , 	2 , 	4 , 	11 , 	33 ," 	3,101 ",,,WP line," 	36,058 "," 	7,520 "," 	4,747 "," 	3,033 "," 	6,768 ",,,
OR, 	12 , 	10 , 	11 , 	11 , 	61 , 	12 , 	39 , 	83 , 	144 , 	12 , 	36 , 	64 , 	7 , 	7 , 	7 , 	3 , 	6 , 	13 , 	64 , 	54 , 	48 , 	17 , 	4 , 	73 , 	4 , 	708 , 	626 , 	210 , 	195 , 	20 , 	24 , 	13 , 	16 , 	38 , 	19 , 	1 , 	3 , 	11 , 	27 ," 	2,712 ",,,FT/ED line," 	39,909 "," 	14,926 "," 	6,387 "," 	8,989 "," 	3,638 "," 	14,230 "," 	309,640 ",
RR, 	26 , 	32 , 	20 , 	26 , 	59 , 	11 , 	50 , 	113 , 	218 , 	44 , 	60 , 	104 , 	23 , 	16 , 	13 , 	8 , 	11 , 	22 , 	113 , 	124 , 	160 , 	78 , 	72 , 	8 , 	14 , 	914 , 	943 , 	487 , 	501 , 	106 , 	77 , 	38 , 	56 , 	80 , 	27 , 	7 , 	11 , 	17 , 	48 ," 	4,738 ",,,,,,,,,,,
OW, 	30 , 	36 , 	8 , 	14 , 	69 , 	35 , 	50 , 	38 , 	70 , 	29 , 	106 , 	95 , 	39 , 	39 , 	34 , 	20 , 	17 , 	15 , 	13 , 	8 , 	13 , 	3 , 	3 , 	14 , 	6 ," 	1,162 "," 	1,101 ", 	526 , 	397 , 	94 , 	82 , 	28 , 	48 , 	73 , 	19 , 	8 , 	23 , 	3 , 	27 ," 	4,395 ",,,,,,,,,,,
EM, 	244 , 	884 , 	456 , 	477 , 	835 , 	514 , 	764 , 	874 ," 	1,227 ", 	567 , 	653 , 	649 , 	654 , 	612 , 	440 , 	328 , 	618 , 	871 , 	846 ," 	1,729 "," 	1,262 ", 	820 , 	727 , 	892 ," 	1,289 ", 	107 , 	139 , 	344 , 	337 , 	798 ," 	1,447 "," 	1,134 "," 	1,582 "," 	1,213 "," 	1,314 ", 	477 ," 	1,472 ", 	391 , 	746 ," 	30,732 ",,,,,,,,,,,
