Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Oct 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	73 , 	69 , 	32 , 	132 , 	66 , 	53 , 	30 , 	46 , 	20 , 	78 , 	97 , 	15 , 	22 , 	15 , 	10 , 	8 , 	17 , 	20 , 	8 , 	8 , 	2 , 	2 , 	11 , 	12 , 	65 , 	52 , 	141 , 	81 , 	64 , 	80 , 	14 , 	24 , 	23 , 	18 , 	2 , 	9 , 	2 , 	16 ," 	1,445 ",,,Eastbay," 	31,815 ",,SF CBD," 	69,356 ",60.5%,,
EN, 	83 , 	10 , 	52 , 	37 , 	270 , 	82 , 	62 , 	49 , 	101 , 	32 , 	70 , 	181 , 	19 , 	19 , 	24 , 	11 , 	14 , 	35 , 	16 , 	7 , 	12 , 	3 , 	2 , 	9 , 	12 , 	209 , 	139 , 	334 , 	154 , 	51 , 	65 , 	23 , 	40 , 	34 , 	36 , 	1 , 	13 , 	1 , 	12 ," 	2,325 ",,,Westbay," 	27,662 ",,non-CBD," 	45,218 ",39.5%,,
EP, 	65 , 	42 , 	4 , 	26 , 	220 , 	43 , 	32 , 	25 , 	48 , 	22 , 	37 , 	147 , 	10 , 	8 , 	8 , 	5 , 	5 , 	18 , 	6 , 	3 , 	6 , 	4 , 	2 , 	7 , 	4 , 	120 , 	95 , 	212 , 	105 , 	21 , 	22 , 	8 , 	12 , 	12 , 	10 , 	2 , 	4 , 	2 , 	4 ," 	1,421 ",,,Transbay," 	55,097 ",,,,,,
NB, 	118 , 	26 , 	21 , 	8 , 	125 , 	24 , 	19 , 	24 , 	77 , 	17 , 	28 , 	136 , 	6 , 	7 , 	6 , 	1 , 	4 , 	14 , 	3 , 	4 , 	6 , 	3 , 	1 , 	7 , 	4 , 	133 , 	109 , 	333 , 	132 , 	39 , 	31 , 	9 , 	6 , 	13 , 	10 , 	0 , 	4 , 	0 , 	2 ," 	1,513 ",,,,,,,,,,
BK, 	163 , 	250 , 	203 , 	66 , 	16 , 	154 , 	105 , 	136 , 	200 , 	81 , 	155 , 	273 , 	44 , 	39 , 	37 , 	23 , 	51 , 	205 , 	21 , 	29 , 	46 , 	23 , 	23 , 	24 , 	25 , 	286 , 	213 , 	670 , 	343 , 	106 , 	85 , 	43 , 	29 , 	66 , 	52 , 	15 , 	51 , 	6 , 	14 ," 	4,366 ",,,Extensions," 	15,998 ",,,,,,
AS, 	65 , 	81 , 	40 , 	38 , 	110 , 	5 , 	57 , 	48 , 	77 , 	42 , 	95 , 	119 , 	20 , 	19 , 	16 , 	8 , 	16 , 	25 , 	8 , 	5 , 	9 , 	4 , 	2 , 	9 , 	18 , 	102 , 	89 , 	273 , 	158 , 	69 , 	48 , 	14 , 	11 , 	14 , 	14 , 	4 , 	5 , 	3 , 	9 ," 	1,747 ",,,,,,,,,,
MA, 	19 , 	98 , 	9 , 	8 , 	9 , 	4 , 	2 , 	9 , 	-   , 	-   , 	65 , 	70 , 	28 , 	42 , 	107 , 	67 , 	13 , 	28 , 	9 , 	5 , 	9 , 	2 , 	4 , 	7 , 	6 , 	285 , 	191 , 	585 , 	246 , 	98 , 	76 , 	16 , 	23 , 	20 , 	3 , 	-   , 	-   , 	-   , 	-   ," 	2,161 ",,,,,,,,,,
19, 	27 , 	45 , 	25 , 	30 , 	120 , 	53 , 	26 , 	6 , 	17 , 	10 , 	56 , 	80 , 	23 , 	25 , 	21 , 	13 , 	15 , 	29 , 	23 , 	12 , 	19 , 	13 , 	8 , 	24 , 	6 , 	97 , 	97 , 	237 , 	135 , 	48 , 	36 , 	15 , 	14 , 	12 , 	15 , 	3 , 	11 , 	3 , 	19 ," 	1,467 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	50 , 	83 , 	50 , 	45 , 	187 , 	71 , 	48 , 	25 , 	11 , 	24 , 	87 , 	153 , 	61 , 	76 , 	48 , 	20 , 	35 , 	60 , 	38 , 	35 , 	44 , 	18 , 	15 , 	43 , 	23 , 	208 , 	202 , 	511 , 	204 , 	60 , 	52 , 	25 , 	40 , 	41 , 	32 , 	7 , 	14 , 	10 , 	31 ," 	2,789 ",,,Dtwn SF," 	1,174 "," 	4,510 "," 	11,250 "," 	4,453 "," 	5,371 "," 	8,267 "," 	35,026 "
LM, 	19 , 	30 , 	19 , 	21 , 	71 , 	44 , 	22 , 	9 , 	21 , 	6 , 	112 , 	186 , 	74 , 	67 , 	30 , 	17 , 	36 , 	75 , 	6 , 	7 , 	7 , 	6 , 	3 , 	16 , 	20 , 	142 , 	121 , 	325 , 	183 , 	66 , 	58 , 	17 , 	28 , 	19 , 	17 , 	27 , 	49 , 	2 , 	11 ," 	1,984 ",,,OAK," 	4,744 ", 	374 , 	962 ," 	1,221 ", 	475 ," 	2,099 "," 	9,874 "
