Fast Pass Adjusted OD,,,,,,Nov 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,59,35,123,125,443,856,724,"1,082","3,447"
MT,33,47,71,108,626,"1,166","1,046","1,976","5,073"
PL,170,99,83,102,654,"1,070",707,"1,841","4,725"
CC,116,109,111,64,438,694,520,"1,356","3,409"
16,380,550,809,474,28,188,184,546,"3,158"
24,703,944,"1,201",734,193,46,171,565,"4,556"
GP,669,852,903,465,179,176,30,120,"3,394"
BP,934,"1,303","2,566","1,340",532,619,127,51,"7,472"
Entries,"3,063","3,939","5,867","3,412","3,093","4,814","3,510","7,537","35,234"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,9,40,22,180,213,92,207,782
MT,6,23,25,21,248,301,250,756,"1,630"
PL,37,21,74,45,487,859,452,"1,065","3,041"
CC,21,18,55,46,266,393,186,466,"1,450"
16,132,181,612,296,27,129,88,228,"1,694"
24,167,237,899,406,121,41,112,262,"2,244"
GP,80,134,610,163,85,89,21,54,"1,237"
BP,168,303,"1,710",445,232,249,51,37,"3,196"
Entries,630,926,"4,027","1,444","1,646","2,274","1,254","3,074","15,274"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,2,26,19,103,144,51,124,486
MT,3,15,19,21,138,178,159,486,"1,019"
PL,36,9,68,37,402,603,299,685,"2,140"
CC,17,13,40,40,215,278,98,271,972
16,100,145,438,277,30,89,56,142,"1,275"
24,128,150,658,331,81,34,59,148,"1,589"
GP,43,80,432,112,50,56,16,29,817
BP,101,178,"1,253",282,134,174,23,31,"2,174"
Entries,445,591,"2,932","1,118","1,152","1,556",762,"1,915","10,471"
