Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	115 , 	87 , 	55 , 	282 , 	96 , 	76 , 	53 , 	81 , 	20 , 	86 , 	68 , 	24 , 	30 , 	18 , 	10 , 	9 , 	18 , 	23 , 	7 , 	12 , 	7 , 	6 , 	16 , 	19 , 	63 , 	80 , 	211 , 	95 , 	87 , 	131 , 	20 , 	31 , 	28 , 	23 , 	4 , 	8 , 	3 , 	22 ," 	2,028 ",,,Eastbay," 	36,728 ",,SF CBD," 	83,582 ",60.7%,,
EN, 	108 , 	10 , 	74 , 	52 , 	569 , 	102 , 	98 , 	76 , 	152 , 	28 , 	99 , 	79 , 	32 , 	26 , 	27 , 	15 , 	20 , 	39 , 	27 , 	10 , 	16 , 	4 , 	4 , 	18 , 	18 , 	169 , 	171 , 	543 , 	184 , 	57 , 	104 , 	21 , 	44 , 	43 , 	43 , 	5 , 	14 , 	3 , 	25 ," 	3,128 ",,,Westbay," 	36,672 ",,non-CBD," 	54,101 ",39.3%,,
EP, 	80 , 	59 , 	4 , 	32 , 	491 , 	61 , 	47 , 	46 , 	90 , 	21 , 	37 , 	42 , 	16 , 	10 , 	13 , 	7 , 	7 , 	22 , 	12 , 	6 , 	16 , 	8 , 	3 , 	16 , 	3 , 	116 , 	119 , 	323 , 	118 , 	28 , 	40 , 	12 , 	12 , 	16 , 	11 , 	2 , 	7 , 	1 , 	6 ," 	1,961 ",,,Transbay," 	64,283 ",,,,,,
NB, 	477 , 	35 , 	16 , 	4 , 	165 , 	33 , 	30 , 	28 , 	83 , 	20 , 	30 , 	28 , 	10 , 	10 , 	7 , 	4 , 	5 , 	11 , 	8 , 	9 , 	7 , 	4 , 	3 , 	4 , 	7 , 	121 , 	107 , 	223 , 	134 , 	50 , 	46 , 	14 , 	9 , 	12 , 	11 , 	2 , 	8 , 	1 , 	6 ," 	1,781 ",,,,,,,,,,
BK, 	266 , 	614 , 	499 , 	215 , 	17 , 	315 , 	269 , 	219 , 	330 , 	130 , 	208 , 	202 , 	120 , 	112 , 	123 , 	45 , 	186 , 	376 , 	53 , 	87 , 	109 , 	86 , 	79 , 	50 , 	49 , 	500 , 	380 ," 	1,070 ", 	522 , 	147 , 	177 , 	117 , 	58 , 	214 , 	100 , 	33 , 	165 , 	11 , 	45 ," 	8,294 ",,,Extensions," 	17,183 ",,,,,,
AS, 	97 , 	106 , 	52 , 	47 , 	260 , 	5 , 	63 , 	74 , 	130 , 	42 , 	75 , 	78 , 	24 , 	30 , 	19 , 	9 , 	16 , 	27 , 	13 , 	8 , 	11 , 	5 , 	3 , 	12 , 	33 , 	112 , 	119 , 	287 , 	165 , 	67 , 	72 , 	13 , 	18 , 	15 , 	14 , 	4 , 	13 , 	2 , 	9 ," 	2,148 ",,,,,,,,,,
MA, 	20 , 	23 , 	8 , 	11 , 	13 , 	4 , 	4 , 	5 , 	-   , 	-   , 	103 , 	101 , 	49 , 	60 , 	348 , 	82 , 	13 , 	53 , 	11 , 	6 , 	10 , 	3 , 	3 , 	8 , 	8 , 	292 , 	281 , 	618 , 	312 , 	111 , 	111 , 	20 , 	26 , 	35 , 	5 , 	-   , 	-   , 	-   , 	-   ," 	2,756 ",,,,,,,,,,
19, 	52 , 	75 , 	46 , 	43 , 	183 , 	70 , 	42 , 	9 , 	27 , 	13 , 	57 , 	63 , 	38 , 	45 , 	35 , 	23 , 	27 , 	36 , 	33 , 	20 , 	32 , 	20 , 	11 , 	33 , 	18 , 	101 , 	114 , 	297 , 	176 , 	59 , 	70 , 	17 , 	25 , 	24 , 	18 , 	8 , 	16 , 	7 , 	40 ," 	2,024 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	67 , 	147 , 	77 , 	70 , 	284 , 	123 , 	66 , 	29 , 	13 , 	21 , 	101 , 	135 , 	85 , 	118 , 	83 , 	40 , 	62 , 	93 , 	68 , 	49 , 	65 , 	23 , 	30 , 	52 , 	51 , 	203 , 	241 , 	671 , 	260 , 	89 , 	79 , 	41 , 	55 , 	55 , 	58 , 	11 , 	30 , 	9 , 	51 ," 	3,803 ",,,Dtwn SF," 	1,540 "," 	5,248 "," 	14,758 "," 	6,201 "," 	5,933 "," 	9,355 "," 	43,035 "
LM, 	16 , 	35 , 	20 , 	23 , 	127 , 	37 , 	22 , 	12 , 	22 , 	5 , 	69 , 	76 , 	103 , 	92 , 	35 , 	23 , 	49 , 	42 , 	8 , 	6 , 	8 , 	5 , 	5 , 	11 , 	19 , 	125 , 	152 , 	429 , 	146 , 	60 , 	60 , 	20 , 	31 , 	19 , 	17 , 	41 , 	55 , 	2 , 	6 ," 	2,033 ",,,OAK," 	5,650 ", 	496 ," 	1,295 "," 	1,732 ", 	669 ," 	2,710 "," 	12,552 "
