Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	10 , 	70 , 	72 , 	39 , 	166 , 	73 , 	52 , 	30 , 	62 , 	24 , 	61 , 	103 , 	19 , 	22 , 	13 , 	10 , 	10 , 	20 , 	18 , 	6 , 	5 , 	2 , 	1 , 	11 , 	9 , 	52 , 	42 , 	159 , 	80 , 	60 , 	88 , 	10 , 	26 , 	22 , 	20 , 	1 , 	6 , 	1 , 	18 ," 	1,494 ",,,Eastbay," 	33,474 ",,SF CBD," 	54,478 ",54.2%,,
EN, 	73 , 	9 , 	55 , 	40 , 	282 , 	87 , 	58 , 	49 , 	102 , 	26 , 	59 , 	155 , 	19 , 	23 , 	17 , 	15 , 	12 , 	31 , 	14 , 	7 , 	13 , 	5 , 	3 , 	9 , 	14 , 	91 , 	106 , 	349 , 	128 , 	37 , 	75 , 	25 , 	38 , 	40 , 	37 , 	2 , 	9 , 	1 , 	16 ," 	2,130 ",,,Westbay," 	24,086 ",,non-CBD," 	46,093 ",45.8%,,
EP, 	66 , 	33 , 	4 , 	23 , 	222 , 	40 , 	28 , 	24 , 	46 , 	22 , 	25 , 	154 , 	13 , 	8 , 	10 , 	4 , 	10 , 	17 , 	6 , 	5 , 	9 , 	3 , 	4 , 	12 , 	3 , 	55 , 	65 , 	164 , 	87 , 	21 , 	20 , 	10 , 	6 , 	11 , 	11 , 	2 , 	7 , 	1 , 	6 ," 	1,252 ",,,Transbay," 	43,011 ",,,,,,
NB, 	312 , 	21 , 	13 , 	3 , 	46 , 	22 , 	17 , 	22 , 	56 , 	12 , 	16 , 	95 , 	7 , 	5 , 	4 , 	1 , 	5 , 	12 , 	6 , 	4 , 	5 , 	2 , 	1 , 	5 , 	4 , 	51 , 	68 , 	141 , 	92 , 	32 , 	26 , 	6 , 	5 , 	6 , 	7 , 	2 , 	3 , 	1 , 	3 ," 	1,139 ",,,,,,,,,,
BK, 	159 , 	235 , 	214 , 	69 , 	14 , 	143 , 	108 , 	140 , 	219 , 	76 , 	112 , 	198 , 	49 , 	36 , 	43 , 	27 , 	47 , 	153 , 	23 , 	26 , 	28 , 	20 , 	12 , 	17 , 	32 , 	213 , 	176 , 	593 , 	301 , 	103 , 	90 , 	38 , 	27 , 	59 , 	46 , 	13 , 	45 , 	4 , 	19 ," 	3,923 ",,,Extensions," 	13,941 ",,,,,,
AS, 	66 , 	74 , 	36 , 	30 , 	119 , 	4 , 	43 , 	52 , 	80 , 	35 , 	76 , 	123 , 	17 , 	18 , 	17 , 	9 , 	17 , 	20 , 	7 , 	6 , 	8 , 	5 , 	3 , 	6 , 	26 , 	70 , 	65 , 	183 , 	126 , 	59 , 	43 , 	12 , 	9 , 	12 , 	13 , 	4 , 	12 , 	3 , 	7 ," 	1,512 ",,,,,,,,,,
MA, 	16 , 	30 , 	8 , 	11 , 	13 , 	2 , 	4 , 	10 , 	-   , 	-   , 	76 , 	73 , 	28 , 	47 , 	146 , 	60 , 	14 , 	34 , 	12 , 	4 , 	9 , 	4 , 	2 , 	8 , 	14 , 	185 , 	152 , 	400 , 	203 , 	89 , 	75 , 	16 , 	31 , 	22 , 	5 , 	-   , 	-   , 	-   , 	-   ," 	1,799 ",,,,,,,,,,
19, 	26 , 	38 , 	21 , 	31 , 	116 , 	47 , 	27 , 	7 , 	18 , 	6 , 	34 , 	80 , 	21 , 	23 , 	21 , 	13 , 	15 , 	19 , 	17 , 	13 , 	15 , 	10 , 	5 , 	25 , 	10 , 	67 , 	67 , 	184 , 	108 , 	37 , 	35 , 	11 , 	9 , 	14 , 	16 , 	3 , 	9 , 	4 , 	17 ," 	1,233 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	49 , 	82 , 	40 , 	43 , 	178 , 	70 , 	39 , 	21 , 	8 , 	21 , 	67 , 	213 , 	53 , 	68 , 	50 , 	17 , 	36 , 	45 , 	38 , 	28 , 	35 , 	12 , 	12 , 	44 , 	31 , 	137 , 	168 , 	461 , 	189 , 	67 , 	52 , 	21 , 	39 , 	38 , 	40 , 	5 , 	15 , 	8 , 	39 ," 	2,570 ",,,Dtwn SF," 	1,047 "," 	3,299 "," 	9,362 "," 	3,469 "," 	3,317 "," 	6,304 "," 	26,797 "
LM, 	18 , 	30 , 	19 , 	25 , 	71 , 	36 , 	22 , 	6 , 	20 , 	7 , 	79 , 	216 , 	78 , 	63 , 	27 , 	16 , 	31 , 	41 , 	4 , 	9 , 	9 , 	3 , 	1 , 	10 , 	21 , 	81 , 	107 , 	288 , 	130 , 	49 , 	54 , 	17 , 	29 , 	16 , 	18 , 	19 , 	36 , 	1 , 	5 ," 	1,708 ",,,OAK," 	3,583 ", 	356 , 	914 ," 	1,131 ", 	422 ," 	2,062 "," 	8,469 "
