Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	74 , 	71 , 	29 , 	132 , 	69 , 	61 , 	33 , 	48 , 	18 , 	49 , 	72 , 	13 , 	16 , 	14 , 	12 , 	7 , 	16 , 	17 , 	5 , 	7 , 	4 , 	2 , 	11 , 	11 , 	48 , 	45 , 	156 , 	75 , 	55 , 	72 , 	9 , 	22 , 	14 , 	17 , 	2 , 	8 , 	2 , 	20 ," 	1,343 ",,,Eastbay," 	25,325 ",,SF CBD," 	58,702 ",61.3%,,
EN, 	72 , 	6 , 	45 , 	33 , 	203 , 	72 , 	64 , 	45 , 	78 , 	18 , 	53 , 	96 , 	21 , 	17 , 	12 , 	10 , 	8 , 	25 , 	12 , 	5 , 	12 , 	2 , 	1 , 	8 , 	12 , 	66 , 	85 , 	353 , 	92 , 	34 , 	50 , 	21 , 	34 , 	28 , 	32 , 	1 , 	9 , 	1 , 	12 ," 	1,746 ",,,Westbay," 	25,785 ",,non-CBD," 	37,036 ",38.7%,,
EP, 	65 , 	39 , 	3 , 	23 , 	194 , 	37 , 	31 , 	29 , 	46 , 	19 , 	23 , 	92 , 	9 , 	12 , 	6 , 	3 , 	7 , 	19 , 	7 , 	3 , 	7 , 	4 , 	3 , 	8 , 	3 , 	67 , 	75 , 	242 , 	73 , 	21 , 	18 , 	6 , 	7 , 	14 , 	15 , 	1 , 	5 , 	0 , 	4 ," 	1,242 ",,,Transbay," 	44,628 ",,,,,,
NB, 	24 , 	33 , 	19 , 	4 , 	62 , 	31 , 	23 , 	33 , 	48 , 	15 , 	16 , 	96 , 	6 , 	6 , 	8 , 	1 , 	5 , 	17 , 	3 , 	6 , 	8 , 	1 , 	4 , 	6 , 	4 , 	77 , 	96 , 	269 , 	110 , 	31 , 	36 , 	16 , 	11 , 	10 , 	21 , 	1 , 	4 , 	0 , 	5 ," 	1,168 ",,,,,,,,,,
BK, 	148 , 	218 , 	196 , 	69 , 	11 , 	136 , 	114 , 	130 , 	187 , 	55 , 	101 , 	376 , 	37 , 	42 , 	40 , 	18 , 	38 , 	116 , 	17 , 	21 , 	35 , 	21 , 	15 , 	14 , 	44 , 	149 , 	141 , 	516 , 	234 , 	78 , 	62 , 	35 , 	21 , 	39 , 	57 , 	15 , 	32 , 	8 , 	16 ," 	3,601 ",,,Extensions," 	13,132 ",,,,,,
AS, 	62 , 	69 , 	36 , 	31 , 	117 , 	6 , 	51 , 	43 , 	67 , 	30 , 	57 , 	93 , 	16 , 	21 , 	15 , 	5 , 	14 , 	18 , 	4 , 	4 , 	10 , 	4 , 	1 , 	6 , 	21 , 	62 , 	71 , 	218 , 	123 , 	47 , 	38 , 	12 , 	12 , 	12 , 	18 , 	2 , 	10 , 	1 , 	8 ," 	1,433 ",,,,,,,,,,
MA, 	34 , 	42 , 	21 , 	16 , 	71 , 	35 , 	3 , 	17 , 	26 , 	9 , 	60 , 	120 , 	26 , 	43 , 	65 , 	30 , 	14 , 	30 , 	17 , 	8 , 	15 , 	6 , 	6 , 	14 , 	19 , 	139 , 	148 , 	406 , 	189 , 	77 , 	64 , 	15 , 	19 , 	17 , 	13 , 	2 , 	7 , 	3 , 	22 ," 	1,869 ",,,,,,,,,,
19, 	32 , 	37 , 	25 , 	26 , 	107 , 	43 , 	29 , 	4 , 	23 , 	11 , 	36 , 	67 , 	24 , 	28 , 	15 , 	12 , 	13 , 	24 , 	15 , 	11 , 	19 , 	9 , 	9 , 	28 , 	14 , 	67 , 	72 , 	233 , 	103 , 	39 , 	34 , 	13 , 	11 , 	15 , 	13 , 	5 , 	13 , 	7 , 	18 ," 	1,309 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	44 , 	75 , 	45 , 	48 , 	161 , 	64 , 	40 , 	17 , 	9 , 	16 , 	62 , 	125 , 	56 , 	78 , 	53 , 	18 , 	33 , 	61 , 	39 , 	27 , 	37 , 	15 , 	16 , 	35 , 	37 , 	142 , 	153 , 	554 , 	194 , 	52 , 	58 , 	24 , 	46 , 	32 , 	41 , 	6 , 	11 , 	10 , 	37 ," 	2,572 ",,,Dtwn SF," 	1,288 "," 	3,908 "," 	10,349 "," 	3,611 "," 	4,378 "," 	6,905 "," 	30,439 "
LM, 	17 , 	21 , 	17 , 	17 , 	56 , 	31 , 	16 , 	8 , 	17 , 	4 , 	75 , 	111 , 	66 , 	64 , 	26 , 	11 , 	30 , 	34 , 	4 , 	3 , 	7 , 	1 , 	2 , 	10 , 	15 , 	83 , 	95 , 	335 , 	119 , 	51 , 	50 , 	17 , 	24 , 	17 , 	16 , 	18 , 	34 , 	-   , 	6 ," 	1,528 ",,,OAK," 	3,843 ", 	418 , 	869 ," 	1,204 ", 	481 ," 	1,766 "," 	8,582 "
FV, 	54 , 	48 , 	21 , 	32 , 	106 , 	73 , 	52 , 	47 , 	61 , 	55 , 	8 , 	209 , 	92 , 	199 , 	100 , 	36 , 	34 , 	50 , 	22 , 	8 , 	12 , 	7 , 	4 , 	18 , 	49 , 	97 , 	128 , 	477 , 	139 , 	85 , 	105 , 	19 , 	32 , 	23 , 	20 , 	25 , 	56 , 	2 , 	24 ," 	2,628 ",,,CM line," 	10,663 ", 	872 ," 	3,485 ", 	953 , 	848 ," 	1,358 "," 	18,180 "
