Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	14 , 	104 , 	75 , 	47 , 	216 , 	89 , 	84 , 	49 , 	84 , 	20 , 	91 , 	64 , 	22 , 	22 , 	17 , 	9 , 	13 , 	20 , 	18 , 	8 , 	12 , 	9 , 	2 , 	8 , 	16 , 	86 , 	83 , 	243 , 	186 , 	64 , 	138 , 	17 , 	32 , 	23 , 	21 , 	5 , 	9 , 	4 , 	21 ," 	2,042 ",,,Eastbay," 	32,619 ",,SF CBD," 	92,239 ",65.4%,,
EN, 	99 , 	14 , 	72 , 	55 , 	403 , 	95 , 	103 , 	81 , 	148 , 	25 , 	86 , 	94 , 	33 , 	31 , 	31 , 	16 , 	24 , 	34 , 	21 , 	8 , 	16 , 	4 , 	5 , 	14 , 	20 , 	184 , 	183 , 	545 , 	390 , 	67 , 	101 , 	22 , 	47 , 	41 , 	41 , 	4 , 	13 , 	4 , 	23 ," 	3,196 ",,,Westbay," 	39,065 ",,non-CBD," 	48,872 ",34.6%,,
EP, 	90 , 	57 , 	8 , 	25 , 	324 , 	53 , 	39 , 	36 , 	77 , 	28 , 	37 , 	36 , 	14 , 	13 , 	10 , 	8 , 	9 , 	19 , 	9 , 	3 , 	12 , 	5 , 	3 , 	13 , 	7 , 	130 , 	146 , 	405 , 	473 , 	59 , 	34 , 	9 , 	9 , 	15 , 	7 , 	3 , 	4 , 	1 , 	6 ," 	2,233 ",,,Transbay," 	69,428 ",,,,,,
NB, 	54 , 	51 , 	30 , 	11 , 	111 , 	43 , 	42 , 	43 , 	85 , 	27 , 	41 , 	52 , 	11 , 	19 , 	18 , 	5 , 	10 , 	22 , 	10 , 	10 , 	11 , 	5 , 	4 , 	10 , 	9 , 	145 , 	210 , 	464 , 	620 , 	83 , 	65 , 	18 , 	13 , 	13 , 	10 , 	2 , 	6 , 	2 , 	7 ," 	2,386 ",,,,,,,,,,
BK, 	219 , 	397 , 	321 , 	116 , 	20 , 	211 , 	183 , 	179 , 	281 , 	86 , 	158 , 	194 , 	70 , 	69 , 	59 , 	26 , 	45 , 	128 , 	40 , 	51 , 	66 , 	41 , 	37 , 	31 , 	56 , 	297 , 	288 , 	867 , 	624 , 	117 , 	119 , 	53 , 	35 , 	66 , 	54 , 	21 , 	39 , 	7 , 	33 ," 	5,698 ",,,Extensions," 	16,245 ",,,,,,
AS, 	89 , 	104 , 	49 , 	36 , 	190 , 	7 , 	69 , 	76 , 	108 , 	38 , 	75 , 	84 , 	23 , 	34 , 	20 , 	13 , 	12 , 	28 , 	8 , 	9 , 	6 , 	6 , 	5 , 	9 , 	30 , 	117 , 	147 , 	369 , 	406 , 	96 , 	76 , 	14 , 	14 , 	14 , 	15 , 	5 , 	9 , 	2 , 	12 ," 	2,416 ",,,,,,,,,,
MA, 	80 , 	108 , 	43 , 	39 , 	177 , 	71 , 	13 , 	43 , 	86 , 	23 , 	83 , 	102 , 	36 , 	51 , 	48 , 	11 , 	17 , 	28 , 	38 , 	21 , 	31 , 	15 , 	8 , 	26 , 	36 , 	183 , 	240 , 	536 , 	564 , 	121 , 	103 , 	18 , 	28 , 	26 , 	18 , 	4 , 	17 , 	7 , 	46 ," 	3,147 ",,,,,,,,,,
19, 	54 , 	79 , 	42 , 	42 , 	171 , 	82 , 	41 , 	13 , 	28 , 	12 , 	70 , 	69 , 	44 , 	52 , 	39 , 	25 , 	29 , 	41 , 	32 , 	22 , 	37 , 	12 , 	13 , 	37 , 	29 , 	125 , 	137 , 	347 , 	317 , 	73 , 	69 , 	19 , 	23 , 	29 , 	21 , 	6 , 	16 , 	11 , 	34 ," 	2,343 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	70 , 	150 , 	78 , 	72 , 	246 , 	105 , 	79 , 	27 , 	18 , 	21 , 	105 , 	137 , 	86 , 	120 , 	79 , 	41 , 	72 , 	90 , 	62 , 	47 , 	57 , 	24 , 	26 , 	42 , 	58 , 	214 , 	242 , 	662 , 	340 , 	76 , 	79 , 	39 , 	55 , 	55 , 	52 , 	11 , 	27 , 	12 , 	49 ," 	3,822 ",,,Dtwn SF," 	1,918 "," 	6,519 "," 	15,335 "," 	7,355 "," 	6,745 "," 	9,453 "," 	47,326 "
LM, 	15 , 	28 , 	22 , 	20 , 	81 , 	35 , 	25 , 	12 , 	23 , 	10 , 	67 , 	73 , 	109 , 	107 , 	38 , 	26 , 	42 , 	47 , 	8 , 	10 , 	8 , 	4 , 	4 , 	15 , 	20 , 	119 , 	166 , 	432 , 	226 , 	60 , 	55 , 	24 , 	35 , 	19 , 	15 , 	37 , 	56 , 	3 , 	8 ," 	2,098 ",,,OAK," 	6,288 ", 	751 ," 	1,303 "," 	2,068 ", 	796 ," 	2,353 "," 	13,559 "
FV, 	72 , 	85 , 	32 , 	44 , 	150 , 	73 , 	79 , 	61 , 	110 , 	72 , 	26 , 	146 , 	146 , 	233 , 	148 , 	55 , 	45 , 	65 , 	33 , 	19 , 	25 , 	12 , 	24 , 	30 , 	63 , 	161 , 	191 , 	517 , 	320 , 	94 , 	148 , 	32 , 	39 , 	38 , 	23 , 	37 , 	71 , 	3 , 	30 ," 	3,550 ",,,CM line," 	16,561 "," 	1,276 "," 	5,251 "," 	1,458 "," 	1,019 "," 	1,646 "," 	27,210 "
CL, 	134 , 	96 , 	28 , 	36 , 	154 , 	73 , 	91 , 	64 , 	133 , 	65 , 	201 , 	32 , 	103 , 	201 , 	92 , 	61 , 	62 , 	108 , 	37 , 	31 , 	36 , 	16 , 	14 , 	24 , 	42 , 	205 , 	162 , 	466 , 	287 , 	63 , 	91 , 	27 , 	47 , 	56 , 	31 , 	36 , 	115 , 	14 , 	46 ," 	3,580 ",,,RM line," 	7,605 "," 	2,125 "," 	1,617 "," 	3,892 ", 	650 ," 	2,082 "," 	17,971 "
SL, 	57 , 	77 , 	13 , 	15 , 	72 , 	18 , 	33 , 	46 , 	66 , 	63 , 	138 , 	91 , 	8 , 	116 , 	78 , 	37 , 	33 , 	49 , 	11 , 	7 , 	7 , 	9 , 	5 , 	9 , 	11 , 	134 , 	137 , 	331 , 	171 , 	31 , 	51 , 	10 , 	20 , 	11 , 	15 , 	27 , 	45 , 	2 , 	12 ," 	2,064 ",,,WP line," 	6,535 ", 	872 ," 	1,124 ", 	680 ," 	3,063 ", 	846 ," 	13,121 "
BF, 	23 , 	38 , 	15 , 	12 , 	70 , 	28 , 	54 , 	60 , 	124 , 	103 , 	226 , 	160 , 	136 , 	10 , 	121 , 	93 , 	80 , 	107 , 	11 , 	6 , 	9 , 	2 , 	2 , 	10 , 	24 , 	112 , 	97 , 	265 , 	112 , 	24 , 	24 , 	12 , 	17 , 	18 , 	16 , 	42 , 	117 , 	2 , 	13 ," 	2,392 ",,,FT/ED line," 	7,925 "," 	2,292 "," 	1,560 "," 	2,161 ", 	783 ," 	7,205 "," 	21,926 "
HY, 	20 , 	31 , 	10 , 	19 , 	66 , 	20 , 	42 , 	41 , 	91 , 	41 , 	147 , 	115 , 	79 , 	138 , 	6 , 	87 , 	91 , 	142 , 	6 , 	6 , 	7 , 	3 , 	1 , 	7 , 	20 , 	88 , 	70 , 	185 , 	86 , 	20 , 	34 , 	10 , 	15 , 	17 , 	19 , 	14 , 	40 , 	2 , 	15 ," 	1,850 ",,,Entries," 	46,832 "," 	13,836 "," 	26,190 "," 	17,613 "," 	13,057 "," 	23,583 "," 	141,112 "
SH, 	12 , 	13 , 	9 , 	5 , 	25 , 	8 , 	14 , 	22 , 	32 , 	26 , 	56 , 	62 , 	45 , 	100 , 	83 , 	7 , 	42 , 	79 , 	10 , 	4 , 	3 , 	1 , 	1 , 	5 , 	8 , 	53 , 	40 , 	127 , 	38 , 	10 , 	27 , 	8 , 	13 , 	18 , 	9 , 	9 , 	25 , 	0 , 	12 ," 	1,056 ",,,,,,,,,,
UC, 	9 , 	21 , 	9 , 	7 , 	54 , 	16 , 	23 , 	24 , 	71 , 	46 , 	52 , 	67 , 	40 , 	77 , 	109 , 	52 , 	14 , 	100 , 	9 , 	8 , 	12 , 	2 , 	1 , 	5 , 	6 , 	103 , 	93 , 	255 , 	87 , 	12 , 	24 , 	10 , 	18 , 	15 , 	10 , 	10 , 	18 , 	4 , 	11 ," 	1,497 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	18 , 	36 , 	21 , 	16 , 	147 , 	29 , 	31 , 	41 , 	96 , 	51 , 	69 , 	123 , 	52 , 	123 , 	149 , 	81 , 	97 , 	26 , 	19 , 	14 , 	13 , 	6 , 	6 , 	10 , 	9 , 	215 , 	172 , 	487 , 	219 , 	28 , 	28 , 	13 , 	17 , 	32 , 	17 , 	10 , 	37 , 	4 , 	21 ," 	2,578 ",,,Dtwn SF," 	1,918 ",,,,,,
CN, 	15 , 	24 , 	9 , 	10 , 	35 , 	9 , 	41 , 	32 , 	70 , 	6 , 	27 , 	49 , 	13 , 	12 , 	9 , 	12 , 	11 , 	19 , 	17 , 	74 , 	294 , 	70 , 	27 , 	42 , 	7 , 	136 , 	90 , 	243 , 	136 , 	31 , 	54 , 	26 , 	25 , 	26 , 	36 , 	1 , 	9 , 	38 , 	219 ," 	2,004 ",,,OAK," 	12,807 ", 	751 ,,,,,
PH, 	8 , 	9 , 	7 , 	9 , 	51 , 	8 , 	22 , 	18 , 	47 , 	10 , 	17 , 	39 , 	5 , 	6 , 	4 , 	4 , 	7 , 	12 , 	78 , 	11 , 	84 , 	32 , 	11 , 	47 , 	5 , 	204 , 	143 , 	326 , 	184 , 	24 , 	28 , 	9 , 	15 , 	19 , 	25 , 	1 , 	6 , 	18 , 	48 ," 	1,595 ",,,CM line," 	31,896 "," 	2,579 "," 	5,251 ",,,,
WC, 	9 , 	14 , 	16 , 	9 , 	74 , 	8 , 	33 , 	30 , 	73 , 	6 , 	22 , 	43 , 	7 , 	5 , 	7 , 	5 , 	13 , 	13 , 	362 , 	82 , 	10 , 	52 , 	19 , 	63 , 	7 , 	220 , 	167 , 	378 , 	240 , 	21 , 	26 , 	19 , 	11 , 	22 , 	26 , 	3 , 	5 , 	35 , 	87 ," 	2,236 ",,,RM line," 	14,960 "," 	4,193 "," 	3,075 "," 	3,892 ",,,
LF, 	5 , 	6 , 	5 , 	5 , 	41 , 	4 , 	17 , 	13 , 	34 , 	3 , 	14 , 	27 , 	4 , 	4 , 	3 , 	1 , 	2 , 	5 , 	94 , 	32 , 	55 , 	11 , 	7 , 	34 , 	1 , 	149 , 	104 , 	260 , 	177 , 	28 , 	14 , 	8 , 	6 , 	8 , 	10 , 	1 , 	1 , 	6 , 	14 ," 	1,209 ",,,WP line," 	13,280 "," 	1,668 "," 	2,143 "," 	1,331 "," 	3,063 ",,
OR, 	5 , 	6 , 	4 , 	4 , 	32 , 	5 , 	12 , 	12 , 	28 , 	4 , 	24 , 	21 , 	5 , 	3 , 	2 , 	1 , 	1 , 	4 , 	27 , 	10 , 	17 , 	10 , 	8 , 	51 , 	1 , 	150 , 	112 , 	237 , 	189 , 	24 , 	18 , 	5 , 	7 , 	7 , 	11 , 	-   , 	3 , 	3 , 	6 ," 	1,060 ",,,FT/ED line," 	17,378 "," 	4,645 "," 	3,205 "," 	4,242 "," 	1,629 "," 	7,205 "," 	141,112 "
RR, 	13 , 	16 , 	11 , 	15 , 	41 , 	12 , 	28 , 	41 , 	58 , 	19 , 	26 , 	31 , 	12 , 	8 , 	6 , 	2 , 	7 , 	12 , 	35 , 	52 , 	64 , 	38 , 	38 , 	22 , 	8 , 	242 , 	290 , 	634 , 	660 , 	98 , 	65 , 	22 , 	9 , 	15 , 	18 , 	3 , 	4 , 	7 , 	17 ," 	2,697 ",,,,,,,,,,
OW, 	32 , 	18 , 	6 , 	9 , 	64 , 	30 , 	34 , 	27 , 	51 , 	13 , 	64 , 	47 , 	12 , 	23 , 	17 , 	6 , 	7 , 	7 , 	5 , 	3 , 	6 , 	1 , 	2 , 	5 , 	10 , 	227 , 	238 , 	605 , 	372 , 	66 , 	71 , 	15 , 	24 , 	9 , 	8 , 	4 , 	9 , 	1 , 	8 ," 	2,149 ",,,,,,,,,,
EM, 	197 , 	454 , 	251 , 	674 , 	685 , 	359 , 	638 , 	364 , 	390 , 	185 , 	284 , 	258 , 	180 , 	138 , 	117 , 	64 , 	139 , 	294 , 	197 , 	332 , 	386 , 	283 , 	299 , 	762 , 	468 , 	37 , 	46 , 	213 , 	235 , 	332 , 	535 , 	280 , 	352 , 	325 , 	216 , 	151 , 	528 , 	113 , 	185 ," 	11,941 ",,,,,,,,,,
MT, 	171 , 	271 , 	153 , 	270 , 	363 , 	168 , 	273 , 	190 , 	303 , 	190 , 	269 , 	174 , 	176 , 	130 , 	92 , 	54 , 	135 , 	244 , 	112 , 	154 , 	187 , 	116 , 	141 , 	316 , 	296 , 	77 , 	33 , 	93 , 	123 , 	459 , 	733 , 	573 ," 	1,457 ", 	340 , 	235 , 	80 , 	224 , 	40 , 	96 ," 	9,505 ",,,,,,,,,,
