Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	105 , 	81 , 	50 , 	261 , 	88 , 	77 , 	54 , 	95 , 	21 , 	85 , 	66 , 	21 , 	21 , 	22 , 	10 , 	12 , 	12 , 	24 , 	9 , 	14 , 	6 , 	3 , 	11 , 	15 , 	62 , 	79 , 	225 , 	89 , 	89 , 	138 , 	17 , 	34 , 	27 , 	21 , 	4 , 	9 , 	4 , 	22 ," 	1,992 ",,,Eastbay," 	34,150 ",,SF CBD," 	82,416 ",61.8%,,
EN, 	108 , 	9 , 	63 , 	66 , 	443 , 	116 , 	109 , 	69 , 	166 , 	29 , 	82 , 	91 , 	34 , 	30 , 	39 , 	17 , 	20 , 	37 , 	24 , 	12 , 	20 , 	5 , 	5 , 	20 , 	25 , 	140 , 	205 , 	519 , 	176 , 	75 , 	103 , 	23 , 	51 , 	50 , 	39 , 	5 , 	13 , 	3 , 	24 ," 	3,064 ",,,Westbay," 	37,395 ",,non-CBD," 	50,846 ",38.2%,,
EP, 	91 , 	58 , 	4 , 	30 , 	347 , 	62 , 	47 , 	36 , 	94 , 	30 , 	43 , 	36 , 	16 , 	13 , 	11 , 	5 , 	10 , 	23 , 	12 , 	5 , 	16 , 	5 , 	4 , 	14 , 	8 , 	102 , 	136 , 	299 , 	106 , 	31 , 	36 , 	12 , 	10 , 	16 , 	10 , 	5 , 	5 , 	3 , 	6 ," 	1,793 ",,,Transbay," 	61,717 ",,,,,,
NB, 	50 , 	55 , 	31 , 	7 , 	123 , 	40 , 	40 , 	49 , 	99 , 	28 , 	43 , 	33 , 	16 , 	17 , 	21 , 	4 , 	8 , 	20 , 	11 , 	13 , 	14 , 	5 , 	5 , 	10 , 	9 , 	138 , 	204 , 	334 , 	200 , 	58 , 	58 , 	20 , 	12 , 	13 , 	9 , 	1 , 	6 , 	1 , 	8 ," 	1,807 ",,,,,,,,,,
BK, 	231 , 	445 , 	355 , 	127 , 	19 , 	224 , 	205 , 	201 , 	295 , 	104 , 	185 , 	136 , 	76 , 	70 , 	76 , 	34 , 	64 , 	144 , 	47 , 	46 , 	79 , 	37 , 	34 , 	35 , 	62 , 	327 , 	368 ," 	1,122 ", 	423 , 	145 , 	145 , 	68 , 	56 , 	81 , 	46 , 	17 , 	64 , 	8 , 	38 ," 	6,241 ",,,Extensions," 	16,297 ",,,,,,
AS, 	88 , 	131 , 	60 , 	35 , 	189 , 	7 , 	81 , 	78 , 	124 , 	43 , 	86 , 	66 , 	25 , 	32 , 	27 , 	13 , 	12 , 	28 , 	11 , 	8 , 	14 , 	5 , 	3 , 	8 , 	34 , 	88 , 	148 , 	297 , 	179 , 	78 , 	65 , 	15 , 	17 , 	16 , 	14 , 	7 , 	12 , 	3 , 	10 ," 	2,157 ",,,,,,,,,,
MA, 	77 , 	116 , 	41 , 	44 , 	200 , 	85 , 	7 , 	47 , 	85 , 	24 , 	86 , 	90 , 	38 , 	54 , 	41 , 	15 , 	20 , 	26 , 	33 , 	17 , 	30 , 	12 , 	10 , 	28 , 	30 , 	154 , 	276 , 	510 , 	279 , 	104 , 	103 , 	21 , 	25 , 	27 , 	18 , 	5 , 	13 , 	6 , 	50 ," 	2,848 ",,,,,,,,,,
19, 	51 , 	86 , 	40 , 	49 , 	179 , 	81 , 	46 , 	9 , 	31 , 	14 , 	62 , 	67 , 	42 , 	51 , 	42 , 	25 , 	30 , 	33 , 	42 , 	21 , 	33 , 	13 , 	14 , 	33 , 	31 , 	121 , 	140 , 	310 , 	196 , 	71 , 	78 , 	15 , 	23 , 	27 , 	21 , 	7 , 	20 , 	7 , 	33 ," 	2,198 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	95 , 	159 , 	86 , 	84 , 	282 , 	118 , 	80 , 	25 , 	13 , 	20 , 	108 , 	127 , 	107 , 	117 , 	90 , 	37 , 	72 , 	124 , 	62 , 	57 , 	68 , 	41 , 	33 , 	56 , 	63 , 	226 , 	269 , 	691 , 	274 , 	89 , 	86 , 	53 , 	57 , 	60 , 	50 , 	11 , 	42 , 	17 , 	54 ," 	4,101 ",,,Dtwn SF," 	1,577 "," 	5,756 "," 	15,447 "," 	6,170 "," 	5,443 "," 	8,798 "," 	43,191 "
LM, 	15 , 	31 , 	31 , 	25 , 	97 , 	38 , 	26 , 	14 , 	25 , 	6 , 	72 , 	72 , 	100 , 	105 , 	46 , 	20 , 	38 , 	52 , 	6 , 	6 , 	7 , 	7 , 	5 , 	15 , 	13 , 	135 , 	201 , 	421 , 	150 , 	63 , 	52 , 	19 , 	36 , 	23 , 	10 , 	37 , 	49 , 	3 , 	8 ," 	2,074 ",,,OAK," 	5,586 ", 	727 ," 	1,316 "," 	2,276 ", 	863 ," 	2,397 "," 	13,165 "
