Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	10 , 	83 , 	66 , 	28 , 	169 , 	68 , 	56 , 	28 , 	52 , 	20 , 	65 , 	60 , 	13 , 	14 , 	11 , 	9 , 	9 , 	17 , 	21 , 	6 , 	8 , 	3 , 	3 , 	11 , 	11 , 	49 , 	50 , 	154 , 	137 , 	61 , 	91 , 	18 , 	27 , 	18 , 	16 , 	0 , 	6 , 	3 , 	19 ," 	1,490 ",,,Eastbay," 	24,094 ",,SF CBD," 	73,112 ",66.3%,,
EN, 	95 , 	13 , 	48 , 	44 , 	244 , 	90 , 	66 , 	43 , 	108 , 	23 , 	49 , 	81 , 	18 , 	19 , 	18 , 	16 , 	14 , 	26 , 	18 , 	5 , 	14 , 	3 , 	4 , 	9 , 	11 , 	84 , 	102 , 	334 , 	266 , 	48 , 	64 , 	19 , 	29 , 	32 , 	37 , 	2 , 	9 , 	2 , 	14 ," 	2,124 ",,,Westbay," 	31,034 ",,non-CBD," 	37,081 ",33.7%,,
EP, 	70 , 	35 , 	9 , 	26 , 	220 , 	44 , 	34 , 	25 , 	52 , 	21 , 	31 , 	35 , 	10 , 	9 , 	5 , 	7 , 	9 , 	13 , 	6 , 	4 , 	11 , 	4 , 	4 , 	12 , 	4 , 	74 , 	74 , 	365 , 	283 , 	38 , 	25 , 	10 , 	8 , 	11 , 	9 , 	4 , 	6 , 	6 , 	7 ," 	1,616 ",,,Transbay," 	55,065 ",,,,,,
NB, 	45 , 	47 , 	34 , 	8 , 	77 , 	41 , 	37 , 	35 , 	79 , 	27 , 	34 , 	51 , 	9 , 	9 , 	16 , 	14 , 	4 , 	17 , 	10 , 	6 , 	8 , 	3 , 	4 , 	8 , 	10 , 	107 , 	132 , 	386 , 	599 , 	75 , 	51 , 	21 , 	10 , 	13 , 	11 , 	2 , 	5 , 	1 , 	6 ," 	2,053 ",,,,,,,,,,
BK, 	174 , 	230 , 	219 , 	58 , 	13 , 	131 , 	128 , 	137 , 	232 , 	75 , 	126 , 	178 , 	43 , 	49 , 	40 , 	22 , 	52 , 	177 , 	22 , 	28 , 	38 , 	21 , 	11 , 	20 , 	45 , 	240 , 	214 , 	736 , 	610 , 	119 , 	89 , 	42 , 	32 , 	53 , 	43 , 	14 , 	35 , 	5 , 	19 ," 	4,521 ",,,Extensions," 	12,396 ",,,,,,
AS, 	59 , 	81 , 	43 , 	35 , 	120 , 	8 , 	64 , 	45 , 	84 , 	37 , 	67 , 	67 , 	16 , 	30 , 	13 , 	8 , 	17 , 	19 , 	7 , 	4 , 	6 , 	3 , 	1 , 	12 , 	20 , 	91 , 	90 , 	290 , 	512 , 	96 , 	54 , 	10 , 	13 , 	12 , 	8 , 	3 , 	8 , 	1 , 	10 ," 	2,065 ",,,,,,,,,,
MA, 	60 , 	78 , 	34 , 	24 , 	125 , 	68 , 	11 , 	33 , 	55 , 	22 , 	63 , 	85 , 	23 , 	37 , 	30 , 	9 , 	13 , 	27 , 	19 , 	10 , 	17 , 	10 , 	5 , 	23 , 	33 , 	120 , 	152 , 	426 , 	531 , 	118 , 	81 , 	15 , 	20 , 	19 , 	15 , 	3 , 	12 , 	6 , 	34 ," 	2,468 ",,,,,,,,,,
19, 	27 , 	33 , 	25 , 	27 , 	111 , 	48 , 	26 , 	3 , 	25 , 	8 , 	41 , 	51 , 	23 , 	29 , 	21 , 	10 , 	13 , 	21 , 	18 , 	9 , 	24 , 	7 , 	6 , 	22 , 	18 , 	78 , 	87 , 	226 , 	290 , 	61 , 	49 , 	13 , 	10 , 	13 , 	6 , 	2 , 	8 , 	5 , 	17 ," 	1,510 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	48 , 	87 , 	46 , 	50 , 	169 , 	66 , 	44 , 	18 , 	11 , 	15 , 	77 , 	97 , 	58 , 	75 , 	49 , 	16 , 	37 , 	56 , 	40 , 	23 , 	36 , 	19 , 	16 , 	36 , 	37 , 	155 , 	177 , 	577 , 	341 , 	74 , 	63 , 	29 , 	39 , 	38 , 	41 , 	7 , 	19 , 	13 , 	29 ," 	2,820 ",,,Dtwn SF," 	1,646 "," 	5,484 "," 	12,999 "," 	6,319 "," 	5,221 "," 	7,373 "," 	39,044 "
LM, 	16 , 	24 , 	20 , 	24 , 	72 , 	27 , 	24 , 	12 , 	18 , 	8 , 	81 , 	66 , 	74 , 	78 , 	30 , 	17 , 	30 , 	44 , 	4 , 	4 , 	7 , 	2 , 	1 , 	9 , 	20 , 	105 , 	127 , 	352 , 	258 , 	52 , 	73 , 	20 , 	24 , 	14 , 	15 , 	27 , 	41 , 	1 , 	3 ," 	1,827 ",,,OAK," 	4,968 ", 	536 ," 	1,050 "," 	1,434 ", 	505 ," 	1,669 "," 	10,162 "
