Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Mar 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	63 , 	57 , 	35 , 	157 , 	75 , 	55 , 	28 , 	56 , 	20 , 	59 , 	69 , 	15 , 	14 , 	16 , 	9 , 	7 , 	16 , 	20 , 	4 , 	8 , 	3 , 	1 , 	14 , 	13 , 	55 , 	45 , 	142 , 	63 , 	57 , 	87 , 	12 , 	23 , 	16 , 	18 , 	2 , 	5 , 	3 , 	21 ," 	1,370 ",,,Eastbay," 	22,858 ",,SF CBD," 	50,602 ",59.0%,,
EN, 	73 , 	6 , 	36 , 	39 , 	216 , 	87 , 	60 , 	32 , 	92 , 	16 , 	55 , 	69 , 	18 , 	20 , 	17 , 	8 , 	11 , 	29 , 	12 , 	7 , 	11 , 	2 , 	3 , 	9 , 	9 , 	71 , 	87 , 	237 , 	100 , 	46 , 	56 , 	16 , 	29 , 	29 , 	28 , 	3 , 	9 , 	2 , 	16 ," 	1,668 ",,,Westbay," 	25,037 ",,non-CBD," 	35,114 ",41.0%,,
EP, 	67 , 	36 , 	5 , 	27 , 	214 , 	48 , 	31 , 	22 , 	44 , 	19 , 	28 , 	38 , 	14 , 	7 , 	4 , 	6 , 	10 , 	16 , 	7 , 	5 , 	8 , 	6 , 	4 , 	8 , 	4 , 	60 , 	53 , 	146 , 	86 , 	22 , 	19 , 	10 , 	8 , 	12 , 	13 , 	3 , 	6 , 	1 , 	7 ," 	1,124 ",,,Transbay," 	37,821 ",,,,,,
NB, 	39 , 	42 , 	24 , 	4 , 	65 , 	45 , 	31 , 	30 , 	66 , 	19 , 	29 , 	43 , 	10 , 	8 , 	12 , 	3 , 	4 , 	14 , 	6 , 	4 , 	6 , 	3 , 	3 , 	6 , 	7 , 	93 , 	73 , 	187 , 	125 , 	48 , 	41 , 	15 , 	11 , 	12 , 	13 , 	2 , 	4 , 	1 , 	6 ," 	1,152 ",,,,,,,,,,
BK, 	153 , 	236 , 	204 , 	64 , 	15 , 	148 , 	134 , 	129 , 	200 , 	63 , 	104 , 	304 , 	42 , 	50 , 	50 , 	23 , 	45 , 	173 , 	17 , 	26 , 	37 , 	29 , 	22 , 	18 , 	43 , 	215 , 	173 , 	532 , 	284 , 	94 , 	87 , 	46 , 	28 , 	60 , 	62 , 	16 , 	41 , 	7 , 	18 ," 	3,994 ",,,Extensions," 	10,924 ",,,,,,
AS, 	78 , 	85 , 	51 , 	37 , 	122 , 	3 , 	62 , 	45 , 	72 , 	38 , 	70 , 	61 , 	21 , 	30 , 	19 , 	9 , 	14 , 	23 , 	6 , 	6 , 	9 , 	3 , 	4 , 	7 , 	22 , 	73 , 	60 , 	158 , 	117 , 	64 , 	47 , 	15 , 	11 , 	11 , 	17 , 	4 , 	8 , 	1 , 	9 ," 	1,489 ",,,,,,,,,,
MA, 	52 , 	62 , 	31 , 	31 , 	125 , 	64 , 	6 , 	27 , 	56 , 	16 , 	56 , 	83 , 	21 , 	27 , 	21 , 	7 , 	10 , 	25 , 	21 , 	13 , 	19 , 	7 , 	6 , 	19 , 	29 , 	98 , 	104 , 	283 , 	197 , 	79 , 	60 , 	18 , 	19 , 	21 , 	19 , 	2 , 	15 , 	6 , 	41 ," 	1,797 ",,,,,,,,,,
19, 	27 , 	35 , 	17 , 	26 , 	114 , 	49 , 	30 , 	4 , 	21 , 	9 , 	43 , 	43 , 	20 , 	25 , 	19 , 	11 , 	13 , 	18 , 	20 , 	11 , 	17 , 	6 , 	6 , 	24 , 	16 , 	68 , 	74 , 	170 , 	114 , 	50 , 	41 , 	13 , 	11 , 	11 , 	11 , 	2 , 	5 , 	4 , 	12 ," 	1,209 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	54 , 	76 , 	47 , 	54 , 	164 , 	71 , 	42 , 	16 , 	13 , 	19 , 	65 , 	106 , 	55 , 	75 , 	55 , 	18 , 	38 , 	57 , 	43 , 	26 , 	31 , 	19 , 	15 , 	37 , 	32 , 	146 , 	148 , 	462 , 	194 , 	63 , 	60 , 	25 , 	34 , 	38 , 	33 , 	6 , 	10 , 	10 , 	30 ," 	2,488 ",,,Dtwn SF," 	1,105 "," 	3,485 "," 	10,003 "," 	3,244 "," 	3,305 "," 	4,919 "," 	26,061 "
LM, 	15 , 	21 , 	17 , 	18 , 	70 , 	34 , 	18 , 	11 , 	20 , 	7 , 	82 , 	53 , 	82 , 	71 , 	27 , 	14 , 	29 , 	44 , 	4 , 	4 , 	6 , 	3 , 	2 , 	9 , 	18 , 	99 , 	90 , 	267 , 	139 , 	54 , 	51 , 	20 , 	20 , 	16 , 	16 , 	25 , 	37 , 	2 , 	4 ," 	1,515 ",,,OAK," 	3,270 ", 	505 , 	911 ," 	1,396 ", 	506 ," 	1,551 "," 	8,139 "
