Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Apr 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	8 , 	67 , 	58 , 	34 , 	153 , 	65 , 	54 , 	27 , 	55 , 	19 , 	58 , 	80 , 	19 , 	14 , 	12 , 	10 , 	13 , 	20 , 	16 , 	4 , 	9 , 	3 , 	1 , 	12 , 	17 , 	41 , 	51 , 	142 , 	70 , 	65 , 	89 , 	17 , 	27 , 	16 , 	20 , 	2 , 	8 , 	4 , 	20 ," 	1,396 ",,,Eastbay," 	25,610 ",,SF CBD," 	46,732 ",55.5%,,
EN, 	56 , 	8 , 	38 , 	34 , 	192 , 	78 , 	63 , 	31 , 	84 , 	13 , 	51 , 	129 , 	14 , 	19 , 	15 , 	9 , 	12 , 	23 , 	14 , 	4 , 	11 , 	2 , 	1 , 	11 , 	9 , 	80 , 	80 , 	216 , 	88 , 	35 , 	66 , 	19 , 	22 , 	27 , 	24 , 	2 , 	7 , 	2 , 	16 ," 	1,601 ",,,Westbay," 	23,368 ",,non-CBD," 	37,483 ",44.5%,,
EP, 	68 , 	27 , 	9 , 	22 , 	192 , 	42 , 	31 , 	26 , 	46 , 	18 , 	35 , 	77 , 	12 , 	12 , 	6 , 	9 , 	9 , 	16 , 	8 , 	6 , 	10 , 	3 , 	2 , 	11 , 	2 , 	65 , 	49 , 	129 , 	72 , 	22 , 	20 , 	9 , 	4 , 	12 , 	12 , 	7 , 	6 , 	3 , 	7 ," 	1,113 ",,,Transbay," 	35,237 ",,,,,,
NB, 	36 , 	34 , 	19 , 	8 , 	55 , 	35 , 	19 , 	27 , 	53 , 	18 , 	26 , 	104 , 	8 , 	5 , 	6 , 	2 , 	3 , 	12 , 	7 , 	4 , 	7 , 	3 , 	4 , 	6 , 	7 , 	71 , 	60 , 	141 , 	114 , 	36 , 	38 , 	16 , 	5 , 	9 , 	10 , 	2 , 	5 , 	1 , 	4 ," 	1,017 ",,,,,,,,,,
BK, 	160 , 	186 , 	177 , 	52 , 	10 , 	149 , 	111 , 	120 , 	176 , 	67 , 	111 , 	221 , 	48 , 	38 , 	43 , 	20 , 	40 , 	164 , 	20 , 	20 , 	34 , 	22 , 	10 , 	21 , 	28 , 	172 , 	165 , 	477 , 	268 , 	97 , 	71 , 	35 , 	24 , 	40 , 	48 , 	11 , 	41 , 	7 , 	14 ," 	3,512 ",,,Extensions," 	11,704 ",,,,,,
AS, 	59 , 	64 , 	45 , 	31 , 	110 , 	4 , 	49 , 	48 , 	79 , 	40 , 	66 , 	111 , 	20 , 	23 , 	16 , 	9 , 	14 , 	26 , 	7 , 	7 , 	8 , 	4 , 	4 , 	7 , 	22 , 	67 , 	66 , 	145 , 	142 , 	52 , 	44 , 	9 , 	9 , 	11 , 	14 , 	5 , 	10 , 	2 , 	7 ," 	1,453 ",,,,,,,,,,
MA, 	45 , 	63 , 	28 , 	23 , 	99 , 	48 , 	7 , 	22 , 	54 , 	23 , 	56 , 	118 , 	19 , 	27 , 	26 , 	9 , 	13 , 	24 , 	23 , 	13 , 	14 , 	5 , 	3 , 	14 , 	20 , 	98 , 	97 , 	231 , 	180 , 	82 , 	63 , 	15 , 	18 , 	15 , 	18 , 	4 , 	11 , 	5 , 	32 ," 	1,661 ",,,,,,,,,,
19, 	24 , 	26 , 	20 , 	25 , 	111 , 	47 , 	22 , 	5 , 	17 , 	9 , 	32 , 	58 , 	20 , 	25 , 	18 , 	8 , 	9 , 	18 , 	13 , 	9 , 	19 , 	5 , 	3 , 	22 , 	14 , 	66 , 	65 , 	162 , 	113 , 	53 , 	40 , 	10 , 	7 , 	13 , 	14 , 	3 , 	5 , 	2 , 	16 ," 	1,142 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	47 , 	84 , 	39 , 	39 , 	148 , 	72 , 	50 , 	17 , 	12 , 	15 , 	60 , 	119 , 	51 , 	66 , 	39 , 	20 , 	35 , 	52 , 	37 , 	22 , 	32 , 	13 , 	17 , 	32 , 	27 , 	125 , 	147 , 	420 , 	180 , 	56 , 	50 , 	26 , 	33 , 	34 , 	36 , 	8 , 	16 , 	10 , 	34 ," 	2,319 ",,,Dtwn SF, 	975 ," 	3,121 "," 	9,359 "," 	2,982 "," 	2,889 "," 	4,651 "," 	23,977 "
LM, 	17 , 	17 , 	22 , 	16 , 	67 , 	37 , 	31 , 	8 , 	14 , 	3 , 	72 , 	100 , 	78 , 	64 , 	21 , 	15 , 	31 , 	44 , 	7 , 	9 , 	6 , 	3 , 	3 , 	11 , 	20 , 	116 , 	79 , 	228 , 	139 , 	59 , 	48 , 	18 , 	24 , 	18 , 	15 , 	32 , 	29 , 	2 , 	7 ," 	1,523 ",,,OAK," 	2,983 ", 	456 , 	893 ," 	1,269 ", 	464 ," 	1,582 "," 	7,646 "
FV, 	49 , 	50 , 	22 , 	29 , 	111 , 	73 , 	55 , 	33 , 	71 , 	58 , 	12 , 	195 , 	87 , 	158 , 	92 , 	42 , 	31 , 	53 , 	21 , 	11 , 	12 , 	6 , 	8 , 	21 , 	43 , 	101 , 	100 , 	304 , 	150 , 	95 , 	112 , 	21 , 	35 , 	26 , 	23 , 	25 , 	61 , 	4 , 	28 ," 	2,426 ",,,CM line," 	9,391 ", 	876 ," 	3,643 "," 	1,010 ", 	777 ," 	1,424 "," 	17,121 "
CL, 	263 , 	134 , 	88 , 	86 , 	146 , 	85 , 	87 , 	55 , 	108 , 	92 , 	313 , 	122 , 	132 , 	201 , 	132 , 	77 , 	107 , 	249 , 	97 , 	74 , 	77 , 	58 , 	50 , 	59 , 	34 , 	358 , 	227 , 	390 , 	203 , 	71 , 	74 , 	40 , 	36 , 	76 , 	49 , 	108 , 	631 , 	31 , 	95 ," 	5,306 ",,,RM line," 	2,968 "," 	1,353 "," 	1,073 "," 	2,381 ", 	407 ," 	1,909 "," 	10,091 "
