Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	144 , 	121 , 	93 , 	411 , 	129 , 	151 , 	138 , 	210 , 	51 , 	98 , 	92 , 	43 , 	36 , 	42 , 	24 , 	17 , 	36 , 	33 , 	32 , 	26 , 	14 , 	11 , 	25 , 	25 , 	203 , 	239 , 	288 , 	216 , 	111 , 	150 , 	26 , 	42 , 	50 , 	27 , 	5 , 	23 , 	8 , 	27 ," 	3,426 ",,,Eastbay," 	74,265 ",,SF CBD," 	185,190 ",63.9%,,,
EN, 	150 , 	10 , 	89 , 	88 , 	813 , 	144 , 	197 , 	378 , 	582 , 	96 , 	133 , 	170 , 	57 , 	40 , 	65 , 	29 , 	36 , 	61 , 	44 , 	29 , 	40 , 	13 , 	9 , 	22 , 	35 , 	725 , 	771 , 	644 , 	561 , 	111 , 	143 , 	54 , 	80 , 	121 , 	52 , 	7 , 	31 , 	9 , 	29 ," 	6,667 ",,,Westbay," 	76,951 ",,non-CBD," 	104,491 ",36.1%,,,
EP, 	173 , 	39 , 	24 , 	26 , 	623 , 	44 , 	155 , 	113 , 	306 , 	50 , 	70 , 	62 , 	31 , 	10 , 	34 , 	10 , 	24 , 	27 , 	16 , 	29 , 	17 , 	12 , 	5 , 	23 , 	6 , 	540 , 	290 , 	385 , 	188 , 	57 , 	26 , 	32 , 	13 , 	49 , 	11 , 	32 , 	23 , 	13 , 	16 ," 	3,604 ",,,Transbay," 	138,465 ",,,,,,,
NB, 	95 , 	90 , 	42 , 	6 , 	180 , 	50 , 	71 , 	159 , 	247 , 	60 , 	60 , 	90 , 	20 , 	15 , 	30 , 	8 , 	12 , 	31 , 	15 , 	15 , 	21 , 	6 , 	12 , 	16 , 	16 , 	461 , 	491 , 	306 , 	331 , 	78 , 	57 , 	28 , 	28 , 	50 , 	15 , 	4 , 	13 , 	4 , 	9 ," 	3,239 ",,,,,,,,,,,
BK, 	419 , 	897 , 	626 , 	193 , 	15 , 	382 , 	354 , 	430 , 	578 , 	224 , 	280 , 	292 , 	149 , 	131 , 	139 , 	93 , 	139 , 	260 , 	105 , 	154 , 	130 , 	64 , 	53 , 	43 , 	55 , 	578 , 	586 , 	731 , 	633 , 	219 , 	230 , 	121 , 	92 , 	174 , 	82 , 	29 , 	111 , 	27 , 	77 ," 	9,897 ",,,Extensions," 	40,059 ",,,,,,,
AS, 	123 , 	141 , 	64 , 	45 , 	333 , 	5 , 	72 , 	163 , 	229 , 	77 , 	96 , 	121 , 	51 , 	46 , 	49 , 	19 , 	27 , 	59 , 	23 , 	21 , 	26 , 	9 , 	10 , 	14 , 	31 , 	395 , 	452 , 	315 , 	303 , 	100 , 	89 , 	26 , 	28 , 	48 , 	19 , 	8 , 	26 , 	6 , 	16 ," 	3,686 ",,,,,,,,,,,
MA, 	151 , 	204 , 	97 , 	76 , 	330 , 	73 , 	7 , 	121 , 	201 , 	58 , 	145 , 	176 , 	97 , 	79 , 	91 , 	51 , 	57 , 	95 , 	93 , 	85 , 	84 , 	26 , 	31 , 	47 , 	50 , 	640 , 	685 , 	565 , 	565 , 	166 , 	144 , 	58 , 	60 , 	87 , 	45 , 	10 , 	43 , 	24 , 	109 ," 	5,729 ",,,,,,,,,,,
19, 	134 , 	419 , 	173 , 	168 , 	386 , 	168 , 	116 , 	9 , 	75 , 	32 , 	115 , 	155 , 	162 , 	161 , 	163 , 	141 , 	162 , 	288 , 	221 , 	294 , 	190 , 	100 , 	70 , 	96 , 	42 , 	591 , 	612 , 	484 , 	522 , 	145 , 	152 , 	117 , 	104 , 	149 , 	133 , 	37 , 	112 , 	103 , 	185 ," 	7,485 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	210 , 	651 , 	276 , 	251 , 	525 , 	235 , 	199 , 	78 , 	22 , 	53 , 	231 , 	350 , 	353 , 	365 , 	309 , 	209 , 	270 , 	450 , 	309 , 	396 , 	305 , 	182 , 	139 , 	186 , 	76 , 	872 , 	840 , 	950 , 	799 , 	212 , 	249 , 	157 , 	157 , 	241 , 	224 , 	64 , 	241 , 	114 , 	268 ," 	12,017 ",,,Dtwn SF," 	3,724 "," 	13,139 "," 	32,955 "," 	10,298 "," 	16,864 "," 	18,462 "," 	95,443 ",
LM, 	41 , 	95 , 	76 , 	63 , 	197 , 	83 , 	62 , 	32 , 	61 , 	14 , 	134 , 	186 , 	236 , 	186 , 	140 , 	77 , 	112 , 	174 , 	22 , 	21 , 	31 , 	9 , 	12 , 	24 , 	22 , 	451 , 	451 , 	423 , 	346 , 	91 , 	87 , 	37 , 	55 , 	87 , 	27 , 	87 , 	216 , 	6 , 	19 ," 	4,491 ",,,OAK," 	12,729 "," 	1,513 "," 	3,288 "," 	5,258 "," 	3,885 "," 	7,086 "," 	33,757 ",
