Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	67 , 	55 , 	32 , 	119 , 	60 , 	38 , 	26 , 	45 , 	16 , 	51 , 	76 , 	9 , 	10 , 	12 , 	10 , 	7 , 	14 , 	21 , 	8 , 	7 , 	2 , 	4 , 	10 , 	13 , 	54 , 	42 , 	137 , 	92 , 	64 , 	78 , 	11 , 	22 , 	15 , 	14 , 	1 , 	9 , 	2 , 	17 , 	1 , 	2 , 	6 , 	4 ," 	1,287 ",,,Eastbay," 	27,087 ",,SF CBD," 	68,148 ",63.8%,,,
EN, 	73 , 	10 , 	52 , 	33 , 	186 , 	85 , 	57 , 	40 , 	94 , 	24 , 	49 , 	186 , 	17 , 	20 , 	19 , 	9 , 	14 , 	28 , 	11 , 	4 , 	17 , 	2 , 	3 , 	8 , 	15 , 	161 , 	99 , 	305 , 	196 , 	46 , 	55 , 	24 , 	30 , 	23 , 	25 , 	1 , 	14 , 	3 , 	13 , 	1 , 	3 , 	15 , 	2 ," 	2,073 ",,,Westbay," 	32,385 ",,non-CBD," 	40,038 ",37.5%,,,
EP, 	64 , 	32 , 	11 , 	23 , 	186 , 	44 , 	37 , 	22 , 	57 , 	18 , 	27 , 	93 , 	13 , 	9 , 	7 , 	5 , 	9 , 	18 , 	6 , 	6 , 	7 , 	5 , 	4 , 	11 , 	2 , 	109 , 	56 , 	196 , 	130 , 	20 , 	15 , 	9 , 	5 , 	8 , 	9 , 	6 , 	7 , 	2 , 	7 , 	0 , 	1 , 	16 , 	3 ," 	1,317 ",,,Transbay," 	50,255 ",,,,,,,
NB, 	28 , 	35 , 	27 , 	7 , 	46 , 	39 , 	25 , 	24 , 	53 , 	20 , 	24 , 	110 , 	7 , 	8 , 	7 , 	3 , 	5 , 	13 , 	6 , 	6 , 	7 , 	3 , 	3 , 	10 , 	3 , 	122 , 	109 , 	220 , 	232 , 	41 , 	39 , 	16 , 	9 , 	8 , 	12 , 	2 , 	8 , 	1 , 	4 , 	1 , 	0 , 	22 , 	3 ," 	1,370 ",,,SFO Ext," 	5,013 ",,,,,,,
BK, 	145 , 	178 , 	178 , 	51 , 	12 , 	138 , 	121 , 	121 , 	179 , 	58 , 	91 , 	226 , 	40 , 	35 , 	43 , 	16 , 	34 , 	119 , 	19 , 	26 , 	33 , 	22 , 	17 , 	19 , 	27 , 	253 , 	179 , 	562 , 	419 , 	115 , 	87 , 	42 , 	18 , 	40 , 	34 , 	15 , 	35 , 	5 , 	14 , 	2 , 	2 , 	32 , 	22 ," 	3,826 ",,,Extensions," 	14,304 ",,,,,,,
AS, 	72 , 	84 , 	50 , 	35 , 	111 , 	5 , 	61 , 	53 , 	75 , 	28 , 	64 , 	98 , 	21 , 	25 , 	21 , 	9 , 	17 , 	30 , 	9 , 	5 , 	9 , 	4 , 	3 , 	8 , 	21 , 	87 , 	85 , 	183 , 	221 , 	68 , 	51 , 	11 , 	13 , 	8 , 	11 , 	3 , 	9 , 	1 , 	8 , 	0 , 	1 , 	8 , 	3 ," 	1,690 ",,,,,,,,,,,
MA, 	49 , 	66 , 	30 , 	29 , 	107 , 	62 , 	12 , 	28 , 	51 , 	17 , 	58 , 	129 , 	23 , 	31 , 	24 , 	10 , 	12 , 	26 , 	27 , 	13 , 	14 , 	7 , 	8 , 	17 , 	17 , 	154 , 	123 , 	330 , 	356 , 	91 , 	66 , 	19 , 	20 , 	15 , 	14 , 	4 , 	14 , 	6 , 	34 , 	1 , 	1 , 	14 , 	3 ," 	2,131 ",,,,,,,,,,,
19, 	28 , 	34 , 	23 , 	25 , 	104 , 	52 , 	27 , 	5 , 	19 , 	9 , 	36 , 	70 , 	25 , 	26 , 	18 , 	11 , 	15 , 	23 , 	13 , 	12 , 	18 , 	7 , 	6 , 	14 , 	18 , 	90 , 	77 , 	220 , 	173 , 	46 , 	42 , 	12 , 	10 , 	9 , 	12 , 	4 , 	10 , 	2 , 	17 , 	1 , 	-   , 	6 , 	3 ," 	1,370 ",,,,,,,,,,,
12, 	52 , 	82 , 	49 , 	42 , 	159 , 	61 , 	47 , 	15 , 	18 , 	22 , 	57 , 	113 , 	50 , 	61 , 	46 , 	23 , 	36 , 	55 , 	39 , 	32 , 	31 , 	18 , 	15 , 	28 , 	35 , 	167 , 	168 , 	485 , 	260 , 	63 , 	48 , 	34 , 	44 , 	40 , 	33 , 	4 , 	12 , 	10 , 	28 , 	1 , 	1 , 	13 , 	6 ," 	2,601 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	20 , 	24 , 	23 , 	18 , 	56 , 	31 , 	16 , 	9 , 	20 , 	6 , 	79 , 	125 , 	76 , 	65 , 	27 , 	21 , 	31 , 	41 , 	7 , 	7 , 	7 , 	2 , 	2 , 	11 , 	18 , 	129 , 	121 , 	335 , 	226 , 	62 , 	61 , 	21 , 	23 , 	13 , 	13 , 	29 , 	42 , 	2 , 	6 , 	1 , 	1 , 	15 , 	2 ," 	1,844 ",,,Dtwn SF," 	1,468 "," 	4,394 "," 	11,827 "," 	4,456 "," 	4,683 "," 	7,090 "," 	1,333 ",33917.8
FV, 	56 , 	46 , 	22 , 	28 , 	97 , 	65 , 	55 , 	39 , 	72 , 	60 , 	12 , 	173 , 	94 , 	183 , 	90 , 	43 , 	40 , 	57 , 	22 , 	12 , 	15 , 	9 , 	11 , 	17 , 	49 , 	154 , 	120 , 	369 , 	248 , 	87 , 	110 , 	26 , 	29 , 	22 , 	16 , 	23 , 	63 , 	3 , 	28 , 	2 , 	2 , 	13 , 	4 ," 	2,683 ",,,OAK," 	4,398 ", 	500 , 	944 ," 	1,316 ", 	497 ," 	1,721 ", 	84 ,9376
