Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	9 , 	62 , 	54 , 	30 , 	127 , 	61 , 	51 , 	26 , 	56 , 	17 , 	47 , 	73 , 	14 , 	19 , 	12 , 	8 , 	8 , 	18 , 	20 , 	5 , 	7 , 	4 , 	3 , 	11 , 	14 , 	54 , 	40 , 	122 , 	63 , 	45 , 	83 , 	16 , 	24 , 	12 , 	7 , 	1 , 	7 , 	1 , 	18 , 	5 , 	4 , 	13 , 	7 ," 	1,273 ",,,Eastbay," 	25,010 ",,SF CBD," 	57,539 ",62.0%,,,
EN, 	38 , 	5 , 	26 , 	28 , 	132 , 	63 , 	46 , 	26 , 	66 , 	19 , 	58 , 	146 , 	25 , 	28 , 	21 , 	13 , 	15 , 	29 , 	12 , 	5 , 	11 , 	2 , 	3 , 	3 , 	9 , 	139 , 	98 , 	274 , 	148 , 	38 , 	53 , 	18 , 	30 , 	17 , 	7 , 	3 , 	8 , 	2 , 	8 , 	21 , 	30 , 	50 , 	4 ," 	1,771 ",,,Westbay," 	29,737 ",,non-CBD," 	37,654 ",40.6%,,,
EP, 	64 , 	34 , 	9 , 	22 , 	188 , 	48 , 	35 , 	16 , 	52 , 	21 , 	25 , 	83 , 	10 , 	9 , 	9 , 	7 , 	12 , 	19 , 	6 , 	5 , 	6 , 	4 , 	5 , 	9 , 	3 , 	99 , 	59 , 	135 , 	74 , 	20 , 	17 , 	8 , 	5 , 	7 , 	2 , 	4 , 	5 , 	2 , 	10 , 	1 , 	4 , 	35 , 	7 ," 	1,189 ",,,Transbay," 	43,497 ",,,,,,,
NB, 	30 , 	38 , 	24 , 	5 , 	53 , 	32 , 	27 , 	25 , 	60 , 	21 , 	23 , 	89 , 	7 , 	9 , 	11 , 	3 , 	7 , 	17 , 	8 , 	6 , 	9 , 	5 , 	3 , 	4 , 	8 , 	107 , 	81 , 	187 , 	114 , 	43 , 	42 , 	14 , 	10 , 	8 , 	5 , 	4 , 	10 , 	0 , 	3 , 	1 , 	1 , 	45 , 	6 ," 	1,199 ",,,SFO Ext," 	9,176 ",,,,,,,
BK, 	133 , 	180 , 	163 , 	44 , 	10 , 	145 , 	97 , 	106 , 	171 , 	59 , 	87 , 	196 , 	36 , 	35 , 	31 , 	14 , 	31 , 	126 , 	23 , 	21 , 	25 , 	14 , 	11 , 	19 , 	21 , 	232 , 	158 , 	568 , 	251 , 	79 , 	60 , 	23 , 	22 , 	29 , 	13 , 	12 , 	39 , 	5 , 	8 , 	6 , 	7 , 	78 , 	33 ," 	3,418 ",,,Extensions," 	11,002 ",,,,,,,
AS, 	63 , 	68 , 	45 , 	33 , 	102 , 	4 , 	66 , 	48 , 	74 , 	33 , 	60 , 	80 , 	21 , 	25 , 	15 , 	9 , 	13 , 	28 , 	10 , 	7 , 	7 , 	4 , 	4 , 	11 , 	20 , 	105 , 	77 , 	193 , 	193 , 	65 , 	47 , 	15 , 	15 , 	7 , 	4 , 	4 , 	9 , 	2 , 	6 , 	3 , 	2 , 	28 , 	6 ," 	1,623 ",,,,,,,,,,,
MA, 	49 , 	66 , 	27 , 	24 , 	89 , 	70 , 	7 , 	22 , 	60 , 	19 , 	61 , 	130 , 	25 , 	26 , 	27 , 	11 , 	11 , 	25 , 	34 , 	16 , 	17 , 	6 , 	10 , 	18 , 	22 , 	144 , 	102 , 	290 , 	193 , 	82 , 	61 , 	22 , 	22 , 	13 , 	6 , 	4 , 	16 , 	8 , 	33 , 	1 , 	1 , 	38 , 	7 ," 	1,907 ",,,,,,,,,,,
19, 	28 , 	29 , 	20 , 	26 , 	103 , 	52 , 	25 , 	6 , 	21 , 	15 , 	33 , 	52 , 	21 , 	25 , 	21 , 	9 , 	9 , 	24 , 	11 , 	8 , 	14 , 	8 , 	5 , 	19 , 	16 , 	73 , 	63 , 	184 , 	115 , 	46 , 	38 , 	13 , 	7 , 	12 , 	3 , 	3 , 	6 , 	2 , 	11 , 	1 , 	1 , 	9 , 	10 ," 	1,196 ",,,,,,,,,,,
12, 	55 , 	87 , 	51 , 	46 , 	164 , 	68 , 	60 , 	15 , 	16 , 	22 , 	65 , 	124 , 	57 , 	71 , 	60 , 	19 , 	43 , 	56 , 	44 , 	27 , 	30 , 	17 , 	12 , 	34 , 	37 , 	157 , 	156 , 	432 , 	207 , 	53 , 	54 , 	35 , 	41 , 	40 , 	17 , 	7 , 	12 , 	10 , 	32 , 	3 , 	6 , 	40 , 	26 ," 	2,602 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	21 , 	24 , 	19 , 	58 , 	37 , 	14 , 	17 , 	19 , 	7 , 	79 , 	99 , 	72 , 	79 , 	26 , 	16 , 	34 , 	49 , 	7 , 	5 , 	7 , 	3 , 	2 , 	11 , 	20 , 	117 , 	94 , 	282 , 	151 , 	54 , 	46 , 	21 , 	18 , 	13 , 	7 , 	29 , 	36 , 	2 , 	4 , 	4 , 	2 , 	36 , 	6 ," 	1,658 ",,,Dtwn SF," 	1,103 "," 	3,519 "," 	9,487 "," 	3,415 "," 	3,755 "," 	5,958 "," 	2,386 "," 	27,236 "
