Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Aug 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	10 , 	98 , 	72 , 	46 , 	202 , 	86 , 	80 , 	43 , 	78 , 	16 , 	78 , 	82 , 	19 , 	22 , 	18 , 	13 , 	8 , 	15 , 	23 , 	10 , 	10 , 	6 , 	6 , 	14 , 	19 , 	70 , 	58 , 	208 , 	76 , 	78 , 	128 , 	17 , 	31 , 	18 , 	13 , 	1 , 	12 , 	6 , 	23 , 	3 , 	4 , 	8 , 	6 ," 	1,836 ",,,Eastbay," 	40,534 ",,SF CBD," 	89,628 ",61.6%,,,
EN, 	64 , 	6 , 	62 , 	41 , 	317 , 	92 , 	80 , 	51 , 	123 , 	26 , 	105 , 	229 , 	35 , 	48 , 	30 , 	22 , 	21 , 	48 , 	23 , 	8 , 	18 , 	3 , 	5 , 	15 , 	16 , 	229 , 	217 , 	572 , 	242 , 	73 , 	110 , 	32 , 	63 , 	33 , 	15 , 	4 , 	15 , 	5 , 	16 , 	33 , 	40 , 	59 , 	10 ," 	3,256 ",,,Westbay," 	42,967 ",,non-CBD," 	58,843 ",40.4%,,,
EP, 	106 , 	48 , 	10 , 	25 , 	333 , 	59 , 	41 , 	30 , 	105 , 	17 , 	49 , 	108 , 	20 , 	11 , 	10 , 	5 , 	12 , 	21 , 	15 , 	6 , 	9 , 	5 , 	3 , 	12 , 	5 , 	151 , 	102 , 	281 , 	82 , 	30 , 	26 , 	11 , 	12 , 	14 , 	2 , 	12 , 	10 , 	4 , 	7 , 	0 , 	3 , 	24 , 	8 ," 	1,844 ",,,Transbay," 	67,992 ",,,,,,,
NB, 	51 , 	56 , 	35 , 	8 , 	119 , 	42 , 	31 , 	38 , 	99 , 	23 , 	36 , 	123 , 	15 , 	16 , 	16 , 	6 , 	7 , 	24 , 	14 , 	9 , 	11 , 	5 , 	4 , 	11 , 	9 , 	191 , 	181 , 	310 , 	151 , 	55 , 	48 , 	19 , 	11 , 	9 , 	1 , 	3 , 	11 , 	1 , 	9 , 	2 , 	1 , 	40 , 	8 ," 	1,864 ",,,SFO Ext," 	10,854 ",,,,,,,
BK, 	218 , 	424 , 	335 , 	118 , 	12 , 	259 , 	210 , 	180 , 	308 , 	103 , 	162 , 	245 , 	89 , 	71 , 	61 , 	29 , 	60 , 	174 , 	60 , 	58 , 	86 , 	49 , 	31 , 	41 , 	37 , 	486 , 	344 ," 	1,047 ", 	434 , 	138 , 	126 , 	58 , 	39 , 	74 , 	23 , 	26 , 	75 , 	15 , 	31 , 	8 , 	7 , 	65 , 	61 ," 	6,479 ",,,Extensions," 	17,754 ",,,,,,,
AS, 	85 , 	111 , 	65 , 	36 , 	211 , 	6 , 	91 , 	83 , 	129 , 	37 , 	77 , 	124 , 	29 , 	36 , 	20 , 	16 , 	14 , 	28 , 	18 , 	9 , 	11 , 	10 , 	5 , 	9 , 	28 , 	138 , 	115 , 	267 , 	156 , 	70 , 	70 , 	16 , 	15 , 	15 , 	6 , 	5 , 	12 , 	4 , 	14 , 	1 , 	1 , 	22 , 	6 ," 	2,219 ",,,,,,,,,,,
MA, 	73 , 	111 , 	43 , 	34 , 	187 , 	94 , 	6 , 	47 , 	91 , 	22 , 	73 , 	168 , 	34 , 	45 , 	46 , 	16 , 	18 , 	32 , 	42 , 	22 , 	26 , 	8 , 	7 , 	32 , 	34 , 	227 , 	221 , 	485 , 	241 , 	109 , 	86 , 	22 , 	36 , 	18 , 	11 , 	6 , 	16 , 	9 , 	52 , 	5 , 	4 , 	25 , 	9 ," 	2,891 ",,,,,,,,,,,
19, 	51 , 	71 , 	39 , 	38 , 	167 , 	93 , 	47 , 	8 , 	27 , 	12 , 	53 , 	89 , 	38 , 	49 , 	36 , 	19 , 	27 , 	43 , 	33 , 	21 , 	27 , 	8 , 	11 , 	32 , 	29 , 	128 , 	111 , 	286 , 	177 , 	61 , 	61 , 	15 , 	19 , 	21 , 	8 , 	4 , 	13 , 	6 , 	30 , 	5 , 	2 , 	10 , 	12 ," 	2,037 ",,,,,,,,,,,
12, 	69 , 	169 , 	105 , 	83 , 	286 , 	130 , 	82 , 	20 , 	18 , 	21 , 	105 , 	188 , 	116 , 	127 , 	86 , 	46 , 	84 , 	129 , 	78 , 	58 , 	72 , 	32 , 	32 , 	57 , 	59 , 	239 , 	278 , 	701 , 	279 , 	88 , 	88 , 	48 , 	67 , 	62 , 	30 , 	9 , 	34 , 	15 , 	60 , 	10 , 	10 , 	25 , 	28 ," 	4,324 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	15 , 	40 , 	23 , 	28 , 	91 , 	35 , 	21 , 	10 , 	22 , 	6 , 	68 , 	141 , 	110 , 	122 , 	41 , 	29 , 	57 , 	60 , 	14 , 	7 , 	9 , 	3 , 	2 , 	9 , 	17 , 	136 , 	156 , 	418 , 	159 , 	53 , 	44 , 	17 , 	33 , 	20 , 	11 , 	36 , 	65 , 	2 , 	5 , 	5 , 	5 , 	25 , 	4 ," 	2,178 ",,,Dtwn SF," 	1,731 "," 	5,624 "," 	14,687 "," 	6,277 "," 	6,328 "," 	9,125 "," 	2,969 "," 	43,772 "
FV, 	67 , 	91 , 	34 , 	42 , 	164 , 	86 , 	72 , 	56 , 	113 , 	67 , 	11 , 	224 , 	143 , 	244 , 	141 , 	60 , 	63 , 	77 , 	32 , 	18 , 	18 , 	9 , 	18 , 	29 , 	82 , 	196 , 	188 , 	513 , 	196 , 	115 , 	155 , 	33 , 	42 , 	33 , 	13 , 	25 , 	94 , 	7 , 	40 , 	5 , 	5 , 	37 , 	7 ," 	3,665 ",,,OAK," 	5,465 ", 	735 ," 	1,224 "," 	2,189 ", 	864 ," 	2,724 ", 	209 ," 	13,202 "
CL, 	90 , 	247 , 	132 , 	133 , 	256 , 	132 , 	173 , 	100 , 	196 , 	132 , 	223 , 	10 , 	281 , 	333 , 	214 , 	126 , 	214 , 	461 , 	131 , 	164 , 	142 , 	94 , 	77 , 	100 , 	70 , 	327 , 	223 , 	640 , 	333 , 	114 , 	137 , 	71 , 	55 , 	87 , 	31 , 	185 , 	792 , 	62 , 	132 , 	10 , 	23 , 	51 , 	34 ," 	7,539 ",,,CM line," 	13,831 "," 	1,247 "," 	4,792 "," 	1,514 "," 	1,014 "," 	1,740 "," 	1,041 "," 	24,137 "
SL, 	19 , 	35 , 	19 , 	14 , 	83 , 	28 , 	39 , 	43 , 	138 , 	107 , 	132 , 	283 , 	10 , 	116 , 	85 , 	36 , 	40 , 	57 , 	17 , 	6 , 	10 , 	5 , 	2 , 	10 , 	20 , 	154 , 	135 , 	338 , 	117 , 	30 , 	44 , 	20 , 	31 , 	20 , 	7 , 	22 , 	47 , 	3 , 	15 , 	6 , 	5 , 	20 , 	7 ," 	2,377 ",,,RM line," 	6,110 "," 	2,138 "," 	1,501 "," 	3,869 ", 	767 ," 	2,691 ", 	422 ," 	17,076 "
BF, 	24 , 	33 , 	12 , 	14 , 	74 , 	33 , 	50 , 	47 , 	150 , 	115 , 	229 , 	327 , 	128 , 	6 , 	116 , 	88 , 	80 , 	118 , 	17 , 	8 , 	6 , 	1 , 	2 , 	8 , 	31 , 	122 , 	110 , 	274 , 	104 , 	27 , 	36 , 	15 , 	20 , 	25 , 	8 , 	29 , 	123 , 	2 , 	20 , 	3 , 	5 , 	16 , 	7 ," 	2,661 ",,,WP line," 	6,093 ", 	883 ," 	1,068 ", 	853 ," 	3,162 "," 	1,445 ", 	428 ," 	13,503 "
