Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Aug 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	72 , 	56 , 	28 , 	139 , 	71 , 	51 , 	25 , 	62 , 	19 , 	52 , 	68 , 	14 , 	16 , 	15 , 	10 , 	8 , 	20 , 	10 , 	4 , 	4 , 	3 , 	3 , 	9 , 	16 , 	59 , 	47 , 	136 , 	60 , 	49 , 	76 , 	16 , 	21 , 	16 , 	11 , 	1 , 	9 , 	4 , 	20 , 	4 , 	4 , 	16 , 	9 ," 	1,339 ",,,Eastbay," 	30,480 ",,SF CBD," 	63,165 ",60.2%,,,
EN, 	50 , 	7 , 	36 , 	31 , 	219 , 	64 , 	47 , 	30 , 	101 , 	19 , 	61 , 	189 , 	24 , 	24 , 	18 , 	13 , 	14 , 	34 , 	14 , 	4 , 	15 , 	2 , 	3 , 	7 , 	12 , 	135 , 	114 , 	321 , 	151 , 	45 , 	58 , 	14 , 	37 , 	27 , 	9 , 	4 , 	11 , 	1 , 	14 , 	20 , 	24 , 	45 , 	6 ," 	2,071 ",,,Westbay," 	30,710 ",,non-CBD," 	44,061 ",42.0%,,,
EP, 	63 , 	38 , 	8 , 	22 , 	222 , 	47 , 	39 , 	19 , 	98 , 	20 , 	32 , 	97 , 	17 , 	8 , 	6 , 	4 , 	15 , 	18 , 	8 , 	5 , 	6 , 	3 , 	3 , 	7 , 	3 , 	94 , 	79 , 	189 , 	54 , 	20 , 	19 , 	10 , 	3 , 	8 , 	3 , 	6 , 	9 , 	2 , 	7 , 	1 , 	2 , 	30 , 	7 ," 	1,351 ",,,Transbay," 	49,065 ",,,,,,,
NB, 	29 , 	39 , 	32 , 	7 , 	70 , 	38 , 	20 , 	27 , 	103 , 	24 , 	26 , 	122 , 	10 , 	10 , 	7 , 	4 , 	8 , 	19 , 	6 , 	5 , 	6 , 	5 , 	3 , 	7 , 	5 , 	106 , 	101 , 	217 , 	99 , 	44 , 	39 , 	13 , 	10 , 	8 , 	2 , 	2 , 	8 , 	1 , 	5 , 	2 , 	1 , 	41 , 	5 ," 	1,337 ",,,SFO Ext," 	9,253 ",,,,,,,
BK, 	140 , 	294 , 	223 , 	72 , 	18 , 	159 , 	125 , 	141 , 	252 , 	70 , 	106 , 	248 , 	44 , 	42 , 	38 , 	20 , 	42 , 	152 , 	27 , 	27 , 	39 , 	24 , 	22 , 	21 , 	24 , 	316 , 	220 , 	741 , 	306 , 	99 , 	99 , 	38 , 	34 , 	44 , 	12 , 	14 , 	43 , 	5 , 	13 , 	5 , 	6 , 	98 , 	39 ," 	4,503 ",,,Extensions," 	13,646 ",,,,,,,
AS, 	67 , 	84 , 	52 , 	34 , 	132 , 	3 , 	75 , 	58 , 	126 , 	38 , 	64 , 	121 , 	22 , 	25 , 	16 , 	12 , 	16 , 	31 , 	10 , 	6 , 	9 , 	4 , 	2 , 	6 , 	21 , 	82 , 	75 , 	195 , 	124 , 	53 , 	50 , 	10 , 	16 , 	13 , 	4 , 	5 , 	12 , 	2 , 	12 , 	2 , 	2 , 	33 , 	4 ," 	1,728 ",,,,,,,,,,,
MA, 	55 , 	56 , 	32 , 	20 , 	118 , 	72 , 	9 , 	30 , 	90 , 	18 , 	53 , 	144 , 	27 , 	31 , 	30 , 	16 , 	11 , 	25 , 	26 , 	9 , 	13 , 	8 , 	8 , 	20 , 	20 , 	145 , 	115 , 	316 , 	186 , 	78 , 	69 , 	15 , 	24 , 	18 , 	9 , 	4 , 	16 , 	5 , 	46 , 	4 , 	2 , 	40 , 	10 ," 	2,040 ",,,,,,,,,,,
19, 	29 , 	32 , 	23 , 	32 , 	125 , 	64 , 	28 , 	5 , 	23 , 	10 , 	36 , 	72 , 	24 , 	31 , 	20 , 	9 , 	10 , 	25 , 	19 , 	12 , 	19 , 	6 , 	5 , 	24 , 	20 , 	92 , 	79 , 	208 , 	125 , 	49 , 	36 , 	15 , 	14 , 	14 , 	4 , 	2 , 	7 , 	2 , 	18 , 	2 , 	2 , 	20 , 	7 ," 	1,401 ",,,,,,,,,,,
12, 	62 , 	117 , 	97 , 	87 , 	226 , 	118 , 	88 , 	22 , 	19 , 	25 , 	94 , 	176 , 	94 , 	103 , 	65 , 	37 , 	62 , 	113 , 	48 , 	48 , 	54 , 	34 , 	29 , 	89 , 	46 , 	216 , 	178 , 	563 , 	266 , 	82 , 	76 , 	46 , 	55 , 	49 , 	23 , 	13 , 	43 , 	13 , 	39 , 	12 , 	6 , 	33 , 	34 ," 	3,700 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	26 , 	21 , 	25 , 	70 , 	37 , 	18 , 	13 , 	21 , 	6 , 	81 , 	155 , 	83 , 	77 , 	27 , 	17 , 	38 , 	43 , 	6 , 	4 , 	5 , 	1 , 	2 , 	8 , 	17 , 	120 , 	102 , 	323 , 	142 , 	58 , 	55 , 	16 , 	22 , 	15 , 	6 , 	32 , 	41 , 	1 , 	4 , 	2 , 	1 , 	45 , 	3 ," 	1,811 ",,,Dtwn SF," 	1,262 "," 	4,083 "," 	9,885 "," 	4,120 "," 	4,182 "," 	6,793 "," 	2,358 "," 	30,325 "
FV, 	54 , 	54 , 	25 , 	32 , 	124 , 	75 , 	55 , 	33 , 	106 , 	66 , 	11 , 	172 , 	88 , 	195 , 	91 , 	41 , 	40 , 	56 , 	23 , 	12 , 	15 , 	5 , 	11 , 	20 , 	64 , 	132 , 	104 , 	335 , 	144 , 	91 , 	108 , 	17 , 	38 , 	24 , 	12 , 	24 , 	68 , 	6 , 	30 , 	4 , 	4 , 	46 , 	7 ," 	2,663 ",,,OAK," 	3,856 ", 	633 , 	979 ," 	1,642 ", 	655 ," 	2,159 ", 	247 ," 	9,926 "
CL, 	77 , 	197 , 	110 , 	112 , 	192 , 	116 , 	152 , 	81 , 	159 , 	136 , 	171 , 	7 , 	191 , 	262 , 	163 , 	100 , 	171 , 	357 , 	104 , 	122 , 	130 , 	78 , 	71 , 	67 , 	56 , 	337 , 	240 , 	660 , 	303 , 	99 , 	112 , 	71 , 	45 , 	69 , 	22 , 	128 , 	688 , 	49 , 	108 , 	18 , 	20 , 	54 , 	27 ," 	6,435 ",,,CM line," 	9,788 ", 	983 ," 	3,257 "," 	1,003 ", 	810 ," 	1,456 "," 	1,030 "," 	17,297 "
SL, 	11 , 	20 , 	16 , 	9 , 	43 , 	20 , 	23 , 	21 , 	104 , 	84 , 	100 , 	201 , 	7 , 	90 , 	60 , 	29 , 	28 , 	34 , 	12 , 	6 , 	7 , 	1 , 	3 , 	5 , 	13 , 	108 , 	71 , 	228 , 	83 , 	23 , 	31 , 	16 , 	19 , 	16 , 	6 , 	18 , 	28 , 	1 , 	11 , 	2 , 	2 , 	29 , 	4 ," 	1,645 ",,,RM line," 	4,020 "," 	1,671 "," 	1,026 "," 	2,672 ", 	426 ," 	2,106 ", 	406 ," 	11,923 "
BF, 	12 , 	20 , 	7 , 	13 , 	43 , 	25 , 	36 , 	32 , 	107 , 	87 , 	202 , 	268 , 	83 , 	8 , 	81 , 	75 , 	53 , 	78 , 	12 , 	5 , 	6 , 	2 , 	2 , 	7 , 	23 , 	99 , 	66 , 	213 , 	77 , 	19 , 	21 , 	11 , 	20 , 	17 , 	7 , 	29 , 	86 , 	3 , 	18 , 	4 , 	2 , 	14 , 	6 ," 	2,002 ",,,WP line," 	4,034 ", 	715 , 	822 , 	483 ," 	2,115 "," 	1,189 ", 	451 ," 	9,359 "
HY, 	14 , 	14 , 	5 , 	6 , 	40 , 	17 , 	26 , 	24 , 	68 , 	29 , 	104 , 	169 , 	74 , 	87 , 	10 , 	61 , 	66 , 	93 , 	14 , 	6 , 	8 , 	1 , 	2 , 	6 , 	10 , 	65 , 	36 , 	119 , 	44 , 	20 , 	12 , 	8 , 	13 , 	9 , 	3 , 	8 , 	29 , 	3 , 	11 , 	1 , 	2 , 	12 , 	3 ," 	1,350 ",,,FT/ED line," 	6,738 "," 	2,225 "," 	1,424 "," 	2,040 "," 	1,224 "," 	8,522 ", 	539 ," 	22,173 "
SH, 	13 , 	13 , 	5 , 	5 , 	22 , 	10 , 	15 , 	10 , 	34 , 	16 , 	35 , 	90 , 	32 , 	75 , 	61 , 	6 , 	33 , 	55 , 	9 , 	4 , 	2 , 	1 , 	0 , 	5 , 	2 , 	40 , 	26 , 	93 , 	26 , 	17 , 	14 , 	5 , 	9 , 	8 , 	4 , 	6 , 	17 , 	1 , 	12 , 	3 , 	1 , 	6 , 	2 , 	843 ,,,SFIA," 	2,045 ", 	175 , 	728 , 	235 , 	287 , 	395 , 	356 ," 	3,865 "
UC, 	9 , 	14 , 	10 , 	9 , 	38 , 	15 , 	12 , 	16 , 	63 , 	42 , 	44 , 	166 , 	34 , 	61 , 	75 , 	34 , 	9 , 	81 , 	9 , 	7 , 	8 , 	2 , 	3 , 	3 , 	6 , 	78 , 	52 , 	153 , 	43 , 	14 , 	16 , 	4 , 	14 , 	10 , 	9 , 	5 , 	21 , 	0 , 	10 , 	2 , 	2 , 	20 , 	3 ," 	1,224 ",,,Entries," 	31,744 "," 	10,486 "," 	18,122 "," 	12,196 "," 	9,700 "," 	22,620 "," 	5,388 "," 	104,867 "
