Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Dec-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	128 , 	97 , 	69 , 	351 , 	101 , 	137 , 	125 , 	194 , 	39 , 	95 , 	79 , 	40 , 	36 , 	39 , 	24 , 	17 , 	37 , 	30 , 	23 , 	21 , 	12 , 	10 , 	22 , 	22 , 	176 , 	208 , 	265 , 	202 , 	104 , 	136 , 	20 , 	39 , 	42 , 	9 , 	5 , 	19 , 	9 , 	24 , 	7 , 	4 , 	19 , 	8 ," 	3,054 ",,,Eastbay," 	70,226 ",,SF CBD," 	191,361 ",66.6%,,,
EN, 	161 , 	12 , 	91 , 	78 , 	797 , 	146 , 	204 , 	391 , 	615 , 	99 , 	113 , 	179 , 	59 , 	43 , 	58 , 	28 , 	39 , 	62 , 	42 , 	23 , 	41 , 	9 , 	14 , 	30 , 	36 , 	805 , 	893 , 	818 , 	612 , 	118 , 	150 , 	42 , 	74 , 	126 , 	22 , 	9 , 	36 , 	7 , 	28 , 	16 , 	12 , 	45 , 	21 ," 	7,200 ",,,Westbay," 	84,214 ",,non-CBD," 	100,673 ",35.0%,,,
EP, 	107 , 	78 , 	4 , 	48 , 	561 , 	67 , 	81 , 	182 , 	279 , 	75 , 	45 , 	80 , 	27 , 	17 , 	21 , 	10 , 	14 , 	35 , 	22 , 	23 , 	26 , 	8 , 	7 , 	20 , 	11 , 	389 , 	452 , 	372 , 	265 , 	44 , 	42 , 	14 , 	21 , 	50 , 	4 , 	4 , 	11 , 	3 , 	10 , 	7 , 	2 , 	36 , 	11 ," 	3,583 ",,,Transbay," 	142,031 ",,,,,,,
NB, 	69 , 	71 , 	45 , 	5 , 	190 , 	50 , 	63 , 	150 , 	222 , 	54 , 	52 , 	71 , 	21 , 	10 , 	20 , 	8 , 	8 , 	28 , 	18 , 	12 , 	22 , 	6 , 	10 , 	14 , 	16 , 	460 , 	517 , 	388 , 	333 , 	75 , 	61 , 	25 , 	23 , 	54 , 	5 , 	3 , 	11 , 	2 , 	10 , 	6 , 	3 , 	37 , 	13 ," 	3,262 ",,,SFO Ext," 	17,609 ",,,,,,,
BK, 	359 , 	791 , 	562 , 	195 , 	12 , 	383 , 	359 , 	397 , 	527 , 	231 , 	244 , 	239 , 	129 , 	126 , 	113 , 	79 , 	132 , 	230 , 	93 , 	140 , 	120 , 	58 , 	55 , 	42 , 	67 , 	506 , 	546 , 	782 , 	605 , 	209 , 	218 , 	102 , 	83 , 	152 , 	20 , 	27 , 	94 , 	28 , 	75 , 	19 , 	8 , 	76 , 	61 ," 	9,295 ",,,Extensions," 	34,558 ",,,,,,,
AS, 	98 , 	129 , 	63 , 	47 , 	348 , 	5 , 	89 , 	163 , 	222 , 	76 , 	85 , 	107 , 	43 , 	41 , 	42 , 	21 , 	23 , 	50 , 	24 , 	16 , 	24 , 	10 , 	8 , 	15 , 	41 , 	370 , 	439 , 	335 , 	298 , 	100 , 	87 , 	21 , 	31 , 	51 , 	4 , 	9 , 	22 , 	4 , 	23 , 	5 , 	5 , 	27 , 	9 ," 	3,633 ",,,,,,,,,,,
MA, 	136 , 	188 , 	81 , 	74 , 	349 , 	87 , 	8 , 	118 , 	232 , 	60 , 	135 , 	170 , 	91 , 	93 , 	85 , 	49 , 	58 , 	92 , 	92 , 	77 , 	83 , 	28 , 	28 , 	55 , 	51 , 	605 , 	678 , 	642 , 	588 , 	174 , 	131 , 	47 , 	58 , 	90 , 	18 , 	12 , 	49 , 	28 , 	114 , 	13 , 	8 , 	38 , 	25 ," 	5,838 ",,,,,,,,,,,
19, 	126 , 	383 , 	180 , 	161 , 	361 , 	162 , 	117 , 	8 , 	88 , 	37 , 	109 , 	160 , 	166 , 	171 , 	157 , 	142 , 	145 , 	290 , 	218 , 	267 , 	189 , 	98 , 	76 , 	93 , 	45 , 	577 , 	554 , 	513 , 	503 , 	133 , 	151 , 	100 , 	90 , 	130 , 	68 , 	38 , 	130 , 	92 , 	209 , 	31 , 	19 , 	19 , 	57 ," 	7,363 ",,,,,,,,,,,
12, 	203 , 	600 , 	267 , 	222 , 	453 , 	223 , 	227 , 	84 , 	20 , 	53 , 	215 , 	340 , 	363 , 	365 , 	283 , 	214 , 	243 , 	390 , 	284 , 	377 , 	284 , 	175 , 	135 , 	180 , 	106 , 	835 , 	843 , 	935 , 	747 , 	199 , 	239 , 	130 , 	151 , 	203 , 	104 , 	68 , 	190 , 	113 , 	277 , 	45 , 	29 , 	38 , 	92 ," 	11,541 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	34 , 	86 , 	75 , 	61 , 	216 , 	76 , 	59 , 	34 , 	46 , 	7 , 	146 , 	172 , 	221 , 	212 , 	134 , 	75 , 	102 , 	120 , 	25 , 	20 , 	21 , 	8 , 	9 , 	25 , 	26 , 	408 , 	440 , 	490 , 	350 , 	90 , 	82 , 	31 , 	53 , 	79 , 	14 , 	76 , 	191 , 	8 , 	23 , 	11 , 	6 , 	39 , 	11 ," 	4,410 ",,,Dtwn SF,"4,546","13,049","30,052","10,279","16,987","18,863","4,760","93,775"
