Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	51 , 	58 , 	31 , 	140 , 	63 , 	47 , 	26 , 	58 , 	18 , 	48 , 	44 , 	14 , 	20 , 	12 , 	9 , 	7 , 	14 , 	12 , 	6 , 	7 , 	2 , 	1 , 	9 , 	12 , 	43 , 	50 , 	114 , 	63 , 	51 , 	70 , 	13 , 	23 , 	14 , 	7 , 	1 , 	6 , 	2 , 	16 , 	5 , 	4 , 	13 , 	7 ," 	1,215 ",,,Eastbay," 	21,917 ",,SF CBD," 	51,786 ",61.6%,,,
EN, 	58 , 	5 , 	47 , 	40 , 	208 , 	78 , 	59 , 	30 , 	99 , 	25 , 	52 , 	71 , 	19 , 	24 , 	19 , 	8 , 	15 , 	28 , 	19 , 	6 , 	13 , 	3 , 	5 , 	8 , 	14 , 	77 , 	87 , 	273 , 	102 , 	38 , 	65 , 	25 , 	27 , 	31 , 	17 , 	2 , 	11 , 	4 , 	26 , 	6 , 	5 , 	29 , 	7 ," 	1,781 ",,,Westbay," 	27,759 ",,non-CBD," 	34,101 ",40.6%,,,
EP, 	56 , 	42 , 	1 , 	28 , 	222 , 	54 , 	33 , 	24 , 	56 , 	21 , 	14 , 	37 , 	13 , 	11 , 	5 , 	3 , 	7 , 	19 , 	6 , 	7 , 	6 , 	3 , 	3 , 	9 , 	3 , 	61 , 	54 , 	146 , 	80 , 	20 , 	21 , 	8 , 	5 , 	8 , 	2 , 	1 , 	8 , 	1 , 	8 , 	1 , 	1 , 	22 , 	6 ," 	1,138 ",,,Transbay," 	38,510 ",,,,,,,
NB, 	32 , 	35 , 	29 , 	5 , 	66 , 	33 , 	29 , 	26 , 	63 , 	21 , 	32 , 	43 , 	13 , 	10 , 	7 , 	9 , 	5 , 	13 , 	7 , 	6 , 	7 , 	3 , 	2 , 	8 , 	5 , 	86 , 	81 , 	185 , 	126 , 	47 , 	44 , 	13 , 	6 , 	7 , 	3 , 	1 , 	6 , 	1 , 	7 , 	0 , 	2 , 	31 , 	6 ," 	1,163 ",,,SFO Ext," 	7,390 ",,,,,,,
BK, 	143 , 	196 , 	212 , 	57 , 	11 , 	145 , 	128 , 	123 , 	188 , 	64 , 	88 , 	178 , 	33 , 	41 , 	39 , 	23 , 	40 , 	156 , 	20 , 	24 , 	34 , 	22 , 	18 , 	19 , 	39 , 	186 , 	159 , 	539 , 	275 , 	109 , 	77 , 	32 , 	22 , 	44 , 	12 , 	17 , 	36 , 	5 , 	18 , 	6 , 	4 , 	68 , 	40 ," 	3,686 ",,,Extensions," 	8,901 ",,,,,,,
AS, 	64 , 	73 , 	53 , 	27 , 	125 , 	4 , 	58 , 	55 , 	76 , 	26 , 	56 , 	58 , 	16 , 	18 , 	15 , 	8 , 	14 , 	21 , 	9 , 	7 , 	7 , 	6 , 	1 , 	7 , 	26 , 	71 , 	64 , 	162 , 	140 , 	65 , 	49 , 	11 , 	8 , 	7 , 	4 , 	3 , 	9 , 	2 , 	6 , 	1 , 	2 , 	15 , 	5 ," 	1,457 ",,,,,,,,,,,
MA, 	42 , 	48 , 	34 , 	22 , 	119 , 	62 , 	6 , 	29 , 	54 , 	19 , 	56 , 	78 , 	20 , 	35 , 	30 , 	14 , 	17 , 	21 , 	23 , 	13 , 	18 , 	9 , 	8 , 	22 , 	30 , 	111 , 	95 , 	252 , 	189 , 	76 , 	66 , 	19 , 	16 , 	16 , 	6 , 	2 , 	14 , 	4 , 	40 , 	5 , 	1 , 	27 , 	8 ," 	1,777 ",,,,,,,,,,,
19, 	18 , 	21 , 	24 , 	25 , 	118 , 	57 , 	25 , 	5 , 	12 , 	13 , 	32 , 	45 , 	27 , 	27 , 	19 , 	9 , 	12 , 	22 , 	15 , 	7 , 	13 , 	5 , 	5 , 	21 , 	15 , 	61 , 	72 , 	166 , 	115 , 	49 , 	39 , 	11 , 	7 , 	10 , 	5 , 	3 , 	6 , 	3 , 	18 , 	1 , 	1 , 	13 , 	7 ," 	1,182 ",,,,,,,,,,,
12, 	48 , 	76 , 	52 , 	51 , 	169 , 	75 , 	54 , 	15 , 	7 , 	16 , 	68 , 	98 , 	66 , 	69 , 	47 , 	28 , 	39 , 	60 , 	36 , 	32 , 	37 , 	18 , 	13 , 	37 , 	41 , 	156 , 	187 , 	474 , 	211 , 	68 , 	68 , 	36 , 	42 , 	38 , 	21 , 	7 , 	20 , 	8 , 	34 , 	3 , 	6 , 	37 , 	17 ," 	2,686 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	20 , 	23 , 	19 , 	62 , 	31 , 	18 , 	11 , 	12 , 	4 , 	82 , 	65 , 	71 , 	71 , 	25 , 	10 , 	31 , 	50 , 	4 , 	9 , 	11 , 	3 , 	4 , 	9 , 	19 , 	84 , 	106 , 	246 , 	140 , 	51 , 	49 , 	19 , 	22 , 	17 , 	6 , 	25 , 	30 , 	3 , 	6 , 	1 , 	1 , 	21 , 	3 ," 	1,510 ",,,Dtwn SF," 	1,091 "," 	3,555 "," 	9,132 "," 	3,260 "," 	3,187 "," 	4,647 "," 	1,791 "," 	24,872 "
FV, 	53 , 	44 , 	24 , 	30 , 	83 , 	67 , 	62 , 	36 , 	74 , 	59 , 	8 , 	71 , 	95 , 	164 , 	99 , 	34 , 	35 , 	55 , 	27 , 	7 , 	16 , 	7 , 	6 , 	19 , 	50 , 	107 , 	95 , 	287 , 	135 , 	89 , 	101 , 	17 , 	34 , 	24 , 	7 , 	18 , 	50 , 	4 , 	24 , 	3 , 	7 , 	31 , 	7 ," 	2,267 ",,,OAK," 	3,319 ", 	534 , 	895 ," 	1,335 ", 	516 ," 	1,615 ", 	170 ," 	8,214 "
CL, 	54 , 	58 , 	33 , 	29 , 	139 , 	51 , 	66 , 	50 , 	102 , 	53 , 	59 , 	10 , 	50 , 	98 , 	68 , 	44 , 	40 , 	79 , 	36 , 	24 , 	26 , 	10 , 	9 , 	14 , 	37 , 	185 , 	154 , 	536 , 	215 , 	66 , 	72 , 	37 , 	30 , 	42 , 	18 , 	23 , 	105 , 	7 , 	55 , 	8 , 	12 , 	56 , 	7 ," 	2,869 ",,,CM line," 	9,003 ", 	867 ," 	3,153 ", 	913 , 	694 ," 	1,183 ", 	854 ," 	15,812 "
SL, 	15 , 	20 , 	10 , 	13 , 	37 , 	18 , 	24 , 	27 , 	60 , 	70 , 	92 , 	57 , 	5 , 	81 , 	59 , 	25 , 	26 , 	37 , 	8 , 	4 , 	10 , 	1 , 	1 , 	7 , 	19 , 	70 , 	58 , 	187 , 	80 , 	17 , 	29 , 	11 , 	14 , 	14 , 	6 , 	13 , 	26 , 	2 , 	10 , 	4 , 	4 , 	13 , 	2 ," 	1,285 ",,,RM line," 	3,225 "," 	1,451 "," 	1,007 "," 	2,498 ", 	427 ," 	1,546 ", 	285 ," 	10,154 "
