Fast Pass Adjusted OD,,,,,,Apr 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,53,36,122,144,467,865,723,"1,067","3,476"
MT,35,48,67,133,739,"1,256","1,043","2,111","5,432"
PL,155,89,66,105,627,"1,007",630,"1,562","4,242"
CC,116,122,116,65,553,774,539,"1,422","3,707"
16,384,567,765,530,24,196,168,506,"3,139"
24,733,984,"1,152",737,207,38,135,520,"4,505"
GP,673,788,814,451,176,145,18,112,"3,176"
BP,933,"1,259","2,352","1,243",516,548,114,28,"6,993"
Entries,"3,082","3,891","5,455","3,408","3,308","4,828","3,370","7,327","34,669"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,7,37,28,199,255,115,220,881
MT,8,20,20,25,308,372,297,991,"2,040"
PL,38,16,68,40,516,771,420,970,"2,838"
CC,21,20,49,49,353,455,205,536,"1,687"
16,135,170,577,333,16,137,102,286,"1,754"
24,194,252,851,391,137,35,101,247,"2,208"
GP,98,139,547,172,95,92,16,57,"1,217"
BP,189,337,"1,654",477,272,255,57,28,"3,268"
Entries,703,960,"3,801","1,514","1,896","2,371","1,313","3,335","15,892"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,5,19,19,114,153,60,122,512
MT,3,16,14,24,178,211,181,635,"1,260"
PL,20,11,51,33,343,503,265,588,"1,813"
CC,19,15,41,49,283,301,125,340,"1,173"
16,88,122,394,269,27,100,69,161,"1,229"
24,139,140,566,288,89,34,59,165,"1,479"
GP,60,71,383,101,69,54,17,32,787
BP,133,192,"1,181",289,161,164,35,25,"2,179"
Entries,480,572,"2,648","1,072","1,264","1,520",810,"2,067","10,431"
