Fast Pass Adjusted OD,,,,,,Jun 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,38,125,140,474,862,711,"1,043","3,443"
MT,35,43,71,136,722,"1,223","1,005","2,047","5,282"
PL,158,88,61,106,613,947,614,"1,429","4,015"
CC,123,121,117,61,499,711,498,"1,262","3,392"
16,388,553,729,495,22,181,163,469,"2,999"
24,719,944,"1,096",691,194,30,139,395,"4,209"
GP,653,782,811,430,167,148,16,89,"3,097"
BP,914,"1,228","2,217","1,131",461,437,98,41,"6,528"
Entries,"3,041","3,796","5,227","3,191","3,152","4,540","3,243","6,775","32,966"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,7,35,35,196,253,120,227,893
MT,11,20,18,28,290,364,301,965,"1,997"
PL,44,18,63,44,517,771,439,935,"2,830"
CC,32,23,47,46,335,421,206,511,"1,620"
16,147,176,582,353,18,137,114,264,"1,791"
24,197,235,803,402,137,33,99,230,"2,135"
GP,103,155,582,190,96,97,14,54,"1,291"
BP,190,333,"1,587",439,265,223,58,37,"3,132"
Entries,745,967,"3,716","1,536","1,851","2,298","1,352","3,224","15,688"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,7,22,34,139,173,70,139,605
MT,4,19,16,39,169,217,195,638,"1,295"
PL,25,11,57,46,375,540,273,666,"1,993"
CC,25,24,57,58,371,412,195,427,"1,568"
16,112,128,424,336,24,94,65,152,"1,334"
24,138,162,603,371,97,29,62,166,"1,627"
GP,67,91,423,163,68,57,20,35,924
BP,148,217,"1,239",344,148,160,38,29,"2,322"
Entries,540,658,"2,840","1,390","1,389","1,681",918,"2,252","11,667"
