Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jun 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	124 , 	113 , 	87 , 	396 , 	116 , 	148 , 	127 , 	187 , 	44 , 	101 , 	93 , 	48 , 	34 , 	44 , 	23 , 	17 , 	40 , 	35 , 	21 , 	26 , 	10 , 	10 , 	21 , 	27 , 	197 , 	220 , 	269 , 	216 , 	112 , 	140 , 	23 , 	39 , 	33 , 	8 , 	9 , 	20 , 	8 , 	25 , 	10 , 	6 , 	19 , 	11 ," 	3,262 ",,,Eastbay," 	75,456 ",,SF CBD," 	198,528 ",66.7%,,,
EN, 	158 , 	12 , 	98 , 	81 , 	793 , 	151 , 	216 , 	414 , 	607 , 	101 , 	121 , 	200 , 	61 , 	46 , 	55 , 	25 , 	42 , 	72 , 	42 , 	27 , 	45 , 	7 , 	10 , 	22 , 	39 , 	859 , 	929 , 	757 , 	630 , 	123 , 	161 , 	44 , 	64 , 	73 , 	26 , 	9 , 	43 , 	7 , 	36 , 	16 , 	15 , 	55 , 	26 ," 	7,319 ",,,Westbay," 	86,204 ",,non-CBD," 	105,263 ",35.3%,,,
EP, 	121 , 	81 , 	5 , 	45 , 	562 , 	69 , 	89 , 	173 , 	265 , 	103 , 	44 , 	95 , 	30 , 	16 , 	24 , 	10 , 	15 , 	32 , 	23 , 	22 , 	22 , 	8 , 	7 , 	20 , 	13 , 	414 , 	457 , 	311 , 	297 , 	49 , 	47 , 	13 , 	17 , 	26 , 	5 , 	5 , 	17 , 	3 , 	9 , 	9 , 	4 , 	37 , 	15 ," 	3,629 ",,,Transbay," 	147,132 ",,,,,,,
NB, 	90 , 	68 , 	53 , 	5 , 	178 , 	56 , 	73 , 	158 , 	246 , 	64 , 	63 , 	107 , 	24 , 	15 , 	24 , 	9 , 	8 , 	27 , 	19 , 	14 , 	26 , 	11 , 	7 , 	13 , 	14 , 	537 , 	540 , 	334 , 	351 , 	86 , 	64 , 	21 , 	17 , 	31 , 	5 , 	6 , 	15 , 	4 , 	11 , 	6 , 	4 , 	43 , 	19 ," 	3,464 ",,,SFO Ext," 	20,848 ",,,,,,,
BK, 	417 , 	800 , 	574 , 	189 , 	14 , 	338 , 	350 , 	380 , 	544 , 	233 , 	250 , 	281 , 	140 , 	126 , 	134 , 	86 , 	148 , 	288 , 	103 , 	156 , 	139 , 	69 , 	58 , 	44 , 	50 , 	605 , 	623 , 	721 , 	655 , 	227 , 	233 , 	115 , 	81 , 	114 , 	27 , 	38 , 	130 , 	23 , 	72 , 	33 , 	14 , 	78 , 	86 ," 	9,781 ",,,Extensions," 	36,410 ",,,,,,,
AS, 	115 , 	134 , 	66 , 	54 , 	298 , 	6 , 	97 , 	173 , 	249 , 	82 , 	108 , 	134 , 	45 , 	43 , 	47 , 	18 , 	27 , 	53 , 	27 , 	21 , 	33 , 	10 , 	10 , 	17 , 	27 , 	427 , 	473 , 	325 , 	321 , 	113 , 	88 , 	22 , 	22 , 	23 , 	8 , 	11 , 	28 , 	4 , 	23 , 	7 , 	8 , 	26 , 	13 ," 	3,831 ",,,,,,,,,,,
MA, 	149 , 	205 , 	95 , 	72 , 	327 , 	91 , 	9 , 	117 , 	213 , 	59 , 	140 , 	192 , 	106 , 	95 , 	97 , 	55 , 	66 , 	102 , 	97 , 	78 , 	103 , 	35 , 	28 , 	46 , 	46 , 	660 , 	715 , 	603 , 	590 , 	191 , 	144 , 	52 , 	58 , 	62 , 	20 , 	20 , 	58 , 	27 , 	139 , 	17 , 	12 , 	44 , 	27 ," 	6,058 ",,,,,,,,,,,
19, 	127 , 	426 , 	171 , 	171 , 	353 , 	178 , 	111 , 	10 , 	70 , 	33 , 	127 , 	159 , 	184 , 	172 , 	177 , 	131 , 	163 , 	307 , 	224 , 	293 , 	188 , 	121 , 	73 , 	87 , 	38 , 	590 , 	583 , 	483 , 	513 , 	138 , 	157 , 	116 , 	85 , 	111 , 	60 , 	39 , 	171 , 	100 , 	223 , 	53 , 	21 , 	27 , 	68 ," 	7,630 ",,,,,,,,,,,
12, 	205 , 	599 , 	258 , 	253 , 	475 , 	241 , 	213 , 	71 , 	18 , 	44 , 	233 , 	367 , 	363 , 	352 , 	290 , 	209 , 	238 , 	397 , 	296 , 	404 , 	289 , 	177 , 	149 , 	182 , 	76 , 	870 , 	839 , 	829 , 	781 , 	209 , 	234 , 	135 , 	130 , 	171 , 	89 , 	92 , 	249 , 	115 , 	290 , 	65 , 	42 , 	57 , 	91 ," 	11,687 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	43 , 	88 , 	95 , 	68 , 	206 , 	78 , 	60 , 	29 , 	45 , 	6 , 	140 , 	211 , 	231 , 	218 , 	140 , 	79 , 	101 , 	143 , 	22 , 	22 , 	21 , 	12 , 	8 , 	32 , 	31 , 	476 , 	482 , 	463 , 	364 , 	94 , 	82 , 	29 , 	49 , 	52 , 	9 , 	80 , 	195 , 	14 , 	29 , 	7 , 	7 , 	22 , 	12 ," 	4,594 ",,,Dtwn SF,"4,153","13,217","30,119","10,805","17,735","20,243","5,969","96,272"
FV, 	103 , 	122 , 	50 , 	59 , 	253 , 	101 , 	140 , 	145 , 	262 , 	128 , 	11 , 	262 , 	271 , 	277 , 	261 , 	116 , 	99 , 	115 , 	53 , 	45 , 	48 , 	24 , 	35 , 	55 , 	105 , 	616 , 	640 , 	614 , 	472 , 	152 , 	177 , 	38 , 	61 , 	57 , 	17 , 	58 , 	163 , 	9 , 	50 , 	15 , 	12 , 	33 , 	16 ," 	6,340 ",,,OAK,"12,886","1,504","2,762","5,135","4,019","7,301",613,"33,606"
CL, 	98 , 	202 , 	98 , 	107 , 	285 , 	135 , 	214 , 	206 , 	398 , 	202 , 	276 , 	10 , 	211 , 	254 , 	230 , 	137 , 	156 , 	303 , 	105 , 	132 , 	125 , 	73 , 	71 , 	91 , 	109 , 	640 , 	549 , 	641 , 	482 , 	141 , 	147 , 	75 , 	61 , 	82 , 	21 , 	123 , 	555 , 	41 , 	109 , 	22 , 	21 , 	48 , 	32 ," 	8,013 ",,,CM line,"29,008","2,735","7,224","2,144","1,639","2,453","1,701","45,203"
