Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	89 , 	92 , 	56 , 	190 , 	89 , 	68 , 	35 , 	62 , 	21 , 	78 , 	76 , 	20 , 	22 , 	25 , 	16 , 	8 , 	26 , 	21 , 	8 , 	14 , 	8 , 	8 , 	13 , 	20 , 	80 , 	75 , 	205 , 	100 , 	89 , 	114 , 	22 , 	25 , 	23 , 	10 , 	5 , 	14 , 	2 , 	24 , 	8 , 	5 , 	15 , 	8 ," 	1,898 ",,,Eastbay," 	34,616 ",,SF CBD," 	90,219 ",64.8%,,,
EN, 	112 , 	12 , 	72 , 	55 , 	311 , 	117 , 	89 , 	56 , 	147 , 	21 , 	92 , 	150 , 	32 , 	34 , 	30 , 	15 , 	22 , 	50 , 	30 , 	10 , 	23 , 	7 , 	7 , 	16 , 	21 , 	265 , 	210 , 	547 , 	213 , 	67 , 	117 , 	36 , 	57 , 	44 , 	15 , 	8 , 	20 , 	5 , 	33 , 	6 , 	7 , 	33 , 	11 ," 	3,227 ",,,Westbay," 	43,388 ",,non-CBD," 	52,046 ",37.4%,,,
EP, 	107 , 	65 , 	5 , 	33 , 	273 , 	64 , 	47 , 	34 , 	79 , 	24 , 	29 , 	79 , 	13 , 	12 , 	8 , 	4 , 	10 , 	23 , 	12 , 	8 , 	12 , 	7 , 	6 , 	16 , 	8 , 	165 , 	111 , 	267 , 	120 , 	27 , 	32 , 	14 , 	11 , 	16 , 	1 , 	4 , 	11 , 	1 , 	9 , 	1 , 	1 , 	25 , 	7 ," 	1,800 ",,,Transbay," 	67,296 ",,,,,,,
NB, 	52 , 	49 , 	41 , 	5 , 	96 , 	46 , 	36 , 	35 , 	63 , 	16 , 	42 , 	78 , 	14 , 	17 , 	10 , 	7 , 	8 , 	24 , 	13 , 	8 , 	12 , 	4 , 	3 , 	12 , 	7 , 	216 , 	148 , 	285 , 	162 , 	56 , 	56 , 	16 , 	11 , 	12 , 	3 , 	4 , 	12 , 	2 , 	9 , 	1 , 	1 , 	30 , 	11 ," 	1,732 ",,,SFO Ext," 	11,277 ",,,,,,,
BK, 	199 , 	318 , 	272 , 	113 , 	16 , 	211 , 	166 , 	151 , 	253 , 	63 , 	123 , 	121 , 	60 , 	59 , 	46 , 	20 , 	40 , 	110 , 	36 , 	38 , 	52 , 	24 , 	22 , 	34 , 	38 , 	394 , 	287 , 	828 , 	358 , 	123 , 	101 , 	41 , 	26 , 	40 , 	9 , 	17 , 	50 , 	7 , 	24 , 	6 , 	5 , 	63 , 	46 ," 	5,012 ",,,Extensions," 	17,566 ",,,,,,,
AS, 	93 , 	99 , 	62 , 	49 , 	170 , 	6 , 	74 , 	71 , 	122 , 	34 , 	77 , 	78 , 	34 , 	26 , 	26 , 	14 , 	15 , 	29 , 	12 , 	11 , 	13 , 	7 , 	5 , 	10 , 	29 , 	139 , 	125 , 	257 , 	170 , 	92 , 	62 , 	18 , 	14 , 	12 , 	5 , 	6 , 	13 , 	3 , 	12 , 	2 , 	3 , 	16 , 	8 ," 	2,125 ",,,,,,,,,,,
MA, 	77 , 	94 , 	44 , 	35 , 	155 , 	80 , 	7 , 	36 , 	69 , 	15 , 	85 , 	111 , 	38 , 	56 , 	46 , 	20 , 	22 , 	30 , 	38 , 	28 , 	31 , 	15 , 	15 , 	27 , 	31 , 	243 , 	210 , 	516 , 	261 , 	122 , 	95 , 	21 , 	27 , 	23 , 	3 , 	6 , 	25 , 	6 , 	54 , 	2 , 	4 , 	28 , 	9 ," 	2,863 ",,,,,,,,,,,
19, 	37 , 	65 , 	36 , 	37 , 	143 , 	82 , 	37 , 	4 , 	22 , 	9 , 	58 , 	75 , 	36 , 	45 , 	37 , 	16 , 	23 , 	39 , 	30 , 	25 , 	33 , 	15 , 	12 , 	31 , 	21 , 	114 , 	114 , 	281 , 	169 , 	66 , 	55 , 	21 , 	20 , 	19 , 	6 , 	8 , 	18 , 	6 , 	30 , 	2 , 	3 , 	15 , 	8 ," 	1,922 ",,,,,,,,,,,
12, 	60 , 	125 , 	70 , 	66 , 	249 , 	121 , 	76 , 	21 , 	12 , 	15 , 	98 , 	146 , 	99 , 	110 , 	71 , 	41 , 	67 , 	101 , 	63 , 	49 , 	65 , 	24 , 	30 , 	42 , 	63 , 	242 , 	247 , 	611 , 	256 , 	85 , 	78 , 	41 , 	46 , 	48 , 	26 , 	13 , 	35 , 	14 , 	60 , 	9 , 	8 , 	36 , 	22 ," 	3,764 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	21 , 	26 , 	18 , 	69 , 	28 , 	16 , 	10 , 	14 , 	7 , 	54 , 	92 , 	99 , 	106 , 	42 , 	17 , 	32 , 	57 , 	9 , 	7 , 	7 , 	2 , 	3 , 	14 , 	17 , 	163 , 	153 , 	377 , 	136 , 	75 , 	44 , 	14 , 	23 , 	18 , 	1 , 	35 , 	63 , 	3 , 	8 , 	1 , 	2 , 	12 , 	6 ," 	1,920 ",,,Dtwn SF," 	1,803 "," 	5,674 "," 	14,527 "," 	5,850 "," 	6,776 "," 	9,313 "," 	3,050 "," 	43,943 "
