Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Aug 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	125 , 	109 , 	88 , 	354 , 	112 , 	136 , 	121 , 	184 , 	37 , 	99 , 	96 , 	55 , 	33 , 	40 , 	25 , 	21 , 	36 , 	29 , 	19 , 	26 , 	10 , 	9 , 	21 , 	25 , 	207 , 	208 , 	280 , 	213 , 	112 , 	137 , 	24 , 	45 , 	35 , 	9 , 	7 , 	20 , 	7 , 	28 , 	12 , 	5 , 	22 , 	14 ," 	3,201 ",,,Eastbay," 	72,961 ",,SF CBD," 	196,092 ",66.9%,,,
EN, 	160 , 	13 , 	101 , 	77 , 	809 , 	141 , 	210 , 	413 , 	613 , 	99 , 	119 , 	188 , 	63 , 	45 , 	54 , 	25 , 	38 , 	72 , 	41 , 	27 , 	43 , 	8 , 	11 , 	20 , 	35 , 	847 , 	914 , 	745 , 	622 , 	127 , 	174 , 	40 , 	76 , 	103 , 	23 , 	10 , 	41 , 	7 , 	33 , 	18 , 	15 , 	57 , 	27 ," 	7,302 ",,,Westbay," 	85,457 ",,non-CBD," 	103,326 ",35.2%,,,
EP, 	122 , 	82 , 	6 , 	48 , 	564 , 	77 , 	86 , 	173 , 	263 , 	68 , 	47 , 	89 , 	24 , 	18 , 	24 , 	9 , 	16 , 	34 , 	27 , 	21 , 	24 , 	10 , 	6 , 	17 , 	11 , 	415 , 	454 , 	324 , 	258 , 	44 , 	42 , 	18 , 	24 , 	38 , 	5 , 	3 , 	15 , 	4 , 	7 , 	7 , 	4 , 	40 , 	16 ," 	3,581 ",,,Transbay," 	146,306 ",,,,,,,
NB, 	91 , 	69 , 	49 , 	6 , 	175 , 	51 , 	70 , 	143 , 	232 , 	50 , 	56 , 	100 , 	26 , 	16 , 	23 , 	7 , 	10 , 	31 , 	20 , 	15 , 	23 , 	12 , 	6 , 	15 , 	10 , 	543 , 	534 , 	351 , 	347 , 	85 , 	72 , 	20 , 	26 , 	37 , 	6 , 	6 , 	14 , 	3 , 	10 , 	6 , 	4 , 	52 , 	17 ," 	3,437 ",,,SFO Ext," 	21,841 ",,,,,,,
BK, 	377 , 	819 , 	567 , 	184 , 	15 , 	343 , 	349 , 	380 , 	537 , 	210 , 	254 , 	269 , 	143 , 	114 , 	126 , 	77 , 	152 , 	280 , 	100 , 	151 , 	129 , 	72 , 	50 , 	44 , 	49 , 	654 , 	641 , 	843 , 	670 , 	232 , 	244 , 	116 , 	80 , 	133 , 	21 , 	36 , 	119 , 	25 , 	74 , 	34 , 	16 , 	102 , 	104 ," 	9,932 ",,,Extensions," 	35,780 ",,,,,,,
AS, 	112 , 	138 , 	70 , 	42 , 	296 , 	6 , 	84 , 	168 , 	226 , 	77 , 	96 , 	126 , 	45 , 	40 , 	52 , 	19 , 	27 , 	51 , 	29 , 	19 , 	28 , 	10 , 	8 , 	15 , 	28 , 	430 , 	456 , 	322 , 	313 , 	111 , 	89 , 	19 , 	26 , 	37 , 	8 , 	10 , 	25 , 	4 , 	20 , 	11 , 	8 , 	29 , 	14 ," 	3,741 ",,,,,,,,,,,
MA, 	137 , 	205 , 	90 , 	70 , 	326 , 	86 , 	9 , 	103 , 	204 , 	60 , 	138 , 	186 , 	101 , 	93 , 	93 , 	58 , 	64 , 	104 , 	101 , 	78 , 	105 , 	36 , 	30 , 	40 , 	49 , 	660 , 	677 , 	590 , 	553 , 	185 , 	148 , 	52 , 	62 , 	74 , 	18 , 	15 , 	57 , 	33 , 	125 , 	15 , 	12 , 	50 , 	28 ," 	5,917 ",,,,,,,,,,,
19, 	124 , 	421 , 	175 , 	150 , 	350 , 	168 , 	105 , 	8 , 	70 , 	32 , 	118 , 	157 , 	180 , 	161 , 	163 , 	129 , 	154 , 	306 , 	222 , 	294 , 	198 , 	115 , 	79 , 	93 , 	42 , 	597 , 	575 , 	470 , 	484 , 	132 , 	166 , 	111 , 	90 , 	123 , 	55 , 	46 , 	169 , 	91 , 	221 , 	53 , 	28 , 	28 , 	70 ," 	7,522 ",,,,,,,,,,,
12, 	198 , 	612 , 	254 , 	232 , 	462 , 	232 , 	205 , 	69 , 	17 , 	43 , 	231 , 	360 , 	356 , 	329 , 	278 , 	206 , 	231 , 	383 , 	299 , 	384 , 	293 , 	180 , 	140 , 	173 , 	80 , 	833 , 	839 , 	851 , 	742 , 	203 , 	234 , 	136 , 	132 , 	171 , 	89 , 	91 , 	256 , 	119 , 	292 , 	69 , 	44 , 	66 , 	88 ," 	11,501 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	35 , 	81 , 	65 , 	55 , 	200 , 	75 , 	59 , 	31 , 	43 , 	8 , 	131 , 	204 , 	232 , 	204 , 	134 , 	88 , 	107 , 	147 , 	24 , 	21 , 	21 , 	8 , 	8 , 	30 , 	29 , 	463 , 	471 , 	475 , 	353 , 	91 , 	75 , 	28 , 	48 , 	66 , 	7 , 	83 , 	197 , 	10 , 	31 , 	8 , 	7 , 	23 , 	10 ," 	4,483 ",,,Dtwn SF,"3,947","12,844","29,456","10,890","17,406","20,055","6,267","94,598"
