Fast Pass Adjusted OD,,,,,,Sep 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,35,112,127,465,835,694,"1,077","3,395"
MT,35,50,71,126,718,"1,174","1,030","2,234","5,438"
PL,153,90,75,110,622,954,616,"1,731","4,351"
CC,117,131,124,70,528,750,524,"1,438","3,683"
16,407,547,731,489,26,191,161,544,"3,096"
24,712,936,"1,132",697,199,43,143,585,"4,447"
GP,670,785,861,467,177,157,22,121,"3,260"
BP,977,"1,320","2,570","1,298",567,592,127,40,"7,491"
Entries,"3,122","3,894","5,675","3,383","3,300","4,697","3,318","7,770","35,160"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,8,35,27,193,251,128,244,907
MT,7,21,24,30,297,339,325,"1,076","2,117"
PL,38,19,57,44,516,767,425,"1,036","2,901"
CC,21,17,46,46,344,404,195,504,"1,577"
16,147,176,584,321,25,138,93,276,"1,759"
24,182,219,804,388,134,34,94,266,"2,119"
GP,107,156,598,172,98,87,21,59,"1,298"
BP,218,383,"1,750",449,272,263,59,33,"3,426"
Entries,742,998,"3,897","1,477","1,877","2,282","1,339","3,493","16,103"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,7,23,19,130,169,73,140,583
MT,8,17,15,20,180,200,206,677,"1,321"
PL,23,15,54,37,362,528,288,682,"1,989"
CC,24,13,39,57,312,339,159,368,"1,309"
16,100,128,398,290,25,95,66,167,"1,268"
24,147,146,578,318,93,32,67,165,"1,544"
GP,81,96,438,133,69,62,15,34,929
BP,159,221,"1,271",299,162,162,32,25,"2,330"
Entries,564,642,"2,815","1,172","1,332","1,586",904,"2,258","11,272"
