Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Sep 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	57 , 	62 , 	34 , 	123 , 	64 , 	54 , 	21 , 	61 , 	18 , 	66 , 	90 , 	12 , 	13 , 	16 , 	9 , 	9 , 	12 , 	16 , 	8 , 	6 , 	5 , 	3 , 	8 , 	14 , 	69 , 	52 , 	139 , 	82 , 	63 , 	74 , 	10 , 	28 , 	18 , 	6 , 	1 , 	12 , 	1 , 	19 , 	4 , 	5 , 	16 , 	6 ," 	1,385 ",,,Eastbay," 	38,073 ",,SF CBD," 	73,510 ",59.5%,,,
EN, 	60 , 	7 , 	52 , 	44 , 	225 , 	78 , 	70 , 	44 , 	140 , 	29 , 	59 , 	405 , 	20 , 	25 , 	14 , 	8 , 	13 , 	29 , 	19 , 	5 , 	8 , 	5 , 	6 , 	14 , 	14 , 	198 , 	116 , 	312 , 	183 , 	42 , 	60 , 	19 , 	43 , 	32 , 	17 , 	3 , 	19 , 	3 , 	20 , 	6 , 	5 , 	46 , 	11 ," 	2,524 ",,,Westbay," 	34,375 ",,non-CBD," 	52,804 ",42.8%,,,
EP, 	66 , 	50 , 	6 , 	30 , 	228 , 	49 , 	36 , 	28 , 	71 , 	23 , 	25 , 	144 , 	8 , 	12 , 	9 , 	5 , 	7 , 	18 , 	9 , 	7 , 	8 , 	4 , 	3 , 	11 , 	3 , 	135 , 	75 , 	172 , 	130 , 	25 , 	18 , 	12 , 	9 , 	9 , 	6 , 	3 , 	10 , 	1 , 	7 , 	2 , 	2 , 	35 , 	6 ," 	1,514 ",,,Transbay," 	57,107 ",,,,,,,
NB, 	35 , 	39 , 	33 , 	7 , 	72 , 	39 , 	41 , 	26 , 	106 , 	21 , 	32 , 	121 , 	12 , 	13 , 	7 , 	8 , 	7 , 	17 , 	10 , 	6 , 	8 , 	4 , 	4 , 	16 , 	4 , 	181 , 	99 , 	188 , 	195 , 	52 , 	44 , 	12 , 	9 , 	13 , 	3 , 	3 , 	11 , 	2 , 	7 , 	1 , 	1 , 	35 , 	8 ," 	1,545 ",,,SFO Ext," 	10,819 ",,,,,,,
BK, 	152 , 	201 , 	237 , 	71 , 	16 , 	161 , 	133 , 	124 , 	226 , 	77 , 	100 , 	246 , 	44 , 	45 , 	31 , 	24 , 	41 , 	186 , 	28 , 	33 , 	51 , 	21 , 	19 , 	21 , 	23 , 	313 , 	234 , 	667 , 	475 , 	139 , 	109 , 	56 , 	29 , 	62 , 	12 , 	11 , 	56 , 	5 , 	13 , 	8 , 	9 , 	88 , 	67 ," 	4,659 ",,,Extensions," 	17,030 ",,,,,,,
AS, 	69 , 	70 , 	49 , 	45 , 	118 , 	7 , 	62 , 	56 , 	107 , 	34 , 	66 , 	135 , 	20 , 	18 , 	22 , 	8 , 	20 , 	26 , 	10 , 	7 , 	11 , 	5 , 	4 , 	8 , 	21 , 	120 , 	75 , 	174 , 	199 , 	70 , 	67 , 	16 , 	14 , 	9 , 	5 , 	7 , 	14 , 	2 , 	11 , 	1 , 	2 , 	28 , 	8 ," 	1,814 ",,,,,,,,,,,
MA, 	49 , 	59 , 	33 , 	38 , 	127 , 	57 , 	8 , 	32 , 	102 , 	23 , 	58 , 	209 , 	28 , 	34 , 	24 , 	19 , 	16 , 	29 , 	26 , 	17 , 	26 , 	12 , 	9 , 	26 , 	27 , 	209 , 	134 , 	305 , 	278 , 	96 , 	78 , 	22 , 	17 , 	14 , 	5 , 	5 , 	14 , 	3 , 	41 , 	2 , 	2 , 	41 , 	10 ," 	2,358 ",,,,,,,,,,,
19, 	27 , 	33 , 	27 , 	28 , 	117 , 	65 , 	25 , 	5 , 	19 , 	16 , 	39 , 	77 , 	21 , 	28 , 	19 , 	8 , 	12 , 	24 , 	21 , 	11 , 	18 , 	8 , 	6 , 	29 , 	17 , 	90 , 	71 , 	202 , 	149 , 	63 , 	39 , 	11 , 	14 , 	11 , 	5 , 	4 , 	9 , 	4 , 	19 , 	3 , 	1 , 	19 , 	9 ," 	1,416 ",,,,,,,,,,,
12, 	57 , 	112 , 	86 , 	96 , 	198 , 	115 , 	109 , 	25 , 	12 , 	21 , 	125 , 	213 , 	91 , 	106 , 	59 , 	30 , 	59 , 	102 , 	45 , 	56 , 	72 , 	40 , 	32 , 	122 , 	39 , 	230 , 	201 , 	491 , 	253 , 	94 , 	86 , 	43 , 	44 , 	46 , 	22 , 	19 , 	48 , 	14 , 	44 , 	7 , 	5 , 	52 , 	38 ," 	3,752 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	24 , 	20 , 	17 , 	71 , 	34 , 	22 , 	10 , 	23 , 	6 , 	89 , 	228 , 	84 , 	72 , 	29 , 	16 , 	29 , 	47 , 	8 , 	14 , 	8 , 	2 , 	2 , 	11 , 	24 , 	156 , 	128 , 	315 , 	199 , 	75 , 	48 , 	21 , 	28 , 	16 , 	5 , 	37 , 	47 , 	1 , 	8 , 	2 , 	1 , 	18 , 	2 ," 	2,010 ",,,Dtwn SF," 	1,384 "," 	4,677 "," 	10,874 "," 	4,691 "," 	5,598 "," 	7,795 "," 	2,850 "," 	35,019 "
FV, 	62 , 	61 , 	25 , 	33 , 	106 , 	70 , 	56 , 	52 , 	123 , 	69 , 	17 , 	358 , 	120 , 	180 , 	103 , 	45 , 	45 , 	63 , 	25 , 	11 , 	22 , 	7 , 	12 , 	20 , 	68 , 	191 , 	116 , 	359 , 	194 , 	105 , 	117 , 	19 , 	38 , 	26 , 	6 , 	23 , 	63 , 	6 , 	29 , 	5 , 	7 , 	36 , 	9 ," 	3,096 ",,,OAK," 	4,381 ", 	689 ," 	1,058 "," 	1,580 ", 	783 ," 	2,405 ", 	232 ," 	10,895 "
CL, 	88 , 	390 , 	133 , 	106 , 	168 , 	118 , 	201 , 	83 , 	218 , 	201 , 	367 , 	12 , 	544 , 	540 , 	272 , 	196 , 	295 , 	785 , 	149 , 	181 , 	205 , 	140 , 	146 , 	98 , 	78 , 	494 , 	282 , 	817 , 	336 , 	99 , 	106 , 	74 , 	42 , 	101 , 	19 , 	291 ," 	1,591 ", 	82 , 	201 , 	16 , 	21 , 	57 , 	41 ," 	10,381 ",,,CM line," 	10,723 "," 	1,057 "," 	3,409 "," 	1,114 ", 	881 ," 	1,580 "," 	1,118 "," 	18,763 "
SL, 	17 , 	22 , 	11 , 	13 , 	45 , 	19 , 	27 , 	18 , 	89 , 	80 , 	116 , 	527 , 	3 , 	67 , 	53 , 	26 , 	29 , 	42 , 	8 , 	5 , 	9 , 	2 , 	4 , 	10 , 	16 , 	133 , 	73 , 	233 , 	112 , 	26 , 	32 , 	14 , 	19 , 	19 , 	8 , 	18 , 	37 , 	2 , 	13 , 	4 , 	4 , 	18 , 	5 ," 	2,019 ",,,RM line," 	4,580 "," 	1,683 "," 	1,206 "," 	2,659 ", 	495 ," 	2,421 ", 	397 ," 	13,044 "
BF, 	17 , 	21 , 	13 , 	12 , 	46 , 	18 , 	41 , 	36 , 	101 , 	78 , 	198 , 	525 , 	78 , 	8 , 	78 , 	72 , 	62 , 	76 , 	13 , 	6 , 	5 , 	3 , 	2 , 	9 , 	24 , 	111 , 	74 , 	189 , 	105 , 	28 , 	29 , 	10 , 	14 , 	14 , 	5 , 	41 , 	93 , 	4 , 	14 , 	3 , 	3 , 	10 , 	4 ," 	2,285 ",,,WP line," 	5,435 ", 	846 , 	885 , 	534 ," 	2,213 "," 	1,723 ", 	567 ," 	11,634 "
HY, 	19 , 	17 , 	10 , 	8 , 	37 , 	20 , 	26 , 	24 , 	62 , 	35 , 	108 , 	274 , 	69 , 	90 , 	5 , 	65 , 	68 , 	102 , 	10 , 	3 , 	7 , 	2 , 	2 , 	7 , 	11 , 	59 , 	30 , 	109 , 	60 , 	22 , 	17 , 	7 , 	14 , 	11 , 	2 , 	11 , 	23 , 	3 , 	20 , 	3 , 	4 , 	13 , 	4 ," 	1,490 ",,,FT/ED line," 	7,805 "," 	2,407 "," 	1,532 "," 	2,256 "," 	1,710 "," 	13,671 ", 	458 ," 	29,381 "
SH, 	11 , 	11 , 	8 , 	9 , 	20 , 	10 , 	16 , 	13 , 	36 , 	12 , 	43 , 	184 , 	28 , 	72 , 	67 , 	5 , 	33 , 	56 , 	5 , 	4 , 	5 , 	1 , 	1 , 	6 , 	3 , 	58 , 	28 , 	83 , 	32 , 	12 , 	20 , 	5 , 	9 , 	11 , 	7 , 	11 , 	20 , 	2 , 	9 , 	1 , 	1 , 	5 , 	2 , 	971 ,,,SFIA," 	2,718 ", 	180 , 	832 , 	275 , 	382 , 	343 , 	468 ," 	4,729 "
UC, 	5 , 	15 , 	7 , 	8 , 	35 , 	18 , 	19 , 	14 , 	61 , 	26 , 	38 , 	285 , 	29 , 	67 , 	72 , 	36 , 	10 , 	78 , 	13 , 	4 , 	5 , 	3 , 	1 , 	5 , 	5 , 	103 , 	54 , 	157 , 	62 , 	11 , 	17 , 	9 , 	9 , 	15 , 	5 , 	5 , 	23 , 	2 , 	9 , 	2 , 	1 , 	11 , 	1 ," 	1,348 ",,,Entries," 	37,025 "," 	11,539 "," 	19,795 "," 	13,108 "," 	12,061 "," 	29,936 "," 	6,090 "," 	123,464 "
