Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Sep 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	130 , 	120 , 	98 , 	430 , 	115 , 	140 , 	132 , 	188 , 	46 , 	110 , 	92 , 	48 , 	31 , 	42 , 	23 , 	20 , 	39 , 	30 , 	25 , 	22 , 	13 , 	13 , 	19 , 	24 , 	208 , 	222 , 	275 , 	225 , 	123 , 	150 , 	24 , 	52 , 	54 , 	9 , 	7 , 	18 , 	7 , 	27 , 	14 , 	6 , 	21 , 	11 ," 	3,411 ",,,Eastbay," 	80,145 ",,SF CBD," 	202,606 ",65.0%,,,
EN, 	157 , 	13 , 	108 , 	79 , 	953 , 	158 , 	212 , 	443 , 	621 , 	121 , 	131 , 	216 , 	59 , 	40 , 	55 , 	27 , 	38 , 	70 , 	46 , 	32 , 	43 , 	10 , 	14 , 	23 , 	37 , 	845 , 	944 , 	726 , 	641 , 	130 , 	166 , 	51 , 	91 , 	191 , 	19 , 	9 , 	38 , 	8 , 	29 , 	21 , 	17 , 	52 , 	24 ," 	7,708 ",,,Westbay," 	90,629 ",,non-CBD," 	115,341 ",37.0%,,,
EP, 	127 , 	83 , 	6 , 	54 , 	660 , 	74 , 	88 , 	183 , 	283 , 	93 , 	55 , 	101 , 	28 , 	17 , 	26 , 	11 , 	15 , 	34 , 	29 , 	22 , 	26 , 	10 , 	8 , 	21 , 	12 , 	416 , 	488 , 	302 , 	303 , 	51 , 	48 , 	16 , 	35 , 	70 , 	3 , 	4 , 	16 , 	4 , 	8 , 	9 , 	4 , 	33 , 	11 ," 	3,881 ",,,Transbay," 	152,462 ",,,,,,,
NB, 	99 , 	72 , 	53 , 	5 , 	216 , 	63 , 	70 , 	156 , 	243 , 	78 , 	64 , 	117 , 	28 , 	16 , 	26 , 	8 , 	10 , 	28 , 	20 , 	14 , 	22 , 	13 , 	9 , 	16 , 	17 , 	544 , 	561 , 	324 , 	404 , 	83 , 	69 , 	20 , 	45 , 	65 , 	5 , 	5 , 	11 , 	2 , 	12 , 	6 , 	4 , 	40 , 	17 ," 	3,682 ",,,SFO Ext," 	22,125 ",,,,,,,
BK, 	442 , 	991 , 	684 , 	233 , 	19 , 	423 , 	415 , 	451 , 	598 , 	308 , 	317 , 	293 , 	157 , 	135 , 	147 , 	97 , 	179 , 	314 , 	118 , 	174 , 	141 , 	86 , 	67 , 	49 , 	54 , 	667 , 	685 , 	737 , 	761 , 	290 , 	314 , 	126 , 	110 , 	200 , 	25 , 	48 , 	131 , 	29 , 	85 , 	39 , 	23 , 	72 , 	111 ," 	11,341 ",,,Extensions," 	36,966 ",,,,,,,
AS, 	120 , 	138 , 	70 , 	56 , 	374 , 	6 , 	96 , 	174 , 	240 , 	102 , 	115 , 	145 , 	45 , 	32 , 	55 , 	19 , 	28 , 	55 , 	28 , 	18 , 	30 , 	12 , 	9 , 	19 , 	32 , 	432 , 	466 , 	309 , 	346 , 	114 , 	96 , 	19 , 	35 , 	76 , 	7 , 	12 , 	26 , 	5 , 	20 , 	9 , 	8 , 	24 , 	12 ," 	4,032 ",,,,,,,,,,,
MA, 	138 , 	215 , 	99 , 	79 , 	395 , 	94 , 	12 , 	114 , 	213 , 	87 , 	151 , 	215 , 	100 , 	104 , 	101 , 	59 , 	69 , 	113 , 	111 , 	96 , 	101 , 	36 , 	37 , 	60 , 	53 , 	669 , 	728 , 	570 , 	606 , 	192 , 	148 , 	57 , 	77 , 	125 , 	19 , 	14 , 	62 , 	32 , 	136 , 	18 , 	13 , 	43 , 	27 ," 	6,388 ",,,,,,,,,,,
19, 	130 , 	442 , 	191 , 	164 , 	413 , 	171 , 	109 , 	10 , 	80 , 	44 , 	126 , 	173 , 	186 , 	171 , 	173 , 	138 , 	168 , 	332 , 	240 , 	318 , 	206 , 	125 , 	81 , 	103 , 	46 , 	626 , 	620 , 	492 , 	516 , 	142 , 	167 , 	112 , 	98 , 	138 , 	59 , 	52 , 	179 , 	93 , 	223 , 	55 , 	29 , 	29 , 	70 ," 	8,039 ",,,,,,,,,,,
12, 	197 , 	617 , 	272 , 	240 , 	527 , 	242 , 	215 , 	75 , 	21 , 	59 , 	261 , 	386 , 	378 , 	334 , 	304 , 	206 , 	227 , 	391 , 	294 , 	382 , 	296 , 	185 , 	143 , 	186 , 	83 , 	860 , 	871 , 	848 , 	776 , 	212 , 	232 , 	131 , 	148 , 	214 , 	89 , 	90 , 	256 , 	117 , 	287 , 	65 , 	42 , 	63 , 	86 ," 	11,909 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	44 , 	107 , 	94 , 	85 , 	285 , 	98 , 	84 , 	43 , 	55 , 	8 , 	180 , 	263 , 	256 , 	223 , 	149 , 	87 , 	112 , 	158 , 	31 , 	28 , 	21 , 	9 , 	10 , 	35 , 	38 , 	490 , 	513 , 	482 , 	389 , 	104 , 	85 , 	33 , 	66 , 	129 , 	8 , 	88 , 	213 , 	12 , 	35 , 	8 , 	6 , 	18 , 	10 ," 	5,193 ",,,Dtwn SF,"4,203","13,415","31,054","11,008","17,628","20,400","6,355","97,708"
