Fast Pass Adjusted OD,,,,,,Oct 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,44,34,123,133,476,848,713,"1,093","3,465"
MT,35,42,68,136,731,"1,226","1,078","2,266","5,581"
PL,156,88,69,104,636,"1,028",661,"1,733","4,474"
CC,116,119,122,61,534,741,511,"1,415","3,618"
16,414,567,749,500,18,203,166,551,"3,166"
24,715,938,"1,197",704,207,30,144,565,"4,500"
GP,664,811,874,453,174,166,16,115,"3,274"
BP,955,"1,323","2,597","1,256",559,582,124,31,"7,427"
Entries,"3,098","3,921","5,798","3,346","3,334","4,823","3,414","7,770","35,505"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,6,43,29,195,247,132,234,907
MT,8,21,18,30,270,374,312,"1,034","2,066"
PL,37,13,55,46,473,802,434,"1,016","2,878"
CC,28,21,55,45,333,395,189,512,"1,579"
16,150,185,557,314,20,137,90,259,"1,713"
24,181,234,844,392,133,31,99,268,"2,183"
GP,106,140,575,166,81,95,17,58,"1,237"
BP,204,365,"1,679",442,272,257,63,33,"3,314"
Entries,736,986,"3,825","1,464","1,777","2,338","1,337","3,414","15,876"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,3,23,19,127,149,75,131,546
MT,5,14,15,21,176,204,191,637,"1,262"
PL,23,13,53,31,359,541,281,666,"1,966"
CC,21,10,41,48,307,293,134,366,"1,220"
16,105,122,402,288,23,96,67,177,"1,281"
24,125,141,604,296,88,32,70,154,"1,510"
GP,75,84,406,136,62,65,16,30,874
BP,139,207,"1,238",324,160,151,33,27,"2,280"
Entries,512,596,"2,782","1,163","1,302","1,530",867,"2,187","10,939"
