Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Oct 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	4 , 	81 , 	87 , 	54 , 	234 , 	75 , 	76 , 	35 , 	72 , 	21 , 	83 , 	59 , 	21 , 	21 , 	26 , 	11 , 	10 , 	26 , 	16 , 	9 , 	13 , 	7 , 	5 , 	11 , 	14 , 	65 , 	81 , 	202 , 	100 , 	76 , 	118 , 	15 , 	31 , 	21 , 	9 , 	5 , 	15 , 	4 , 	19 , 	7 , 	6 , 	10 , 	7 ," 	1,864 ",,,Eastbay," 	40,260 ",,SF CBD," 	89,058 ",61.3%,,,
EN, 	106 , 	12 , 	78 , 	54 , 	609 , 	112 , 	101 , 	59 , 	160 , 	28 , 	107 , 	152 , 	36 , 	35 , 	36 , 	15 , 	24 , 	43 , 	22 , 	13 , 	20 , 	6 , 	9 , 	19 , 	21 , 	187 , 	206 , 	541 , 	221 , 	72 , 	103 , 	29 , 	55 , 	54 , 	15 , 	11 , 	18 , 	5 , 	31 , 	9 , 	6 , 	37 , 	11 ," 	3,491 ",,,Westbay," 	45,262 ",,non-CBD," 	59,220 ",40.8%,,,
EP, 	99 , 	70 , 	6 , 	34 , 	521 , 	62 , 	46 , 	39 , 	93 , 	29 , 	35 , 	64 , 	16 , 	12 , 	10 , 	6 , 	10 , 	24 , 	17 , 	8 , 	12 , 	8 , 	4 , 	12 , 	8 , 	117 , 	115 , 	252 , 	135 , 	28 , 	29 , 	14 , 	11 , 	10 , 	2 , 	2 , 	8 , 	3 , 	6 , 	2 , 	1 , 	21 , 	8 ," 	2,011 ",,,Transbay," 	65,848 ",,,,,,,
NB, 	61 , 	45 , 	37 , 	5 , 	213 , 	38 , 	45 , 	35 , 	74 , 	29 , 	47 , 	64 , 	13 , 	22 , 	10 , 	7 , 	9 , 	19 , 	10 , 	10 , 	9 , 	6 , 	4 , 	16 , 	9 , 	156 , 	151 , 	296 , 	193 , 	62 , 	57 , 	17 , 	11 , 	17 , 	2 , 	4 , 	8 , 	1 , 	7 , 	2 , 	2 , 	29 , 	9 ," 	1,860 ",,,SFO Ext," 	11,303 ",,,,,,,
BK, 	248 , 	617 , 	538 , 	219 , 	19 , 	346 , 	334 , 	180 , 	326 , 	146 , 	235 , 	179 , 	125 , 	143 , 	106 , 	48 , 	129 , 	329 , 	79 , 	141 , 	169 , 	124 , 	93 , 	43 , 	43 , 	634 , 	470 ," 	1,107 ", 	601 , 	171 , 	186 , 	103 , 	78 , 	132 , 	26 , 	41 , 	200 , 	25 , 	58 , 	13 , 	17 , 	63 , 	132 ," 	9,016 ",,,Extensions," 	15,526 ",,,,,,,
AS, 	83 , 	104 , 	67 , 	39 , 	291 , 	7 , 	70 , 	69 , 	97 , 	37 , 	87 , 	84 , 	33 , 	30 , 	27 , 	9 , 	17 , 	27 , 	15 , 	13 , 	15 , 	9 , 	5 , 	13 , 	31 , 	131 , 	124 , 	271 , 	202 , 	87 , 	77 , 	14 , 	16 , 	16 , 	5 , 	8 , 	10 , 	4 , 	12 , 	3 , 	2 , 	15 , 	12 ," 	2,290 ",,,,,,,,,,,
MA, 	81 , 	105 , 	47 , 	44 , 	313 , 	71 , 	12 , 	42 , 	80 , 	28 , 	98 , 	121 , 	37 , 	65 , 	46 , 	26 , 	20 , 	38 , 	39 , 	23 , 	33 , 	14 , 	15 , 	33 , 	39 , 	193 , 	227 , 	500 , 	296 , 	116 , 	111 , 	26 , 	31 , 	27 , 	6 , 	7 , 	19 , 	9 , 	58 , 	5 , 	6 , 	28 , 	10 ," 	3,147 ",,,,,,,,,,,
19, 	35 , 	67 , 	38 , 	42 , 	184 , 	74 , 	42 , 	6 , 	20 , 	15 , 	62 , 	71 , 	42 , 	48 , 	31 , 	21 , 	22 , 	45 , 	29 , 	23 , 	33 , 	18 , 	13 , 	42 , 	22 , 	114 , 	128 , 	286 , 	185 , 	71 , 	68 , 	16 , 	22 , 	21 , 	9 , 	7 , 	18 , 	7 , 	36 , 	5 , 	3 , 	12 , 	15 ," 	2,066 ",,,,,,,,,,,
12, 	67 , 	137 , 	95 , 	67 , 	310 , 	114 , 	78 , 	22 , 	11 , 	12 , 	108 , 	158 , 	105 , 	119 , 	67 , 	42 , 	60 , 	104 , 	50 , 	53 , 	71 , 	27 , 	32 , 	53 , 	60 , 	221 , 	239 , 	610 , 	260 , 	88 , 	76 , 	39 , 	60 , 	50 , 	23 , 	13 , 	41 , 	15 , 	60 , 	9 , 	8 , 	44 , 	32 ," 	3,911 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	24 , 	29 , 	26 , 	134 , 	38 , 	32 , 	8 , 	18 , 	6 , 	67 , 	111 , 	108 , 	113 , 	45 , 	26 , 	45 , 	58 , 	7 , 	10 , 	12 , 	4 , 	6 , 	12 , 	17 , 	136 , 	158 , 	402 , 	183 , 	68 , 	46 , 	20 , 	28 , 	28 , 	5 , 	50 , 	57 , 	4 , 	13 , 	2 , 	0 , 	11 , 	4 ," 	2,192 ",,,Dtwn SF," 	1,851 "," 	5,556 "," 	15,333 "," 	6,686 "," 	5,871 "," 	8,211 "," 	3,092 "," 	43,507 "
