Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Oct 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	130 , 	122 , 	106 , 	438 , 	112 , 	143 , 	134 , 	185 , 	45 , 	112 , 	75 , 	47 , 	37 , 	46 , 	24 , 	18 , 	41 , 	27 , 	25 , 	26 , 	11 , 	12 , 	20 , 	23 , 	207 , 	224 , 	286 , 	229 , 	116 , 	148 , 	25 , 	48 , 	52 , 	10 , 	8 , 	22 , 	7 , 	30 , 	13 , 	7 , 	21 , 	12 ," 	3,426 ",,,Eastbay," 	77,233 ",,SF CBD," 	198,574 ",65.3%,,,
EN, 	165 , 	13 , 	111 , 	83 , 	912 , 	151 , 	214 , 	431 , 	643 , 	125 , 	139 , 	148 , 	59 , 	40 , 	61 , 	25 , 	40 , 	77 , 	42 , 	30 , 	42 , 	9 , 	12 , 	22 , 	37 , 	815 , 	936 , 	743 , 	643 , 	136 , 	165 , 	46 , 	89 , 	178 , 	20 , 	9 , 	36 , 	10 , 	31 , 	21 , 	15 , 	50 , 	27 ," 	7,600 ",,,Westbay," 	89,707 ",,non-CBD," 	111,841 ",36.8%,,,
EP, 	123 , 	86 , 	6 , 	58 , 	633 , 	73 , 	87 , 	188 , 	285 , 	95 , 	55 , 	62 , 	29 , 	17 , 	33 , 	11 , 	16 , 	37 , 	31 , 	22 , 	27 , 	10 , 	8 , 	19 , 	10 , 	403 , 	467 , 	304 , 	299 , 	54 , 	49 , 	15 , 	39 , 	61 , 	4 , 	4 , 	16 , 	4 , 	10 , 	10 , 	4 , 	36 , 	13 ," 	3,812 ",,,Transbay," 	148,813 ",,,,,,,
NB, 	105 , 	69 , 	55 , 	5 , 	223 , 	62 , 	71 , 	155 , 	245 , 	74 , 	63 , 	69 , 	27 , 	18 , 	28 , 	8 , 	10 , 	29 , 	19 , 	14 , 	20 , 	12 , 	9 , 	14 , 	16 , 	521 , 	550 , 	324 , 	399 , 	87 , 	67 , 	21 , 	43 , 	61 , 	5 , 	4 , 	11 , 	2 , 	12 , 	8 , 	5 , 	45 , 	16 ," 	3,601 ",,,SFO Ext," 	21,890 ",,,,,,,
BK, 	452 , 	948 , 	672 , 	242 , 	17 , 	424 , 	394 , 	422 , 	586 , 	270 , 	312 , 	251 , 	162 , 	141 , 	153 , 	110 , 	176 , 	298 , 	118 , 	169 , 	140 , 	81 , 	64 , 	43 , 	54 , 	632 , 	651 , 	712 , 	739 , 	279 , 	319 , 	128 , 	100 , 	179 , 	26 , 	42 , 	129 , 	28 , 	88 , 	41 , 	23 , 	78 , 	110 ," 	11,002 ",,,Extensions," 	35,375 ",,,,,,,
AS, 	118 , 	144 , 	69 , 	58 , 	367 , 	6 , 	97 , 	175 , 	238 , 	104 , 	115 , 	105 , 	45 , 	40 , 	59 , 	20 , 	26 , 	55 , 	29 , 	20 , 	26 , 	11 , 	10 , 	18 , 	36 , 	416 , 	469 , 	326 , 	353 , 	113 , 	102 , 	22 , 	39 , 	72 , 	7 , 	10 , 	27 , 	5 , 	22 , 	9 , 	9 , 	24 , 	14 ," 	4,029 ",,,,,,,,,,,
MA, 	152 , 	221 , 	93 , 	76 , 	361 , 	93 , 	11 , 	110 , 	214 , 	80 , 	151 , 	175 , 	104 , 	106 , 	108 , 	65 , 	71 , 	120 , 	111 , 	93 , 	99 , 	36 , 	36 , 	64 , 	57 , 	645 , 	736 , 	600 , 	607 , 	191 , 	158 , 	52 , 	75 , 	114 , 	16 , 	18 , 	62 , 	30 , 	137 , 	15 , 	16 , 	45 , 	31 ," 	6,355 ",,,,,,,,,,,
19, 	134 , 	439 , 	187 , 	161 , 	375 , 	177 , 	105 , 	9 , 	76 , 	37 , 	129 , 	147 , 	190 , 	168 , 	179 , 	137 , 	172 , 	347 , 	239 , 	315 , 	205 , 	127 , 	87 , 	104 , 	45 , 	597 , 	588 , 	498 , 	505 , 	139 , 	170 , 	105 , 	95 , 	133 , 	57 , 	50 , 	191 , 	98 , 	220 , 	58 , 	31 , 	25 , 	74 ," 	7,923 ",,,,,,,,,,,
12, 	205 , 	636 , 	278 , 	243 , 	516 , 	242 , 	212 , 	72 , 	16 , 	53 , 	249 , 	364 , 	386 , 	345 , 	323 , 	217 , 	226 , 	398 , 	305 , 	386 , 	299 , 	182 , 	146 , 	188 , 	79 , 	822 , 	849 , 	843 , 	760 , 	215 , 	236 , 	129 , 	143 , 	218 , 	89 , 	96 , 	270 , 	122 , 	297 , 	68 , 	47 , 	60 , 	94 ," 	11,924 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	46 , 	114 , 	100 , 	86 , 	277 , 	102 , 	81 , 	35 , 	48 , 	9 , 	191 , 	203 , 	253 , 	225 , 	158 , 	96 , 	115 , 	170 , 	27 , 	29 , 	21 , 	10 , 	9 , 	36 , 	43 , 	454 , 	504 , 	474 , 	377 , 	99 , 	80 , 	31 , 	63 , 	116 , 	8 , 	101 , 	225 , 	10 , 	35 , 	8 , 	7 , 	19 , 	10 ," 	5,105 ",,,Dtwn SF,"4,085","13,091","30,964","10,839","17,294","19,789","6,202","96,063"
FV, 	105 , 	134 , 	58 , 	65 , 	318 , 	117 , 	150 , 	156 , 	266 , 	176 , 	12 , 	212 , 	283 , 	284 , 	289 , 	121 , 	108 , 	136 , 	57 , 	46 , 	51 , 	22 , 	46 , 	56 , 	118 , 	588 , 	691 , 	626 , 	517 , 	170 , 	190 , 	39 , 	79 , 	139 , 	21 , 	50 , 	163 , 	12 , 	48 , 	19 , 	12 , 	32 , 	17 ," 	6,803 ",,,OAK,"12,836","1,620","3,074","5,481","4,200","7,760",655,"34,971"
