Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Nov 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	128 , 	116 , 	98 , 	424 , 	106 , 	146 , 	126 , 	191 , 	47 , 	107 , 	79 , 	47 , 	35 , 	43 , 	26 , 	20 , 	39 , 	27 , 	23 , 	24 , 	12 , 	10 , 	18 , 	25 , 	202 , 	225 , 	280 , 	235 , 	116 , 	145 , 	26 , 	45 , 	49 , 	10 , 	8 , 	20 , 	5 , 	29 , 	12 , 	6 , 	22 , 	12 ," 	3,372 ",,,Eastbay," 	76,133 ",,SF CBD," 	198,077 ",65.5%,,,
EN, 	163 , 	12 , 	107 , 	82 , 	895 , 	151 , 	213 , 	457 , 	647 , 	116 , 	133 , 	138 , 	60 , 	43 , 	65 , 	25 , 	40 , 	76 , 	49 , 	27 , 	38 , 	8 , 	12 , 	26 , 	38 , 	834 , 	933 , 	724 , 	641 , 	123 , 	170 , 	42 , 	79 , 	166 , 	17 , 	10 , 	36 , 	7 , 	30 , 	21 , 	15 , 	52 , 	30 ," 	7,549 ",,,Westbay," 	89,298 ",,non-CBD," 	110,479 ",36.5%,,,
EP, 	130 , 	84 , 	6 , 	55 , 	632 , 	73 , 	95 , 	188 , 	280 , 	87 , 	54 , 	57 , 	26 , 	15 , 	33 , 	10 , 	15 , 	36 , 	29 , 	21 , 	25 , 	10 , 	6 , 	19 , 	12 , 	408 , 	470 , 	307 , 	301 , 	49 , 	47 , 	14 , 	36 , 	59 , 	4 , 	5 , 	15 , 	4 , 	12 , 	7 , 	3 , 	33 , 	14 ," 	3,784 ",,,Transbay," 	148,544 ",,,,,,,
NB, 	100 , 	70 , 	55 , 	5 , 	205 , 	66 , 	68 , 	154 , 	245 , 	64 , 	58 , 	65 , 	27 , 	17 , 	25 , 	7 , 	11 , 	29 , 	19 , 	13 , 	19 , 	9 , 	9 , 	14 , 	15 , 	528 , 	564 , 	340 , 	392 , 	87 , 	68 , 	24 , 	41 , 	60 , 	5 , 	4 , 	12 , 	2 , 	11 , 	8 , 	4 , 	45 , 	17 ," 	3,578 ",,,SFO Ext," 	21,684 ",,,,,,,
BK, 	438 , 	941 , 	661 , 	237 , 	16 , 	411 , 	399 , 	448 , 	574 , 	280 , 	310 , 	290 , 	160 , 	145 , 	158 , 	96 , 	170 , 	305 , 	124 , 	167 , 	141 , 	77 , 	68 , 	43 , 	64 , 	630 , 	633 , 	709 , 	749 , 	280 , 	311 , 	126 , 	102 , 	186 , 	26 , 	42 , 	128 , 	28 , 	88 , 	41 , 	23 , 	94 , 	108 ," 	11,030 ",,,Extensions," 	35,239 ",,,,,,,
AS, 	114 , 	135 , 	68 , 	57 , 	352 , 	6 , 	102 , 	175 , 	233 , 	91 , 	109 , 	99 , 	44 , 	42 , 	59 , 	18 , 	26 , 	51 , 	24 , 	20 , 	25 , 	12 , 	9 , 	18 , 	39 , 	424 , 	465 , 	329 , 	357 , 	114 , 	108 , 	19 , 	32 , 	69 , 	8 , 	13 , 	25 , 	4 , 	21 , 	8 , 	7 , 	30 , 	15 ," 	3,979 ",,,,,,,,,,,
MA, 	150 , 	209 , 	102 , 	77 , 	375 , 	98 , 	14 , 	121 , 	206 , 	74 , 	153 , 	163 , 	102 , 	102 , 	109 , 	60 , 	69 , 	117 , 	107 , 	94 , 	97 , 	36 , 	35 , 	59 , 	56 , 	655 , 	721 , 	587 , 	602 , 	203 , 	160 , 	54 , 	78 , 	116 , 	17 , 	18 , 	59 , 	30 , 	134 , 	21 , 	17 , 	47 , 	34 ," 	6,340 ",,,,,,,,,,,
19, 	125 , 	458 , 	191 , 	168 , 	395 , 	181 , 	110 , 	10 , 	71 , 	38 , 	133 , 	160 , 	203 , 	162 , 	185 , 	140 , 	164 , 	342 , 	243 , 	318 , 	204 , 	127 , 	86 , 	116 , 	51 , 	609 , 	588 , 	483 , 	516 , 	143 , 	173 , 	105 , 	95 , 	136 , 	57 , 	51 , 	183 , 	98 , 	225 , 	57 , 	33 , 	31 , 	71 ," 	8,036 ",,,,,,,,,,,
12, 	204 , 	638 , 	270 , 	245 , 	493 , 	236 , 	205 , 	73 , 	15 , 	51 , 	246 , 	341 , 	365 , 	330 , 	307 , 	212 , 	233 , 	399 , 	298 , 	383 , 	299 , 	194 , 	137 , 	183 , 	92 , 	812 , 	830 , 	827 , 	747 , 	205 , 	245 , 	131 , 	137 , 	215 , 	90 , 	94 , 	264 , 	118 , 	296 , 	73 , 	48 , 	58 , 	96 ," 	11,733 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	47 , 	103 , 	91 , 	74 , 	283 , 	87 , 	76 , 	38 , 	52 , 	7 , 	185 , 	188 , 	254 , 	226 , 	150 , 	113 , 	117 , 	171 , 	22 , 	39 , 	28 , 	13 , 	11 , 	39 , 	37 , 	458 , 	499 , 	469 , 	377 , 	100 , 	90 , 	32 , 	62 , 	117 , 	9 , 	99 , 	214 , 	10 , 	37 , 	9 , 	8 , 	21 , 	12 ," 	5,072 ",,,Dtwn SF,"4,086","13,069","30,912","10,753","17,321","19,719","5,937","95,861"
