Fast Pass Adjusted OD,,,,,,Dec 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,38,142,107,438,765,647,973,"3,148"
MT,37,38,79,117,659,"1,143",980,"1,972","5,025"
PL,211,114,68,114,622,969,625,"1,480","4,202"
CC,106,106,125,53,519,655,461,"1,177","3,201"
16,365,516,741,480,21,185,148,457,"2,913"
24,628,840,"1,140",648,199,30,135,412,"4,031"
GP,575,734,863,405,154,147,17,91,"2,986"
BP,834,"1,126","2,288","1,034",474,432,99,28,"6,314"
Entries,"2,793","3,511","5,446","2,958","3,085","4,326","3,111","6,590","31,820"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,9,45,30,173,236,118,237,868
MT,11,18,25,27,291,381,322,"1,010","2,085"
PL,49,21,56,50,574,911,521,"1,127","3,310"
CC,29,20,51,45,368,434,186,502,"1,636"
16,142,177,644,348,20,149,104,269,"1,852"
24,175,229,954,423,154,30,103,259,"2,327"
GP,99,130,691,149,95,86,18,59,"1,327"
BP,215,331,"1,783",430,293,251,67,34,"3,404"
Entries,740,935,"4,250","1,503","1,968","2,478","1,439","3,497","16,809"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,26,20,115,126,62,122,493
MT,5,13,19,20,170,206,189,614,"1,235"
PL,33,13,63,36,412,613,348,713,"2,230"
CC,18,13,45,49,282,272,112,316,"1,107"
16,102,117,448,264,23,92,63,166,"1,275"
24,116,146,673,295,84,31,65,159,"1,568"
GP,64,71,505,108,61,59,13,26,906
BP,120,183,"1,270",258,156,158,27,23,"2,195"
Entries,475,559,"3,048","1,049","1,302","1,557",880,"2,139","11,007"
