Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	65 , 	57 , 	34 , 	131 , 	55 , 	55 , 	25 , 	52 , 	18 , 	58 , 	92 , 	12 , 	17 , 	17 , 	6 , 	9 , 	17 , 	11 , 	4 , 	5 , 	3 , 	4 , 	6 , 	14 , 	39 , 	36 , 	147 , 	51 , 	53 , 	68 , 	11 , 	24 , 	13 , 	11 , 	3 , 	9 , 	1 , 	20 , 	6 , 	5 , 	12 , 	5 ," 	1,283 ",,,Eastbay," 	31,326 ",,SF CBD," 	64,298 ",60.6%,,,
EN, 	73 , 	5 , 	60 , 	38 , 	177 , 	79 , 	77 , 	37 , 	80 , 	21 , 	55 , 	334 , 	15 , 	20 , 	21 , 	11 , 	14 , 	37 , 	15 , 	5 , 	12 , 	6 , 	5 , 	11 , 	15 , 	107 , 	100 , 	406 , 	114 , 	44 , 	69 , 	16 , 	34 , 	29 , 	16 , 	6 , 	11 , 	4 , 	21 , 	4 , 	8 , 	31 , 	8 ," 	2,250 ",,,Westbay," 	33,248 ",,non-CBD," 	44,432 ",41.9%,,,
EP, 	64 , 	42 , 	5 , 	28 , 	188 , 	47 , 	37 , 	23 , 	44 , 	15 , 	25 , 	117 , 	8 , 	10 , 	8 , 	5 , 	7 , 	20 , 	14 , 	5 , 	11 , 	7 , 	3 , 	11 , 	8 , 	63 , 	70 , 	257 , 	99 , 	19 , 	23 , 	7 , 	10 , 	12 , 	4 , 	2 , 	6 , 	3 , 	4 , 	1 , 	1 , 	29 , 	12 ," 	1,369 ",,,Transbay," 	47,072 ",,,,,,,
NB, 	42 , 	31 , 	28 , 	4 , 	55 , 	30 , 	30 , 	23 , 	50 , 	13 , 	25 , 	91 , 	10 , 	16 , 	5 , 	4 , 	7 , 	11 , 	9 , 	6 , 	6 , 	3 , 	3 , 	7 , 	7 , 	84 , 	101 , 	287 , 	144 , 	45 , 	48 , 	12 , 	9 , 	10 , 	3 , 	3 , 	6 , 	2 , 	8 , 	2 , 	2 , 	33 , 	7 ," 	1,317 ",,,SFO Ext," 	9,770 ",,,,,,,
BK, 	129 , 	183 , 	172 , 	57 , 	15 , 	131 , 	95 , 	105 , 	146 , 	61 , 	97 , 	131 , 	39 , 	39 , 	26 , 	14 , 	31 , 	112 , 	27 , 	24 , 	40 , 	16 , 	13 , 	23 , 	39 , 	175 , 	151 , 	509 , 	236 , 	84 , 	72 , 	27 , 	23 , 	25 , 	10 , 	16 , 	30 , 	4 , 	10 , 	4 , 	6 , 	63 , 	40 ," 	3,248 ",,,Extensions," 	13,930 ",,,,,,,
AS, 	79 , 	68 , 	38 , 	33 , 	103 , 	6 , 	54 , 	58 , 	67 , 	36 , 	56 , 	112 , 	12 , 	21 , 	18 , 	8 , 	16 , 	25 , 	9 , 	7 , 	9 , 	5 , 	3 , 	9 , 	24 , 	68 , 	64 , 	228 , 	114 , 	55 , 	56 , 	14 , 	10 , 	8 , 	4 , 	4 , 	8 , 	2 , 	9 , 	2 , 	2 , 	24 , 	6 ," 	1,550 ",,,,,,,,,,,
MA, 	54 , 	68 , 	34 , 	32 , 	100 , 	61 , 	7 , 	29 , 	46 , 	20 , 	60 , 	158 , 	32 , 	42 , 	24 , 	17 , 	13 , 	26 , 	31 , 	15 , 	23 , 	9 , 	6 , 	21 , 	32 , 	96 , 	118 , 	402 , 	197 , 	74 , 	73 , 	19 , 	25 , 	14 , 	4 , 	5 , 	13 , 	2 , 	41 , 	3 , 	2 , 	39 , 	10 ," 	2,091 ",,,,,,,,,,,
19, 	23 , 	31 , 	24 , 	26 , 	101 , 	56 , 	31 , 	4 , 	15 , 	13 , 	38 , 	74 , 	24 , 	31 , 	19 , 	10 , 	11 , 	41 , 	14 , 	14 , 	19 , 	9 , 	6 , 	25 , 	15 , 	75 , 	66 , 	220 , 	103 , 	52 , 	47 , 	25 , 	10 , 	22 , 	7 , 	2 , 	12 , 	4 , 	22 , 	4 , 	1 , 	21 , 	13 ," 	1,375 ",,,,,,,,,,,
12, 	47 , 	78 , 	40 , 	46 , 	146 , 	61 , 	43 , 	16 , 	8 , 	11 , 	71 , 	168 , 	60 , 	90 , 	45 , 	19 , 	40 , 	57 , 	34 , 	28 , 	39 , 	11 , 	17 , 	29 , 	40 , 	123 , 	141 , 	490 , 	181 , 	63 , 	46 , 	26 , 	30 , 	25 , 	16 , 	5 , 	13 , 	7 , 	42 , 	5 , 	6 , 	46 , 	21 ," 	2,523 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	20 , 	15 , 	15 , 	64 , 	33 , 	19 , 	10 , 	12 , 	6 , 	90 , 	165 , 	70 , 	78 , 	36 , 	12 , 	19 , 	46 , 	6 , 	8 , 	9 , 	4 , 	4 , 	6 , 	29 , 	86 , 	102 , 	356 , 	142 , 	48 , 	38 , 	20 , 	20 , 	15 , 	3 , 	25 , 	41 , 	2 , 	10 , 	1 , 	1 , 	17 , 	4 ," 	1,719 ",,,Dtwn SF," 	1,383 "," 	3,956 "," 	10,677 "," 	3,627 "," 	4,333 "," 	6,719 "," 	2,708 "," 	30,694 "
