Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	89 , 	83 , 	46 , 	211 , 	76 , 	72 , 	32 , 	68 , 	18 , 	76 , 	48 , 	23 , 	27 , 	25 , 	11 , 	7 , 	14 , 	16 , 	7 , 	12 , 	5 , 	4 , 	7 , 	15 , 	62 , 	73 , 	180 , 	86 , 	66 , 	112 , 	15 , 	30 , 	26 , 	10 , 	4 , 	9 , 	5 , 	20 , 	5 , 	5 , 	14 , 	7 ," 	1,721 ",,,Eastbay," 	32,790 ",,SF CBD," 	80,208 ",62.9%,,,
EN, 	101 , 	9 , 	73 , 	50 , 	381 , 	106 , 	92 , 	65 , 	147 , 	27 , 	88 , 	103 , 	30 , 	31 , 	28 , 	12 , 	21 , 	33 , 	27 , 	12 , 	19 , 	8 , 	6 , 	22 , 	25 , 	163 , 	193 , 	518 , 	173 , 	61 , 	100 , 	36 , 	42 , 	47 , 	13 , 	6 , 	12 , 	8 , 	38 , 	6 , 	8 , 	31 , 	16 ," 	2,985 ",,,Westbay," 	41,168 ",,non-CBD," 	49,827 ",39.1%,,,
EP, 	86 , 	65 , 	6 , 	30 , 	320 , 	64 , 	56 , 	42 , 	82 , 	31 , 	44 , 	41 , 	10 , 	14 , 	10 , 	3 , 	8 , 	21 , 	13 , 	12 , 	15 , 	7 , 	6 , 	20 , 	6 , 	105 , 	112 , 	296 , 	118 , 	35 , 	31 , 	14 , 	9 , 	14 , 	3 , 	3 , 	8 , 	1 , 	6 , 	2 , 	1 , 	25 , 	8 ," 	1,795 ",,,Transbay," 	58,952 ",,,,,,,
NB, 	58 , 	55 , 	33 , 	7 , 	119 , 	36 , 	36 , 	40 , 	84 , 	25 , 	37 , 	45 , 	17 , 	21 , 	14 , 	6 , 	12 , 	22 , 	11 , 	8 , 	7 , 	6 , 	3 , 	11 , 	6 , 	143 , 	150 , 	335 , 	155 , 	67 , 	64 , 	21 , 	14 , 	12 , 	3 , 	1 , 	6 , 	2 , 	9 , 	1 , 	1 , 	34 , 	11 ," 	1,746 ",,,SFO Ext," 	9,578 ",,,,,,,
BK, 	216 , 	365 , 	339 , 	113 , 	14 , 	228 , 	209 , 	164 , 	250 , 	105 , 	158 , 	219 , 	73 , 	82 , 	63 , 	34 , 	55 , 	119 , 	48 , 	49 , 	67 , 	59 , 	33 , 	34 , 	76 , 	320 , 	258 , 	761 , 	390 , 	129 , 	126 , 	58 , 	50 , 	51 , 	17 , 	21 , 	59 , 	9 , 	22 , 	5 , 	6 , 	89 , 	54 ," 	5,594 ",,,Extensions," 	13,751 ",,,,,,,
AS, 	89 , 	102 , 	56 , 	36 , 	194 , 	6 , 	66 , 	66 , 	113 , 	38 , 	69 , 	74 , 	25 , 	33 , 	29 , 	9 , 	15 , 	19 , 	12 , 	10 , 	15 , 	5 , 	2 , 	11 , 	27 , 	122 , 	105 , 	257 , 	168 , 	87 , 	82 , 	13 , 	11 , 	6 , 	3 , 	5 , 	10 , 	2 , 	10 , 	2 , 	3 , 	18 , 	8 ," 	2,030 ",,,,,,,,,,,
MA, 	75 , 	91 , 	54 , 	40 , 	184 , 	73 , 	9 , 	41 , 	79 , 	26 , 	90 , 	92 , 	43 , 	61 , 	40 , 	22 , 	19 , 	28 , 	38 , 	29 , 	28 , 	12 , 	6 , 	23 , 	38 , 	190 , 	195 , 	482 , 	251 , 	123 , 	114 , 	24 , 	24 , 	21 , 	6 , 	6 , 	13 , 	5 , 	55 , 	2 , 	5 , 	24 , 	9 ," 	2,784 ",,,,,,,,,,,
19, 	32 , 	70 , 	47 , 	40 , 	163 , 	65 , 	44 , 	4 , 	23 , 	14 , 	55 , 	59 , 	40 , 	52 , 	34 , 	21 , 	24 , 	40 , 	33 , 	24 , 	27 , 	14 , 	12 , 	41 , 	31 , 	105 , 	106 , 	255 , 	140 , 	73 , 	62 , 	17 , 	21 , 	20 , 	8 , 	5 , 	28 , 	5 , 	35 , 	5 , 	4 , 	17 , 	7 ," 	1,918 ",,,,,,,,,,,
12, 	71 , 	134 , 	87 , 	72 , 	257 , 	119 , 	87 , 	21 , 	12 , 	17 , 	101 , 	132 , 	99 , 	110 , 	75 , 	40 , 	61 , 	89 , 	57 , 	53 , 	58 , 	27 , 	27 , 	51 , 	63 , 	222 , 	224 , 	583 , 	262 , 	98 , 	81 , 	37 , 	53 , 	39 , 	26 , 	14 , 	24 , 	10 , 	68 , 	11 , 	5 , 	43 , 	28 ," 	3,739 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	14 , 	28 , 	32 , 	25 , 	99 , 	32 , 	24 , 	13 , 	19 , 	3 , 	65 , 	83 , 	104 , 	101 , 	45 , 	23 , 	36 , 	52 , 	5 , 	8 , 	10 , 	4 , 	7 , 	11 , 	24 , 	132 , 	138 , 	375 , 	152 , 	67 , 	49 , 	24 , 	24 , 	21 , 	4 , 	43 , 	62 , 	2 , 	11 , 	2 , 	1 , 	12 , 	6 ," 	1,987 ",,,Dtwn SF," 	1,702 "," 	5,290 "," 	14,174 "," 	5,471 "," 	5,517 "," 	7,346 "," 	2,446 "," 	39,500 "
