Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jan 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	3 , 	46 , 	51 , 	29 , 	124 , 	60 , 	44 , 	21 , 	51 , 	21 , 	49 , 	57 , 	9 , 	15 , 	13 , 	7 , 	14 , 	17 , 	14 , 	2 , 	5 , 	4 , 	4 , 	6 , 	12 , 	40 , 	38 , 	122 , 	59 , 	47 , 	60 , 	13 , 	17 , 	19 , 	7 , 	1 , 	13 , 	2 , 	19 , 	6 , 	5 , 	14 , 	8 ," 	1,168 ",,,Eastbay," 	24,100 ",,SF CBD," 	48,878 ",59.0%,,,
EN, 	53 , 	9 , 	48 , 	33 , 	187 , 	73 , 	70 , 	38 , 	79 , 	27 , 	47 , 	140 , 	12 , 	19 , 	21 , 	10 , 	10 , 	29 , 	15 , 	6 , 	11 , 	5 , 	6 , 	10 , 	10 , 	73 , 	85 , 	263 , 	93 , 	36 , 	59 , 	15 , 	27 , 	24 , 	15 , 	4 , 	10 , 	4 , 	19 , 	6 , 	6 , 	35 , 	8 ," 	1,750 ",,,Westbay," 	27,822 ",,non-CBD," 	35,878 ",43.3%,,,
EP, 	60 , 	39 , 	5 , 	22 , 	193 , 	46 , 	33 , 	19 , 	42 , 	14 , 	29 , 	59 , 	11 , 	11 , 	8 , 	5 , 	7 , 	14 , 	8 , 	5 , 	9 , 	3 , 	3 , 	10 , 	4 , 	43 , 	54 , 	157 , 	66 , 	21 , 	18 , 	7 , 	6 , 	7 , 	1 , 	2 , 	5 , 	1 , 	4 , 	1 , 	1 , 	24 , 	5 ," 	1,083 ",,,Transbay," 	35,609 ",,,,,,,
NB, 	36 , 	33 , 	26 , 	3 , 	55 , 	31 , 	26 , 	23 , 	50 , 	17 , 	28 , 	60 , 	11 , 	15 , 	7 , 	4 , 	6 , 	13 , 	7 , 	7 , 	4 , 	3 , 	3 , 	10 , 	5 , 	75 , 	65 , 	181 , 	105 , 	39 , 	40 , 	11 , 	8 , 	9 , 	2 , 	2 , 	6 , 	2 , 	7 , 	1 , 	1 , 	51 , 	7 ," 	1,095 ",,,SFO Ext," 	7,991 ",,,,,,,
BK, 	126 , 	185 , 	192 , 	55 , 	14 , 	128 , 	117 , 	103 , 	164 , 	64 , 	83 , 	234 , 	33 , 	39 , 	31 , 	15 , 	27 , 	119 , 	23 , 	21 , 	32 , 	26 , 	13 , 	25 , 	45 , 	159 , 	134 , 	466 , 	228 , 	91 , 	67 , 	29 , 	21 , 	25 , 	9 , 	11 , 	35 , 	5 , 	16 , 	4 , 	5 , 	100 , 	40 ," 	3,356 ",,,Extensions," 	9,285 ",,,,,,,
AS, 	62 , 	70 , 	37 , 	32 , 	101 , 	4 , 	54 , 	46 , 	82 , 	37 , 	49 , 	78 , 	16 , 	17 , 	19 , 	6 , 	18 , 	20 , 	6 , 	7 , 	7 , 	4 , 	3 , 	7 , 	20 , 	71 , 	61 , 	179 , 	124 , 	61 , 	60 , 	13 , 	10 , 	8 , 	3 , 	4 , 	9 , 	1 , 	10 , 	2 , 	0 , 	34 , 	8 ," 	1,460 ",,,,,,,,,,,
MA, 	54 , 	55 , 	35 , 	28 , 	114 , 	54 , 	5 , 	26 , 	49 , 	19 , 	59 , 	101 , 	35 , 	39 , 	24 , 	15 , 	11 , 	23 , 	24 , 	15 , 	17 , 	8 , 	7 , 	20 , 	31 , 	105 , 	93 , 	279 , 	154 , 	86 , 	75 , 	20 , 	19 , 	13 , 	4 , 	5 , 	10 , 	3 , 	39 , 	3 , 	2 , 	38 , 	8 ," 	1,824 ",,,,,,,,,,,
19, 	22 , 	30 , 	19 , 	21 , 	97 , 	51 , 	30 , 	4 , 	15 , 	11 , 	35 , 	50 , 	20 , 	28 , 	19 , 	9 , 	9 , 	17 , 	16 , 	10 , 	15 , 	7 , 	4 , 	20 , 	17 , 	61 , 	52 , 	157 , 	90 , 	45 , 	39 , 	11 , 	10 , 	13 , 	3 , 	2 , 	7 , 	1 , 	16 , 	2 , 	0 , 	20 , 	8 ," 	1,113 ",,,,,,,,,,,
12, 	46 , 	65 , 	42 , 	41 , 	157 , 	77 , 	47 , 	13 , 	9 , 	10 , 	71 , 	90 , 	61 , 	67 , 	39 , 	23 , 	37 , 	63 , 	32 , 	26 , 	36 , 	14 , 	17 , 	36 , 	46 , 	143 , 	145 , 	395 , 	167 , 	64 , 	47 , 	22 , 	36 , 	24 , 	17 , 	5 , 	12 , 	7 , 	37 , 	7 , 	5 , 	43 , 	21 ," 	2,362 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	25 , 	15 , 	22 , 	65 , 	37 , 	17 , 	10 , 	12 , 	6 , 	82 , 	80 , 	79 , 	62 , 	30 , 	14 , 	23 , 	36 , 	5 , 	8 , 	8 , 	4 , 	3 , 	8 , 	17 , 	77 , 	83 , 	263 , 	122 , 	56 , 	47 , 	15 , 	20 , 	16 , 	2 , 	30 , 	36 , 	3 , 	8 , 	0 , 	1 , 	14 , 	5 ," 	1,483 ",,,Dtwn SF, 	955 ," 	3,130 "," 	9,169 "," 	2,919 "," 	2,759 "," 	4,393 "," 	1,845 "," 	23,324 "
FV, 	50 , 	44 , 	30 , 	27 , 	83 , 	54 , 	62 , 	44 , 	69 , 	76 , 	10 , 	137 , 	98 , 	187 , 	78 , 	46 , 	37 , 	51 , 	19 , 	11 , 	20 , 	7 , 	9 , 	22 , 	65 , 	88 , 	92 , 	309 , 	144 , 	93 , 	91 , 	14 , 	29 , 	22 , 	11 , 	24 , 	54 , 	3 , 	31 , 	4 , 	2 , 	32 , 	9 ," 	2,388 ",,,OAK," 	2,968 ", 	528 , 	837 ," 	1,287 ", 	518 ," 	1,629 ", 	201 ," 	7,767 "
CL, 	69 , 	135 , 	51 , 	48 , 	103 , 	59 , 	94 , 	56 , 	124 , 	64 , 	134 , 	10 , 	176 , 	195 , 	109 , 	72 , 	94 , 	213 , 	56 , 	56 , 	51 , 	31 , 	25 , 	31 , 	59 , 	208 , 	153 , 	511 , 	247 , 	80 , 	78 , 	40 , 	33 , 	55 , 	11 , 	95 , 	495 , 	30 , 	87 , 	7 , 	8 , 	39 , 	9 ," 	4,303 ",,,CM line," 	9,010 ", 	798 ," 	3,019 ", 	855 , 	645 ," 	1,171 ", 	941 ," 	15,498 "
SL, 	10 , 	19 , 	9 , 	13 , 	36 , 	18 , 	29 , 	23 , 	63 , 	77 , 	98 , 	156 , 	5 , 	65 , 	61 , 	21 , 	26 , 	35 , 	8 , 	4 , 	5 , 	3 , 	3 , 	8 , 	12 , 	59 , 	49 , 	181 , 	61 , 	16 , 	30 , 	8 , 	11 , 	15 , 	7 , 	17 , 	31 , 	2 , 	8 , 	4 , 	2 , 	19 , 	4 ," 	1,331 ",,,RM line," 	2,942 "," 	1,338 ", 	902 ," 	2,273 ", 	421 ," 	1,664 ", 	373 ," 	9,540 "
BF, 	14 , 	18 , 	8 , 	15 , 	38 , 	21 , 	43 , 	35 , 	62 , 	68 , 	194 , 	178 , 	77 , 	8 , 	76 , 	82 , 	66 , 	85 , 	15 , 	4 , 	7 , 	1 , 	3 , 	6 , 	22 , 	48 , 	55 , 	154 , 	51 , 	20 , 	23 , 	10 , 	17 , 	14 , 	3 , 	26 , 	74 , 	1 , 	17 , 	2 , 	2 , 	10 , 	2 ," 	1,676 ",,,WP line," 	2,721 ", 	563 , 	689 , 	429 ," 	1,830 ", 	854 , 	439 ," 	7,086 "
