Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jan 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	118 , 	110 , 	91 , 	387 , 	114 , 	148 , 	120 , 	193 , 	39 , 	109 , 	74 , 	42 , 	35 , 	40 , 	21 , 	23 , 	37 , 	28 , 	21 , 	23 , 	10 , 	9 , 	16 , 	21 , 	193 , 	210 , 	260 , 	199 , 	109 , 	139 , 	25 , 	45 , 	28 , 	9 , 	6 , 	19 , 	6 , 	28 , 	13 , 	6 , 	22 , 	13 ," 	3,166 ",,,Eastbay," 	72,200 ",,SF CBD," 	191,043 ",66.6%,,,
EN, 	152 , 	11 , 	104 , 	80 , 	802 , 	157 , 	219 , 	427 , 	641 , 	99 , 	128 , 	127 , 	57 , 	36 , 	62 , 	26 , 	39 , 	60 , 	49 , 	27 , 	37 , 	10 , 	13 , 	28 , 	36 , 	825 , 	928 , 	696 , 	623 , 	129 , 	163 , 	41 , 	68 , 	69 , 	19 , 	7 , 	38 , 	8 , 	31 , 	24 , 	13 , 	49 , 	29 ," 	7,187 ",,,Westbay," 	84,291 ",,non-CBD," 	101,531 ",35.4%,,,
EP, 	115 , 	84 , 	5 , 	57 , 	588 , 	74 , 	88 , 	194 , 	279 , 	76 , 	50 , 	48 , 	26 , 	14 , 	25 , 	8 , 	14 , 	36 , 	25 , 	22 , 	21 , 	9 , 	6 , 	20 , 	9 , 	406 , 	468 , 	295 , 	283 , 	52 , 	43 , 	16 , 	25 , 	25 , 	4 , 	4 , 	15 , 	4 , 	9 , 	8 , 	4 , 	30 , 	14 ," 	3,596 ",,,Transbay," 	141,032 ",,,,,,,
NB, 	86 , 	69 , 	57 , 	4 , 	204 , 	57 , 	70 , 	155 , 	246 , 	56 , 	51 , 	59 , 	27 , 	17 , 	24 , 	7 , 	9 , 	30 , 	17 , 	13 , 	20 , 	9 , 	9 , 	17 , 	14 , 	512 , 	577 , 	330 , 	371 , 	93 , 	70 , 	23 , 	32 , 	24 , 	4 , 	3 , 	12 , 	1 , 	11 , 	7 , 	3 , 	43 , 	14 ," 	3,460 ",,,SFO Ext," 	20,123 ",,,,,,,
BK, 	413 , 	814 , 	598 , 	214 , 	12 , 	397 , 	382 , 	419 , 	549 , 	229 , 	286 , 	245 , 	138 , 	136 , 	133 , 	84 , 	143 , 	252 , 	108 , 	140 , 	123 , 	72 , 	53 , 	48 , 	77 , 	538 , 	576 , 	644 , 	617 , 	240 , 	250 , 	94 , 	87 , 	100 , 	20 , 	41 , 	112 , 	23 , 	78 , 	31 , 	17 , 	95 , 	87 ," 	9,712 ",,,Extensions," 	33,269 ",,,,,,,
AS, 	112 , 	142 , 	69 , 	57 , 	338 , 	5 , 	97 , 	168 , 	254 , 	88 , 	104 , 	95 , 	41 , 	40 , 	54 , 	19 , 	31 , 	51 , 	24 , 	17 , 	26 , 	10 , 	7 , 	16 , 	37 , 	391 , 	467 , 	322 , 	322 , 	113 , 	94 , 	23 , 	29 , 	23 , 	7 , 	13 , 	23 , 	3 , 	21 , 	7 , 	6 , 	29 , 	13 ," 	3,809 ",,,,,,,,,,,
MA, 	157 , 	218 , 	98 , 	76 , 	363 , 	102 , 	10 , 	120 , 	204 , 	73 , 	145 , 	151 , 	107 , 	101 , 	108 , 	57 , 	68 , 	119 , 	102 , 	101 , 	95 , 	35 , 	32 , 	59 , 	51 , 	634 , 	709 , 	581 , 	597 , 	203 , 	154 , 	53 , 	68 , 	59 , 	15 , 	17 , 	60 , 	24 , 	133 , 	20 , 	20 , 	41 , 	29 ," 	6,172 ",,,,,,,,,,,
19, 	119 , 	418 , 	199 , 	163 , 	371 , 	173 , 	114 , 	9 , 	79 , 	36 , 	145 , 	158 , 	177 , 	172 , 	172 , 	147 , 	161 , 	351 , 	227 , 	312 , 	207 , 	120 , 	79 , 	102 , 	50 , 	582 , 	574 , 	466 , 	524 , 	150 , 	164 , 	109 , 	91 , 	109 , 	52 , 	51 , 	181 , 	88 , 	225 , 	53 , 	29 , 	25 , 	70 ," 	7,803 ",,,,,,,,,,,
12, 	216 , 	638 , 	270 , 	244 , 	472 , 	252 , 	198 , 	76 , 	16 , 	51 , 	253 , 	332 , 	374 , 	355 , 	311 , 	207 , 	250 , 	399 , 	292 , 	395 , 	310 , 	186 , 	146 , 	189 , 	106 , 	809 , 	852 , 	799 , 	752 , 	207 , 	242 , 	134 , 	134 , 	167 , 	88 , 	95 , 	270 , 	122 , 	298 , 	78 , 	44 , 	65 , 	97 ," 	11,789 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	35 , 	90 , 	81 , 	65 , 	221 , 	82 , 	69 , 	39 , 	54 , 	6 , 	163 , 	168 , 	221 , 	203 , 	149 , 	97 , 	111 , 	151 , 	22 , 	28 , 	22 , 	11 , 	9 , 	28 , 	37 , 	457 , 	483 , 	435 , 	350 , 	95 , 	75 , 	29 , 	56 , 	43 , 	13 , 	80 , 	202 , 	10 , 	38 , 	9 , 	7 , 	15 , 	8 ," 	4,567 ",,,Dtwn SF,"3,881","12,810","29,365","10,247","17,037","19,102","5,798","92,441"
FV, 	104 , 	132 , 	58 , 	48 , 	298 , 	108 , 	150 , 	168 , 	271 , 	157 , 	11 , 	197 , 	262 , 	260 , 	254 , 	106 , 	90 , 	125 , 	54 , 	38 , 	45 , 	22 , 	39 , 	57 , 	123 , 	580 , 	701 , 	584 , 	523 , 	161 , 	170 , 	36 , 	72 , 	61 , 	17 , 	51 , 	159 , 	13 , 	49 , 	14 , 	11 , 	34 , 	16 ," 	6,429 ",,,OAK,"12,523","1,661","2,801","5,317","4,143","7,452",657,"33,897"
CL, 	79 , 	139 , 	48 , 	59 , 	207 , 	100 , 	163 , 	194 , 	346 , 	151 , 	197 , 	9 , 	113 , 	153 , 	183 , 	91 , 	82 , 	135 , 	55 , 	57 , 	59 , 	26 , 	21 , 	60 , 	102 , 	480 , 	465 , 	509 , 	418 , 	120 , 	114 , 	59 , 	65 , 	70 , 	15 , 	36 , 	172 , 	15 , 	73 , 	19 , 	16 , 	35 , 	22 ," 	5,529 ",,,CM line,"28,379","2,708","7,369","2,143","1,593","2,291","1,709","44,483"
SL, 	37 , 	59 , 	25 , 	31 , 	137 , 	38 , 	107 , 	190 , 	383 , 	219 , 	258 , 	123 , 	5 , 	98 , 	184 , 	74 , 	74 , 	104 , 	33 , 	29 , 	18 , 	10 , 	8 , 	23 , 	34 , 	532 , 	591 , 	394 , 	329 , 	65 , 	64 , 	20 , 	44 , 	40 , 	14 , 	33 , 	99 , 	6 , 	28 , 	10 , 	12 , 	19 , 	8 ," 	4,607 ",,,RM line,"11,053","5,428","2,337","6,705","1,327","3,504",577,"30,354"
BF, 	32 , 	32 , 	14 , 	17 , 	130 , 	37 , 	104 , 	180 , 	339 , 	192 , 	254 , 	142 , 	102 , 	7 , 	167 , 	129 , 	134 , 	207 , 	29 , 	18 , 	15 , 	4 , 	3 , 	16 , 	42 , 	485 , 	529 , 	345 , 	266 , 	54 , 	52 , 	22 , 	24 , 	26 , 	8 , 	47 , 	243 , 	8 , 	19 , 	9 , 	6 , 	14 , 	4 ," 	4,505 ",,,WP line,"17,135","4,156","1,666","1,363","5,756","1,469",727,"31,546"
HY, 	37 , 	65 , 	26 , 	26 , 	127 , 	58 , 	106 , 	180 , 	304 , 	149 , 	257 , 	172 , 	191 , 	167 , 	7 , 	147 , 	201 , 	333 , 	29 , 	26 , 	24 , 	6 , 	8 , 	18 , 	36 , 	361 , 	337 , 	254 , 	218 , 	59 , 	49 , 	21 , 	24 , 	29 , 	8 , 	19 , 	95 , 	13 , 	36 , 	8 , 	7 , 	10 , 	5 ," 	4,251 ",,,FT/ED line,"18,388","7,511","2,375","3,526","1,504","11,377",525,"44,681"
SH, 	22 , 	26 , 	8 , 	7 , 	79 , 	21 , 	52 , 	149 , 	210 , 	92 , 	100 , 	82 , 	76 , 	120 , 	140 , 	4 , 	72 , 	140 , 	13 , 	12 , 	12 , 	3 , 	1 , 	6 , 	13 , 	267 , 	282 , 	202 , 	189 , 	36 , 	39 , 	8 , 	14 , 	17 , 	4 , 	12 , 	48 , 	3 , 	16 , 	2 , 	2 , 	7 , 	3 ," 	2,610 ",,,SFIA,"5,327",635,"1,709",500,715,490,756,"9,375"
