Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	128 , 	117 , 	95 , 	429 , 	115 , 	147 , 	126 , 	200 , 	51 , 	113 , 	72 , 	42 , 	36 , 	41 , 	24 , 	22 , 	36 , 	28 , 	21 , 	25 , 	10 , 	8 , 	17 , 	24 , 	199 , 	216 , 	275 , 	209 , 	118 , 	139 , 	25 , 	50 , 	54 , 	9 , 	7 , 	19 , 	5 , 	32 , 	14 , 	6 , 	16 , 	11 ," 	3,338 ",,,Eastbay," 	75,119 ",,SF CBD," 	195,952 ",65.5%,,,
EN, 	150 , 	11 , 	103 , 	77 , 	872 , 	160 , 	212 , 	420 , 	627 , 	116 , 	135 , 	133 , 	54 , 	41 , 	63 , 	26 , 	37 , 	67 , 	49 , 	28 , 	36 , 	7 , 	13 , 	28 , 	36 , 	826 , 	942 , 	706 , 	634 , 	131 , 	173 , 	43 , 	80 , 	177 , 	23 , 	6 , 	37 , 	6 , 	33 , 	24 , 	14 , 	46 , 	28 ," 	7,433 ",,,Westbay," 	87,849 ",,non-CBD," 	109,149 ",36.5%,,,
EP, 	125 , 	83 , 	4 , 	57 , 	641 , 	72 , 	96 , 	186 , 	265 , 	76 , 	53 , 	51 , 	26 , 	15 , 	28 , 	8 , 	14 , 	35 , 	28 , 	22 , 	19 , 	9 , 	7 , 	21 , 	13 , 	406 , 	477 , 	300 , 	297 , 	57 , 	43 , 	14 , 	33 , 	66 , 	3 , 	5 , 	15 , 	5 , 	10 , 	9 , 	5 , 	25 , 	15 ," 	3,741 ",,,Transbay," 	147,085 ",,,,,,,
NB, 	91 , 	73 , 	54 , 	4 , 	198 , 	59 , 	70 , 	165 , 	243 , 	65 , 	54 , 	61 , 	27 , 	16 , 	23 , 	9 , 	7 , 	32 , 	20 , 	11 , 	20 , 	10 , 	9 , 	15 , 	14 , 	510 , 	569 , 	320 , 	395 , 	90 , 	68 , 	25 , 	39 , 	62 , 	4 , 	4 , 	16 , 	1 , 	11 , 	6 , 	4 , 	31 , 	15 ," 	3,519 ",,,SFO Ext," 	20,563 ",,,,,,,
BK, 	449 , 	896 , 	653 , 	217 , 	16 , 	414 , 	404 , 	436 , 	588 , 	278 , 	329 , 	243 , 	150 , 	152 , 	145 , 	88 , 	166 , 	301 , 	116 , 	161 , 	141 , 	77 , 	60 , 	53 , 	71 , 	622 , 	681 , 	746 , 	729 , 	288 , 	296 , 	121 , 	111 , 	179 , 	27 , 	42 , 	130 , 	28 , 	80 , 	37 , 	22 , 	68 , 	106 ," 	10,914 ",,,Extensions," 	34,172 ",,,,,,,
AS, 	112 , 	155 , 	68 , 	58 , 	358 , 	5 , 	92 , 	180 , 	260 , 	100 , 	105 , 	98 , 	44 , 	43 , 	49 , 	24 , 	28 , 	61 , 	24 , 	18 , 	25 , 	11 , 	6 , 	18 , 	37 , 	399 , 	481 , 	325 , 	338 , 	127 , 	100 , 	19 , 	35 , 	73 , 	7 , 	11 , 	26 , 	4 , 	23 , 	10 , 	5 , 	23 , 	13 ," 	3,998 ",,,,,,,,,,,
MA, 	156 , 	208 , 	99 , 	74 , 	374 , 	90 , 	10 , 	119 , 	208 , 	83 , 	152 , 	155 , 	113 , 	97 , 	109 , 	49 , 	73 , 	117 , 	98 , 	97 , 	102 , 	40 , 	34 , 	60 , 	55 , 	657 , 	732 , 	587 , 	611 , 	198 , 	156 , 	58 , 	79 , 	113 , 	15 , 	19 , 	52 , 	24 , 	130 , 	23 , 	19 , 	31 , 	29 ," 	6,305 ",,,,,,,,,,,
19, 	126 , 	421 , 	193 , 	172 , 	399 , 	174 , 	123 , 	8 , 	79 , 	41 , 	152 , 	159 , 	189 , 	177 , 	171 , 	168 , 	169 , 	364 , 	235 , 	324 , 	206 , 	121 , 	79 , 	110 , 	54 , 	599 , 	592 , 	468 , 	539 , 	152 , 	166 , 	110 , 	101 , 	145 , 	58 , 	54 , 	180 , 	91 , 	230 , 	55 , 	29 , 	21 , 	79 ," 	8,081 ",,,,,,,,,,,
12, 	211 , 	626 , 	257 , 	239 , 	499 , 	260 , 	200 , 	72 , 	16 , 	59 , 	263 , 	345 , 	373 , 	364 , 	315 , 	202 , 	242 , 	409 , 	294 , 	391 , 	316 , 	179 , 	145 , 	200 , 	99 , 	833 , 	891 , 	820 , 	775 , 	215 , 	245 , 	141 , 	137 , 	213 , 	89 , 	98 , 	283 , 	123 , 	297 , 	81 , 	45 , 	56 , 	91 ," 	12,005 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	48 , 	108 , 	80 , 	76 , 	266 , 	98 , 	80 , 	43 , 	55 , 	7 , 	189 , 	188 , 	250 , 	212 , 	169 , 	94 , 	112 , 	173 , 	25 , 	33 , 	25 , 	10 , 	12 , 	40 , 	39 , 	463 , 	512 , 	442 , 	370 , 	98 , 	81 , 	31 , 	65 , 	118 , 	7 , 	84 , 	215 , 	10 , 	31 , 	10 , 	8 , 	15 , 	8 ," 	4,998 ",,,Dtwn SF,"3,937","13,003","30,305","10,663","17,061","19,582","5,836","94,550"
FV, 	110 , 	134 , 	57 , 	54 , 	340 , 	117 , 	152 , 	178 , 	283 , 	179 , 	13 , 	211 , 	277 , 	278 , 	269 , 	113 , 	95 , 	139 , 	57 , 	37 , 	49 , 	24 , 	40 , 	60 , 	123 , 	584 , 	713 , 	606 , 	555 , 	180 , 	185 , 	33 , 	84 , 	136 , 	19 , 	49 , 	161 , 	11 , 	55 , 	14 , 	12 , 	31 , 	13 ," 	6,827 ",,,OAK,"12,845","1,717","3,127","5,445","4,217","7,722",648,"35,072"
CL, 	82 , 	140 , 	58 , 	66 , 	268 , 	104 , 	171 , 	202 , 	362 , 	168 , 	209 , 	9 , 	115 , 	153 , 	180 , 	89 , 	83 , 	147 , 	58 , 	61 , 	54 , 	28 , 	21 , 	59 , 	104 , 	507 , 	472 , 	520 , 	421 , 	131 , 	127 , 	62 , 	65 , 	102 , 	14 , 	37 , 	180 , 	14 , 	75 , 	19 , 	17 , 	38 , 	20 ," 	5,812 ",,,CM line,"29,489","3,062","8,339","2,699","1,937","2,798","1,819","48,323"
SL, 	37 , 	59 , 	23 , 	29 , 	141 , 	44 , 	114 , 	203 , 	376 , 	247 , 	269 , 	130 , 	7 , 	105 , 	191 , 	75 , 	81 , 	111 , 	32 , 	31 , 	19 , 	9 , 	9 , 	24 , 	34 , 	541 , 	596 , 	391 , 	342 , 	67 , 	70 , 	20 , 	50 , 	81 , 	12 , 	35 , 	107 , 	5 , 	26 , 	10 , 	11 , 	18 , 	10 ," 	4,793 ",,,RM line,"11,601","5,598","2,908","7,126","1,409","3,748",553,"32,391"
BF, 	32 , 	36 , 	13 , 	15 , 	148 , 	40 , 	97 , 	184 , 	348 , 	206 , 	276 , 	144 , 	112 , 	7 , 	159 , 	130 , 	141 , 	208 , 	30 , 	19 , 	19 , 	5 , 	4 , 	17 , 	46 , 	482 , 	553 , 	361 , 	283 , 	66 , 	52 , 	21 , 	32 , 	74 , 	8 , 	47 , 	258 , 	9 , 	20 , 	8 , 	7 , 	14 , 	6 ," 	4,733 ",,,WP line,"17,214","4,215","1,998","1,428","5,974","1,501",684,"32,330"
HY, 	40 , 	62 , 	28 , 	25 , 	143 , 	54 , 	109 , 	183 , 	301 , 	163 , 	274 , 	179 , 	198 , 	168 , 	9 , 	152 , 	194 , 	338 , 	31 , 	25 , 	25 , 	5 , 	9 , 	18 , 	38 , 	366 , 	344 , 	266 , 	218 , 	58 , 	51 , 	18 , 	24 , 	50 , 	8 , 	22 , 	93 , 	12 , 	37 , 	10 , 	6 , 	9 , 	7 ," 	4,368 ",,,FT/ED line,"18,921","7,786","2,884","3,852","1,545","11,837",506,"46,824"
SH, 	23 , 	28 , 	8 , 	8 , 	87 , 	23 , 	48 , 	164 , 	205 , 	95 , 	105 , 	82 , 	76 , 	128 , 	148 , 	5 , 	77 , 	162 , 	15 , 	13 , 	11 , 	3 , 	2 , 	7 , 	17 , 	274 , 	303 , 	211 , 	196 , 	39 , 	42 , 	9 , 	16 , 	43 , 	4 , 	12 , 	48 , 	3 , 	13 , 	4 , 	3 , 	6 , 	2 ," 	2,763 ",,,SFIA,"5,497",652,"1,886",548,701,491,743,"9,776"
