Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Mar 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	124 , 	119 , 	92 , 	424 , 	110 , 	146 , 	125 , 	204 , 	48 , 	116 , 	81 , 	42 , 	37 , 	40 , 	26 , 	20 , 	34 , 	31 , 	21 , 	21 , 	10 , 	8 , 	19 , 	25 , 	208 , 	219 , 	285 , 	215 , 	112 , 	135 , 	22 , 	44 , 	51 , 	11 , 	7 , 	21 , 	7 , 	33 , 	13 , 	8 , 	21 , 	13 ," 	3,358 ",,,Eastbay," 	74,393 ",,SF CBD," 	198,199 ",66.2%,,,
EN, 	151 , 	11 , 	104 , 	75 , 	824 , 	160 , 	218 , 	439 , 	636 , 	106 , 	129 , 	141 , 	55 , 	45 , 	59 , 	25 , 	36 , 	67 , 	41 , 	26 , 	36 , 	9 , 	11 , 	28 , 	33 , 	840 , 	938 , 	722 , 	630 , 	132 , 	173 , 	44 , 	76 , 	138 , 	22 , 	8 , 	35 , 	7 , 	33 , 	25 , 	16 , 	49 , 	28 ," 	7,379 ",,,Westbay," 	88,462 ",,non-CBD," 	107,235 ",35.8%,,,
EP, 	129 , 	87 , 	5 , 	57 , 	602 , 	72 , 	92 , 	193 , 	267 , 	71 , 	47 , 	61 , 	30 , 	15 , 	24 , 	9 , 	17 , 	36 , 	26 , 	23 , 	19 , 	8 , 	9 , 	20 , 	16 , 	411 , 	485 , 	306 , 	290 , 	55 , 	46 , 	16 , 	30 , 	50 , 	4 , 	3 , 	14 , 	5 , 	10 , 	10 , 	4 , 	29 , 	13 ," 	3,716 ",,,Transbay," 	147,867 ",,,,,,,
NB, 	83 , 	68 , 	60 , 	6 , 	189 , 	63 , 	66 , 	161 , 	243 , 	56 , 	57 , 	73 , 	23 , 	18 , 	23 , 	8 , 	9 , 	29 , 	15 , 	13 , 	18 , 	9 , 	9 , 	16 , 	14 , 	531 , 	583 , 	341 , 	384 , 	83 , 	70 , 	24 , 	37 , 	51 , 	5 , 	4 , 	13 , 	1 , 	10 , 	5 , 	4 , 	40 , 	15 ," 	3,532 ",,,SFO Ext," 	21,869 ",,,,,,,
BK, 	449 , 	845 , 	621 , 	209 , 	16 , 	403 , 	380 , 	420 , 	577 , 	234 , 	326 , 	280 , 	144 , 	147 , 	132 , 	78 , 	155 , 	273 , 	116 , 	151 , 	137 , 	71 , 	59 , 	47 , 	69 , 	631 , 	679 , 	815 , 	699 , 	266 , 	273 , 	112 , 	99 , 	150 , 	22 , 	42 , 	122 , 	26 , 	86 , 	32 , 	22 , 	104 , 	98 ," 	10,619 ",,,Extensions," 	34,518 ",,,,,,,
AS, 	111 , 	155 , 	66 , 	59 , 	344 , 	5 , 	104 , 	183 , 	259 , 	83 , 	105 , 	102 , 	47 , 	40 , 	55 , 	21 , 	29 , 	53 , 	25 , 	18 , 	23 , 	10 , 	7 , 	18 , 	35 , 	401 , 	491 , 	339 , 	345 , 	124 , 	93 , 	21 , 	32 , 	56 , 	6 , 	13 , 	27 , 	3 , 	26 , 	9 , 	5 , 	25 , 	11 ," 	3,985 ",,,,,,,,,,,
MA, 	161 , 	216 , 	99 , 	72 , 	354 , 	95 , 	10 , 	119 , 	211 , 	67 , 	162 , 	163 , 	113 , 	102 , 	106 , 	51 , 	70 , 	118 , 	107 , 	96 , 	97 , 	38 , 	34 , 	57 , 	58 , 	661 , 	731 , 	601 , 	595 , 	204 , 	167 , 	59 , 	73 , 	93 , 	17 , 	20 , 	60 , 	24 , 	129 , 	24 , 	17 , 	44 , 	31 ," 	6,323 ",,,,,,,,,,,
19, 	128 , 	439 , 	198 , 	173 , 	382 , 	177 , 	117 , 	8 , 	79 , 	39 , 	134 , 	160 , 	188 , 	173 , 	168 , 	156 , 	172 , 	376 , 	234 , 	317 , 	214 , 	127 , 	76 , 	111 , 	57 , 	613 , 	589 , 	490 , 	545 , 	153 , 	172 , 	111 , 	97 , 	138 , 	59 , 	53 , 	182 , 	88 , 	225 , 	52 , 	27 , 	24 , 	80 ," 	8,103 ",,,,,,,,,,,
12, 	210 , 	625 , 	259 , 	243 , 	502 , 	254 , 	216 , 	75 , 	17 , 	48 , 	265 , 	358 , 	370 , 	362 , 	314 , 	206 , 	236 , 	409 , 	290 , 	394 , 	302 , 	177 , 	144 , 	202 , 	98 , 	844 , 	880 , 	856 , 	769 , 	219 , 	238 , 	137 , 	137 , 	208 , 	93 , 	98 , 	277 , 	121 , 	296 , 	79 , 	47 , 	61 , 	89 ," 	12,029 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	45 , 	94 , 	68 , 	62 , 	225 , 	85 , 	62 , 	35 , 	42 , 	6 , 	177 , 	183 , 	237 , 	210 , 	160 , 	92 , 	117 , 	151 , 	25 , 	26 , 	27 , 	8 , 	10 , 	36 , 	33 , 	469 , 	505 , 	443 , 	366 , 	97 , 	76 , 	30 , 	52 , 	91 , 	7 , 	82 , 	187 , 	10 , 	32 , 	9 , 	8 , 	15 , 	7 ," 	4,702 ",,,Dtwn SF,"4,138","13,071","30,248","10,840","17,105","19,932","6,206","95,334"
