Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Apr 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	9 , 	100 , 	93 , 	51 , 	223 , 	84 , 	83 , 	38 , 	72 , 	23 , 	79 , 	78 , 	24 , 	24 , 	21 , 	7 , 	6 , 	21 , 	22 , 	8 , 	11 , 	8 , 	10 , 	13 , 	21 , 	71 , 	67 , 	196 , 	88 , 	83 , 	111 , 	14 , 	39 , 	21 , 	7 , 	5 , 	13 , 	3 , 	22 , 	6 , 	6 , 	14 , 	13 ," 	1,910 ",,,Eastbay," 	39,862 ",,SF CBD," 	86,030 ",60.5%,,,
EN, 	117 , 	15 , 	79 , 	55 , 	394 , 	107 , 	102 , 	64 , 	153 , 	32 , 	105 , 	187 , 	39 , 	47 , 	35 , 	16 , 	23 , 	45 , 	26 , 	12 , 	20 , 	8 , 	7 , 	23 , 	22 , 	195 , 	194 , 	539 , 	198 , 	73 , 	122 , 	30 , 	52 , 	49 , 	19 , 	7 , 	17 , 	3 , 	35 , 	7 , 	10 , 	31 , 	17 ," 	3,327 ",,,Westbay," 	44,808 ",,non-CBD," 	59,083 ",41.5%,,,
EP, 	101 , 	72 , 	4 , 	44 , 	381 , 	65 , 	53 , 	50 , 	87 , 	29 , 	38 , 	102 , 	14 , 	16 , 	10 , 	6 , 	9 , 	25 , 	15 , 	8 , 	14 , 	9 , 	8 , 	17 , 	10 , 	119 , 	99 , 	271 , 	123 , 	33 , 	33 , 	11 , 	17 , 	13 , 	3 , 	3 , 	8 , 	3 , 	7 , 	2 , 	1 , 	27 , 	10 ," 	1,969 ",,,Transbay," 	63,712 ",,,,,,,
NB, 	57 , 	52 , 	37 , 	6 , 	110 , 	44 , 	42 , 	36 , 	82 , 	31 , 	49 , 	87 , 	13 , 	19 , 	11 , 	5 , 	7 , 	23 , 	13 , 	12 , 	8 , 	6 , 	9 , 	11 , 	7 , 	153 , 	137 , 	275 , 	179 , 	69 , 	57 , 	20 , 	12 , 	15 , 	3 , 	6 , 	9 , 	1 , 	8 , 	1 , 	1 , 	32 , 	10 ," 	1,762 ",,,SFO Ext," 	11,236 ",,,,,,,
BK, 	243 , 	396 , 	393 , 	122 , 	20 , 	262 , 	218 , 	165 , 	287 , 	108 , 	168 , 	253 , 	83 , 	85 , 	71 , 	35 , 	82 , 	240 , 	54 , 	61 , 	81 , 	40 , 	27 , 	36 , 	49 , 	367 , 	325 , 	957 , 	456 , 	180 , 	148 , 	57 , 	67 , 	88 , 	17 , 	25 , 	83 , 	10 , 	33 , 	14 , 	13 , 	66 , 	77 ," 	6,563 ",,,Extensions," 	16,073 ",,,,,,,
AS, 	86 , 	110 , 	65 , 	44 , 	202 , 	7 , 	79 , 	79 , 	109 , 	52 , 	89 , 	106 , 	27 , 	35 , 	27 , 	9 , 	22 , 	27 , 	16 , 	10 , 	16 , 	8 , 	7 , 	11 , 	38 , 	120 , 	108 , 	259 , 	180 , 	105 , 	75 , 	17 , 	20 , 	12 , 	3 , 	4 , 	11 , 	1 , 	15 , 	2 , 	2 , 	14 , 	9 ," 	2,236 ",,,,,,,,,,,
MA, 	88 , 	104 , 	49 , 	42 , 	207 , 	87 , 	11 , 	48 , 	92 , 	23 , 	105 , 	173 , 	51 , 	69 , 	47 , 	21 , 	17 , 	43 , 	35 , 	27 , 	32 , 	12 , 	16 , 	32 , 	43 , 	193 , 	213 , 	503 , 	270 , 	129 , 	99 , 	22 , 	30 , 	25 , 	7 , 	7 , 	26 , 	7 , 	61 , 	5 , 	4 , 	29 , 	11 ," 	3,115 ",,,,,,,,,,,
19, 	46 , 	72 , 	52 , 	42 , 	163 , 	79 , 	51 , 	8 , 	26 , 	13 , 	61 , 	86 , 	43 , 	54 , 	39 , 	21 , 	26 , 	42 , 	36 , 	26 , 	35 , 	15 , 	12 , 	38 , 	31 , 	113 , 	116 , 	274 , 	165 , 	73 , 	68 , 	15 , 	25 , 	29 , 	9 , 	5 , 	28 , 	3 , 	39 , 	6 , 	4 , 	12 , 	9 ," 	2,109 ",,,,,,,,,,,
12, 	68 , 	139 , 	93 , 	79 , 	274 , 	125 , 	86 , 	19 , 	12 , 	22 , 	111 , 	160 , 	110 , 	124 , 	76 , 	43 , 	63 , 	104 , 	59 , 	47 , 	66 , 	26 , 	24 , 	56 , 	71 , 	209 , 	249 , 	617 , 	255 , 	98 , 	94 , 	43 , 	61 , 	48 , 	25 , 	11 , 	35 , 	11 , 	66 , 	12 , 	9 , 	38 , 	29 ," 	3,968 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	20 , 	37 , 	31 , 	27 , 	102 , 	39 , 	26 , 	13 , 	22 , 	4 , 	71 , 	117 , 	120 , 	124 , 	52 , 	27 , 	44 , 	64 , 	9 , 	7 , 	9 , 	7 , 	5 , 	16 , 	24 , 	143 , 	162 , 	409 , 	180 , 	66 , 	48 , 	18 , 	28 , 	25 , 	5 , 	48 , 	65 , 	2 , 	10 , 	2 , 	2 , 	13 , 	6 ," 	2,248 ",,,Dtwn SF," 	1,707 "," 	5,518 "," 	15,079 "," 	5,809 "," 	5,709 "," 	7,940 "," 	2,843 "," 	41,763 "
FV, 	86 , 	111 , 	42 , 	43 , 	185 , 	94 , 	105 , 	64 , 	124 , 	58 , 	14 , 	209 , 	173 , 	261 , 	157 , 	60 , 	53 , 	81 , 	32 , 	17 , 	25 , 	18 , 	35 , 	32 , 	106 , 	186 , 	195 , 	493 , 	227 , 	120 , 	157 , 	32 , 	42 , 	39 , 	12 , 	37 , 	98 , 	7 , 	43 , 	5 , 	3 , 	27 , 	12 ," 	3,919 ",,,OAK," 	5,351 ", 	814 ," 	1,333 "," 	2,209 ", 	906 ," 	2,839 ", 	221 ," 	13,452 "
CL, 	74 , 	182 , 	92 , 	78 , 	275 , 	97 , 	161 , 	98 , 	149 , 	115 , 	205 , 	7 , 	177 , 	236 , 	180 , 	109 , 	138 , 	290 , 	82 , 	121 , 	99 , 	74 , 	53 , 	70 , 	89 , 	260 , 	188 , 	502 , 	321 , 	100 , 	124 , 	49 , 	50 , 	70 , 	15 , 	119 , 	577 , 	38 , 	120 , 	17 , 	18 , 	26 , 	24 ," 	5,866 ",,,CM line," 	14,556 "," 	1,353 "," 	5,091 "," 	1,660 "," 	1,000 "," 	1,748 "," 	1,221 "," 	25,408 "
SL, 	27 , 	34 , 	13 , 	14 , 	86 , 	31 , 	56 , 	47 , 	108 , 	114 , 	166 , 	179 , 	10 , 	97 , 	90 , 	44 , 	42 , 	56 , 	11 , 	10 , 	8 , 	4 , 	8 , 	14 , 	28 , 	120 , 	108 , 	330 , 	104 , 	34 , 	45 , 	16 , 	27 , 	29 , 	8 , 	24 , 	53 , 	3 , 	15 , 	4 , 	3 , 	11 , 	8 ," 	2,240 ",,,RM line," 	5,675 "," 	2,223 "," 	1,693 "," 	4,250 ", 	804 ," 	2,737 ", 	384 ," 	17,382 "
BF, 	22 , 	41 , 	12 , 	14 , 	83 , 	35 , 	74 , 	62 , 	131 , 	105 , 	269 , 	240 , 	98 , 	10 , 	130 , 	94 , 	83 , 	132 , 	16 , 	7 , 	9 , 	3 , 	4 , 	12 , 	35 , 	110 , 	105 , 	301 , 	92 , 	28 , 	40 , 	14 , 	27 , 	22 , 	5 , 	43 , 	145 , 	2 , 	21 , 	6 , 	3 , 	10 , 	5 ," 	2,699 ",,,WP line," 	5,445 ", 	941 ," 	1,037 ", 	804 ," 	3,106 "," 	1,308 ", 	512 ," 	12,641 "
HY, 	19 , 	37 , 	10 , 	10 , 	70 , 	31 , 	51 , 	37 , 	82 , 	47 , 	163 , 	177 , 	110 , 	135 , 	8 , 	103 , 	113 , 	155 , 	17 , 	6 , 	11 , 	5 , 	2 , 	9 , 	22 , 	83 , 	57 , 	181 , 	69 , 	29 , 	37 , 	10 , 	16 , 	18 , 	7 , 	14 , 	37 , 	3 , 	16 , 	3 , 	4 , 	6 , 	4 ," 	2,025 ",,,FT/ED line," 	7,817 "," 	2,843 "," 	1,760 "," 	2,859 "," 	1,340 "," 	9,880 ", 	378 ," 	26,501 "
SH, 	8 , 	17 , 	6 , 	7 , 	37 , 	9 , 	24 , 	21 , 	38 , 	19 , 	59 , 	100 , 	48 , 	89 , 	103 , 	4 , 	47 , 	83 , 	6 , 	5 , 	6 , 	2 , 	1 , 	4 , 	11 , 	51 , 	43 , 	135 , 	41 , 	14 , 	30 , 	8 , 	14 , 	11 , 	4 , 	12 , 	21 , 	1 , 	13 , 	5 , 	2 , 	4 , 	3 ," 	1,165 ",,,SFIA," 	2,579 ", 	221 ," 	1,179 ", 	392 , 	436 , 	319 , 	554 ," 	5,125 "
