Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	104 , 	91 , 	44 , 	195 , 	79 , 	72 , 	35 , 	65 , 	14 , 	91 , 	57 , 	30 , 	21 , 	26 , 	9 , 	7 , 	20 , 	17 , 	8 , 	12 , 	11 , 	4 , 	9 , 	19 , 	93 , 	77 , 	215 , 	95 , 	86 , 	122 , 	20 , 	34 , 	25 , 	11 , 	5 , 	10 , 	3 , 	28 , 	6 , 	6 , 	12 , 	12 ," 	1,905 ",,,Eastbay," 	37,528 ",,SF CBD," 	100,971 ",64.9%,,,
EN, 	120 , 	9 , 	90 , 	57 , 	340 , 	122 , 	112 , 	64 , 	138 , 	30 , 	113 , 	143 , 	36 , 	41 , 	28 , 	13 , 	27 , 	50 , 	35 , 	14 , 	21 , 	7 , 	4 , 	21 , 	21 , 	363 , 	241 , 	533 , 	202 , 	93 , 	131 , 	37 , 	62 , 	44 , 	18 , 	3 , 	15 , 	4 , 	33 , 	9 , 	7 , 	37 , 	17 ," 	3,501 ",,,Westbay," 	48,903 ",,non-CBD," 	58,018 ",37.3%,,,
EP, 	107 , 	77 , 	9 , 	38 , 	324 , 	60 , 	54 , 	36 , 	89 , 	20 , 	42 , 	67 , 	15 , 	17 , 	16 , 	5 , 	7 , 	24 , 	14 , 	11 , 	14 , 	8 , 	5 , 	20 , 	7 , 	220 , 	140 , 	313 , 	119 , 	47 , 	34 , 	12 , 	14 , 	15 , 	2 , 	3 , 	10 , 	2 , 	7 , 	3 , 	3 , 	28 , 	7 ," 	2,062 ",,,Transbay," 	76,025 ",,,,,,,
NB, 	47 , 	57 , 	36 , 	7 , 	107 , 	54 , 	46 , 	40 , 	85 , 	22 , 	55 , 	77 , 	16 , 	18 , 	15 , 	7 , 	8 , 	28 , 	13 , 	15 , 	16 , 	4 , 	3 , 	13 , 	9 , 	266 , 	201 , 	335 , 	202 , 	87 , 	70 , 	21 , 	16 , 	17 , 	4 , 	4 , 	11 , 	1 , 	8 , 	4 , 	1 , 	37 , 	13 ," 	2,091 ",,,SFO Ext," 	12,644 ",,,,,,,
BK, 	200 , 	368 , 	350 , 	114 , 	14 , 	271 , 	195 , 	164 , 	263 , 	100 , 	168 , 	202 , 	74 , 	70 , 	60 , 	33 , 	60 , 	153 , 	50 , 	45 , 	57 , 	43 , 	28 , 	31 , 	43 , 	377 , 	298 , 	842 , 	433 , 	171 , 	149 , 	59 , 	35 , 	62 , 	15 , 	28 , 	64 , 	11 , 	31 , 	8 , 	7 , 	70 , 	66 ," 	5,876 ",,,Extensions," 	18,324 ",,,,,,,
AS, 	93 , 	108 , 	64 , 	36 , 	205 , 	8 , 	80 , 	84 , 	115 , 	39 , 	86 , 	86 , 	37 , 	38 , 	26 , 	10 , 	17 , 	30 , 	8 , 	8 , 	14 , 	9 , 	3 , 	11 , 	43 , 	195 , 	132 , 	284 , 	197 , 	110 , 	81 , 	17 , 	16 , 	13 , 	2 , 	6 , 	17 , 	2 , 	15 , 	1 , 	3 , 	21 , 	10 ," 	2,375 ",,,,,,,,,,,
MA, 	91 , 	102 , 	57 , 	50 , 	193 , 	98 , 	12 , 	46 , 	82 , 	21 , 	115 , 	124 , 	50 , 	59 , 	50 , 	21 , 	17 , 	37 , 	39 , 	29 , 	43 , 	16 , 	18 , 	36 , 	43 , 	342 , 	247 , 	540 , 	302 , 	159 , 	117 , 	27 , 	22 , 	27 , 	8 , 	8 , 	24 , 	10 , 	62 , 	4 , 	3 , 	34 , 	13 ," 	3,392 ",,,,,,,,,,,
19, 	49 , 	70 , 	35 , 	50 , 	171 , 	89 , 	54 , 	5 , 	29 , 	12 , 	73 , 	76 , 	39 , 	48 , 	34 , 	23 , 	26 , 	39 , 	36 , 	23 , 	37 , 	16 , 	22 , 	38 , 	28 , 	136 , 	115 , 	272 , 	180 , 	85 , 	65 , 	15 , 	20 , 	25 , 	8 , 	5 , 	21 , 	7 , 	38 , 	5 , 	4 , 	16 , 	9 ," 	2,147 ",,,,,,,,,,,
12, 	64 , 	111 , 	101 , 	76 , 	266 , 	112 , 	81 , 	16 , 	14 , 	16 , 	111 , 	154 , 	104 , 	122 , 	78 , 	34 , 	56 , 	99 , 	59 , 	55 , 	76 , 	29 , 	28 , 	50 , 	67 , 	286 , 	249 , 	613 , 	279 , 	93 , 	86 , 	40 , 	62 , 	51 , 	26 , 	14 , 	34 , 	12 , 	69 , 	14 , 	10 , 	42 , 	31 ," 	3,983 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	16 , 	31 , 	20 , 	20 , 	85 , 	36 , 	25 , 	10 , 	13 , 	10 , 	65 , 	109 , 	110 , 	121 , 	49 , 	21 , 	47 , 	57 , 	10 , 	9 , 	7 , 	5 , 	4 , 	14 , 	17 , 	183 , 	160 , 	439 , 	170 , 	80 , 	51 , 	19 , 	29 , 	25 , 	3 , 	46 , 	64 , 	2 , 	11 , 	3 , 	2 , 	9 , 	6 ," 	2,207 ",,,Dtwn SF," 	1,996 "," 	6,314 "," 	16,231 "," 	6,581 "," 	8,199 "," 	9,859 "," 	3,402 "," 	49,178 "
