Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jun 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	10 , 	87 , 	92 , 	45 , 	177 , 	85 , 	70 , 	41 , 	62 , 	18 , 	80 , 	74 , 	23 , 	26 , 	19 , 	6 , 	10 , 	18 , 	19 , 	7 , 	10 , 	11 , 	6 , 	14 , 	21 , 	67 , 	73 , 	199 , 	91 , 	78 , 	115 , 	19 , 	30 , 	24 , 	6 , 	3 , 	9 , 	2 , 	23 , 	7 , 	4 , 	15 , 	9 ," 	1,803 ",,,Eastbay," 	39,471 ",,SF CBD," 	88,527 ",61.0%,,,
EN, 	109 , 	14 , 	73 , 	62 , 	310 , 	115 , 	107 , 	73 , 	134 , 	26 , 	95 , 	223 , 	36 , 	42 , 	39 , 	14 , 	22 , 	46 , 	28 , 	16 , 	18 , 	8 , 	4 , 	23 , 	22 , 	201 , 	185 , 	537 , 	240 , 	83 , 	115 , 	29 , 	60 , 	52 , 	20 , 	5 , 	20 , 	4 , 	36 , 	10 , 	9 , 	44 , 	18 ," 	3,323 ",,,Westbay," 	46,445 ",,non-CBD," 	59,711 ",41.2%,,,
EP, 	109 , 	61 , 	6 , 	38 , 	276 , 	68 , 	45 , 	44 , 	79 , 	18 , 	40 , 	93 , 	13 , 	14 , 	17 , 	3 , 	9 , 	22 , 	12 , 	7 , 	14 , 	8 , 	8 , 	18 , 	9 , 	109 , 	107 , 	271 , 	140 , 	52 , 	33 , 	13 , 	11 , 	12 , 	3 , 	5 , 	10 , 	3 , 	6 , 	2 , 	2 , 	29 , 	11 ," 	1,847 ",,,Transbay," 	65,881 ",,,,,,,
NB, 	52 , 	65 , 	41 , 	7 , 	84 , 	55 , 	45 , 	41 , 	71 , 	20 , 	46 , 	100 , 	16 , 	18 , 	18 , 	6 , 	8 , 	26 , 	12 , 	11 , 	10 , 	6 , 	5 , 	13 , 	6 , 	175 , 	161 , 	340 , 	213 , 	91 , 	59 , 	20 , 	18 , 	15 , 	4 , 	6 , 	9 , 	1 , 	10 , 	4 , 	2 , 	38 , 	10 ," 	1,954 ",,,SFO Ext," 	12,291 ",,,,,,,
BK, 	190 , 	304 , 	292 , 	111 , 	17 , 	226 , 	176 , 	149 , 	230 , 	69 , 	169 , 	243 , 	72 , 	71 , 	58 , 	30 , 	41 , 	133 , 	52 , 	47 , 	62 , 	32 , 	24 , 	32 , 	29 , 	360 , 	301 , 	791 , 	445 , 	175 , 	152 , 	53 , 	40 , 	44 , 	17 , 	18 , 	81 , 	11 , 	25 , 	6 , 	10 , 	81 , 	51 ," 	5,516 ",,,Extensions," 	16,251 ",,,,,,,
AS, 	90 , 	117 , 	71 , 	48 , 	178 , 	7 , 	87 , 	84 , 	115 , 	35 , 	96 , 	124 , 	34 , 	35 , 	27 , 	13 , 	17 , 	31 , 	10 , 	8 , 	14 , 	8 , 	6 , 	11 , 	36 , 	156 , 	116 , 	281 , 	208 , 	128 , 	85 , 	19 , 	14 , 	8 , 	5 , 	5 , 	21 , 	2 , 	17 , 	3 , 	3 , 	19 , 	13 ," 	2,401 ",,,,,,,,,,,
MA, 	90 , 	103 , 	50 , 	47 , 	181 , 	97 , 	10 , 	41 , 	88 , 	22 , 	113 , 	172 , 	47 , 	65 , 	50 , 	17 , 	23 , 	52 , 	38 , 	21 , 	45 , 	13 , 	17 , 	30 , 	44 , 	245 , 	194 , 	536 , 	315 , 	217 , 	116 , 	28 , 	23 , 	23 , 	8 , 	10 , 	21 , 	9 , 	62 , 	7 , 	5 , 	32 , 	14 ," 	3,336 ",,,,,,,,,,,
19, 	37 , 	66 , 	41 , 	44 , 	153 , 	93 , 	51 , 	3 , 	41 , 	11 , 	61 , 	79 , 	43 , 	50 , 	34 , 	21 , 	26 , 	37 , 	35 , 	26 , 	44 , 	13 , 	10 , 	33 , 	25 , 	100 , 	102 , 	271 , 	185 , 	86 , 	61 , 	16 , 	26 , 	22 , 	4 , 	6 , 	22 , 	7 , 	36 , 	5 , 	2 , 	17 , 	8 ," 	2,049 ",,,,,,,,,,,
12, 	71 , 	123 , 	87 , 	71 , 	221 , 	111 , 	77 , 	15 , 	14 , 	13 , 	108 , 	151 , 	98 , 	118 , 	76 , 	45 , 	53 , 	100 , 	57 , 	50 , 	69 , 	27 , 	30 , 	46 , 	61 , 	214 , 	227 , 	600 , 	283 , 	107 , 	88 , 	40 , 	61 , 	47 , 	28 , 	13 , 	30 , 	9 , 	57 , 	12 , 	11 , 	41 , 	28 ," 	3,784 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	24 , 	18 , 	14 , 	67 , 	32 , 	17 , 	6 , 	11 , 	5 , 	63 , 	141 , 	116 , 	112 , 	51 , 	22 , 	54 , 	62 , 	11 , 	5 , 	9 , 	2 , 	5 , 	11 , 	20 , 	158 , 	152 , 	386 , 	198 , 	75 , 	53 , 	20 , 	26 , 	16 , 	3 , 	44 , 	77 , 	1 , 	9 , 	2 , 	3 , 	11 , 	7 ," 	2,131 ",,,Dtwn SF," 	1,816 "," 	5,637 "," 	15,380 "," 	5,852 "," 	5,697 "," 	8,312 "," 	3,193 "," 	42,693 "
