Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	6 , 	108 , 	80 , 	42 , 	160 , 	67 , 	67 , 	40 , 	68 , 	12 , 	66 , 	62 , 	18 , 	20 , 	28 , 	10 , 	10 , 	16 , 	25 , 	8 , 	9 , 	6 , 	6 , 	12 , 	24 , 	72 , 	63 , 	202 , 	93 , 	80 , 	109 , 	17 , 	30 , 	21 , 	8 , 	3 , 	9 , 	3 , 	21 , 	5 , 	5 , 	13 , 	10 ," 	1,735 ",,,Eastbay," 	35,413 ",,,,,,
EN, 	121 , 	14 , 	83 , 	49 , 	313 , 	109 , 	116 , 	76 , 	169 , 	29 , 	101 , 	126 , 	31 , 	33 , 	34 , 	14 , 	21 , 	37 , 	27 , 	11 , 	17 , 	6 , 	7 , 	16 , 	28 , 	199 , 	199 , 	650 , 	206 , 	78 , 	122 , 	36 , 	45 , 	42 , 	16 , 	6 , 	20 , 	4 , 	29 , 	9 , 	12 , 	44 , 	15 ," 	3,319 ",,,Westbay," 	50,891 ",,,,,,
EP, 	96 , 	83 , 	7 , 	41 , 	273 , 	65 , 	46 , 	48 , 	78 , 	18 , 	40 , 	56 , 	11 , 	11 , 	12 , 	5 , 	9 , 	20 , 	10 , 	9 , 	11 , 	5 , 	6 , 	19 , 	9 , 	148 , 	111 , 	385 , 	133 , 	39 , 	36 , 	10 , 	9 , 	15 , 	4 , 	2 , 	9 , 	3 , 	8 , 	3 , 	3 , 	31 , 	9 ," 	1,945 ",,,Transbay," 	73,989 ",,,,,,
NB, 	49 , 	51 , 	44 , 	9 , 	103 , 	41 , 	40 , 	47 , 	79 , 	26 , 	46 , 	52 , 	16 , 	17 , 	14 , 	5 , 	7 , 	25 , 	9 , 	6 , 	17 , 	5 , 	4 , 	11 , 	9 , 	183 , 	160 , 	412 , 	206 , 	67 , 	60 , 	22 , 	14 , 	14 , 	2 , 	4 , 	8 , 	2 , 	10 , 	1 , 	2 , 	44 , 	9 ," 	1,954 ",,,SFO Ext," 	13,382 ",,,,,,
BK, 	169 , 	324 , 	277 , 	104 , 	16 , 	222 , 	210 , 	160 , 	245 , 	85 , 	158 , 	116 , 	65 , 	61 , 	47 , 	16 , 	49 , 	106 , 	41 , 	36 , 	59 , 	22 , 	23 , 	33 , 	58 , 	290 , 	247 , 	899 , 	366 , 	129 , 	113 , 	58 , 	39 , 	50 , 	5 , 	15 , 	40 , 	7 , 	22 , 	5 , 	6 , 	65 , 	43 ," 	5,101 ",,,Extensions," 	16,641 ",,,,,,
AS, 	78 , 	111 , 	64 , 	37 , 	183 , 	9 , 	73 , 	78 , 	116 , 	29 , 	74 , 	86 , 	25 , 	30 , 	19 , 	11 , 	22 , 	22 , 	14 , 	9 , 	15 , 	5 , 	5 , 	14 , 	39 , 	145 , 	121 , 	350 , 	216 , 	104 , 	76 , 	18 , 	17 , 	15 , 	4 , 	5 , 	17 , 	3 , 	14 , 	2 , 	1 , 	26 , 	10 ," 	2,313 ",,,,,,,,,,
MA, 	76 , 	120 , 	47 , 	44 , 	189 , 	81 , 	11 , 	72 , 	111 , 	20 , 	112 , 	126 , 	44 , 	61 , 	42 , 	20 , 	20 , 	30 , 	40 , 	28 , 	36 , 	13 , 	13 , 	35 , 	54 , 	233 , 	225 , 	697 , 	318 , 	143 , 	118 , 	29 , 	32 , 	23 , 	6 , 	11 , 	18 , 	9 , 	54 , 	5 , 	4 , 	32 , 	9 ," 	3,412 ",,,,,,,,,,
19, 	45 , 	96 , 	58 , 	50 , 	139 , 	82 , 	60 , 	8 , 	32 , 	14 , 	80 , 	80 , 	44 , 	60 , 	46 , 	19 , 	29 , 	40 , 	36 , 	26 , 	38 , 	24 , 	13 , 	42 , 	39 , 	120 , 	119 , 	364 , 	170 , 	78 , 	63 , 	27 , 	21 , 	32 , 	5 , 	10 , 	29 , 	5 , 	28 , 	4 , 	4 , 	13 , 	9 ," 	2,301 ",,,,,,,,,,
12, 	63 , 	145 , 	89 , 	78 , 	230 , 	107 , 	86 , 	27 , 	11 , 	20 , 	122 , 	174 , 	118 , 	131 , 	113 , 	38 , 	84 , 	103 , 	61 , 	48 , 	70 , 	29 , 	28 , 	62 , 	87 , 	233 , 	221 , 	637 , 	251 , 	90 , 	78 , 	41 , 	57 , 	55 , 	11 , 	32 , 	34 , 	12 , 	59 , 	5 , 	8 , 	26 , 	17 ," 	3,990 ",,,,,,,,,,
LM, 	14 , 	28 , 	18 , 	24 , 	77 , 	27 , 	19 , 	10 , 	18 , 	7 , 	63 , 	98 , 	100 , 	91 , 	35 , 	21 , 	42 , 	52 , 	8 , 	9 , 	10 , 	4 , 	9 , 	13 , 	19 , 	195 , 	171 , 	476 , 	178 , 	66 , 	69 , 	21 , 	28 , 	21 , 	10 , 	40 , 	68 , 	3 , 	7 , 	7 , 	6 , 	35 , 	10 ," 	2,225 ",,,,,,,,,,
