Fast Pass Adjusted OD,,,,,,Jan 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,42,137,147,529,901,765,"1,075","3,649"
MT,41,47,85,146,773,"1,302","1,072","2,108","5,574"
PL,190,104,62,108,651,970,604,"1,487","4,176"
CC,136,134,121,44,523,670,482,"1,130","3,241"
16,461,598,821,509,18,212,195,505,"3,319"
24,744,"1,012","1,183",669,225,27,143,410,"4,412"
GP,691,828,845,440,193,153,19,107,"3,275"
BP,946,"1,231","2,384","1,060",512,430,112,26,"6,702"
Entries,"3,264","3,995","5,638","3,124","3,423","4,665","3,391","6,848","34,348"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,7,40,36,201,246,115,227,889
MT,7,22,21,28,308,367,313,"1,014","2,080"
PL,53,22,52,44,498,756,449,983,"2,857"
CC,34,24,50,34,354,372,165,415,"1,448"
16,171,190,626,347,18,145,102,265,"1,863"
24,205,201,841,381,132,25,101,243,"2,128"
GP,93,155,628,139,95,99,18,60,"1,285"
BP,210,305,"1,698",388,265,245,62,30,"3,202"
Entries,791,925,"3,955","1,395","1,870","2,255","1,325","3,238","15,752"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,5,31,23,131,152,79,123,563
MT,5,14,11,19,177,231,180,679,"1,314"
PL,27,9,62,30,377,577,292,693,"2,066"
CC,17,16,41,39,273,273,113,259,"1,030"
16,124,124,461,273,20,100,81,170,"1,352"
24,151,146,669,291,104,35,75,178,"1,648"
GP,70,82,438,100,76,73,22,30,892
BP,141,207,"1,295",248,156,165,30,39,"2,279"
Entries,553,601,"3,007","1,023","1,313","1,606",871,"2,171","11,144"
