Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	99 , 	85 , 	45 , 	190 , 	71 , 	63 , 	39 , 	71 , 	12 , 	69 , 	46 , 	24 , 	27 , 	24 , 	9 , 	11 , 	21 , 	24 , 	10 , 	9 , 	5 , 	6 , 	16 , 	17 , 	73 , 	84 , 	201 , 	91 , 	83 , 	118 , 	18 , 	33 , 	22 , 	8 , 	5 , 	12 , 	6 , 	28 , 	5 , 	4 , 	15 , 	7 ," 	1,806 ",,,Eastbay," 	36,595 ",,SF CBD," 	103,198 ",65.9%,,,
EN, 	119 , 	10 , 	85 , 	52 , 	401 , 	124 , 	120 , 	69 , 	176 , 	37 , 	110 , 	113 , 	34 , 	39 , 	29 , 	15 , 	23 , 	36 , 	26 , 	16 , 	18 , 	6 , 	8 , 	17 , 	26 , 	210 , 	347 , 	655 , 	215 , 	84 , 	124 , 	34 , 	58 , 	51 , 	17 , 	5 , 	19 , 	4 , 	27 , 	8 , 	13 , 	28 , 	19 ," 	3,619 ",,,Westbay," 	50,331 ",,non-CBD," 	56,777 ",36.3%,,,
EP, 	106 , 	74 , 	6 , 	40 , 	332 , 	62 , 	45 , 	50 , 	83 , 	25 , 	41 , 	59 , 	12 , 	13 , 	14 , 	8 , 	9 , 	22 , 	13 , 	10 , 	14 , 	7 , 	5 , 	17 , 	11 , 	127 , 	221 , 	346 , 	156 , 	44 , 	36 , 	12 , 	13 , 	20 , 	2 , 	2 , 	6 , 	5 , 	7 , 	3 , 	3 , 	24 , 	11 ," 	2,112 ",,,Transbay," 	76,127 ",,,,,,,
NB, 	52 , 	60 , 	42 , 	11 , 	133 , 	53 , 	44 , 	42 , 	71 , 	31 , 	57 , 	55 , 	14 , 	19 , 	12 , 	5 , 	8 , 	19 , 	7 , 	8 , 	13 , 	7 , 	7 , 	14 , 	11 , 	166 , 	290 , 	390 , 	228 , 	82 , 	70 , 	23 , 	14 , 	17 , 	3 , 	2 , 	7 , 	2 , 	12 , 	2 , 	5 , 	27 , 	11 ," 	2,141 ",,,,,,,,,,,
BK, 	203 , 	408 , 	336 , 	147 , 	18 , 	257 , 	235 , 	183 , 	285 , 	94 , 	195 , 	199 , 	92 , 	97 , 	84 , 	47 , 	67 , 	180 , 	41 , 	60 , 	77 , 	42 , 	40 , 	36 , 	61 , 	420 , 	440 ," 	1,204 ", 	510 , 	211 , 	163 , 	69 , 	80 , 	75 , 	10 , 	21 , 	74 , 	11 , 	31 , 	12 , 	11 , 	53 , 	56 ," 	6,930 ",,,,,,,,,,,
AS, 	79 , 	120 , 	62 , 	48 , 	197 , 	5 , 	87 , 	73 , 	108 , 	41 , 	79 , 	92 , 	26 , 	34 , 	28 , 	14 , 	19 , 	26 , 	13 , 	12 , 	19 , 	11 , 	2 , 	16 , 	46 , 	151 , 	193 , 	383 , 	231 , 	103 , 	88 , 	20 , 	14 , 	22 , 	5 , 	7 , 	16 , 	1 , 	12 , 	2 , 	4 , 	14 , 	8 ," 	2,526 ",,,,,,,,,,,
MA, 	72 , 	112 , 	50 , 	41 , 	207 , 	93 , 	12 , 	47 , 	85 , 	27 , 	103 , 	137 , 	42 , 	72 , 	45 , 	21 , 	22 , 	30 , 	44 , 	31 , 	41 , 	13 , 	17 , 	31 , 	45 , 	211 , 	307 , 	648 , 	306 , 	158 , 	121 , 	29 , 	30 , 	30 , 	4 , 	9 , 	22 , 	9 , 	56 , 	2 , 	3 , 	21 , 	14 ," 	3,414 ",,,,,,,,,,,
19, 	35 , 	76 , 	55 , 	52 , 	180 , 	84 , 	50 , 	6 , 	29 , 	13 , 	58 , 	87 , 	44 , 	53 , 	42 , 	27 , 	23 , 	36 , 	33 , 	23 , 	36 , 	14 , 	15 , 	39 , 	33 , 	127 , 	149 , 	305 , 	205 , 	94 , 	80 , 	22 , 	23 , 	29 , 	7 , 	10 , 	28 , 	6 , 	34 , 	6 , 	5 , 	8 , 	6 ," 	2,283 ",,,,,,,,,,,
12, 	71 , 	154 , 	95 , 	69 , 	255 , 	111 , 	88 , 	20 , 	10 , 	15 , 	114 , 	142 , 	93 , 	118 , 	70 , 	46 , 	64 , 	94 , 	58 , 	57 , 	63 , 	31 , 	24 , 	70 , 	74 , 	242 , 	308 , 	689 , 	280 , 	102 , 	79 , 	44 , 	58 , 	62 , 	17 , 	13 , 	28 , 	5 , 	69 , 	3 , 	8 , 	15 , 	24 ," 	4,047 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	15 , 	32 , 	26 , 	24 , 	92 , 	41 , 	25 , 	15 , 	19 , 	6 , 	76 , 	99 , 	114 , 	108 , 	43 , 	25 , 	41 , 	62 , 	6 , 	6 , 	9 , 	3 , 	5 , 	11 , 	19 , 	172 , 	284 , 	522 , 	203 , 	76 , 	63 , 	28 , 	33 , 	18 , 	9 , 	47 , 	75 , 	2 , 	9 , 	8 , 	6 , 	21 , 	8 ," 	2,499 ",,,Dtwn SF," 	2,119 "," 	6,834 "," 	16,752 "," 	7,598 "," 	7,170 "," 	9,536 "," 	3,455 "," 	50,009 "
