Fast Pass Adjusted OD,,,,,,Jul 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,39,134,152,465,746,632,950,"3,168"
MT,39,48,82,142,659,"1,087",926,"1,792","4,775"
PL,178,100,65,106,562,840,553,"1,289","3,693"
CC,144,131,116,45,448,552,422,"1,023","2,882"
16,415,544,699,453,25,168,170,429,"2,903"
24,621,854,"1,021",534,177,43,136,357,"3,744"
GP,610,716,751,376,181,134,21,80,"2,870"
BP,867,"1,106","2,011",942,433,362,90,38,"5,848"
Entries,"2,925","3,538","4,880","2,750","2,951","3,930","2,951","5,958","29,883"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,8,49,41,214,238,119,291,985
MT,9,13,26,33,273,346,331,996,"2,027"
PL,60,21,52,45,500,765,449,"1,096","2,989"
CC,34,20,60,30,356,370,191,462,"1,523"
16,178,178,610,370,20,142,125,272,"1,896"
24,197,200,842,369,122,33,104,275,"2,142"
GP,114,167,634,150,122,99,15,56,"1,358"
BP,263,342,"1,811",407,288,281,61,24,"3,477"
Entries,881,950,"4,083","1,446","1,896","2,274","1,395","3,473","16,397"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,6,23,26,138,150,76,165,609
MT,6,16,19,23,182,220,203,679,"1,347"
PL,33,11,68,33,389,569,327,765,"2,195"
CC,24,16,52,44,299,273,133,334,"1,175"
16,134,133,471,322,27,100,90,206,"1,484"
24,151,146,673,292,84,33,76,222,"1,677"
GP,92,100,474,104,84,74,14,25,968
BP,191,228,"1,345",300,201,210,35,28,"2,538"
Entries,656,656,"3,126","1,144","1,404","1,628",954,"2,424","11,994"
