Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Sep 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	10 , 	79 , 	69 , 	30 , 	125 , 	61 , 	53 , 	24 , 	58 , 	23 , 	59 , 	76 , 	19 , 	18 , 	20 , 	8 , 	6 , 	17 , 	15 , 	5 , 	12 , 	5 , 	4 , 	6 , 	15 , 	70 , 	68 , 	154 , 	88 , 	62 , 	88 , 	23 , 	34 , 	26 , 	6 , 	2 , 	13 , 	2 , 	22 , 	7 , 	10 , 	18 , 	7 ," 	1,512 ",,,,,,,,,,
EN, 	89 , 	12 , 	68 , 	44 , 	251 , 	100 , 	80 , 	44 , 	154 , 	41 , 	66 , 	239 , 	25 , 	27 , 	24 , 	12 , 	18 , 	42 , 	20 , 	8 , 	10 , 	6 , 	7 , 	15 , 	18 , 	192 , 	139 , 	445 , 	164 , 	79 , 	104 , 	47 , 	59 , 	53 , 	17 , 	2 , 	16 , 	2 , 	27 , 	9 , 	7 , 	50 , 	15 ," 	2,842 ",,,,,,,,,,
EP, 	74 , 	61 , 	9 , 	43 , 	255 , 	45 , 	38 , 	32 , 	114 , 	20 , 	36 , 	122 , 	12 , 	12 , 	11 , 	6 , 	7 , 	20 , 	9 , 	7 , 	5 , 	4 , 	4 , 	13 , 	4 , 	111 , 	88 , 	237 , 	124 , 	36 , 	34 , 	16 , 	19 , 	14 , 	6 , 	1 , 	10 , 	2 , 	8 , 	2 , 	2 , 	36 , 	7 ," 	1,706 ",,,,,,,,,,
NB, 	32 , 	47 , 	46 , 	7 , 	79 , 	52 , 	43 , 	43 , 	132 , 	25 , 	48 , 	136 , 	16 , 	12 , 	16 , 	8 , 	10 , 	25 , 	9 , 	7 , 	13 , 	10 , 	5 , 	14 , 	7 , 	165 , 	121 , 	263 , 	183 , 	92 , 	61 , 	29 , 	12 , 	20 , 	3 , 	2 , 	11 , 	1 , 	10 , 	1 , 	3 , 	46 , 	15 ," 	1,872 ",,,,,,,,,,
BK, 	140 , 	228 , 	246 , 	79 , 	24 , 	153 , 	135 , 	112 , 	225 , 	80 , 	113 , 	298 , 	48 , 	50 , 	50 , 	16 , 	51 , 	244 , 	34 , 	32 , 	54 , 	32 , 	23 , 	26 , 	23 , 	395 , 	246 , 	969 , 	411 , 	136 , 	171 , 	71 , 	50 , 	85 , 	7 , 	18 , 	66 , 	11 , 	17 , 	6 , 	9 , 	97 , 	66 ," 	5,340 ",,,,,,,,,,
AS, 	69 , 	95 , 	42 , 	46 , 	126 , 	10 , 	73 , 	49 , 	126 , 	45 , 	70 , 	138 , 	20 , 	31 , 	17 , 	7 , 	16 , 	24 , 	7 , 	6 , 	15 , 	5 , 	4 , 	11 , 	26 , 	119 , 	108 , 	248 , 	204 , 	107 , 	101 , 	20 , 	22 , 	25 , 	1 , 	4 , 	14 , 	2 , 	14 , 	2 , 	2 , 	26 , 	7 ," 	2,100 ",,,,,,,,,,
MA, 	58 , 	71 , 	40 , 	42 , 	134 , 	72 , 	12 , 	40 , 	147 , 	22 , 	71 , 	198 , 	30 , 	43 , 	31 , 	23 , 	13 , 	28 , 	33 , 	19 , 	25 , 	10 , 	10 , 	25 , 	31 , 	234 , 	177 , 	538 , 	319 , 	150 , 	145 , 	37 , 	32 , 	38 , 	7 , 	3 , 	16 , 	5 , 	54 , 	3 , 	5 , 	42 , 	7 ," 	3,036 ",,,,,,,,,,
19, 	23 , 	47 , 	29 , 	45 , 	117 , 	58 , 	38 , 	6 , 	21 , 	12 , 	38 , 	73 , 	20 , 	36 , 	21 , 	8 , 	13 , 	29 , 	18 , 	13 , 	21 , 	9 , 	7 , 	20 , 	17 , 	95 , 	97 , 	249 , 	183 , 	73 , 	73 , 	21 , 	21 , 	27 , 	7 , 	4 , 	16 , 	3 , 	19 , 	5 , 	3 , 	22 , 	8 ," 	1,660 ",,,,,,,,,,
12, 	54 , 	149 , 	106 , 	126 , 	207 , 	138 , 	143 , 	15 , 	12 , 	33 , 	143 , 	183 , 	108 , 	104 , 	80 , 	35 , 	69 , 	117 , 	49 , 	69 , 	84 , 	50 , 	47 , 	145 , 	50 , 	281 , 	233 , 	587 , 	306 , 	102 , 	141 , 	74 , 	70 , 	87 , 	10 , 	16 , 	52 , 	15 , 	54 , 	7 , 	10 , 	37 , 	28 ," 	4,424 ",,,,,,,,,,
LM, 	24 , 	36 , 	20 , 	27 , 	85 , 	44 , 	19 , 	10 , 	25 , 	6 , 	118 , 	154 , 	80 , 	88 , 	28 , 	17 , 	31 , 	46 , 	8 , 	6 , 	7 , 	6 , 	4 , 	11 , 	24 , 	162 , 	185 , 	450 , 	206 , 	101 , 	99 , 	39 , 	45 , 	30 , 	8 , 	44 , 	45 , 	2 , 	9 , 	6 , 	9 , 	44 , 	16 ," 	2,419 ",,,,,,,,,,
FV, 	64 , 	75 , 	36 , 	55 , 	116 , 	77 , 	72 , 	48 , 	150 , 	109 , 	15 , 	208 , 	120 , 	195 , 	125 , 	56 , 	35 , 	58 , 	24 , 	11 , 	20 , 	18 , 	9 , 	22 , 	81 , 	193 , 	161 , 	435 , 	239 , 	124 , 	146 , 	27 , 	56 , 	43 , 	9 , 	36 , 	72 , 	2 , 	44 , 	9 , 	10 , 	40 , 	16 ," 	3,454 ",,,,,,,,,,
CL, 	69 , 	223 , 	102 , 	123 , 	243 , 	106 , 	170 , 	87 , 	166 , 	144 , 	197 , 	11 , 	196 , 	276 , 	181 , 	99 , 	176 , 	447 , 	113 , 	130 , 	140 , 	98 , 	77 , 	102 , 	57 , 	431 , 	295 , 	767 , 	433 , 	135 , 	166 , 	94 , 	61 , 	117 , 	30 , 	164 , 	825 , 	44 , 	141 , 	29 , 	15 , 	50 , 	57 ," 	7,582 ",,,,,,,,,,
SL, 	18 , 	16 , 	16 , 	15 , 	61 , 	22 , 	39 , 	22 , 	114 , 	74 , 	119 , 	205 , 	9 , 	72 , 	54 , 	23 , 	22 , 	40 , 	9 , 	6 , 	8 , 	3 , 	3 , 	10 , 	14 , 	114 , 	77 , 	277 , 	110 , 	25 , 	34 , 	15 , 	20 , 	22 , 	12 , 	27 , 	39 , 	3 , 	18 , 	4 , 	5 , 	20 , 	4 ," 	1,815 ",,,,,,,,,,
BF, 	19 , 	23 , 	11 , 	14 , 	55 , 	25 , 	40 , 	37 , 	113 , 	74 , 	193 , 	288 , 	65 , 	9 , 	94 , 	68 , 	61 , 	102 , 	14 , 	5 , 	7 , 	3 , 	3 , 	7 , 	29 , 	120 , 	86 , 	266 , 	96 , 	23 , 	50 , 	15 , 	23 , 	17 , 	9 , 	46 , 	111 , 	1 , 	23 , 	5 , 	5 , 	20 , 	7 ," 	2,276 ",,,,,,,,,,
HY, 	20 , 	25 , 	10 , 	15 , 	51 , 	20 , 	36 , 	27 , 	80 , 	29 , 	116 , 	188 , 	57 , 	97 , 	11 , 	71 , 	70 , 	120 , 	9 , 	5 , 	6 , 	3 , 	1 , 	3 , 	14 , 	60 , 	33 , 	110 , 	53 , 	21 , 	26 , 	7 , 	9 , 	12 , 	5 , 	10 , 	36 , 	2 , 	18 , 	3 , 	3 , 	13 , 	2 ," 	1,501 ",,,,,,,,,,
SH, 	11 , 	14 , 	4 , 	7 , 	17 , 	6 , 	18 , 	10 , 	39 , 	17 , 	50 , 	109 , 	33 , 	74 , 	67 , 	7 , 	34 , 	70 , 	6 , 	2 , 	6 , 	1 , 	2 , 	1 , 	4 , 	47 , 	32 , 	91 , 	33 , 	16 , 	26 , 	3 , 	13 , 	12 , 	4 , 	9 , 	19 , 	1 , 	12 , 	3 , 	2 , 	7 , 	2 , 	937 ,,,,,,,,,,
UC, 	9 , 	20 , 	5 , 	10 , 	43 , 	16 , 	15 , 	19 , 	65 , 	35 , 	38 , 	172 , 	27 , 	69 , 	72 , 	29 , 	4 , 	91 , 	8 , 	8 , 	5 , 	2 , 	3 , 	5 , 	6 , 	85 , 	51 , 	180 , 	39 , 	9 , 	12 , 	8 , 	15 , 	14 , 	6 , 	7 , 	19 , 	3 , 	12 , 	2 , 	3 , 	21 , 	2 ," 	1,258 ",,,,,,,,,,
FM, 	21 , 	41 , 	18 , 	26 , 	163 , 	32 , 	38 , 	30 , 	117 , 	60 , 	61 , 	457 , 	45 , 	114 , 	113 , 	71 , 	95 , 	17 , 	23 , 	15 , 	10 , 	5 , 	4 , 	10 , 	8 , 	188 , 	137 , 	370 , 	137 , 	19 , 	21 , 	16 , 	26 , 	29 , 	3 , 	12 , 	40 , 	2 , 	24 , 	5 , 	5 , 	36 , 	6 ," 	2,666 ",,,,,,,,,,
CN, 	15 , 	19 , 	9 , 	11 , 	36 , 	8 , 	32 , 	14 , 	46 , 	6 , 	26 , 	131 , 	7 , 	13 , 	15 , 	9 , 	5 , 	21 , 	11 , 	49 , 	188 , 	61 , 	25 , 	34 , 	4 , 	177 , 	80 , 	215 , 	87 , 	29 , 	51 , 	27 , 	35 , 	41 , 	8 , 	5 , 	9 , 	27 , 	168 , 	8 , 	6 , 	46 , 	13 ," 	1,822 ",,,,,,,,,,
PH, 	4 , 	7 , 	6 , 	11 , 	36 , 	7 , 	19 , 	16 , 	64 , 	7 , 	10 , 	162 , 	5 , 	6 , 	5 , 	1 , 	6 , 	14 , 	48 , 	7 , 	71 , 	23 , 	16 , 	36 , 	3 , 	218 , 	105 , 	284 , 	111 , 	25 , 	25 , 	17 , 	29 , 	28 , 	4 , 	2 , 	5 , 	3 , 	39 , 	6 , 	6 , 	73 , 	14 ," 	1,580 ",,,,,,,,,,
WC, 	13 , 	12 , 	9 , 	15 , 	65 , 	15 , 	27 , 	25 , 	87 , 	10 , 	20 , 	153 , 	10 , 	9 , 	6 , 	4 , 	5 , 	9 , 	227 , 	64 , 	8 , 	42 , 	32 , 	62 , 	2 , 	297 , 	145 , 	392 , 	146 , 	29 , 	41 , 	22 , 	24 , 	49 , 	8 , 	2 , 	5 , 	19 , 	72 , 	4 , 	4 , 	77 , 	15 ," 	2,275 ",,,,,,,,,,
LF, 	7 , 	4 , 	6 , 	12 , 	38 , 	4 , 	14 , 	10 , 	47 , 	6 , 	17 , 	99 , 	5 , 	2 , 	1 , 	2 , 	3 , 	5 , 	62 , 	26 , 	37 , 	5 , 	16 , 	38 , 	4 , 	155 , 	83 , 	180 , 	84 , 	19 , 	18 , 	16 , 	9 , 	14 , 	3 , 	3 , 	3 , 	5 , 	18 , 	3 , 	3 , 	46 , 	9 ," 	1,135 ",,,,,,,,,,
OR, 	4 , 	5 , 	5 , 	7 , 	23 , 	4 , 	14 , 	8 , 	48 , 	3 , 	9 , 	79 , 	2 , 	2 , 	2 , 	1 , 	3 , 	5 , 	22 , 	14 , 	28 , 	14 , 	3 , 	33 , 	4 , 	154 , 	75 , 	159 , 	75 , 	19 , 	15 , 	9 , 	10 , 	21 , 	2 , 	-   , 	2 , 	3 , 	8 , 	2 , 	1 , 	39 , 	4 , 	937 ,,,,,,,,,,
RR, 	4 , 	11 , 	11 , 	12 , 	38 , 	12 , 	24 , 	30 , 	160 , 	11 , 	26 , 	124 , 	9 , 	6 , 	6 , 	4 , 	7 , 	13 , 	30 , 	40 , 	57 , 	38 , 	27 , 	10 , 	8 , 	280 , 	196 , 	438 , 	288 , 	120 , 	85 , 	56 , 	18 , 	26 , 	4 , 	2 , 	7 , 	7 , 	19 , 	4 , 	2 , 	69 , 	18 ," 	2,353 ",,,,,,,,,,
OW, 	14 , 	15 , 	5 , 	8 , 	24 , 	24 , 	30 , 	24 , 	61 , 	25 , 	74 , 	68 , 	13 , 	27 , 	16 , 	5 , 	9 , 	7 , 	5 , 	2 , 	1 , 	3 , 	4 , 	8 , 	4 , 	280 , 	202 , 	477 , 	234 , 	91 , 	86 , 	36 , 	28 , 	20 , 	4 , 	4 , 	11 , 	1 , 	18 , 	3 , 	6 , 	32 , 	8 ," 	2,012 ",,,,,,,,,,
EM, 	75 , 	203 , 	127 , 	182 , 	443 , 	146 , 	253 , 	132 , 	323 , 	185 , 	204 , 	530 , 	128 , 	134 , 	64 , 	59 , 	88 , 	220 , 	171 , 	238 , 	304 , 	172 , 	161 , 	323 , 	322 , 	52 , 	28 , 	225 , 	105 , 	281 , 	348 , 	167 , 	268 , 	170 , 	50 , 	94 , 	582 , 	48 , 	159 , 	47 , 	47 , 	286 , 	132 ," 	8,270 ",,,,,,,,,,
MT, 	61 , 	162 , 	103 , 	136 , 	294 , 	110 , 	198 , 	124 , 	315 , 	202 , 	169 , 	314 , 	102 , 	99 , 	31 , 	32 , 	68 , 	148 , 	82 , 	126 , 	144 , 	80 , 	80 , 	191 , 	226 , 	31 , 	32 , 	50 , 	73 , 	334 , 	438 , 	358 ," 	1,014 ", 	174 , 	75 , 	71 , 	264 , 	31 , 	88 , 	31 , 	37 , 	191 , 	79 ," 	6,960 ",,,,,,,,,,
PL, 	129 , 	372 , 	229 , 	254 , 	942 , 	257 , 	492 , 	235 , 	545 , 	340 , 	385 , 	671 , 	235 , 	223 , 	101 , 	97 , 	145 , 	351 , 	196 , 	259 , 	349 , 	155 , 	166 , 	418 , 	510 , 	204 , 	44 , 	123 , 	171 ," 	1,006 "," 	1,348 ", 	689 ," 	1,341 ", 	589 , 	213 , 	143 , 	653 , 	82 , 	192 , 	132 , 	154 , 	913 , 	306 ," 	16,357 ",,,,,,,,,,
CC, 	82 , 	141 , 	107 , 	158 , 	364 , 	188 , 	329 , 	156 , 	237 , 	164 , 	233 , 	383 , 	97 , 	86 , 	46 , 	34 , 	37 , 	126 , 	82 , 	102 , 	114 , 	77 , 	72 , 	233 , 	242 , 	95 , 	57 , 	163 , 	70 , 	669 , 	669 , 	314 , 	614 , 	248 , 	130 , 	44 , 	188 , 	27 , 	87 , 	63 , 	100 , 	358 , 	139 ," 	7,922 ",,,,,,,,,,
16, 	54 , 	70 , 	34 , 	86 , 	164 , 	99 , 	151 , 	78 , 	116 , 	95 , 	124 , 	168 , 	26 , 	26 , 	22 , 	14 , 	14 , 	22 , 	28 , 	31 , 	36 , 	14 , 	19 , 	109 , 	90 , 	246 , 	270 ," 	1,078 ", 	706 , 	46 , 	199 , 	155 , 	326 , 	149 , 	61 , 	14 , 	44 , 	9 , 	40 , 	33 , 	59 , 	123 , 	62 ," 	5,308 ",,,,,,,,,,
24, 	82 , 	101 , 	31 , 	52 , 	143 , 	93 , 	148 , 	57 , 	123 , 	86 , 	134 , 	191 , 	36 , 	49 , 	26 , 	23 , 	13 , 	24 , 	48 , 	22 , 	31 , 	18 , 	17 , 	83 , 	101 , 	328 , 	306 ," 	1,545 ", 	730 , 	191 , 	59 , 	139 , 	374 , 	161 , 	91 , 	14 , 	62 , 	9 , 	65 , 	46 , 	97 , 	127 , 	63 ," 	6,136 ",,,,,,,,,,
GP, 	16 , 	39 , 	17 , 	21 , 	64 , 	20 , 	41 , 	20 , 	66 , 	39 , 	29 , 	109 , 	15 , 	17 , 	7 , 	8 , 	8 , 	16 , 	26 , 	16 , 	24 , 	16 , 	9 , 	52 , 	39 , 	179 , 	192 , 	896 , 	268 , 	154 , 	139 , 	24 , 	48 , 	30 , 	32 , 	8 , 	25 , 	5 , 	31 , 	9 , 	34 , 	72 , 	29 ," 	2,905 ",,,,,,,,,,
BP, 	31 , 	58 , 	15 , 	14 , 	36 , 	18 , 	36 , 	21 , 	66 , 	31 , 	43 , 	69 , 	19 , 	28 , 	10 , 	13 , 	14 , 	20 , 	30 , 	20 , 	31 , 	10 , 	13 , 	16 , 	33 , 	282 , 	354 ," 	2,098 ", 	523 , 	306 , 	348 , 	55 , 	40 , 	54 , 	59 , 	5 , 	55 , 	10 , 	68 , 	26 , 	70 , 	79 , 	46 ," 	5,167 ",,,,,,,,,,
DC, 	25 , 	53 , 	15 , 	16 , 	97 , 	24 , 	39 , 	27 , 	80 , 	19 , 	38 , 	132 , 	21 , 	17 , 	13 , 	14 , 	11 , 	32 , 	45 , 	33 , 	48 , 	15 , 	20 , 	29 , 	25 , 	175 , 	136 , 	682 , 	255 , 	144 , 	173 , 	38 , 	63 , 	16 , 	30 , 	11 , 	57 , 	11 , 	68 , 	20 , 	49 , 	122 , 	64 ," 	3,001 ",,,,,,,,,,
CM, 	3 , 	14 , 	3 , 	5 , 	5 , 	2 , 	5 , 	4 , 	13 , 	7 , 	12 , 	32 , 	7 , 	6 , 	2 , 	6 , 	5 , 	6 , 	7 , 	5 , 	7 , 	3 , 	1 , 	3 , 	5 , 	54 , 	50 , 	251 , 	122 , 	52 , 	75 , 	29 , 	65 , 	23 , 	5 , 	3 , 	14 , 	1 , 	15 , 	3 , 	25 , 	82 , 	26 ," 	1,060 ",,,,,,,,,,
CV, 	2 , 	3 , 	3 , 	2 , 	22 , 	6 , 	9 , 	4 , 	21 , 	41 , 	29 , 	166 , 	26 , 	52 , 	9 , 	9 , 	6 , 	12 , 	3 , 	3 , 	1 , 	3 , 	1 , 	1 , 	2 , 	87 , 	66 , 	154 , 	46 , 	10 , 	16 , 	10 , 	8 , 	14 , 	4 , 	4 , 	71 , 	1 , 	3 , 	2 , 	2 , 	18 , 	5 , 	955 ,,,,,,,,,,
ED, 	9 , 	13 , 	12 , 	13 , 	59 , 	17 , 	19 , 	15 , 	49 , 	57 , 	74 , 	824 , 	45 , 	124 , 	32 , 	18 , 	20 , 	45 , 	10 , 	5 , 	6 , 	2 , 	1 , 	10 , 	13 , 	566 , 	261 , 	723 , 	210 , 	44 , 	59 , 	35 , 	52 , 	55 , 	16 , 	71 , 	16 , 	2 , 	7 , 	11 , 	11 , 	124 , 	19 ," 	3,768 ",,,,,,,,,,
NC, 	1 , 	2 , 	0 , 	1 , 	10 , 	2 , 	6 , 	3 , 	18 , 	2 , 	5 , 	46 , 	1 , 	1 , 	3 , 	2 , 	2 , 	4 , 	19 , 	7 , 	18 , 	5 , 	3 , 	9 , 	1 , 	45 , 	30 , 	71 , 	26 , 	7 , 	8 , 	4 , 	8 , 	13 , 	2 , 	1 , 	1 , 	3 , 	23 , 	2 , 	1 , 	12 , 	2 , 	426 ,,,,,,,,,,
WP, 	23 , 	33 , 	5 , 	10 , 	19 , 	14 , 	74 , 	22 , 	55 , 	7 , 	41 , 	147 , 	20 , 	23 , 	17 , 	12 , 	10 , 	26 , 	173 , 	49 , 	71 , 	22 , 	12 , 	24 , 	15 , 	142 , 	83 , 	226 , 	88 , 	44 , 	70 , 	38 , 	64 , 	55 , 	14 , 	3 , 	7 , 	25 , 	15 , 	14 , 	8 , 	43 , 	16 ," 	1,875 ",,,,,,,,,,
SS, 	6 , 	7 , 	2 , 	1 , 	7 , 	1 , 	3 , 	3 , 	8 , 	6 , 	12 , 	31 , 	5 , 	5 , 	2 , 	4 , 	2 , 	2 , 	7 , 	5 , 	8 , 	3 , 	4 , 	4 , 	5 , 	53 , 	29 , 	152 , 	64 , 	26 , 	45 , 	13 , 	25 , 	22 , 	5 , 	2 , 	13 , 	2 , 	11 , 	5 , 	12 , 	28 , 	8 , 	652 ,,,,,,,,,,
SB, 	8 , 	10 , 	1 , 	2 , 	8 , 	3 , 	6 , 	3 , 	8 , 	10 , 	12 , 	23 , 	6 , 	4 , 	3 , 	3 , 	2 , 	6 , 	3 , 	7 , 	5 , 	1 , 	1 , 	3 , 	5 , 	47 , 	28 , 	151 , 	104 , 	61 , 	104 , 	35 , 	69 , 	45 , 	25 , 	1 , 	11 , 	1 , 	13 , 	11 , 	5 , 	24 , 	13 , 	885 ,,,,,,,,,,
SO, 	10 , 	36 , 	22 , 	29 , 	72 , 	16 , 	34 , 	12 , 	21 , 	29 , 	22 , 	44 , 	11 , 	13 , 	8 , 	5 , 	10 , 	23 , 	28 , 	45 , 	54 , 	32 , 	30 , 	39 , 	37 , 	220 , 	173 , 	865 , 	275 , 	73 , 	69 , 	34 , 	62 , 	84 , 	63 , 	12 , 	92 , 	10 , 	26 , 	18 , 	19 , 	13 , 	183 ," 	2,969 ",,,,,,,,,,
MB, 	13 , 	13 , 	11 , 	9 , 	54 , 	10 , 	13 , 	7 , 	30 , 	18 , 	14 , 	64 , 	7 , 	7 , 	3 , 	1 , 	4 , 	6 , 	11 , 	17 , 	15 , 	7 , 	5 , 	14 , 	9 , 	133 , 	78 , 	339 , 	138 , 	61 , 	64 , 	34 , 	48 , 	66 , 	30 , 	4 , 	26 , 	3 , 	18 , 	10 , 	11 , 	290 , 	10 ," 	1,716 ",,,,,,,,,,
Entries," 	1,488 "," 	2,661 "," 	1,660 "," 	1,815 "," 	5,212 "," 	2,133 "," 	3,074 "," 	1,698 "," 	4,462 "," 	2,249 "," 	3,307 "," 	8,010 "," 	1,779 "," 	2,303 "," 	1,461 ", 	938 ," 	1,222 "," 	2,694 "," 	1,779 "," 	1,542 "," 	2,098 "," 	1,086 ", 	950 ," 	2,224 "," 	2,134 "," 	7,557 "," 	5,430 "," 	18,565 "," 	8,321 "," 	5,147 "," 	6,045 "," 	2,913 "," 	5,222 "," 	2,835 "," 	1,086 ", 	925 ," 	3,639 ", 	445 ," 	1,793 ", 	618 , 	874 ," 	3,905 "," 	1,549 "," 	136,843 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
