Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Dec 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	133 , 	124 , 	71 , 	334 , 	84 , 	112 , 	110 , 	163 , 	32 , 	88 , 	71 , 	41 , 	30 , 	35 , 	20 , 	19 , 	31 , 	22 , 	16 , 	20 , 	10 , 	10 , 	16 , 	25 , 	212 , 	223 , 	305 , 	209 , 	106 , 	119 , 	24 , 	45 , 	41 , 	10 , 	9 , 	19 , 	7 , 	33 , 	7 , 	9 , 	21 , 	10 ," 	3,032 ",,,,,,,,,,,
EN, 	167 , 	10 , 	124 , 	80 , 	758 , 	164 , 	226 , 	407 , 	580 , 	89 , 	139 , 	133 , 	69 , 	51 , 	69 , 	28 , 	36 , 	83 , 	44 , 	28 , 	37 , 	10 , 	14 , 	26 , 	39 , 	813 , 	878 , 	900 , 	604 , 	129 , 	157 , 	53 , 	84 , 	139 , 	22 , 	8 , 	41 , 	5 , 	37 , 	17 , 	20 , 	55 , 	23 ," 	7,398 ",,,,,,,,,,,
EP, 	131 , 	107 , 	5 , 	54 , 	525 , 	74 , 	108 , 	200 , 	271 , 	72 , 	54 , 	59 , 	26 , 	17 , 	25 , 	9 , 	13 , 	32 , 	21 , 	13 , 	25 , 	7 , 	7 , 	26 , 	10 , 	438 , 	504 , 	489 , 	287 , 	49 , 	46 , 	23 , 	29 , 	54 , 	4 , 	3 , 	21 , 	4 , 	12 , 	3 , 	5 , 	33 , 	12 ," 	3,907 ",,,,,,,,,,,
NB, 	76 , 	76 , 	59 , 	6 , 	203 , 	59 , 	71 , 	158 , 	217 , 	53 , 	62 , 	57 , 	25 , 	16 , 	20 , 	6 , 	11 , 	29 , 	18 , 	14 , 	21 , 	11 , 	9 , 	14 , 	13 , 	536 , 	573 , 	484 , 	354 , 	83 , 	61 , 	22 , 	27 , 	54 , 	3 , 	6 , 	16 , 	2 , 	8 , 	4 , 	4 , 	45 , 	12 ," 	3,598 ",,,,,,,,,,,
BK, 	352 , 	788 , 	531 , 	212 , 	16 , 	374 , 	378 , 	364 , 	509 , 	202 , 	282 , 	211 , 	141 , 	138 , 	136 , 	69 , 	127 , 	235 , 	99 , 	115 , 	115 , 	66 , 	52 , 	45 , 	61 , 	574 , 	589 , 	919 , 	591 , 	223 , 	240 , 	104 , 	75 , 	141 , 	18 , 	42 , 	113 , 	32 , 	62 , 	20 , 	15 , 	77 , 	60 ," 	9,513 ",,,,,,,,,,,
AS, 	84 , 	149 , 	69 , 	51 , 	326 , 	7 , 	93 , 	176 , 	231 , 	63 , 	100 , 	93 , 	52 , 	40 , 	48 , 	29 , 	21 , 	61 , 	23 , 	19 , 	25 , 	9 , 	9 , 	15 , 	33 , 	421 , 	467 , 	429 , 	325 , 	116 , 	95 , 	25 , 	34 , 	52 , 	9 , 	9 , 	29 , 	6 , 	18 , 	3 , 	2 , 	28 , 	12 ," 	3,905 ",,,,,,,,,,,
MA, 	121 , 	223 , 	108 , 	70 , 	339 , 	89 , 	11 , 	144 , 	230 , 	64 , 	149 , 	162 , 	105 , 	113 , 	104 , 	52 , 	80 , 	132 , 	101 , 	103 , 	112 , 	36 , 	33 , 	59 , 	60 , 	692 , 	717 , 	763 , 	565 , 	189 , 	161 , 	62 , 	73 , 	102 , 	19 , 	21 , 	72 , 	25 , 	142 , 	15 , 	13 , 	40 , 	22 ," 	6,495 ",,,,,,,,,,,
19, 	123 , 	422 , 	204 , 	171 , 	330 , 	182 , 	141 , 	8 , 	73 , 	36 , 	130 , 	155 , 	199 , 	182 , 	185 , 	150 , 	152 , 	338 , 	240 , 	298 , 	212 , 	124 , 	83 , 	113 , 	52 , 	576 , 	557 , 	526 , 	486 , 	163 , 	149 , 	110 , 	79 , 	154 , 	50 , 	63 , 	180 , 	85 , 	212 , 	42 , 	27 , 	21 , 	52 ," 	7,836 ",,,,,,,,,,,
12, 	170 , 	588 , 	265 , 	223 , 	434 , 	234 , 	209 , 	78 , 	19 , 	51 , 	256 , 	300 , 	349 , 	342 , 	298 , 	193 , 	243 , 	393 , 	307 , 	355 , 	289 , 	168 , 	131 , 	189 , 	96 , 	820 , 	868 , 	933 , 	719 , 	213 , 	219 , 	129 , 	137 , 	222 , 	75 , 	110 , 	277 , 	116 , 	257 , 	54 , 	39 , 	36 , 	64 ," 	11,469 ",,,,,,,,,,,
LM, 	29 , 	85 , 	75 , 	60 , 	197 , 	61 , 	63 , 	40 , 	50 , 	7 , 	133 , 	162 , 	208 , 	198 , 	135 , 	91 , 	114 , 	143 , 	26 , 	18 , 	24 , 	10 , 	9 , 	35 , 	33 , 	494 , 	556 , 	615 , 	353 , 	90 , 	86 , 	45 , 	61 , 	85 , 	14 , 	78 , 	188 , 	11 , 	27 , 	11 , 	16 , 	41 , 	24 ," 	4,802 ",,,,,,,,,,,
